      appium ( )  projeto
      0.72 (     8)  req_follows_integrator
      0.57 (     7)  files_deleted
      0.53 (   186)  files_name
      0.46 (   104)  commits_on_files_touched
      0.45 (    74)  test_cases_per_kloc
      0.44 (   124)  entropy_diff
      0.43 (    22)  at_mentions_comments
      0.43 (   144)  prev_pull_reqs_project
      0.41 (   174)  description_length
      0.4  (    97)  commits_to_hottest_file
      0.39 (    16)  test_churn
      0.39 (    54)  files_added
      0.39 (    94)  project_succ_rate
      0.39 (   138)  new_entropy
      0.37 (   188)  created_at_day_turn
      0.36 (    84)  hotness
      0.36 (   188)  src_churn
      0.35 (    86)  first_response
      0.33 (    84)  test_lines_per_kloc
      0.33 (    47)  other_files
      0.33 (   124)  perc_external_contribs
      0.32 (    87)  sloc
      0.31 (   233)  created_at_week_day
      0.29 (    36)  forward_links
      0.29 (    52)  team_size
      0.27 (   221)  num_commits
      0.27 (    75)  asserts_per_kloc
      0.25 (   100)  workload
      0.25 (    61)  project_age
      0.25 (    76)  requester_age
      0.24 (    56)  prior_interaction_pr_comments
      0.22 (   162)  src_files
      0.21 (    46)  stars
      0.21 (   140)  prior_interaction_pr_events
      0.2  (   199)  prev_pullreqs
      0.2  (   286)  requester
      0.18 (   172)  files_changed
      0.18 (   191)  files_modified
      0.17 (   173)  requester_succ_rate
      0.14 (   155)  prior_interaction_issue_comments
      0.13 (    72)  following
      0.11 (   137)  followers
      0.08 (    69)  prior_interaction_commits
      0.08 (    64)  main_team_member
      0.07 (   119)  prior_interaction_issue_events
      0.07 (    30)  watcher_project
      0    (     0)  intra_branch
      0    (     0)  prior_interaction_commit_comments
      0    (     0)  conflict
      0    (     0)  integrator_follows_req
      0    (     0)  doc_files
      0    (     0)  at_mentions_description
      0    (     0)  ci
      bundler ( )  projeto
      0.73 (    10)  intra_branch
      0.71 (     1)  prior_interaction_pr_comments
      0.71 (    13)  files_deleted
      0.63 (   174)  files_name
      0.52 (    18)  forward_links
      0.51 (   278)  description_length
      0.48 (   178)  src_churn
      0.46 (   276)  new_entropy
      0.46 (     9)  doc_files
      0.46 (   149)  hotness
      0.45 (   243)  entropy_diff
      0.45 (   101)  src_files
      0.44 (   148)  num_commits
      0.43 (    77)  prev_pullreqs
      0.43 (    46)  files_added
      0.43 (   169)  commits_to_hottest_file
      0.42 (   173)  commits_on_files_touched
      0.42 (     7)  prior_interaction_commits
      0.42 (   128)  files_modified
      0.42 (   630)  requester
      0.41 (    50)  at_mentions_comments
      0.4  (   147)  files_changed
      0.4  (   192)  created_at_day_turn
      0.39 (   250)  prev_pull_reqs_project
      0.39 (    64)  perc_external_contribs
      0.36 (    79)  other_files
      0.35 (   211)  project_succ_rate
      0.33 (    11)  at_mentions_description
      0.33 (   115)  test_churn
      0.31 (     5)  main_team_member
      0.3  (   156)  test_lines_per_kloc
      0.3  (   213)  asserts_per_kloc
      0.3  (   233)  sloc
      0.3  (   327)  created_at_week_day
      0.3  (    80)  requester_succ_rate
      0.29 (    83)  team_size
      0.29 (   190)  project_age
      0.28 (   171)  stars
      0.26 (    56)  prior_interaction_pr_events
      0.26 (   169)  workload
      0.25 (   187)  test_cases_per_kloc
      0.24 (   170)  followers
      0.22 (   177)  first_response
      0.2  (   225)  requester_age
      0.2  (   133)  following
      0.2  (    49)  ci
      0.18 (    80)  prior_interaction_issue_comments
      0.17 (    33)  watcher_project
      0.17 (    71)  prior_interaction_issue_events
      0.09 (    13)  req_follows_integrator
      0    (     0)  prior_interaction_commit_comments
      0    (     0)  integrator_follows_req
      0    (     0)  conflict
      candlepin ( )  projeto
      0.49 (   188)  files_name
      0.48 (     2)  at_mentions_description
      0.45 (   121)  new_entropy
      0.42 (    63)  created_at_day_turn
      0.39 (    89)  hotness
      0.36 (   119)  entropy_diff
      0.36 (   100)  num_commits
      0.34 (    96)  requester_succ_rate
      0.34 (    76)  commits_to_hottest_file
      0.33 (    86)  commits_on_files_touched
      0.33 (    45)  files_added
      0.32 (     5)  at_mentions_comments
      0.32 (   143)  src_churn
      0.31 (   117)  src_files
      0.31 (     2)  doc_files
      0.3  (   121)  test_churn
      0.29 (   135)  files_changed
      0.28 (   147)  files_modified
      0.28 (    66)  other_files
      0.27 (   223)  description_length
      0.27 (   163)  project_succ_rate
      0.25 (   229)  created_at_week_day
      0.24 (   100)  test_cases_per_kloc
      0.23 (   167)  prev_pull_reqs_project
      0.22 (   100)  asserts_per_kloc
      0.22 (   116)  workload
      0.21 (   141)  perc_external_contribs
      0.21 (    94)  project_age
      0.2  (    15)  prior_interaction_commit_comments
      0.2  (   175)  first_response
      0.18 (   154)  requester_age
      0.17 (    28)  req_follows_integrator
      0.17 (   137)  test_lines_per_kloc
      0.16 (    35)  files_deleted
      0.16 (    54)  team_size
      0.16 (   227)  sloc
      0.16 (    66)  prior_interaction_pr_comments
      0.15 (   133)  prior_interaction_commits
      0.15 (   165)  prior_interaction_issue_comments
      0.15 (    50)  stars
      0.15 (   202)  prev_pullreqs
      0.15 (   165)  prior_interaction_pr_events
      0.15 (   338)  requester
      0.14 (    77)  following
      0.12 (   152)  followers
      0.12 (    33)  main_team_member
      0.11 (    36)  integrator_follows_req
      0.09 (    50)  intra_branch
      0.08 (    32)  watcher_project
      0    (     0)  prior_interaction_issue_events
      0    (     0)  ci
      0    (     0)  conflict
      0    (     0)  forward_links
      diaspora ( )  projeto
      0.68 (   258)  files_name
      0.49 (   394)  created_at_day_turn
      0.45 (   316)  src_churn
      0.45 (   552)  description_length
      0.42 (   266)  src_files
      0.42 (   226)  doc_files
      0.42 (   625)  new_entropy
      0.41 (    83)  files_deleted
      0.41 (  1614)  requester
      0.41 (   575)  hotness
      0.4  (   225)  other_files
      0.4  (   574)  commits_on_files_touched
      0.4  (   551)  commits_to_hottest_file
      0.4  (   645)  entropy_diff
      0.39 (   363)  files_changed
      0.39 (   201)  files_added
      0.38 (   375)  files_modified
      0.37 (   734)  created_at_week_day
      0.36 (   408)  num_commits
      0.34 (   275)  prev_pullreqs
      0.33 (   153)  test_churn
      0.31 (   217)  prior_interaction_pr_events
      0.29 (   647)  project_succ_rate
      0.29 (   606)  workload
      0.29 (   516)  test_lines_per_kloc
      0.28 (   595)  perc_external_contribs
      0.27 (   216)  at_mentions_comments
      0.26 (  1000)  prev_pull_reqs_project
      0.26 (    53)  main_team_member
      0.24 (   394)  requester_age
      0.24 (   576)  test_cases_per_kloc
      0.24 (   203)  prior_interaction_issue_events
      0.24 (   349)  team_size
      0.24 (   696)  sloc
      0.24 (    19)  prior_interaction_commit_comments
      0.23 (   448)  requester_succ_rate
      0.23 (    15)  at_mentions_description
      0.23 (   345)  first_response
      0.22 (   247)  prior_interaction_issue_comments
      0.21 (   766)  stars
      0.21 (   665)  asserts_per_kloc
      0.2  (   196)  following
      0.2  (   620)  project_age
      0.19 (    24)  forward_links
