run,algoritmo,acuracia
1,ibk,92.0591
2,ibk,78.9835
3,ibk,88.8333
4,ibk,74.1958
5,ibk,91.369
6,ibk,93.1633
7,ibk,88.7989
8,ibk,84.1509
9,ibk,62.5706
10,ibk,85.8757
11,ibk,74.2727
12,ibk,80.0383
13,ibk,91.5254
14,ibk,79.8864
15,ibk,96.4394
16,ibk,93.5374
17,ibk,87.8947
18,ibk,94.9123
19,ibk,78.9773
20,ibk,79.0909
1,j48,92.8901
2,j48,76.3736
3,j48,91.3333
4,j48,74.1259
5,j48,91.2698
6,j48,91.7347
7,j48,88.9339
8,j48,83.4648
9,j48,58.3333
10,j48,84.4633
11,j48,60.8182
12,j48,76.2117
13,j48,90.6009
14,j48,76.25
15,j48,96.3636
16,j48,94.1134
17,j48,85.4386
18,j48,95.0877
19,j48,80.3977
20,j48,74.7727
1,random_florest,93.3518
2,random_florest,76.511
3,random_florest,91.1667
4,random_florest,73.986
5,random_florest,91.369
6,random_florest,91.8878
7,random_florest,89.4737
8,random_florest,83.4648
9,random_florest,59.1808
10,random_florest,84.0395
11,random_florest,68.7273
12,random_florest,76.2117
13,random_florest,91.2173
14,random_florest,77.8409
15,random_florest,96.5152
16,random_florest,94.1134
17,random_florest,86.4912
18,random_florest,94.386
19,random_florest,80.3977
20,random_florest,74.6591
1,smo,93.2595
2,smo,76.3736
3,smo,91.1667
4,smo,77.972
5,smo,91.2698
6,smo,93.8776
7,smo,89.3387
8,smo,86.518
9,smo,88.7006
10,smo,83.8983
11,smo,71.5455
12,smo,96.5561
13,smo,90.9091
14,smo,77.3864
15,smo,96.8939
16,smo,93.9154
17,smo,86.8421
18,smo,94.386
19,smo,90.5114
20,smo,73.9773
1,part,92.7978
2,part,74.5879
3,part,90.1667
4,part,73.4965
5,part,91.1706
6,part,91.8367
7,part,88.9339
8,part,83.5678
9,part,55.5085
10,part,84.0395
11,part,58.4545
12,part,69.898
13,part,91.3713
14,part,77.9545
15,part,96.3636
16,part,92.2952
17,part,85.614
18,part,95.0877
19,part,78.9773
20,part,74.8864
