projeto;created_at_week_day;created_at_day_turn;conflict;forward_links;intra_branch;description_length;num_commits;files_added;files_deleted;files_modified;files_changed;src_files;doc_files;other_files;src_churn;test_churn;new_entropy;entropy_diff;commits_on_files_touched;files_name;commits_to_hottest_file;hotness;at_mentions_description;at_mentions_comments;prev_pull_reqs_project;project_succ_rate;perc_external_contribs;sloc;test_lines_per_kloc;test_cases_per_kloc;asserts_per_kloc;stars;team_size;project_age;workload;ci;requester;prev_pullreqs;requester_succ_rate;followers;following;requester_age;main_team_member;watcher_project;req_follows_integrator;integrator_follows_req;prior_interaction_issue_events;prior_interaction_issue_comments;prior_interaction_pr_events;prior_interaction_pr_comments;prior_interaction_commits;prior_interaction_commit_comments;first_response
appium;0,31;0,37;0;0,29;0;0,41;0,27;0,39;0,57;0,18;0,18;0,22;0;0,33;0,36;0,39;0,39;0,44;0,46;0,53;0,4;0,36;0;0,43;0,43;0,39;0,33;0,32;0,33;0,45;0,27;0,21;0,29;0,25;0,25;0;0,2;0,2;0,17;0,11;0,13;0,25;0,08;0,07;0,72;0;0,07;0,14;0,21;0,24;0,08;0;0,35
bundler;0,3;0,4;0;0,52;0,73;0,51;0,44;0,43;0,71;0,42;0,4;0,45;0,46;0,36;0,48;0,33;0,46;0,45;0,42;0,63;0,43;0,46;0,33;0,41;0,39;0,35;0,39;0,3;0,3;0,25;0,3;0,28;0,29;0,29;0,26;0,2;0,42;0,43;0,3;0,24;0,2;0,2;0,31;0,17;0,09;0;0,17;0,18;0,26;0,71;0,42;0;0,22
candlepin;0,25;0,42;0;0;0,09;0,27;0,36;0,33;0,16;0,28;0,29;0,31;0,31;0,28;0,32;0,3;0,45;0,36;0,33;0,49;0,34;0,39;0,48;0,32;0,23;0,27;0,21;0,16;0,17;0,24;0,22;0,15;0,16;0,21;0,22;0;0,15;0,15;0,34;0,12;0,14;0,18;0,12;0,08;0,17;0,11;0;0,15;0,15;0,16;0,15;0,2;0,2
diaspora;0,37;0,49;0;0,19;0,19;0,45;0,36;0,39;0,41;0,38;0,39;0,42;0,42;0,4;0,45;0,33;0,42;0,4;0,4;0,68;0,4;0,41;0,23;0,27;0,26;0,29;0,28;0,24;0,29;0,24;0,21;0,21;0,24;0,2;0,29;0,18;0,41;0,34;0,23;0,19;0,2;0,24;0,26;0,1;0,14;0,17;0,24;0,22;0,31;0,07;0,19;0,24;0,23
hazelcast;0,3;0,38;0;0,52;0,43;0,36;0,33;0,54;0,65;0,3;0,37;0,3;0;0,52;0,33;0,49;0,55;0,51;0,54;0,61;0,48;0,51;0;0,3;0,39;0,41;0,32;0,23;0,26;0,26;0,32;0,17;0,17;0,23;0,26;0;0,32;0,42;0,38;0,23;0,33;0,28;0,32;0,23;0,09;0,06;0,11;0,17;0,43;0,17;0,33;0,66;0,34
kuma;0,14;0,22;0;0,11;0,1;0,18;0,24;0,18;0,27;0,22;0,23;0,21;0,22;0,17;0,19;0,21;0,25;0,26;0,25;0,36;0,24;0,26;0,18;0,19;0,17;0,16;0,15;0,15;0,14;0,13;0,11;0,11;0,13;0,12;0,12;0;0,12;0,13;0,13;0,1;0,1;0,11;0,09;0,19;0,08;0,07;0,05;0,1;0,12;0,09;0,09;0,07;0,11
marathon;0,48;0,51;0;0,36;0,38;0,52;0,5;0,47;0,38;0,4;0,43;0,48;0,49;0,46;0,43;0,42;0,46;0,46;0,43;0,57;0,43;0,42;0,35;0,39;0,4;0,44;0,39;0,37;0,37;0;0,43;0,4;0,37;0,37;0,37;0;0,37;0,35;0,4;0,34;0,24;0,35;0,23;0,35;0,08;0,39;0,2;0,27;0,18;0,24;0,26;0,1;0,25
metasploit-framework;0,28;0,34;0;0,32;0,35;0,34;0,36;0,35;0,37;0,33;0,33;0,3;0,39;0,29;0,31;0,28;0,31;0,3;0,32;0,52;0,31;0,34;0,27;0,34;0,24;0,25;0,24;0,24;0,21;0,19;0,2;0,19;0,15;0,2;0,24;0,16;0,27;0,21;0,19;0,15;0,15;0,17;0,17;0,14;0,15;0,1;0,18;0,17;0,21;0,14;0,14;0,1;0,23
meteor;0,43;0,49;0;0,53;0,39;0,5;0,45;0,42;0,47;0,45;0,49;0,43;0,41;0,34;0,41;0,4;0,43;0,41;0,38;0,64;0,4;0,39;0,44;0,47;0,34;0,38;0,36;0,33;0,32;0,27;0,3;0,29;0,31;0,27;0,3;0;0,49;0,32;0,36;0,26;0,27;0,26;0,27;0,24;0,24;0;0,29;0,3;0,32;0,26;0,24;0,19;0,28
nancy;0,38;0,34;0;0,45;0,21;0,44;0,45;0,47;0,55;0,47;0,36;0,38;0,43;0,41;0,41;0;0,4;0,42;0,35;0,53;0,4;0,35;0,36;0,37;0,31;0,34;0,27;0,27;0;0;0;0,24;0,3;0,23;0,25;0;0,36;0,26;0,25;0,17;0,2;0,23;0,15;0,29;0,22;0,15;0,19;0,18;0,18;0,11;0,14;0;0,27
