@relation 'Nancy-data-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,1,0,0,1,0,0,0,0.472603,327,0,10,83,0.674699,1
false,false,1,0,0,1,7,0,4,0.47079,327,0,10,92,0.858696,1
false,false,4,5,3,31,297,0,49,0.47079,327,0,10,91,0.857143,1
false,false,1,5,3,1,7,0,0,0.47079,327,0,10,82,0.682927,0
false,false,1,0,0,1,0,0,0,0.457237,327,0,10,81,0.679012,1
false,false,1,0,0,24,0,0,0,0.432602,327,0,10,242,0.950413,1
false,false,2,0,0,1,0,0,12,0.436137,327,0,10,241,0.950207,1
false,false,2,1,1,1,48,0,4,0.434375,317,0,10,240,0.95,1
false,false,1,0,0,1,0,0,7,0.436202,317,0,10,239,0.949791,1
false,false,4,0,1,1,20,0,8,0.4273,317,0,10,90,0.855556,1
false,false,2,6,3,1,10,0,2,0.407932,317,0,10,0,0,1
false,false,2,5,2,3,0,0,20,0.40625,317,0,10,237,0.953586,1
false,false,1,1,2,5,88,0,13,0.396601,317,0,10,236,0.95339,1
false,false,2,18,4,13,320,0,13,0.394886,317,0,10,235,0.953191,1
false,false,1,1,1,35,399,0,2,0.394886,317,0,10,1,1,0
false,false,1,0,0,1,2,0,0,0.385965,317,0,10,79,0.683544,1
false,false,1,10,3,1,12,0,0,0.380117,317,0,10,27,1,1
false,false,38,93,8,32,7843,0,24,0.381232,317,0,9,3,0.333333,1
false,false,2,5,2,4,25,0,2,0.379412,317,0,9,0,0,1
false,false,6,4,2,7,266,0,15,0.374269,317,0,9,71,0.746479,1
false,false,5,8,2,6,216,0,38,0.37574,317,0,9,234,0.952991,1
false,false,1,0,2,2,21,0,7,0.363363,317,0,10,233,0.95279,1
false,false,2,2,2,2,39,0,4,0.361446,317,0,10,89,0.853933,1
false,false,2,5,3,1,0,0,0,0.357576,317,0,9,0,0,1
false,false,2,1,1,10,124,0,27,0.355623,317,0,9,230,0.96087,1
false,false,39,1,1,76,2029,0,105,0.353659,317,0,9,228,0.969298,0
false,false,1,2,1,2,18,0,6,0.345679,317,0,9,0,0,1
false,false,2,2,1,1,123,0,2,0.337539,317,0,9,226,0.973451,1
false,false,1,0,1,1,2,0,2,0.330189,317,0,9,27,0.962963,1
false,false,1,0,1,14,62,0,21,0.323988,317,0,9,70,0.742857,1
false,false,4,4,2,13,554,0,35,325,317,0,9,225,0.973333,1
false,true,3,5,3,17,946,0,19,325,317,0,9,224,0.973214,1
false,false,31,0,1,66,1895,0,79,0.326019,317,0,9,16,125,0
false,false,1,1,3,1,2,0,4,0.327044,317,0,9,67,0.776119,0
false,false,1,0,0,1,0,0,5,0.31677,317,0,9,223,0.973094,1
false,false,11,2,2,25,1638,0,44,0.309375,317,0,9,222,0.972973,1
false,false,13,2,1,34,113,0,6,0.30721,317,0,9,221,0.972851,1
false,false,1,1,1,2,19,0,12,0.310127,317,0,9,220,0.972727,1
false,false,17,7,4,15,295,0,16,0.319218,317,0,9,219,0.972603,1
false,false,1,1,1,1,0,0,2,0.25283,317,0,8,61,0.836066,1
false,false,1,0,0,2,0,0,12,0.255725,317,0,8,88,0.852273,1
false,false,1,0,0,1,0,0,10,0.256705,317,0,8,87,0.862069,0
false,false,3,4,2,2,0,0,8,0.258687,317,0,8,86,0.860465,1
false,false,8,2,2,146,729,0,14,0.258687,317,0,8,218,0.972477,1
false,false,5,18,4,21,610,0,15,0.2607,317,0,8,60,0.833333,1
false,false,2,0,0,5,430,0,29,0.237705,317,0,8,217,0.97235,1
false,false,1,0,0,2,0,0,2,0.211864,317,0,8,3,0.333333,0
false,false,1,0,0,1,6,0,18,0.126214,317,0,8,216,0.972222,1
false,false,1,0,0,1,22,0,0,0.126829,317,0,8,215,0.972093,1
false,false,2,0,0,20,0,0,7,0.127451,317,0,8,85,0.858824,1
false,false,2,1,1,56,0,0,4,0.132353,317,0,8,84,0.869048,0
false,false,1,1,1,1,46,0,16,0.133005,317,0,8,214,0.971963,1
false,false,1,0,1,4,94,0,5,0.133663,317,0,8,213,0.971831,1
false,false,1,0,0,6,60,0,1,0.136364,317,0,8,212,0.971698,1
false,false,2,1,2,13,106,0,8,0.137056,317,0,8,211,0.971564,1
false,false,1,0,0,1,18,0,4,0.137056,317,0,8,210,0.971429,1
false,false,1,3,1,11,0,0,2,0.138462,317,0,8,59,0.847458,0
false,false,2,0,0,2,55,0,1,0.145078,317,0,8,209,0.971292,1
false,false,1,0,0,1,0,0,7,0.146597,317,0,8,83,0.86747,1
false,false,3,5,2,2,51,0,6,0.146597,317,0,8,208,0.971154,1
false,false,1,0,1,1,8,0,2,0.148148,317,0,8,58,0.844828,1
false,false,4,0,0,63,28,0,42,0.150538,317,0,8,82,0.865854,1
false,false,1,0,0,6,51,0,22,0.152174,317,0,8,207,0.971014,1
false,false,1,0,0,2,6,0,6,0.153005,317,0,8,206,0.970874,1
false,false,1,0,0,2,0,0,16,0.153846,317,0,8,57,0.842105,1
false,false,2,0,0,1,28,0,1,0.155556,317,0,8,56,0.839286,1
false,false,4,8,3,7,190,0,27,0.155556,317,0,8,55,0.836364,1
false,false,2,3,3,9,657,0,36,0.155556,317,0,8,205,0.970732,1
false,false,1,0,0,1,10,0,2,0.157303,317,0,8,54,0.833333,1
false,false,2,9,3,1,24,0,2,0.158192,317,0,8,53,0.830189,1
false,false,1,1,1,1,31,0,18,0.158192,317,0,8,204,0.970588,1
false,false,2,1,1,2,0,0,14,0.159091,317,0,8,81,0.864198,1
false,false,2,0,0,6,0,0,0,0.159091,317,0,8,80,875,0
false,false,1,0,2,1,42,0,16,0.159091,317,0,8,203,0.970443,1
false,false,23,22,3,427,876,0,52,0.159091,315,0,8,2,0,1
false,false,1,0,0,8,14,0,3,0.159091,317,0,8,1,0,0
false,false,2,0,0,3,110,0,0,0.162791,317,0,8,79,0.873418,1
false,false,2,7,3,45,50,0,17,0.163743,317,0,8,78,0.871795,1
false,false,9,0,0,354,180,0,56,0.164706,315,0,8,77,0.87013,1
false,true,3,9,3,8,0,0,0,0.163842,315,0,8,0,0,0
false,false,6,25,5,20,969,0,34,0.175758,315,0,8,202,0.970297,1
false,false,1,0,0,4,67,0,30,0.194595,315,0,9,201,0.970149,1
false,false,1,2,1,35,399,0,6,0.203209,315,0,9,0,0,1
false,false,3,3,1,31,469,0,76,0.213115,315,0,9,200,0.97,1
false,false,13,20,6,91,1511,0,84,0.208556,315,0,9,142,0.915493,1
false,false,1,0,0,1,10,0,1,0.228426,315,0,10,4,0.25,0
false,false,1,0,0,1,10,0,1,0.228426,315,0,10,3,0.333333,0
false,false,1,0,0,1,10,0,1,0.228426,315,0,10,2,0.5,0
false,false,2,2,2,1,16,0,1,0.229592,315,0,10,1,0,1
false,false,1,2,3,1,3,0,0,0.229592,315,0,10,0,0,0
false,false,5,18,4,15,348,0,35,0.233503,315,0,10,199,0.969849,1
false,true,17,58,3,24,655,0,25,0.233503,315,0,10,52,0.826923,1
false,true,3,5,2,6,4,0,5,0.240196,315,0,11,0,0,0
false,false,3,3,1,23,614,0,33,0.239024,315,0,11,198,0.969697,1
false,false,1,1,2,1,4,0,2,0.240196,315,0,11,0,0,1
false,false,1,6,2,1,16,0,2,0.248804,315,0,12,76,0.868421,1
false,false,1,2,1,1,4,0,0,0.248804,315,0,12,20,1,1
