@relation 'kuma-data-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,4,4,2,3,129,103,11,0.497771,11838,598.918736,9,15,0.8,1
false,false,1,3,3,3,0,0,0,0.504438,11838,598.918736,9,0,0,1
false,false,2,4,3,1,0,0,6,0.511331,11838,598.918736,9,336,0.85119,1
false,false,4,8,2,5,24,39,16,0.516358,11832,596.771467,9,276,0.844203,1
false,false,2,8,2,5,381,0,20,0.534362,11745,601.191997,9,275,0.843636,1
false,false,1,0,1,1,0,0,2,0.542069,11745,601.191997,9,0,0,0
false,false,2,8,2,2,66,0,0,0.545706,11213,626.237403,9,13,0.923077,1
false,false,1,3,1,1,8,0,2,0.547091,11213,626.237403,9,1,0,1
false,false,1,2,1,1,0,0,2,0.547091,11213,626.237403,9,0,0,0
false,false,1,1,1,16,225,96,52,0.547091,11213,626.237403,9,86,0.883721,1
false,false,2,4,2,5,34,136,47,0.553888,11188,627.457991,9,85,0.882353,1
false,false,1,4,1,2,1,0,7,0.558424,11188,627.457991,9,208,0.865385,1
false,false,1,3,2,2,10,0,12,0.559184,11188,627.457991,9,207,0.864734,1
false,false,1,4,2,3,0,0,5,0.559621,11188,627.457991,9,206,0.864078,1
false,false,1,5,2,18,0,0,0,0.56038,11188,627.457991,9,205,0.863415,1
false,false,2,5,3,2,128,74,8,0.563094,11188,627.457991,9,274,0.843066,1
false,true,8,5,2,8,191,0,13,0.565807,11188,627.457991,9,11,1,1
false,false,4,6,2,8,91,0,9,0.57708,11194,627.121672,9,273,0.842491,1
false,false,1,2,2,1,0,1,4,0.589708,11100,631.891892,9,12,0.916667,1
false,false,2,20,4,2,346,0,6,0.587601,11127,627.213085,9,272,0.841912,1
false,false,2,2,2,2,0,0,36,0.592992,11127,627.213085,9,271,0.841328,1
false,false,2,8,3,4,39,28,27,0.599196,11127,627.213085,9,84,0.880952,1
false,false,1,1,1,1,0,0,12,0.599196,11127,627.213085,9,204,0.862745,1
false,false,2,1,1,2,24,0,0,0.609626,11127,627.213085,9,0,0,1
false,false,1,3,4,1,5,0,4,0.613932,11125,627.325843,9,11,0.909091,1
false,false,1,1,1,2,2,8,23,0.618654,11125,627.325843,9,10,1,1
false,false,4,10,2,4,0,0,10,0.622196,11125,627.325843,9,83,0.879518,1
false,false,2,2,1,1,0,0,0,0.628205,11125,627.325843,9,0,0,1
false,false,2,5,2,3,14,171,8,0.642619,11122,623.538932,9,270,0.840741,1
false,false,1,1,1,3,0,0,26,0.649123,11158,621.527155,9,1,1,1
false,false,1,2,2,1,33,0,4,0.649123,11158,621.527155,9,10,0.9,1
false,false,2,8,3,10,100,0,39,0.652459,11234,609.934129,10,82,0.878049,1
false,false,2,10,3,3,32,95,24,0.652778,11234,609.934129,10,9,0.888889,1
false,false,14,2,2,4,0,2,40,0.656684,11234,609.934129,10,269,0.840149,1
false,false,1,1,1,1,0,0,4,0.670201,11234,609.934129,10,268,0.839552,1
false,false,5,12,2,6,29,0,92,0.670913,11234,609.934129,10,8,875,1
false,false,1,1,1,3,0,0,20,0.669528,11209,611.205281,10,81,0.876543,1
false,false,1,1,1,1,0,0,2,0.677521,11209,611.205281,10,0,0,1
false,false,2,6,2,1,0,0,17,0.67418,11286,606.769449,12,80,875,1
false,true,31,14,2,72,1869,733,26,0.675813,11286,606.769449,13,267,0.838951,1
false,false,2,3,2,2,41,8,7,0.678974,11286,606.769449,13,266,0.838346,1
false,false,1,6,2,1,0,0,17,0.679878,11286,606.769449,13,7,1,0
false,false,2,6,3,3,4,0,63,0.687247,11292,606.447042,13,203,0.862069,1
false,false,1,7,2,1,0,0,0,0.71752,11642,588.988146,15,6,1,1
false,false,1,1,1,1,0,0,0,0.718227,11642,588.988146,15,202,0.861386,1
false,false,1,14,2,2,0,0,0,0.718657,11642,588.988146,15,201,0.860697,1
false,false,4,20,2,7,82,19,33,0.71767,11642,588.988146,15,265,0.837736,1
false,false,4,18,2,16,1961,0,53,0.719124,11642,588.988146,15,264,0.837121,1
false,true,1,4,2,3,2,0,79,0.714286,11642,588.988146,15,200,865,0
false,false,2,15,3,2,2,0,21,0.712425,11642,606.339117,15,5,1,1
false,false,10,21,3,67,2,785,68,0.70948,13403,573.975976,15,4,1,1
false,false,1,5,2,1,2,0,8,713,13403,573.975976,15,46,0.891304,1
