@relation 'meteor-data-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,1,2,2,1,2,0,37,0.618401,158454,225.62384,12,5,0.6,1
false,false,1,0,0,1,10,0,42,0.608025,158459,225.616721,12,35,0.714286,1
false,false,2,4,2,1,12,0,8,0.606532,158459,225.616721,12,5,0.2,1
false,false,1,1,1,8,28,0,33,0.601256,158516,225.535593,12,14,0.571429,1
false,false,1,2,2,3,33,0,51,0.592063,158509,225.545553,12,34,0.705882,1
false,false,2,0,0,1,4,0,37,0.591346,158483,225.582555,12,6,1,0
false,false,2,2,2,1,39,0,4,0.58374,158454,225.655395,13,33,0.69697,1
false,false,1,5,2,1,2,0,39,0.577049,158425,225.696702,13,11,1,1
false,false,1,4,3,1,4,0,0,0.576355,151895,250.330821,13,0,0,1
false,false,3,4,2,9,64,0,96,0.574959,158425,225.696702,13,32,0.6875,1
false,false,2,3,3,4,88,0,17,0.576159,158416,225.709524,13,4,0,1
false,false,1,1,1,1,13,0,11,0.559122,151895,250.330821,12,2,0.5,1
false,false,1,3,2,1,2,0,0,0.551195,151851,250.363844,12,2,1,1
false,false,1,2,1,1,2,0,2,0.551195,151851,250.363844,12,1,1,1
false,false,1,1,1,1,2,0,0,0.551195,151851,250.363844,12,0,0,1
false,false,1,2,2,300,2663,0,4,0.547782,160561,222.544703,12,31,0.677419,1
false,false,1,0,2,5,75,16,8,0.54717,151851,250.363844,12,79,0.632911,1
false,false,1,1,1,1,0,0,2,0.535336,160576,222.523914,12,5,1,1
false,false,2,6,2,8,65,0,6,0.532028,160576,222.523914,12,30,0.666667,1
false,false,1,3,1,1,2,0,0,0.514815,151851,250.363844,12,78,0.641026,0
false,false,1,1,1,3,6,0,0,0.512104,151851,250.363844,12,0,0,1
false,false,9,3,3,3,19,0,2,0.512104,151851,250.363844,12,1,1,0
false,false,1,1,1,1,9,0,0,0.508475,151851,250.278233,11,0,0,1
