@relation 'node-data-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,2,20,5,1,0,0,7,0.239839,234899,1860.582633,77,1,0,0
false,false,2,11,7,2,0,0,5,0.240254,234919,1860.488083,77,9,0.666667,0
false,false,115,7,3,214,2621,349,336,0.240138,234395,1716.397534,77,39,0.230769,0
false,false,2,41,8,2,14,0,0,0.239988,234926,1860.436904,77,88,0.556818,1
false,false,6,77,5,5,17,15,41,0.239908,234926,1860.436904,77,76,0.118421,0
false,false,3,15,5,2,13,0,17,0.239514,235961,1751.975962,77,82,0.634146,0
false,false,1,12,7,1,0,0,2,0.238992,234925,1860.427796,77,54,0.222222,0
false,true,2,17,7,3,3,44,6,0.239212,234925,1860.423539,77,5,0,0
false,false,2,6,4,3,3,25,6,0.239212,234925,1860.423539,77,4,0,0
false,false,1,0,1,1,2,0,6,0.239212,234925,1860.423539,77,18,0.5,0
false,false,2,6,3,1,4,0,6,0.239212,234925,1860.423539,77,87,0.551724,1
false,false,1,5,2,1,4,0,6,0.239351,234925,1860.423539,77,42,0.071429,0
false,false,1,34,5,1,7,0,3,0.239351,234926,1860.458187,77,3,0.333333,0
false,false,2,17,8,1,13,0,13,0.23942,234926,1860.458187,77,0,0,0
false,true,2,19,4,1,9,0,3,0.239143,234926,1860.458187,78,2,0.5,0
false,false,1,7,3,2,4,2,3,0.239269,234926,1860.458187,78,1,1,0
false,false,2,4,3,1,0,46,1,0.238784,234926,1860.458187,78,37,0.378378,0
false,false,2,9,4,3,0,4,2,0.238784,234926,1860.458187,78,4,0,0
false,false,2,11,4,1,0,0,5,0.238633,234926,1860.458187,78,0,0,0
false,false,2,4,2,3,0,4,2,0.237958,234926,1860.458187,78,3,0,0
false,false,2,9,4,1,9,0,3,0.23793,234926,1860.458187,78,18,0.222222,0
false,false,2,8,7,1,20,0,3,0.236374,234909,1860.439574,79,17,0.235294,0
false,false,2,37,8,1,35,0,3,0.23651,234909,1860.439574,79,16,0.25,0
false,false,1,9,4,1,0,5,2,0.23651,234909,1860.439574,79,2,0.5,0
false,false,2,11,4,1,0,0,6,0.236494,234909,1860.439574,79,0,0,0
false,false,1,6,6,2,10,9,9,0.236547,235961,1751.954772,79,41,0.292683,0
false,false,2,10,7,2,4,0,5,0.236683,234784,1861.65582,79,86,0.546512,1
false,false,2,14,5,1,0,0,2,0.236751,234766,1861.214997,79,8,625,1
false,false,2,4,3,1,0,32,1,0.236751,234766,1861.214997,79,17,0.470588,1
false,false,1,2,2,300,7916,0,114,0.236789,234766,1861.214997,79,0,0,0
false,false,1,19,5,2,353,0,9,0.236789,234766,1861.214997,79,2,0.5,0
false,false,2,42,7,3,3,0,22,0.236872,234766,1861.214997,79,85,0.541176,1
false,true,2,10,7,3,46,18,22,0.236857,234766,1861.214997,79,40,0.3,0
false,false,1,7,6,3,0,0,5,0.236857,234766,1861.214997,79,0,0,0
false,true,4,9,4,1,144,0,17,0.236857,234766,1861.214997,79,71,0.338028,0
false,false,1,6,5,1,0,0,19,0.236668,234766,1861.206478,79,2,0.5,1
false,false,2,13,9,3,32,0,13,0.236379,234766,1861.206478,79,298,0.483221,1
false,false,2,18,7,2,11,0,7,0.236379,234769,1861.161397,79,11,0.545455,0
false,false,2,19,5,3,10,0,8,0.236243,234769,1861.161397,79,63,0.190476,1
false,false,2,11,5,1,0,165,3,0.236075,234769,1861.161397,79,11,0.181818,0
false,false,1,5,3,2,3,0,0,0.236804,234769,1861.161397,79,83,0.26506,0
false,false,3,15,6,5,142,1445,26,0.236857,235961,1751.954772,79,75,0.12,0
false,true,11,38,9,1,164,0,3,0.236994,234769,1861.161397,79,15,0.266667,0
false,false,12,48,7,16,212,151,35,0.235075,234767,1861.177252,79,53,0.207547,1
false,false,2,25,5,7,30,0,18,0.234738,234767,1861.177252,79,41,0.073171,0
false,false,2,20,5,4,42,21,6,0.234366,234767,1861.177252,79,39,0.307692,0
false,false,1,4,1,6,17,29,4,0.234536,83858,1689.009993,79,74,0.121622,0
false,false,1,7,6,3,0,183,1,0.234688,234767,1861.177252,79,36,0.388889,0
false,false,2,4,1,9,49,58,7,0.234469,113264,2020.589066,79,73,0.123288,0
false,false,2,17,4,6,22,30,30,0.234451,235961,1751.954772,79,71,0.126761,0
false,false,2,8,4,1,14,0,0,0.234518,234767,1861.177252,79,19,0.684211,0
false,false,2,16,3,4,53,0,22,0.234518,234767,1861.177252,79,70,0.128571,0
false,false,2,55,8,4,24,0,50,0.234738,234716,1856.579867,79,0,0,0
false,false,1,5,4,1,0,0,17,0.234348,234716,1856.579867,78,1,0,0
false,true,2,19,3,2,58,0,16,0.234635,234716,1856.579867,78,203,0.349754,0
false,false,2,16,4,3,11,39,1,0.234635,234716,1856.579867,78,69,0.130435,0
false,false,2,33,5,2,12,24,16,0.23472,234711,1856.508643,78,2,0.5,0
false,false,1,17,7,3,2,31,4,0.23477,234711,1856.508643,78,2,0.5,0
false,false,1,8,4,1,0,10,0,0.23477,234711,1856.508643,78,294,0.489796,0
false,false,3,57,8,3,38,21,21,0.233362,234711,1856.508643,78,68,0.132353,0
false,false,1,4,3,2,0,0,23,0.233631,234703,1856.499491,78,2,0.5,0
false,false,2,22,4,2,176,6,10,0.233459,234703,1856.175677,78,1,1,0
false,false,1,7,5,1,2,0,4,0.233459,234703,1856.175677,78,1,0,1
false,false,2,18,6,1,0,0,5,0.233478,234703,1856.175677,79,0,0,0
false,false,2,16,5,1,6,0,3,0.233343,234701,1856.16593,79,0,0,1
false,false,3,8,4,3,12,90,0,0.233343,113264,2020.580237,79,32,0.15625,0
false,false,2,47,7,2,82,0,2,0.233343,234701,1856.16593,79,62,0.177419,1
false,false,1,2,1,1,6,0,0,0.233007,234701,1856.16593,79,293,0.491468,0
false,false,6,33,8,3,49,27,0,0.233007,234701,1856.16593,79,292,0.489726,1
