@relation 'metasploit-framework-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20'

@attribute created_at_week_day {terca-feira,segunda-feira,sabado,sexta-feira,quarta-feira,domingo,quinta-Feira}
@attribute created_at_day_turn {noite,manha,madrugada,tarde}
@attribute conflict {false}
@attribute forward_links {false,true}
@attribute intra_branch {false,true}
@attribute description_length numeric
@attribute num_commits numeric
@attribute files_added numeric
@attribute files_deleted numeric
@attribute files_modified numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute doc_files numeric
@attribute other_files numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute commits_on_files_touched numeric
@attribute commits_to_hottest_file numeric
@attribute hotness numeric
@attribute at_mentions_description numeric
@attribute at_mentions_comments numeric
@attribute prev_pull_reqs_project numeric
@attribute project_succ_rate numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute test_cases_per_kloc numeric
@attribute asserts_per_kloc numeric
@attribute stars numeric
@attribute team_size numeric
@attribute project_age numeric
@attribute workload numeric
@attribute ci {travis,unknown}
@attribute requester {wchen-r7,hdm,FireFart,jlee-r7,acammack-r7,shipcod3,dmaloney-r7,timwr,wvu-r7,bcook-r7,d0lph1n98,bpatterson-r7,gmikeska-r7,jbarnett-r7,sempervictus,talos-arch3y,RubenRocha,dmohanty-r7,LennonCMJ,joevennix,farias-r7,OJ,all3g,nstarke,nikaiw,omriher,umerov1999,jhale85446,bigendiansmalls,wwebb-r7,ghettoeinstein,pedrib,shin-sugar-yi,flowztul,rastating,kfr-ma,psychomario,Sinkmanu,chrisdcmoore,lsato-r7,darkbushido,zeroSteiner,bcoles,nopnopnoppopopret,vysec,Atul9,todb-r7,princeofdarkness76,cdoughty-r7,mubix,g0tmi1k,jhart-r7,karllll,llmora,stufus,martinvigo,pyllyukko,madmike33,elia,radekk,r3naissance,busterb,joncave,sammbertram,jww519,m0t,KINGSABRI,jlmurray,hmoore-r7,addy-sh,jvoisin,jvazquez-r7,jakxx,fraf0,tomspencer,void-in,shuckins-r7,ccatalan-r7,xistence,brandonprry,securecurebt5,espreto,jaguasch,mandreko,metacom27,danilbaz,inkrypto,mcsaban,h0ng10,b6938236,earthquake,Meatballs1,MuhammetDilmac,scriptjunkie,MSadek-r7,samvartaka,crashbrz,Jack64,kernelsmith,altjx,AlexanderSalmin,justarandomuser,mfadzilr,alexcwatt,potmdehex,jabra-,kn0,St0rn,alexlipman1,crsanders,rcvalle,madmantm,vallejocc,rwhitcroft,h00die,leoloobeek,dmaasland,dozernz,datenschrott,blincoln682F048A,cldrn,t0nyhj,Karogh,trevrosen,jharms,HugoDelval,aushack,Th3R3p0,dnkolegov,benpturner,m-1-k-3,omarix,amatus,jsherwood0,kaospunk,cliffe,after100,sgonzalez-r7,erwanlr,sejr,dfreamon,TomSellers,mbuck-r7,lanjelot,gorums,ztgrace,limhoff-r7,lightsey,sekritskwurl,anantshri,matusso,nullbind,DrDinosaur,C-P-949,FrUh,andygoblins,pyrohaz4good,adamziaja,flashspys,disenchant,Jervelund,julianvilas,ricardojba,enioh,n0b1dy,enigma0x3,FerencSpala,jacksupinu,KoreLogicSecurity,vulp1n3,wez3,bannedit,snar5,bturner-r7,guikcd,nanomebia,claudijd,jvennix-r7,IMcPwn,BorjaMerino,sgabe,eyalgr,pdeardorff-r7,jstnkndy,b00stfr3ak,dlanner,EricGershman,dmooray,rcnunez,jduck,m7x,mzet-,bushwack,pielgrzym,E-Goldstein,techpeace,metasploitminute,andrew-morris,marcwickenden,EgiX,us3r777,Jaywalker,Lesage,headlesszeke,henshin,rasta-mouse,hacksysteam,spdfire,jezzus,mschloesser-r7,addenial,tatehansen,kbronstein,webstersprodigy,julioauto,itseco,FreedomCoder,agix,parzamendi-r7,dheiland-r7,fozavci,ikkini,fmunozs,plaguna,ir0njaw,paimei,0a2940,kost,ronibachar,rains31,dcnoren,sashs,todb,henryk,joridos,grutz,Ceenix,nnam,ringt,jakoblell,ChrisTruncer,johnhsawyer,Lutzy,epinna,OsandaMalith,iquaba,veritysr,darknight007,byt3bl33d3r,stamparm,nakilon,ytisf,philophobia78,msfcd3r,PagedeGeek,luisco,midnitesnake,nodeofgithub,AnwarMohamed,chrisukgit,attackdebris,84a0deba7af552d68c80a16b20cdef32,zombie042,TecR0c,mcfakepants,mercd,inokii,bugch3ck,tkisason,jholgui,mvdevnull,dougy2,0x41414141,arnaudsoullie,Zinterax,lsanchez-r7,Th4nat0s,allfro,herself,fillfish,musalbas,jjarmoc,abes975,dchan,gigstorm,p4tchw0rk,sensepost,mmetince,7a69,phikshun,0x3fcoma,Karmanovskii,dummys,jemjensen,rick2600,sappirate,net-ninja,mcantoni,trosen-r7,silascutler,ZeroChaos,bonsaiviking,Ensopado,kyuz0,malthusianhedonist,schierlm,sagishahar,jgor,Fr330wn4g3,ribeirux,sho-luv,aczire,j0hnf,bit4bit,R3dy,pyoor,bwall,dmaciejak,grimmlin,juushya,Mekanismen,rangercha,rsmudge,dukebarman,Ahmed-Elhady-Mohamed,ethack,jubaisamurai,shoxxdj,jiuweigui,g1ldedm1n1on,nieldk,kicks4kittens,totaldowner,rbsec,morisson,mwulftange,SeawolfRN,zeknox,floyd-fuh,trustedsec,russell,denandz,yehualiu,peto01,F1gure8,JonValt,corelanc0d3r,Bruk0ut,pnegry,ChrisJohnRiley,0pc0deFR,jhonnyboy,ethicalhack3r,averagesecurityguy,booboule,FiloSottile,titanous,Kentsson,MrXors,ddouhine,'7,3696E+069',3v0lver,Winterspite,TsCl,jwpari,alexiacole,SteveJM,jamcut,rwincey,nanotechz9l,MosDefAssassin,tyll,geyslan,sgaudet,tkrpata,shellster,dzruyk,CharlieEriksen,ndavis-r7,swtornio,Ruslaideemin,PsychoSpy,icewall,somename11111,viable-hartman,ll11010,frederic,kholia,alexmaloteaux,joernchen,staaldraad,frank2,modpr0be,froschi,Jimvin,Keebie4e,zyx2k,matthiaskaiser,jtesta,cmaruti,salcho,dougsko,twinvega,tasos-r7,darkoperator,c0mpound,cbgabriel,xard4s,steponequit,picchioni,carnal0wnage,dcbz,Console,nxnrt,linuxgeek247,viris,enaqx,nmonkee,gregory-m,marthieubean,andrewkabai,djmanilaice,steeve85,ant1,dominicwang,melihsarica,RogueBit,drimgere,msidagni,integgroll,heyder,jasbro,infodox,whoisshop,L1ghtn1ng,nahualito,ettisan,tmc,gerry,jrozner,smilingraccoon,nemski,SphaZ,lmercer-r7,rogueclown,truekonrads,kacpern,charles-n2netsec,digininja,Newpid0,svnk42,jselvi,danielemartini,defendtheworld,stephenfewer,bouk,espes,gspillman-r7,zgrace,gb2,SherifEldeeb,sput-nick,t0x1c-1,luh2,nikolai-r,msware,evil-e,malerisch,erran,mephos,bpoole,donctl,zombieCraig,esmnemon,satishb3,lincoln-corelan,erran-r7,sectorix,tdtds,dalton,v10l3nt,eddiezab,robin-francois,saintpatrick,jcran,calennert,phillips321,balgan,nevdull77,raesene,LittleLightLittleFire,tdoan-r7,lcashdol,sqlifuzzer,badishi,efraintorres,mrmee,3vi1john,justincmsf,rootman,graingert,johnnykv,wvandevanter,trolldbois,mdietz94,evilwurst,wireghoul,silviupopescu,juanvazquez,TheJacksonBrownie,b0telh0,alech,Datacut,wvandevanter-r7,ohdae,deadbyte,noperand,olliwolli,minlex,mak,matugm,syndrowm,ToxicRoot,jhartftw,threatagent,ygoltsev,sohilgarg,cd1zz,argp,Baldanos,davehull,chao-mu,okami41,andurin,mHarshal,dirtyfilthy,smorrison017,mbevand-r7,mboman,snarez,XeroHawk,exarkun634,d1n,neriberto,rickyz,tecknicaltom}
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute followers numeric
@attribute following numeric
@attribute requester_age numeric
@attribute main_team_member {true,false}
@attribute watcher_project {true,false}
@attribute req_follows_integrator {false,true}
@attribute integrator_follows_req {false,true}
@attribute prior_interaction_issue_events numeric
@attribute prior_interaction_issue_comments numeric
@attribute prior_interaction_pr_events numeric
@attribute prior_interaction_pr_comments numeric
@attribute prior_interaction_commits numeric
@attribute prior_interaction_commit_comments numeric
@attribute first_response numeric
@attribute status {0,1}

@data
terca-feira,noite,false,false,false,116,1,1,0,1,2,1,0,1,2,0,4.891269,0.013213,11,11,0.028061,0,0,5577,0.838982,0.17602,574253,78.35919,5.915511,7.76487,5086,30,1659,138,travis,wchen-r7,658,0.899696,233,48,1594,true,true,false,false,29,239,63,54,46,1,-1,1
segunda-feira,manha,false,false,false,64,1,1,0,1,2,2,0,0,138,0,9.58478,0.025895,13,13,0.032178,0,0,5576,0.838953,0.180693,574136,78.375158,5.916717,7.766453,5079,30,1658,138,travis,wchen-r7,657,0.899543,233,48,1593,true,true,false,false,30,233,66,54,46,1,50,1
segunda-feira,madrugada,false,false,false,51,1,0,0,1,1,1,0,0,2,0,4.411462,0.011921,6,6,0.015152,0,0,5575,0.838924,0.164141,574043,78.387856,5.917675,7.767711,5078,30,1657,142,travis,hdm,2,1,384,0,1657,false,false,false,false,2,6,1,5,1,0,-1,1
segunda-feira,madrugada,false,false,false,7,1,0,0,2,2,2,0,0,7,0,9.015377,0.024363,26,20,0.050891,0,0,5574,0.838895,0.157761,574042,78.387993,5.917685,7.767724,5078,30,1657,144,travis,FireFart,103,0.854369,163,42,2433,true,true,false,false,2,103,13,25,13,2,6,1
sabado,madrugada,false,false,false,259,1,0,0,1,1,1,0,0,2,0,4.864071,0.013146,4,4,0.010283,0,0,5573,0.838866,0.143959,573907,78.406432,5.919077,7.769552,5071,30,1656,148,travis,wchen-r7,656,0.89939,233,48,1591,true,true,false,false,28,228,65,54,46,1,456,1
sabado,madrugada,false,false,false,320,1,0,0,1,1,1,0,0,2,0,4.55613,0.012314,4,4,0.010283,0,0,5572,0.838837,0.141388,573907,78.406432,5.919077,7.769552,5070,30,1655,147,travis,wchen-r7,655,0.899237,233,48,1590,true,true,false,false,28,228,64,54,46,1,2784,1
sabado,madrugada,false,false,false,121,2,1,0,0,1,2,0,0,159,0,4.767033,0.012884,0,0,0,0,0,5571,0.838808,0.138817,573903,78.406978,5.919119,7.769606,5070,30,1655,149,travis,wchen-r7,654,0.899083,233,48,1590,true,true,false,false,27,227,64,54,46,1,2828,1
sexta-feira,noite,false,false,false,58,1,0,0,1,1,1,0,0,2,0,4.724451,0.012769,5,5,0.012853,0,0,5570,0.838779,0.138817,573903,78.406978,5.919119,7.769606,5069,30,1655,149,travis,jlee-r7,203,0.945813,106,3,1588,false,true,false,false,6,42,12,17,0,0,77,1
sexta-feira,noite,false,false,false,102,1,0,0,1,1,1,0,0,7,0,4.82494,0.01304,0,0,0,0,0,5569,0.83875,0.138817,573903,78.406978,5.919119,7.769606,5068,30,1655,147,travis,acammack-r7,2,1,0,0,60,true,false,false,false,1,0,6,1,5,0,32,1
sexta-feira,manha,false,false,false,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5568,0.838901,0.138817,573903,78.406978,5.919119,7.769606,5064,30,1655,148,travis,shipcod3,24,0.833333,58,166,1130,false,true,true,false,0,13,7,2,0,0,1857,0
sexta-feira,manha,false,false,false,7,1,0,0,1,1,1,0,0,2,0,4.584419,0.01239,3,3,0.007712,0,0,5567,0.838872,0.138817,573903,78.406978,5.919119,7.769606,5064,30,1655,146,travis,shipcod3,23,0.826087,58,166,1130,false,true,true,false,0,13,6,2,0,0,3652,1
sexta-feira,madrugada,false,false,false,60,1,0,0,2,2,2,0,0,6,0,9.186659,0.024829,59,58,0.147959,0,0,5566,0.838843,0.137755,573903,78.406978,5.919119,7.769606,5059,30,1654,145,travis,dmaloney-r7,102,0.882353,40,0,1600,true,false,false,false,0,3,6,0,8,0,-1,1
quarta-feira,noite,false,false,false,192,1,0,0,1,1,1,0,0,2,0,4.360369,0.011786,12,12,0.029777,1,1,5565,0.838814,0.121588,573837,78.415996,5.9198,7.770499,5054,28,1653,144,travis,wchen-r7,653,0.898928,233,48,1588,true,true,false,false,27,229,64,54,46,1,145,1
quarta-feira,madrugada,false,false,false,4,16,0,0,11,11,10,0,1,198,2,78.107186,0.211127,59,51,0.01956,0,0,5564,0.838785,0.119804,573837,78.415996,5.9198,7.770499,5049,28,1652,145,travis,dmaloney-r7,101,0.881188,40,0,1598,true,false,false,false,0,3,5,0,6,0,1174,1
terca-feira,noite,false,true,false,16,1,0,0,300,300,301,0,0,615,0,1378.085275,3.725025,65,17,0.009569,1,2,5563,0.838756,0.11244,573837,78.415996,5.9198,7.770499,5048,28,1652,151,travis,FireFart,102,0.852941,163,42,2428,true,true,false,false,2,103,11,25,13,1,4519,1
terca-feira,madrugada,false,false,false,398,9,0,0,3,3,3,0,0,223,0,65.144035,0.176087,20,14,0.033254,1,1,5562,0.838727,0.111639,573837,78.415996,5.9198,7.770499,5046,28,1651,146,travis,timwr,18,0.833333,56,67,1812,true,true,false,false,1,17,6,3,10,0,1393,1
terca-feira,madrugada,false,false,false,11,1,0,0,9,9,9,0,0,24,0,40.464227,0.109388,2,2,0.002387,0,0,5561,0.838698,0.107399,573837,78.415996,5.9198,7.770499,5046,28,1651,145,travis,wvu-r7,161,0.913043,35,0,1014,true,false,false,false,21,201,44,46,42,0,-1,1
segunda-feira,noite,false,false,false,37,1,0,0,1,1,1,0,0,7,0,4.381094,0.011844,13,13,0.0311,0,0,5560,0.838849,0.102871,573837,78.415996,5.9198,7.770499,5042,28,1651,145,travis,FireFart,101,0.861386,163,42,2427,true,true,false,false,2,103,10,25,13,0,-1,0
segunda-feira,tarde,false,true,false,28,4,0,0,477,477,478,0,0,954,0,2182.968951,5.900661,91,16,0,0,4,5559,0.83882,0.098558,573837,78.415996,5.9198,7.770499,5040,28,1651,143,travis,FireFart,100,0.86,163,42,2427,true,true,false,false,2,100,9,25,13,0,282,1
segunda-feira,manha,false,false,false,64,1,0,0,1,1,1,0,0,2,0,4.710425,0.012732,8,8,0.019277,0,0,5558,0.838791,0.098795,573837,78.415996,5.9198,7.770499,5039,28,1651,144,travis,bcook-r7,83,0.855422,17,0,462,true,false,false,false,20,159,74,13,110,0,-1,1
segunda-feira,manha,false,false,false,192,2,0,0,18,18,18,0,0,38,0,78.228516,0.211455,22,13,0.007229,0,0,5557,0.838762,0.098795,573837,78.415996,5.9198,7.770499,5039,28,1651,143,travis,bcook-r7,82,0.853659,17,0,462,true,false,false,false,20,158,73,13,110,0,-1,1
domingo,madrugada,false,false,false,23,3,0,0,1,1,1,0,0,29,0,4.977418,0.013451,0,0,0,0,0,5555,0.838884,0.101485,573872,79.076867,5.994368,7.874578,5033,28,1649,149,travis,d0lph1n98,1,0,24,97,1016,false,true,false,false,0,0,2,0,0,0,4216,1
sabado,noite,false,false,false,21,2,0,0,1,1,1,0,0,29,0,4.979605,0.013457,0,0,0,0,2,5554,0.839035,0.101485,573872,79.076867,5.994368,7.874578,5032,28,1649,146,travis,d0lph1n98,0,0,24,97,1016,false,true,false,false,0,0,0,0,0,0,3,0
quinta-Feira,manha,false,false,false,229,2,0,0,6,6,6,0,0,70,0,21.710713,0.058664,0,0,0,0,1,5551,0.839308,0.116705,573877,79.076178,5.994316,7.87451,5017,28,1647,150,travis,bcook-r7,80,0.8625,17,0,458,true,false,false,false,17,144,65,13,98,0,828,1
quarta-feira,noite,false,false,false,15,2,0,0,1,1,0,0,1,0,0,9.060115,0.024481,0,0,0,0,0,5550,0.839279,125,573876,79.076316,5.994326,7.874523,5016,29,1646,147,travis,wvu-r7,160,0.9125,35,0,1009,true,false,false,false,19,197,43,43,42,0,-1,1
terca-feira,noite,false,false,false,23,1,0,0,1,1,1,0,0,2,0,4.59452,0.012431,0,0,0,0,0,5549,0.83925,0.135747,571878,79.352589,6.015269,7.902035,5011,29,1645,149,travis,bpatterson-r7,1,1,0,0,42,false,false,false,false,0,0,1,1,0,0,-1,1
terca-feira,noite,false,false,false,45,4,0,0,1,1,1,0,0,64,0,18.699053,0.050533,8,8,0.017937,0,0,5548,0.839221,0.136771,573762,79.092028,5.995517,7.876088,5011,29,1645,148,travis,wvu-r7,159,0.91195,35,0,1008,true,false,false,false,20,198,44,49,44,0,-1,1
terca-feira,noite,false,false,false,195,2,0,0,1,1,1,0,0,16,0,4.178598,0.011292,9,9,0.02027,1,0,5547,0.839192,0.137387,573762,79.092028,5.995517,7.876088,5011,29,1645,148,travis,wchen-r7,652,0.898773,233,48,1580,true,true,false,false,29,250,71,58,61,1,1669,1
terca-feira,manha,false,false,false,52,1,1,0,0,1,1,0,0,78,0,4.720841,0.01276,0,0,0,0,5,5545,0.839315,0.137387,573472,79.132024,5.998549,7.880071,5005,29,1645,156,travis,shipcod3,22,0.818182,58,166,1120,false,true,true,false,0,13,8,8,0,0,2547,1
terca-feira,madrugada,false,false,false,117,8,1,0,1,2,1,0,0,479,0,4.834543,0.013067,0,0,0,0,0,5544,0.839286,0.138952,573472,79.132024,5.998549,7.880071,5005,30,1644,146,travis,wchen-r7,651,0.898618,233,48,1579,true,true,false,false,29,248,69,58,53,1,46,1
terca-feira,madrugada,false,false,false,38,1,0,0,1,1,1,0,0,0,2,4.024475,0.010889,0,0,0,0,0,5543,0.839257,0.139588,571878,79.352589,6.015269,7.902035,5005,30,1644,148,travis,gmikeska-r7,10,0.7,1,0,343,true,false,false,false,1,1,11,0,24,0,-1,1
