@relation 'Nancy-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20'

@attribute created_at_week_day {terca-feira,segunda-feira,quarta-feira,sexta-feira,domingo,quinta-Feira,sabado}
@attribute created_at_day_turn {tarde,noite,madrugada,manha}
@attribute conflict {false}
@attribute forward_links {false,true}
@attribute intra_branch {false,true}
@attribute description_length numeric
@attribute num_commits numeric
@attribute files_added numeric
@attribute files_deleted numeric
@attribute files_modified numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute doc_files numeric
@attribute other_files numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute commits_on_files_touched numeric
@attribute commits_to_hottest_file numeric
@attribute hotness numeric
@attribute at_mentions_description numeric
@attribute at_mentions_comments numeric
@attribute prev_pull_reqs_project numeric
@attribute project_succ_rate numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute test_cases_per_kloc numeric
@attribute asserts_per_kloc numeric
@attribute stars numeric
@attribute team_size numeric
@attribute project_age numeric
@attribute workload numeric
@attribute ci {travis,unknown}
@attribute requester {jchannon,khellang,thecodejunkie,akoeplinger,hwqdt,phillip-haydon,jasonmead,feeeper,stuart-bennett,SonnevilleJ,xt0rted,Yantrio,grumpydev,uliian,Liversage,EasyAsABC123,06b,damianh,dwonisch,aryelfnd,jeffthiele-iq,jonathanfoster,onliner10,phoenixx,asbjornu,richardprice,DavidLievrouw,horsdal,mikle111,jongleur1983,jlennox,joebuschmann,duszekmestre,ayoung,danielmue,bsommardahl,felipeleusin,samal84,lijunle,gitter-badger,rudygt,AIexandr,anton-gogolev,wtilton,dbent,taharrison,AdamFinley,sroylance,Crisfole,VictorTomaili,tparnell8,jvandertil,awec,oskar,hmemcpy,kobi,cchrisman,danbarua,jbattermann,shiftbot,hlesesne,etishor,scottcarr,ranjitCatchinUp,loftum,DarthWalsh,Tsingbo-Kooboo,adamhathcock,johnduhart,onatm,bendetat,ClemPi,ptomasroos,khalidsalomao,Kibele,albertjan,mtharrington,PureKrome,sloncho,devcrafting,Corstiaan84,sschlesier,jayharris,omeaart,kthompson,IngvarKofoed,yannisgu,nathanmarlor,canton7,wilhen01,solyutor,AnthonySteele,jeff-pang,jjchiw,Jevonius,mat-mcloughlin,Novakov,amityagov,rasmus-beck,Hihaj,pdoh00,StephenFriend,ExUltima,jugglingnutcase,aharin,paulsuart,logiclrd,DavidHoerster,icelorrio,kzhen,nerdfury,mloenow,DarrellMozingo,jtroe,jeffdoolittle,washcroft,tpluscode,acorkery,robertbeal,provegard,csainty,wallymathieu,liddellj,stanislavromanov,philjones88,rcknight,dot-i,stabbylambda,detroitpro,despertargz,Adalyat,frankradocaj,DavidKarlas,scottt732,jbonhag,zippy1981,williambogaiv,CumpsD,tempaccount0,lukesmith,fliiiix,FredrikL,jfis,MCord,raurfang,steenhulthin,marcusoftnet,rogeralsing,anilanar,omockler,TheFastCat,SimonCropp,adamralph,davidalpert,Deadarius,btompkins,DavidChristiansen,brianwigfield,emilianionascu,wasabii,justinvp,sirbadger,ferretallica,mattilaj,haf,DevAtWork,czb,Willmo36,prabirshrestha,MattsGitCode,johnsimons,dragan,thefringeninja,danielporfirio,salaerts,kekekeks,thecopy,whatknott,Invizory,rlipscombe,yojimbo87,JoelHT-Landmark,grahamrhay,kppullin,smithjacobj,erdomke,mike-ward,half-ogre,davepermen,pwain,andreichuk,majimenezp,bwatts,kevfromireland,mjamin,dariusdamalakas,jar349,adamclerk,franhoey,EKibort,timplourde,dchrno,tischlda,jhovgaard,MichaelAz,chrisdavies,danhaller,Dashue,garethrhughes,ChrisBrandhorst,shytikov,RoyJacobs,synhershko,codeprogression,ehanneken,luuksommers,inTagger,kayone,rhwy,emilcardell,palsson,laazyj,maxwe789,alexanderbeletsky,emertechie,webdkmfs,alanta,somedave,tylerburd,GregBrant,blackjable,PaulECoyote,runesoerensen,logicbomb,kleinron,RobertTheGrey,larsw,skinny,yadazula,serbajlo,jfabre,dlineberger,squidge,thinkbeforecoding,nicolasgarfinkiel,frankgeerlings,Fax,loudej,occ,Jeej,vbedegi,paultyng,denkhaus,craiggwilson,hfjallemark,BenHall,nolanw,mbettex,fschwiet,huyderman,rodrigoi,bvanderveen,CedricYao,ant512,kouphax,ChrisMH,t3hc13h,superlogical,factormystic,rspacjer,juanfranblanco,rguerreiro,nathanpalmer,stanhua,markrendle,jschmid,chrisnicola,carlokok,lhaussknecht,jscoles,gbanister,leoduran,andypike,duncansmart,gatapia,pcibraro,jfromaniello,hgarcia,patrik-hagne,GraemeF,tombell,Mpdreamz,ToJans,cryophobia,thedersen,hongymagic,avlasova,mmozuras,khalidabuhakmeh}
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute followers numeric
@attribute following numeric
@attribute requester_age numeric
@attribute main_team_member {true,false}
@attribute watcher_project {true,false}
@attribute req_follows_integrator {false,true}
@attribute integrator_follows_req {false,true}
@attribute prior_interaction_issue_events numeric
@attribute prior_interaction_issue_comments numeric
@attribute prior_interaction_pr_events numeric
@attribute prior_interaction_pr_comments numeric
@attribute prior_interaction_commits numeric
@attribute prior_interaction_commit_comments numeric
@attribute first_response numeric
@attribute status {0,1}

@data
terca-feira,tarde,false,false,false,6,1,0,0,1,1,0,0,1,0,0,4.901833,0.071833,0,0,0,0,0,1413,0.808917,0.472603,327,0,0,0,3907,10,2091,19,travis,jchannon,83,0.674699,111,5,2435,true,true,false,false,11,127,82,55,109,2,-1,1
segunda-feira,noite,false,false,false,4,1,0,0,1,1,1,0,0,7,0,4.543164,0.066577,4,4,0.013746,0,0,1410,0.809929,0.47079,327,0,0,0,3905,10,2090,17,travis,khellang,92,0.858696,136,120,1875,true,true,true,false,19,122,54,104,44,1,-1,1
segunda-feira,noite,false,false,false,11,4,1,0,30,31,30,0,1,297,0,278.334415,4.078809,49,16,0.006873,0,0,1409,0.809794,0.47079,327,0,0,0,3905,10,2090,19,travis,khellang,91,0.857143,136,120,1875,true,true,true,false,19,122,53,104,44,1,1,1
segunda-feira,noite,false,false,false,32,1,0,0,1,1,1,0,0,7,0,3.705122,0.054296,0,0,0,0,2,1408,0.810369,0.47079,327,0,0,0,3905,10,2090,18,travis,jchannon,82,0.682927,111,5,2434,true,true,false,false,9,124,81,55,109,0,25,0
quarta-feira,noite,false,false,false,8,1,0,0,1,1,0,0,1,0,0,4.577725,0.067083,0,0,0,0,0,1406,0.810811,0.457237,327,0,0,0,3893,10,2085,14,travis,jchannon,81,0.679012,111,5,2429,true,true,false,false,9,124,80,65,112,0,-1,1
terca-feira,noite,false,false,false,7,1,0,24,0,24,0,1,21,0,0,0,0,0,0,0,0,0,1404,0.811254,0.432602,327,0,0,0,3887,10,2084,14,travis,thecodejunkie,242,0.950413,211,0,2594,true,true,false,false,19,126,74,159,126,0,-1,1
terca-feira,tarde,false,false,false,16,2,0,0,1,1,0,0,1,0,0,8.932056,0.128535,12,12,0.037383,0,0,1403,0.811119,0.436137,327,0,0,0,3886,10,2084,14,travis,thecodejunkie,241,0.950207,211,0,2594,true,true,false,false,19,126,74,159,127,0,-1,1
terca-feira,tarde,false,false,false,30,2,0,0,1,1,1,0,0,48,0,10.038146,0.144451,4,4,0.0125,0,0,1402,0.810984,0.434375,317,0,0,0,3886,10,2084,13,travis,thecodejunkie,240,0.95,211,0,2594,true,true,false,false,19,125,73,159,127,0,0,1
sexta-feira,tarde,false,false,false,48,1,0,0,1,1,0,0,1,0,0,5.118435,0.073656,7,7,0.020772,0,0,1401,0.810849,0.436202,317,0,0,0,3873,10,2080,13,travis,thecodejunkie,239,0.949791,211,0,2590,true,true,false,true,21,130,74,159,130,0,-1,1
quarta-feira,noite,false,false,false,9,4,0,0,1,1,1,0,0,20,0,10.276598,0.147939,8,8,0.023739,0,0,1400,0.810714,0.4273,317,0,0,0,3863,10,2078,17,travis,khellang,90,0.855556,136,120,1863,true,true,true,false,26,142,59,132,63,0,-1,1
quarta-feira,madrugada,false,false,false,21,2,0,0,1,1,1,0,0,10,0,10.3342,0.148768,2,2,0.005666,0,4,1398,0.811159,0.407932,317,0,0,0,3858,10,2077,16,travis,akoeplinger,0,0,73,0,1498,false,false,false,false,0,0,0,0,0,0,30,1
terca-feira,tarde,false,false,false,4,2,2,0,1,3,0,0,3,0,0,21.125333,0.304547,20,20,0,0,0,1397,0.811024,0.40625,317,0,0,0,3858,10,2077,15,travis,thecodejunkie,237,0.953586,211,0,2587,true,true,false,true,19,119,72,139,131,0,10,1
segunda-feira,noite,false,false,false,37,1,1,1,3,5,3,0,2,88,0,19.106091,0.27544,13,10,0.005666,0,0,1396,0.810888,0.396601,317,0,0,0,3853,10,2076,16,travis,thecodejunkie,236,0.95339,211,0,2586,true,true,false,false,19,116,70,138,129,0,0,1
segunda-feira,tarde,false,false,false,37,2,0,0,13,13,7,0,6,320,0,118.326686,1.705796,13,6,0.005682,0,5,1395,0.810753,0.394886,317,0,0,0,3852,10,2076,16,travis,thecodejunkie,235,0.953191,211,0,2586,true,true,false,true,18,109,69,136,129,0,2,1
domingo,noite,false,false,false,1,1,34,0,1,35,4,7,24,399,0,113.258863,1.632739,2,2,0,0,1,1394,0.811334,0.394886,317,0,0,0,3848,10,2075,16,travis,hwqdt,1,1,1,3,569,false,false,false,false,0,0,1,0,0,0,1039,0
sexta-feira,noite,false,false,false,12,1,0,0,1,1,1,0,0,2,0,4.707239,0.06786,0,0,0,0,0,1393,0.811199,0.385965,317,0,0,0,3844,10,2073,22,travis,jchannon,79,0.683544,111,5,2417,true,true,false,true,8,97,73,60,109,0,-1,1
quinta-Feira,noite,false,false,false,7,1,0,0,1,1,1,0,0,12,0,4.375432,0.063076,0,0,0,0,0,1386,0.814574,0.380117,317,0,0,0,3838,10,2072,16,travis,phillip-haydon,27,1,62,20,1696,true,true,true,false,2,30,2,3,2,0,16,1
quinta-Feira,noite,false,false,false,6,38,4,3,25,32,26,0,2,7843,0,277.328906,3.997974,24,14,0.005865,0,27,1385,0.81444,0.381232,317,0,0,0,3837,9,2072,15,travis,jasonmead,3,0.333333,20,13,2286,true,true,false,false,1,6,1,0,20,0,1534,1
quinta-Feira,noite,false,false,false,15,2,0,0,4,4,3,1,0,25,0,17.265523,0.2489,2,2,0.005882,0,0,1384,0.814306,0.379412,317,0,0,0,3837,9,2072,18,travis,feeeper,0,0,3,5,1127,false,true,false,false,0,1,0,0,0,0,1,1
quarta-feira,noite,false,false,false,63,6,1,0,6,7,6,0,1,266,0,95.055401,1.372101,15,12,0.008772,0,0,1382,0.814761,0.374269,317,0,0,0,3832,9,2071,16,travis,jchannon,71,0.746479,111,5,2415,true,true,false,false,7,86,64,57,106,0,255,1
quarta-feira,noite,false,false,false,35,5,1,0,5,6,5,0,0,216,0,45.510238,0.656929,38,16,0.026627,0,0,1381,0.814627,0.37574,317,0,0,0,3832,9,2071,16,travis,thecodejunkie,234,0.952991,211,0,2581,true,true,false,false,18,95,65,87,125,0,16,1
quarta-feira,madrugada,false,false,false,46,1,0,0,2,2,2,0,0,21,0,8.931801,0.128577,7,5,0.015015,0,0,1380,0.814493,0.363363,317,0,0,0,3831,10,2070,20,travis,thecodejunkie,233,0.95279,211,0,2580,true,true,false,true,18,93,63,84,121,0,-1,1
terca-feira,noite,false,false,false,25,2,0,0,2,2,2,0,0,39,0,17.1301,0.246595,4,2,0.006024,0,0,1378,0.814949,0.361446,317,0,0,0,3830,10,2070,19,travis,khellang,89,0.853933,136,120,1855,true,true,true,false,28,159,70,147,69,0,223,1
