@relation 'okhttp-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20'

@attribute created_at_week_day {terca-feira,domingo,sabado,sexta-feira,quinta-Feira,segunda-feira,quarta-feira}
@attribute created_at_day_turn {manha,noite,tarde,madrugada}
@attribute conflict {false}
@attribute forward_links {false,true}
@attribute intra_branch {true,false}
@attribute description_length numeric
@attribute num_commits numeric
@attribute files_added numeric
@attribute files_deleted numeric
@attribute files_modified numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute doc_files numeric
@attribute other_files numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute commits_on_files_touched numeric
@attribute commits_to_hottest_file numeric
@attribute hotness numeric
@attribute at_mentions_description numeric
@attribute at_mentions_comments numeric
@attribute prev_pull_reqs_project numeric
@attribute project_succ_rate numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute test_cases_per_kloc numeric
@attribute asserts_per_kloc numeric
@attribute stars numeric
@attribute team_size numeric
@attribute project_age numeric
@attribute workload numeric
@attribute ci {travis,unknown}
@attribute requester {swankjesse,dave-r12,morder,mattlogan,nfuller,alexrwegener,NightlyNexus,reisub,JakeWharton,SpikeKing,mreichelt,nxtstep,franmontiel,chadbrubaker,lh62863,iNoles,gkimbwala,pforhan,tasomaniac,artem-zinnatullin,jgilfelt,ChristianBecker,topwu,moltak,austynmahoney,lburgazzoli,twbarber,cswzxly,yschimke,jonan,adstro,rburgst,TOdorus,SuriyaaKudoIsc,0xced,chaitanyajun12,rnauber,AhmedDaraz,alexeimoisseev,javedkansi,sunyal,timcooijmans,rfc2822,thest1,markhobson,ErikHellman,drorweiss,marenzo,iagreen,RasKasa,ansman,cketti,KENJU,felipecsl,JasperG,snodnipper,mgp,dmoneyUK,jwriteclub,vicmosin,pguilbot,MichaelEvans,minakov,halizton,gfx,duanhongyi,the4thfloor,GUIpsp,Wopple,pwerry,yegorius,peknudsen,Ponyets,deronbrown,alokmenghrajani,unguiculus,StephenBarlow,wjam,HugoGresse,nfukuzaki,circlespainter,ajwhite,kryali,quinnjn,kenmasumitsu,lalbuquerque,aried3r,hiddenmin,cy6erGn0m,adriancole,nashira,dmide,longbai,ipsi,busylee999,klyubin,mikevoyt,kboyarshinov,raggi,brennantaylor,jbornemann,joschi,alfishe,josketres,mruddy,marshallpierce,dcheckoway,yelinaung,tomxor,LaLiLuLeLo,davidschreiber,bendog24,mescortes,mpost,seato,DanGe42,baldur,dlubarov,tomrozb,lcolitti,hostinmars,westarle,BugsBunnyBR,fbiville,andrewgaul,mlc,MiguelLavigne,kkocel,lexer,anderius,indutny,robUx4,nmittler,ross,fizbin,goaway,rtyley,takke,adamsp,normanmaurer,marco-cova,intrications,lingmingyb,hwrdprkns,nacx,carck,pablolb,xiaobi625,JonWatson,rupertbates,everett-toews,desseim,aahlenst,romkavt,narayank,vmarko,menny,kriswuollett,kruton,candrews,edenman,orrc}
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute followers numeric
@attribute following numeric
@attribute requester_age numeric
@attribute main_team_member {true,false}
@attribute watcher_project {true,false}
@attribute req_follows_integrator {false,true}
@attribute integrator_follows_req {true,false}
@attribute prior_interaction_issue_events numeric
@attribute prior_interaction_issue_comments numeric
@attribute prior_interaction_pr_events numeric
@attribute prior_interaction_pr_comments numeric
@attribute prior_interaction_commits numeric
@attribute prior_interaction_commit_comments numeric
@attribute first_response numeric
@attribute status {0,1}

@data
terca-feira,manha,false,false,true,7,1,0,0,1,1,1,0,0,4,0,4.493827,0.289504,3,3,0.009259,0,0,1239,0.858757,0.209877,19657,1433.891235,85.7201,281.782571,8937,4,1331,28,travis,swankjesse,604,0.943709,1448,1,2358,true,true,false,true,149,354,120,94,233,3,-1,1
domingo,noite,false,false,true,24,1,0,0,2,2,2,0,0,11,26,9.356261,0.602752,27,25,0.070225,0,0,1237,0.859337,0.213483,19647,1426.477325,85.305645,280.19545,8893,4,1329,28,travis,dave-r12,6,1,4,8,1465,true,true,true,false,7,48,6,5,3,0,179,1
sabado,noite,false,false,true,110,1,0,0,3,3,3,0,0,19,204,14.098523,0.90826,13,10,0.023747,0,2,1233,0.861314,0.208443,19647,1426.477325,85.305645,280.19545,8676,4,1321,28,travis,dave-r12,5,1,4,8,1457,true,true,true,false,6,45,5,5,2,0,8501,1
sexta-feira,tarde,false,false,false,10,2,0,0,1,1,1,0,0,4,0,9.301165,0.599203,12,12,0.031579,0,0,1232,0.862013,0.207895,19647,1426.477325,85.305645,280.19545,8642,4,1320,24,travis,morder,0,0,1,0,1505,false,false,false,false,0,0,0,0,0,0,212,0
quinta-Feira,manha,false,false,false,193,4,0,0,10,10,10,0,0,92,61,46.641305,3.004682,61,36,0.020997,0,0,1231,0.861901,0.204724,19620,1424.719674,85.270133,279.102956,8587,4,1319,25,travis,mattlogan,0,0,55,15,1001,false,true,true,false,0,0,0,0,1,0,172,1
segunda-feira,noite,false,false,false,35,1,0,0,1,1,1,0,0,0,2,4.762527,0.306807,8,8,0.020566,0,0,1230,0.861789,0.203085,19620,1424.719674,85.270133,279.102956,8520,5,1316,25,travis,nfuller,62,0.870968,3,0,777,false,true,false,false,1,4,0,0,0,0,-1,1
segunda-feira,madrugada,false,false,false,8,5,0,0,2,2,2,0,0,85,54,14.4038,0.927908,18,14,0.03599,0,0,1229,0.861676,0.203085,19620,1424.719674,85.270133,279.102956,8493,5,1315,25,travis,alexrwegener,0,0,8,16,1446,false,true,true,false,0,0,0,0,1,0,32,1
sexta-feira,manha,false,false,true,8,2,1,0,3,4,5,0,0,58,452,27.755178,1.863675,2,2,0.005115,0,0,1227,0.863081,0.199488,18590,1397.417967,83.539537,276.062399,8446,5,1313,23,travis,swankjesse,603,0.945274,1448,1,2340,true,true,false,true,161,360,153,94,275,3,-1,0
sexta-feira,madrugada,false,false,false,29,1,0,0,4,4,4,0,0,6,4,18.067128,1.163882,6,6,0.015464,0,0,1226,0.862969,0.201031,19620,1424.719674,85.270133,279.102956,8442,5,1312,23,travis,dave-r12,4,1,4,8,1448,true,true,true,false,4,35,4,5,1,0,-1,1
quarta-feira,madrugada,false,false,false,64,2,0,0,3,3,3,0,0,37,437,28.077692,1.808722,7,7,0.01005,0,0,1225,0.862857,0.20603,19607,1419.085021,84.867649,278.267966,8383,5,1310,23,travis,dave-r12,3,1,4,8,1446,true,true,true,false,4,34,3,1,1,0,154,1
terca-feira,manha,false,false,true,35,1,0,0,2,2,2,0,0,29,68,9.363739,0.603206,4,4,0.010076,0,0,1224,0.862745,0.206549,19600,1416.530612,84.744898,278.163265,8364,5,1310,23,travis,swankjesse,602,0.945183,1448,1,2337,true,true,false,true,160,357,152,95,275,3,-1,1
segunda-feira,manha,false,false,true,31,2,0,0,8,8,8,0,0,58,92,72.546607,4.67341,59,30,0.035443,0,0,1223,0.862633,0.202532,19595,1415.207961,84.664455,277.774943,8348,6,1309,23,travis,swankjesse,601,0.945092,1448,1,2336,true,true,false,false,160,358,150,94,271,3,0,1
domingo,noite,false,false,true,7,2,0,0,4,4,4,0,0,461,204,40.183298,2.588874,24,10,0.025381,0,0,1222,0.86252,0.205584,19550,1418.414322,84.808184,278.465473,8343,6,1308,23,travis,swankjesse,600,945,1448,1,2335,true,true,false,false,161,353,148,93,270,3,245,1
domingo,noite,false,false,true,29,1,1,0,0,1,2,0,0,12,0,4.604898,0.297561,0,0,0,0,0,1221,0.862408,0.207161,19550,1418.414322,84.808184,278.465473,8342,6,1308,23,travis,swankjesse,599,0.944908,1448,1,2335,true,true,false,true,155,348,147,93,268,3,-1,1
domingo,manha,false,false,true,56,2,1,0,3,4,4,0,0,58,629,32.164358,2.084721,2,2,0.005155,0,1,1219,0.863002,0.208763,19545,1406.139678,84.625224,277.973906,8330,5,1308,22,travis,swankjesse,598,0.944816,1448,1,2335,true,true,false,true,156,348,146,93,267,3,0,1
terca-feira,noite,false,false,true,4,1,0,0,2,2,1,0,1,10,0,8.991857,0.582801,32,26,0.066327,0,0,1218,0.86289,0.214286,19525,1405.480154,84.455826,277.029449,8235,6,1303,24,travis,swankjesse,597,0.944724,1448,1,2330,true,false,false,true,156,347,150,94,270,3,26,1
terca-feira,manha,false,false,false,6,1,0,0,1,1,1,0,0,3,0,4.415245,0.286171,12,12,0.030612,0,0,1217,0.862777,0.214286,19525,1405.480154,84.455826,277.029449,8216,6,1303,23,travis,NightlyNexus,4,0.75,61,29,1050,false,true,true,false,0,6,2,4,1,0,-1,1
segunda-feira,tarde,false,false,false,3,1,0,0,1,1,1,0,0,2,0,5.028633,0.325927,5,5,0.012755,0,0,1216,0.862664,0.214286,19525,1405.480154,84.455826,277.029449,8199,6,1302,23,travis,reisub,0,0,18,6,1640,false,true,true,false,0,0,0,0,0,0,-1,1
quinta-Feira,madrugada,false,false,false,2,2,0,0,2,2,2,0,0,58,33,19.063161,1.235565,12,12,0.029268,0,0,1215,0.862551,0.217073,19525,1405.480154,84.455826,277.029449,8142,6,1297,22,travis,NightlyNexus,3,0.666667,61,29,1044,false,true,false,false,0,5,1,1,1,0,0,1
quarta-feira,manha,false,false,true,26,1,0,0,1,1,1,0,0,140,0,4.887748,0.316798,10,10,0.024691,0,0,1214,0.862438,0.219753,19574,1401.961786,84.244406,276.335956,8136,6,1297,22,travis,swankjesse,596,0.944631,1448,1,2324,true,false,false,true,157,344,156,98,274,2,-1,1
terca-feira,noite,false,false,true,9,1,0,0,1,1,1,0,0,8,0,4.678137,0.303212,8,8,0.0199,0,0,1213,0.862325,0.218905,19574,1401.961786,84.244406,276.335956,8133,6,1296,22,travis,swankjesse,595,0.944538,1448,1,2323,true,false,false,false,154,341,155,98,271,1,1,1
segunda-feira,manha,false,false,true,7,2,3,0,3,6,8,0,0,263,49,34.142526,2.315662,18,14,0,0,0,1212,0.863036,0.212121,18519,1402.721529,83.85982,277.120795,8114,6,1295,22,travis,swankjesse,594,0.946128,1448,1,2322,true,false,false,true,154,340,156,100,265,0,-1,0
segunda-feira,madrugada,false,false,true,13,1,0,0,1,1,1,0,0,13,0,4.757755,0.308371,8,8,0.020253,0,2,1211,0.862923,0.212658,19565,1402.606696,84.283159,276.463072,8113,6,1295,22,travis,swankjesse,593,0.946037,1448,1,2322,true,false,false,true,154,341,155,100,265,0,37,1
