@relation 'appium-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R13,2,6,7,10,12,15,8,11,14,16,23,1,17,18,53'

@attribute doc_files numeric
@attribute created_at_day_turn {manha,madrugada,noite,tarde}
@attribute description_length numeric
@attribute num_commits numeric
@attribute files_modified numeric
@attribute src_files numeric
@attribute src_churn numeric
@attribute files_added numeric
@attribute files_changed numeric
@attribute other_files numeric
@attribute test_churn numeric
@attribute at_mentions_comments numeric
@attribute created_at_week_day {terca-feira,sexta-feira,quarta-feira,quinta-Feira,sabado,segunda-feira,domingo}
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute status {0,1}

@data
0,manha,13,1,1,1,3,0,1,0,0,0,terca-feira,4.679137,0.626084,1
0,madrugada,224,1,1,1,2,0,1,0,0,0,sexta-feira,4.771444,0.638434,1
0,noite,410,2,2,2,9,0,3,1,4,0,quarta-feira,14.307395,1.902351,1
0,madrugada,190,1,10,10,22,0,10,0,0,1,quarta-feira,54.891902,7.298829,1
0,tarde,201,2,8,8,80,0,8,0,0,2,terca-feira,92.399491,12.286586,1
0,madrugada,116,2,2,2,23,0,2,0,0,0,terca-feira,9.554512,1.270499,1
0,noite,275,1,1,1,9,0,1,0,0,0,quinta-Feira,4.625158,0.615013,1
0,madrugada,227,1,2,1,2,0,2,1,0,0,quinta-Feira,9.181326,1.220859,1
0,noite,204,1,1,1,6,0,1,0,0,0,quarta-feira,4.866015,0.647031,1
0,noite,209,2,1,1,107,0,1,0,0,1,terca-feira,9.777152,1.300203,1
0,manha,210,1,1,1,7,0,1,0,0,0,sabado,4.61453,0.613666,1
0,madrugada,205,1,0,0,0,0,1,1,0,1,sabado,0,0,1
0,madrugada,204,1,1,0,0,0,1,1,0,2,sabado,4.279183,0.565564,1
0,noite,74,3,1,1,18,0,1,0,0,3,sexta-feira,4.636558,0.612797,0
0,noite,186,1,2,0,0,0,2,2,0,0,quarta-feira,9.238499,1.221023,1
0,madrugada,230,2,3,3,54,0,3,0,0,1,quarta-feira,28.043185,3.706627,1
0,noite,14,217,84,72,1497,9,94,15,292,0,terca-feira,1124.118387,41.905514,0
0,manha,190,1,1,1,9,0,1,0,0,0,terca-feira,4.552895,0.601771,1
0,madrugada,48,1,2,2,6,0,2,0,0,0,terca-feira,9.454704,1.24986,1
0,tarde,283,4,2,1,24,0,2,1,0,8,sabado,9.365047,1.238026,0
0,madrugada,234,1,1,1,0,0,1,0,9,0,sabado,4.532635,0.168967,0
0,madrugada,198,1,1,0,0,0,1,1,0,0,sabado,4.442606,0.587858,1
0,madrugada,200,1,4,4,33,0,4,0,24,0,sabado,17.187045,0.640696,0
0,madrugada,12,2,2,2,12,0,2,0,0,0,sabado,14.23011,1.882967,1
0,madrugada,231,1,3,2,3,0,3,1,0,0,sabado,14.285011,1.890238,1
0,madrugada,9,2,1,2,58,1,2,0,0,3,quinta-Feira,19.390524,2.582563,1
0,madrugada,7,2,0,2,62,2,2,0,0,1,quinta-Feira,14.144991,1.895782,1
0,madrugada,20,2,2,2,6,0,2,0,106,2,quinta-Feira,8.979224,0.335927,0
