@relation 'bundler-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,8,36,6,9,12,2,10,11,14,15,5,1,16,17,53'

@attribute num_commits numeric
@attribute files_added numeric
@attribute requester {indirect,segiddins,RochesterinNYC,schneems,allenzhao,sonalkr132,BronzDoc,asutoshpalai,mobilutz,njam,mib32,jbodah,Elffers,glennpratt,christhekeele,cirdes,lamont-granquist,dtognazzini,Zorbash,vassilevsky,MOZGIII,arthurnn,hughbien,Agis-,morsheed,pcarranza,dthjones,drn,smellsblue,deepj,jperville,doy,benlovell,fotanus,JuanitoFatas,TimMoore,stantona,CoralineAda,blackxored,deivid-rodriguez,dwb,felixbuenemann,sikachu,denmat,Nikolay-Pomytkin,andremedeiros,csfrancis,toolmantim,voxik,goughy000,jtarchie,A5308Y,samphippen,dilumn,Sirupsen,esasse,jasonkarns,jaym,lukaso,robinboening,philnash,heliocola,asymmetric,jrafanie,esse,masarakki,Eric-Guo,smlance,seanlinsley,pmenglund,chulkilee,grosser,Koronen,jordanthomas,mastfish,sferik,tf,steved,frsyuki,EduardoBautista,byroot,roseweixel,cdwort,hbd225,mattbrictson,amatsuda,ethanez713,PG-kura,AlexanderPavlenko,mcantor,joshk,pducks32,danieltdt,timblair,Bartuz,tjschuck,cstrahan,steverob,habibalamin,karlo57,tony-spataro-rs,strand,neoeno,postmodern,waynn,skateman,ivantsepp,e2,hartator,repinel,akihiro17,nickborromeo,spastorino,Strech,ineiti,stevenjack,pjump,fny,aprescott,hone,tenderlove,korobkov,hiukkanen,panthomakos,sealocal,jdmundrawala,digitalextremist,mlarraz,matiasow,seamusabshere,jhass,simi,chastell,bobishh,kodnin,marocchino,marutosi,niku4i,janlelis,Sxl1092,sanemat,kohgpat,kirs,banyan,maclover7,keiths-osc,neerfri,moeffju,steakknife,darnould,tamird,bjfish,ccutrer,eagletmt,joneslee85,k0kubun,dsisnero,claudiob,bkeepers,selcham,BenMorganIO,tdtds,jnraine,pangloss,eapache,aroben,y-yagi,onetwopunch,myronmarston,gfvcastro,rohit,myabc,petedmarsh,dholdren,toy,thomasfedb,kuraga,doodzik,staugaard,Who828,GeekOnCoffee,gsamokovarov,obfusk,zzak,Deradon,agenteo,arronmabrey,patvice,Sketch,gretel,twcctz50,elia,dubek,rrrene,dangoita,danfinnie,DevRubySlippers,Intrepidd,fvaleur,seuros,meganemura,yous,ryansouza,dx7,aasmith,kares,ruyrocha,HonoreDB,benlakey,bak,eloyesp,citizen428,hwartig,tonytonyjan,ejaypcanaria,splattael,allyraza,reiz,lgierth,pmahoney,jetaggart,tryba,nickpellant,mraidel,zmack,jasonrclark,jemc,rodreegez,Razzell,Nerian,IvanUkhov,notlaforge,jc00ke,Juanxo,prathamesh-sonpatki,aptinio,vinbarnes,tiredpixel,mvz,mattwynne,gjaldon,MSNexploder,deitrick,unak,robolson,aughr,richo,grant-olson,1337807,gnufied,jmmk,peter-mtso,YorickPeterse,mokhan,jm,dylanahsmith,j15e,d-reinhold,mathonsunday,stevecj,vais,as-cii,urbanautomaton,tbuehlmann,aitor,mrphs,headius,kiela,mdkent,suzukaze,stlay,jfvanderwalt,divineforest,lardcanoe,burke,strzalek,davidblondeau,jwworth,narutosanjiv,zebardy,punkle,smashwilson,kgrz,shrey-sharma,andreychernih,suhastech,loveky,codertux,salimane,v-yarotsky,rafaelfranca,deependersingla,olivierlacan,phallstrom,tundal45,DavidEGrayson,dougcole,yaotti,tdumitrescu,skottler,sunny,ognevsky,spohlenz,arunagw,rhysd,mrkn,steveklabnik,qblake,grddev,tyler,cainlevy,jendiamond,misfo,mfojtik,samsm,ghedamat,joyicecloud,cowboyd,brandonblack,henrik,jasonmp85,SamSaffron,steved555,benjamintanweihao,wfarr,joallard,Garoe,snackbandit,mcfiredrill,rykov,larskanis,flyinprogramer,xaviershay,Plaristote,jlsuttles,JordanFaust,faun,lucasmazza,ssrihari,shtirlic,fuadsaud,gudleik,ndbroadbent,nubbel,ixti,rthbound,tricknotes,jfoy,JonRowe,apsoto,kml,mipearson,Gaelan,rahearn,bwillis,Nitrodist,pjvds,regularfry,matthewd,BrentWheeldon,mpapis,epinault,Holek,ardavis,Ptico,hbakhtiyor,dougal,qichunren,chief,nslocum,jayniz,rehevkor5,sakuro,gregory-m,bradleybuda,dmueller,halorgium,nevir,okitan,coop,ogra,danielsdeleo,JamesFerguson,zimbatm,alup,sunaku,jarl-dk,raggi,matthewrudy,parndt,luislavena,gaffneyc,CosmicCat,utkarshkukreti,ddopson,databus23,matschaffer,EmilRehnberg,RyanonRails,Peeja,andreagoulet,dblock,csgui,timoschilling,NARKOZ,gkop,liveh2o,ToadJamb,jisaacks,semanticart,farski,drbrain,crowbot,Empact,kcurtin,wildchild,cheald,wallyqs,sol,brettporter,nbibler,tomykaira,koraktor,pivotalcommon,rking,MafcoCinco,phocke,dkastner,jmoses,benmoss,godfat,BMorearty,davidcelis,brainopia,jdelStrother,mkristian,Flameeyes,mrflip,carlosantoniodasilva,hirochachacha,eightbitraptor,kikito,luismreis,zofrex,trans,bobbus,takkanm,phil-monroe,bowsersenior,jgaskins,gilesbowkett,nwwatson,rkh,stevenh512,coding46,drogus,kucaahbe,mpabst,dougbarth,fpauser,bryanwoods,richardkmichael,bpardee,echohead,kytrinyx,jimmycuadra,jgeiger,ariofrio,jhlllnd,floehopper,dlee,soulcutter,dekellum,etehtsea,svenfuchs,hlidotbe,gerwinbrunner,Fluxx,josevalim,nashby,Vanuan,jpatokal,zeha,knu,d,geemus,lsimoneau,ANithian,mattconnolly,mhoran,vijaydev,osheroff,jreidinger,sodabrew,invisiblefunnel,ilude,dadooda,brixen,eric1234,laserlemon,stve,petervandenabeele,nurse,jeremy,derekprior,jredville,smartinez87,lunks,lastobelus,arsduo,albus522,jjb,sleeper,francois,timfel,jch,roend83,maxjustus,nono,bensie,jacobo,lanej,pirj,sundbp,benhoskings,nextmat,leereilly,stephencelis,slagyr,rwilcox,radsaq,DNNX,Trevoke,tpope,retr0h,tiegz,robertwahler,boffbowsh,neonlex,cldwalker,mtylty,cgriego,kmayer,mheffner,tadman,joelmoss,leejarvis,rkbodenner,benhamill,ybart,pascalh1011,mbirk,rubiii,csquared,mikehoward,mpj,tissak,ngollan,josh,ryanbriones,evanphx,dhh,krekoten,rslifka,cmeiklejohn,gucki,jordansissel,voidlock,bgreenlee,jonah-carbonfive,nledez,botanicus,jackdempsey,epall,wuputah,nolith,hedgehog,nicksieger,opsb,goneflyin,vandrijevik,mjio,jfelchner,baroquebobcat,sumbach,Lytol,sgrove,davesmylie,tigris,aaronblohowiak,bcardarella,now,adelcambre,ecoleman,gyngve,leobessa,dasch,ai,net1957,sdhull,rcarver,mcolyer,kalv,shwoodard,ultrasaurus,tsigo,dismaldenizen,bobbywilson0,antono,jfirebaugh,tarcieri,rjharmon,ddollar,kakutani,jstorimer,irjudson,trampoline,dennisreimann,graaff,aslakhellesoy,MasterLambaster,mephux,bsears,fd,chipiga,spraints}
@attribute description_length numeric
@attribute files_deleted numeric
@attribute src_files numeric
@attribute created_at_day_turn {manha,madrugada,noite,tarde}
@attribute files_modified numeric
@attribute files_changed numeric
@attribute other_files numeric
@attribute src_churn numeric
@attribute intra_branch {true,false}
@attribute created_at_week_day {sabado,quinta-Feira,quarta-feira,terca-feira,segunda-feira,domingo,sexta-feira}
@attribute test_churn numeric
@attribute new_entropy numeric
@attribute status {0,1}

@data
11,3,indirect,6,0,14,manha,15,18,4,62,true,sabado,72,67.121355,1
2,0,indirect,12,0,3,madrugada,3,3,0,3,true,sabado,4,12.879369,1
1,0,segiddins,25,0,2,madrugada,2,2,0,2,true,sabado,4,8.088443,1
1,0,RochesterinNYC,71,0,1,manha,1,1,0,0,false,quinta-Feira,2,4.32004,1
2,0,schneems,9,0,1,madrugada,1,1,0,2,false,quinta-Feira,0,9.581853,1
1,0,segiddins,4,0,3,noite,5,5,2,16,true,quarta-feira,0,23.190062,1
3,0,RochesterinNYC,18,0,3,manha,3,3,0,69,false,quarta-feira,0,14.103544,1
1,0,allenzhao,24,0,1,manha,1,1,0,2,false,terca-feira,0,4.362519,1
4,0,sonalkr132,59,0,19,tarde,24,24,5,44,false,segunda-feira,78,9.575905,1
5,0,BronzDoc,7,0,5,madrugada,5,5,0,23,false,domingo,2,8.364758,1
2,0,segiddins,15,0,3,madrugada,3,3,0,59,true,domingo,8,26.665246,1
2,0,asutoshpalai,17,0,1,tarde,1,1,0,14,false,sabado,0,4.58375,1
2,0,sonalkr132,18,0,0,noite,3,3,3,0,false,sexta-feira,0,27.704032,1
3,0,asutoshpalai,24,0,1,noite,2,2,1,8,false,sexta-feira,0,9.37394,1
4,0,segiddins,9,0,3,tarde,3,3,0,21,true,domingo,76,18.179432,1
1,0,segiddins,7,0,1,manha,2,2,1,4,true,domingo,0,9.512794,1
2,0,RochesterinNYC,31,0,2,manha,3,3,1,9,false,sabado,22,9.787604,1
1,0,segiddins,7,0,1,manha,2,2,1,4,true,sexta-feira,0,9.508373,1
2,1,segiddins,11,0,0,manha,4,5,4,0,true,quinta-Feira,0,20.430008,1
3,0,RochesterinNYC,65,0,2,manha,2,2,0,45,false,quinta-Feira,168,22.127637,0
2,0,RochesterinNYC,10,0,2,manha,2,2,0,4,false,segunda-feira,53,18.238405,1
1,0,RochesterinNYC,25,0,3,manha,3,3,0,17,false,sexta-feira,18,13.222363,1
1,0,segiddins,9,0,9,manha,9,9,0,12,true,quinta-Feira,0,39.301389,1
2,0,RochesterinNYC,98,0,2,manha,2,2,0,31,false,quinta-Feira,146,13.278308,1
2,0,segiddins,9,0,3,manha,3,3,0,6,true,quinta-Feira,12,13.886722,1
2,0,RochesterinNYC,5,0,1,madrugada,1,1,0,36,true,quinta-Feira,0,8.93906,1
2,0,RochesterinNYC,12,0,3,manha,3,3,0,15,false,quarta-feira,32,21.379089,1
8,0,mobilutz,57,0,3,tarde,3,3,0,21,false,terca-feira,42,4.638392,1
2,0,njam,64,0,2,noite,2,2,0,114,false,domingo,274,19.781363,1
1,0,segiddins,8,0,2,manha,2,2,0,2,true,terca-feira,9,8.982706,1
2,0,RochesterinNYC,62,0,2,manha,2,2,0,22,false,segunda-feira,44,17.753801,1
2,2,njam,15,2,12,noite,8,12,0,112,false,sabado,398,18.712406,1
1,0,mib32,45,0,2,tarde,2,2,0,5,false,sabado,12,9.047446,0
1,0,RochesterinNYC,32,0,3,manha,3,3,0,33,false,quinta-Feira,7,12.999516,0
2,0,RochesterinNYC,77,0,3,manha,3,3,0,11,false,quarta-feira,244,18.246304,1
2,0,RochesterinNYC,81,0,3,manha,3,3,0,29,false,quarta-feira,29,22.503852,1
2,0,segiddins,4,0,2,noite,4,4,2,45,true,terca-feira,0,37.507609,1
2,0,RochesterinNYC,94,0,2,manha,2,2,0,16,false,sabado,28,18.325619,1
1,0,segiddins,25,0,0,madrugada,1,1,1,0,true,sabado,0,4.596609,1
1,0,segiddins,4,0,3,noite,5,5,2,6,true,sexta-feira,2,23.503909,1
2,0,RochesterinNYC,67,0,3,manha,3,3,0,68,false,sexta-feira,72,26.361147,1
1,0,jbodah,25,0,0,noite,1,1,1,0,false,quinta-Feira,0,4.655333,1
17,0,indirect,9,0,10,manha,10,10,0,85,true,quinta-Feira,180,44.050361,1
8,0,segiddins,55,0,2,manha,2,2,0,123,true,quinta-Feira,92,9.32582,1
6,0,Elffers,48,0,3,manha,3,3,0,30,false,quarta-feira,102,19.107972,1
1,0,segiddins,4,0,1,madrugada,1,1,0,201,true,quarta-feira,0,4.741703,1
2,0,segiddins,17,0,4,madrugada,4,4,0,45,true,terca-feira,0,14.438257,1
2,0,glennpratt,13,0,2,noite,2,2,0,5,false,segunda-feira,30,14.153997,1
2,1,RochesterinNYC,10,0,1,manha,0,1,0,0,false,segunda-feira,107,9.341072,1
3,0,RochesterinNYC,16,0,3,madrugada,3,3,0,23,false,segunda-feira,49,8.94594,1
3,0,christhekeele,64,0,3,madrugada,4,4,1,8,false,segunda-feira,42,36.417023,0
22,0,segiddins,6,0,251,noite,261,261,10,896,true,domingo,550,2757.586887,1
14,1,segiddins,25,0,7,manha,8,9,1,107,true,domingo,272,17.368424,1
5,1,segiddins,8,1,5,manha,5,7,0,58,true,domingo,32,27.899617,1
2,0,segiddins,6,0,2,madrugada,2,2,0,14,true,domingo,0,4.502648,1
4,0,segiddins,14,0,3,madrugada,6,6,3,36,true,domingo,0,53.988638,1
1,0,segiddins,9,0,8,madrugada,8,8,0,96,true,domingo,0,36.121904,1
1,0,segiddins,11,0,1,madrugada,1,1,0,3,true,domingo,0,4.672803,1
2,0,RochesterinNYC,59,0,6,manha,6,6,0,17,false,sexta-feira,70,40.59625,1
2,0,cirdes,46,0,3,madrugada,3,3,0,32,false,sexta-feira,110,26.506441,1
5,0,lamont-granquist,43,0,2,madrugada,2,2,0,17,false,quinta-Feira,54,9.435945,1
6,0,dtognazzini,18,0,3,madrugada,3,3,0,94,false,quinta-Feira,1,41.192273,1
1,0,Zorbash,44,0,0,tarde,1,1,1,0,false,terca-feira,0,4.751566,0
1,1,RochesterinNYC,5,0,1,manha,0,1,0,0,false,terca-feira,229,4.740902,1
1,0,segiddins,7,0,1,madrugada,1,1,0,0,true,terca-feira,2,4.639676,1
2,0,segiddins,9,0,2,noite,2,2,0,0,true,segunda-feira,13,8.914803,1
2,1,RochesterinNYC,5,0,1,manha,0,1,0,0,false,segunda-feira,264,9.40004,1
2,0,segiddins,21,0,1,noite,1,1,0,6,true,domingo,0,8.833362,1
4,1,RochesterinNYC,26,0,1,manha,1,2,1,0,false,domingo,25,17.411909,1
2,1,RochesterinNYC,7,0,1,tarde,0,1,0,0,false,sabado,156,9.240502,1
2,1,RochesterinNYC,79,0,2,manha,1,2,0,74,false,sabado,673,18.491294,1
3,0,christhekeele,52,0,3,manha,4,4,1,8,false,sabado,42,32.306684,1
1,0,christhekeele,60,0,3,manha,4,4,1,6,false,sabado,18,18.261809,1
2,1,segiddins,9,0,4,madrugada,4,5,1,14,true,sabado,90,49.289046,1
2,0,RochesterinNYC,6,0,1,manha,1,1,0,0,false,sexta-feira,214,9.39855,1
3,0,vassilevsky,38,0,3,noite,3,3,0,10,false,quinta-Feira,0,8.921788,1
2,0,RochesterinNYC,6,0,1,manha,1,1,0,0,false,quarta-feira,240,4.650605,1
2,0,MOZGIII,23,0,0,tarde,1,1,1,0,false,terca-feira,0,5.037474,0
1,0,arthurnn,68,0,1,noite,1,1,0,6,false,domingo,0,3.840245,0
2,1,RochesterinNYC,5,0,1,manha,0,1,0,0,false,domingo,236,8.962787,1
1,0,hughbien,53,0,0,madrugada,1,1,1,0,false,sexta-feira,0,4.949815,1
2,0,Agis-,9,0,2,noite,2,2,0,4,false,quarta-feira,48,0,1
1,0,morsheed,43,0,2,madrugada,2,2,0,18,false,terca-feira,13,9.121599,0
2,1,indirect,22,0,1,tarde,0,1,0,0,true,segunda-feira,43,9.442715,1
7,0,RochesterinNYC,32,0,9,manha,9,9,0,284,false,segunda-feira,1538,26.375524,1
8,0,RochesterinNYC,64,0,2,manha,2,2,0,0,false,domingo,252,46.651169,1
2,0,RochesterinNYC,31,0,3,manha,3,3,0,52,false,sabado,264,24.547762,1
1,0,RochesterinNYC,32,0,4,noite,4,4,0,18,false,sexta-feira,40,18.264575,0
1,0,segiddins,10,0,0,madrugada,1,1,1,0,true,quarta-feira,0,5.064451,1
1,0,RochesterinNYC,15,0,1,manha,1,1,0,4,false,domingo,0,4.542276,1
2,0,Agis-,15,0,2,tarde,2,2,0,4,true,sabado,6,17.449489,1
4,1,RochesterinNYC,50,0,3,madrugada,2,3,0,57,false,sabado,29,9.404479,1
6,0,RochesterinNYC,108,0,8,manha,8,8,0,0,false,quarta-feira,62,39.722413,1
1,0,RochesterinNYC,8,0,1,manha,1,1,0,73,false,terca-feira,0,4.695227,1
2,0,RochesterinNYC,71,0,3,manha,3,3,0,50,false,segunda-feira,20,26.87653,1
1,0,RochesterinNYC,48,0,1,tarde,1,1,0,6,false,domingo,0,4.401953,1
