@relation 'candlepin-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,6,8,11,15,9,10,16,12,17,14,18,1,19,53'

@attribute num_commits numeric
@attribute created_at_day_turn {noite,madrugada,tarde,manha}
@attribute description_length numeric
@attribute files_added numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute files_deleted numeric
@attribute files_modified numeric
@attribute test_churn numeric
@attribute src_files numeric
@attribute new_entropy numeric
@attribute other_files numeric
@attribute entropy_diff numeric
@attribute created_at_week_day {terca-feira,quinta-Feira,quarta-feira,segunda-feira,sexta-feira,sabado,domingo}
@attribute commits_on_files_touched numeric
@attribute status {0,1}

@data
3,noite,5,0,7,96,0,7,286,7,73.369196,0,1.271209,terca-feira,4,0
1,madrugada,17,0,7,45,0,7,144,7,32.746762,0,0.565097,terca-feira,2,0
1,noite,11,0,1,5,0,1,0,1,4.388893,0,0.08464,quinta-Feira,2,0
1,madrugada,12,0,1,0,0,1,0,0,4.958078,0,0.078871,quarta-feira,5,1
7,madrugada,2,1,5,140,0,4,0,4,27.126238,0,0.425055,quarta-feira,90,1
1,noite,31,0,1,1,0,1,0,1,4.036755,0,0.064215,terca-feira,2,1
1,madrugada,155,0,2,40,0,2,0,2,9.77857,0,0.155554,terca-feira,1,1
2,noite,6,0,3,27,0,3,43,3,13.588697,0,0.235443,segunda-feira,2,0
2,noite,6,0,3,27,0,3,43,3,13.588697,0,0.235637,segunda-feira,2,0
2,noite,6,0,3,27,0,3,43,3,13.588697,0,0.234498,segunda-feira,2,0
1,noite,5,0,2,0,0,2,0,0,8.108028,2,0.140479,sexta-feira,0,0
1,noite,5,0,2,0,0,2,0,0,8.108028,2,0.128979,sexta-feira,2,0
1,noite,5,0,2,0,0,2,0,0,8.108028,2,0.128976,quinta-Feira,0,0
1,noite,5,0,2,0,0,2,0,0,8.108028,2,0.140597,quinta-Feira,0,0
1,noite,5,0,2,0,0,2,0,0,8.108028,2,0.139915,quinta-Feira,0,0
1,noite,7,0,2,0,0,2,0,0,8.108028,2,0.128976,quinta-Feira,0,1
2,madrugada,8,0,5,298,0,5,352,5,41.575596,0,0.661351,quinta-Feira,4,1
2,madrugada,34,0,2,7,0,2,0,1,4.071829,1,0.070548,quarta-feira,4,0
2,noite,34,0,2,7,0,2,0,1,4.071829,1,0.070607,terca-feira,4,0
1,madrugada,15,0,3,23,0,3,27,3,14.085457,0,0.22406,terca-feira,21,1
1,madrugada,3,0,1,15,0,1,0,1,4.702794,0,0.081549,sexta-feira,0,0
11,madrugada,10,3,46,4746,7,36,34,33,368.288899,8,5.82301,sexta-feira,36,0
1,noite,15,0,1,0,0,1,0,0,4.709931,1,0.074469,quinta-Feira,4,1
22,tarde,2,5,70,3222,1,64,2120,71,747.023048,0,11.81122,quinta-Feira,51,0
3,madrugada,4,1,28,2248,7,20,218,24,97.984372,4,1.549236,quinta-Feira,24,1
2,madrugada,6,0,3,0,2,1,110,1,9.441436,2,0.149279,quarta-feira,2,1
1,madrugada,6,0,3,0,0,3,0,0,15.035285,0,0.237724,quarta-feira,8,1
2,madrugada,5,0,2,6,0,2,33,2,4.390957,0,0.08468,terca-feira,1,0
8,noite,7,1,21,1124,0,20,577,21,135.314855,0,2.611971,sexta-feira,0,0
2,madrugada,62,0,4,234,0,4,0,4,37.359522,0,0.590694,sexta-feira,7,1
2,noite,14,0,2,39,0,2,0,2,15.065005,0,0.261232,quinta-Feira,0,0
3,noite,17,1,16,519,0,15,325,16,85.134526,0,1.47626,quinta-Feira,11,0
2,madrugada,8,5,5,114,0,0,0,2,42.389697,3,0.670226,quinta-Feira,0,1
3,noite,4,0,19,16,0,19,0,1,95.121169,0,1.508173,segunda-feira,8,1
2,noite,31,0,1,16,0,1,0,1,4.175957,0,0.066211,segunda-feira,2,1
