@relation 'diaspora-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R6,7,2,9,8,10,11,12,15,13,1,14,18,17,16,53'

@attribute description_length numeric
@attribute num_commits numeric
@attribute created_at_day_turn {manha,noite,madrugada,tarde}
@attribute files_deleted numeric
@attribute files_added numeric
@attribute files_modified numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute src_churn numeric
@attribute doc_files numeric
@attribute created_at_week_day {quarta-feira,segunda-feira,domingo,sabado,sexta-feira,quinta-Feira,terca-feira}
@attribute other_files numeric
@attribute entropy_diff numeric
@attribute new_entropy numeric
@attribute test_churn numeric
@attribute status {0,1}

@data
11,1,manha,0,0,1,1,1,0,0,quarta-feira,0,0.057419,4.598352,2,1
38,1,noite,0,1,5,6,6,17,0,segunda-feira,0,0.327999,26.256589,5,1
286,15,manha,2,2,20,24,16,681,6,segunda-feira,1,3.384651,270.944365,1467,1
52,2,madrugada,0,0,5,5,5,24,0,segunda-feira,0,0.585336,46.856662,80,1
9,1,madrugada,0,0,2,2,0,0,2,domingo,0,0.103453,8.281491,0,1
24,2,madrugada,0,0,2,2,2,85,0,domingo,0,0.25254,20.21604,0,1
43,2,madrugada,1,1,5,7,7,143,0,domingo,0,0.335415,26.850273,28,1
5,3,tarde,0,0,4,4,4,95,0,sabado,0,0.337889,27.048715,68,1
8,3,noite,1,1,23,25,24,581,0,sexta-feira,0,1.482583,118.335836,368,1
36,5,tarde,0,0,2,2,2,89,0,sexta-feira,0,0.574896,45.884642,0,1
8,1,tarde,0,0,2,2,2,2,0,quinta-Feira,0,0.111251,8.874808,6,1
57,10,manha,1,2,25,28,28,586,0,quinta-Feira,0,2.493095,198.881133,378,1
30,20,madrugada,3,6,36,45,31,7700,9,terca-feira,1,8.312684,662.730468,12,1
177,4,madrugada,1,1,27,29,26,493,2,terca-feira,1,3.361786,268.019091,645,1
158,8,madrugada,1,1,21,23,23,1014,0,domingo,0,2.515874,200.578541,705,1
7,1,madrugada,1,0,1,2,4,9,0,sexta-feira,1,0.052355,4.176265,0,1
42,1,tarde,0,0,1,1,1,1,0,quinta-Feira,0,0.046418,3.702743,0,1
14,1,madrugada,0,0,2,2,2,209,0,quinta-Feira,0,0.119721,9.549989,0,1
17,1,madrugada,0,0,1,1,0,0,1,quinta-Feira,0,0.054788,4.370353,0,1
30,1,tarde,0,0,3,3,0,0,3,quarta-feira,0,0.162723,12.980195,0,1
6,2,madrugada,0,0,2,2,0,0,2,quarta-feira,0,0.225886,18.018697,0,1
32,1,madrugada,0,0,1,1,1,7,0,terca-feira,0,0.0565,4.50697,0,1
5,1,manha,0,0,1,1,1,2,0,segunda-feira,0,0.058685,4.681259,0,1
7,2,madrugada,0,0,11,11,4,11,7,segunda-feira,0,1.200412,95.756575,0,1
19,1,tarde,0,0,1,1,1,0,0,domingo,0,0.052527,4.190067,3,1
10,2,madrugada,0,0,2,2,2,2,0,domingo,0,0.104949,8.371886,22,1
8,2,madrugada,0,0,2,2,2,9,0,sabado,0,0.119745,9.552175,0,1
20,1,tarde,0,0,3,3,3,7,0,terca-feira,0,0.171421,13.674362,0,1
4,1,madrugada,0,0,1,1,1,2,0,segunda-feira,0,0.059146,4.699163,0,1
12,1,manha,10,0,5,15,7,119,8,domingo,0,0.287744,22.998835,54,1
82,2,noite,0,1,27,28,1,2,27,sabado,0,3.025049,241.786379,0,1
2,2,noite,0,0,2,2,2,12,0,sexta-feira,0,0.219257,17.524813,0,1
6,1,noite,0,0,2,2,2,5,0,sexta-feira,0,0.115218,9.209151,0,1
10,2,madrugada,0,0,1,1,0,0,0,quinta-Feira,1,0.106393,8.503749,0,1
8,1,madrugada,0,0,1,1,0,0,1,quarta-feira,0,0.058503,4.67605,0,1
83,1,madrugada,0,0,2,2,1,7,1,quarta-feira,0,0.107224,8.570181,0,1
12,51,noite,0,0,2,2,2,342,0,terca-feira,0,1.823581,145.75514,0,0
5,1,noite,0,0,11,11,9,41,0,segunda-feira,2,0.600306,47.979887,4,1
13,1,noite,3,0,5,8,4,91,4,segunda-feira,0,0.270936,21.693371,0,1
10,1,manha,0,0,1,1,0,0,1,segunda-feira,0,0.054813,4.389097,0,1
9,2,manha,0,0,2,2,2,40,0,segunda-feira,0,0.218539,17.499373,0,1
10,2,madrugada,0,0,1,1,0,0,1,segunda-feira,0,0.1158,9.272554,0,1
10,1,madrugada,0,0,2,2,1,10,1,segunda-feira,0,0.109216,8.745363,0,1
7,1,noite,0,0,2,2,0,0,2,domingo,0,0.098404,7.879633,0,1
12,1,noite,0,0,6,6,4,20,0,domingo,2,0.331699,26.560521,23,1
19,1,tarde,0,0,2,2,0,0,2,domingo,0,0.113609,9.097182,0,1
9,1,tarde,0,0,1,1,1,2,0,domingo,0,0.057568,4.609763,0,1
