@relation 'hazelcast-data-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R13,7,8,9,14,6,2,11,4,10,12,17,15,16,18,53'

@attribute doc_files numeric
@attribute num_commits numeric
@attribute files_added numeric
@attribute files_deleted numeric
@attribute other_files numeric
@attribute description_length numeric
@attribute created_at_day_turn {manha,madrugada,noite,tarde}
@attribute files_changed numeric
@attribute forward_links {false,true}
@attribute files_modified numeric
@attribute src_files numeric
@attribute new_entropy numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute entropy_diff numeric
@attribute status {0,1}

@data
0,1,0,0,0,5,manha,2,false,2,2,9.258144,62,0,0.044496,1
0,5,12,0,0,9,madrugada,17,false,5,20,23.75909,667,638,0.114191,1
0,3,0,0,1,77,noite,2,false,2,1,14.405142,5,0,0.069234,1
0,1,1,0,0,19,noite,3,false,2,3,14.063148,62,0,0.067605,1
0,3,0,0,1,46,tarde,2,false,2,1,14.157294,11,0,0.068058,1
0,2,0,0,0,8,tarde,2,false,2,2,19.467405,166,0,0.077106,1
0,3,0,0,0,3,tarde,25,false,25,25,222.752665,871,44,1.07318,1
0,1,0,0,0,16,manha,15,false,15,15,67.972072,78,47,0.327474,1
0,2,0,0,0,15,madrugada,34,false,34,34,304.612574,317,152,1.467552,1
0,6,0,0,1,76,noite,2,false,2,1,27.20614,82,0,0.131073,0
0,3,0,0,1,93,noite,2,false,2,1,12.827812,378,0,0.061801,0
0,6,0,0,1,73,noite,2,false,2,1,27.995334,56,0,0.134875,1
0,2,0,0,1,126,noite,35,false,35,34,164.716316,156,0,0.793565,1
0,13,13,4,1,90,noite,64,false,47,131,343.032425,2739,1111,1.65265,1
0,1,0,0,1,5,madrugada,1,false,1,0,4.942074,0,0,0.02381,0
0,1,0,0,1,5,madrugada,1,false,1,0,4.942074,0,0,0.02381,0
0,3,0,0,0,38,noite,7,false,7,7,66.206621,99,84,0.318971,1
0,1,0,0,0,10,noite,1,false,1,1,4.34001,7,0,0.020909,1
0,2,0,0,0,30,noite,2,false,2,2,14.026885,33,0,0.067579,1
0,2,0,0,0,62,tarde,3,false,3,3,14.053435,162,8,0.055662,1
0,2,0,0,0,62,tarde,3,false,3,3,14.020131,159,8,0.067546,1
0,2,0,0,0,7,tarde,2,false,2,2,17.540193,20,0,0.084505,1
0,1,0,0,1,84,tarde,2,false,2,1,9.145074,328,0,0.044222,1
