@relation 'kuma-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R6,2,5,7,10,11,12,13,8,17,1,15,18,14,9,53'

@attribute description_length numeric
@attribute created_at_day_turn {noite,madrugada,manha,tarde}
@attribute intra_branch {true,false}
@attribute num_commits numeric
@attribute files_modified numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute doc_files numeric
@attribute files_added numeric
@attribute new_entropy numeric
@attribute created_at_week_day {quinta-Feira,quarta-feira,sabado,sexta-feira,terca-feira,domingo,segunda-feira}
@attribute src_churn numeric
@attribute entropy_diff numeric
@attribute other_files numeric
@attribute files_deleted numeric
@attribute status {0,1}

@data
45,noite,true,4,3,3,2,0,0,37.233024,quinta-Feira,129,0.280399,1,0,1
3,noite,false,1,0,3,0,0,3,10.27483,quinta-Feira,0,0.077379,0,0,1
9,madrugada,false,2,1,1,0,1,0,10.219961,quarta-feira,0,0.076965,0,0,1
3,madrugada,true,4,5,5,5,0,0,13.084242,quarta-feira,24,0.098536,0,0,1
50,madrugada,true,2,3,5,4,1,2,33.740113,sabado,381,0.254176,0,0,1
15,madrugada,false,1,1,1,0,0,0,4.834351,sexta-feira,0,0.036419,1,0,0
86,noite,true,2,1,2,1,0,1,4.43679,quinta-Feira,66,0.033608,0,0,1
11,manha,false,1,1,1,1,0,0,4.121992,quinta-Feira,8,0.031223,0,0,1
13,madrugada,false,1,1,1,0,1,0,4.638913,quinta-Feira,0,0.035139,0,0,0
7,madrugada,false,1,10,16,7,8,0,45.421417,quinta-Feira,225,0.344055,0,6,1
10,noite,false,2,5,5,3,1,0,23.386116,quarta-feira,34,0.177019,0,0,1
50,manha,true,1,2,2,1,1,0,8.476328,quarta-feira,1,0.063833,0,0,1
36,manha,true,1,2,2,1,1,0,9.09322,quarta-feira,10,0.068479,0,0,1
25,madrugada,true,1,1,3,0,1,0,4.034301,quarta-feira,0,0.030381,2,2,1
60,madrugada,true,1,3,18,0,3,0,14.43829,quarta-feira,0,0.108731,15,15,1
40,tarde,true,2,2,2,2,0,0,17.733679,terca-feira,128,0.133597,0,0,1
62,madrugada,true,8,1,8,8,0,7,48.717884,terca-feira,191,0.367018,0,0,1
10,madrugada,true,4,8,8,8,0,0,46.174618,sabado,91,0.347859,0,0,1
3,madrugada,true,1,1,1,1,0,0,4.43686,quinta-Feira,0,0.033436,0,0,1
19,madrugada,true,2,1,2,2,0,1,17.355944,quarta-feira,346,0.130838,0,0,1
