@relation 'marathon-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R6,7,2,14,10,1,11,8,9,12,16,17,20,21,15,53'

@attribute description_length numeric
@attribute num_commits numeric
@attribute created_at_day_turn {noite,tarde,madrugada,manha}
@attribute other_files numeric
@attribute files_modified numeric
@attribute created_at_week_day {terca-feira,segunda-feira,sexta-feira,quinta-Feira,quarta-feira,domingo,sabado}
@attribute files_changed numeric
@attribute files_added numeric
@attribute files_deleted numeric
@attribute src_files numeric
@attribute test_churn numeric
@attribute new_entropy numeric
@attribute commits_to_hottest_file numeric
@attribute hotness numeric
@attribute src_churn numeric
@attribute status {0,1}

@data
6,1,noite,0,1,terca-feira,1,0,0,1,0,4.613288,4,0.003763,2,1
7,3,noite,0,38,segunda-feira,44,5,1,46,807,263.379917,39,0.011268,1102,0
83,2,noite,0,2,segunda-feira,2,0,0,2,0,9.354892,10,0.009276,70,1
5,1,tarde,0,1,segunda-feira,1,0,0,1,0,4.631456,20,0.018622,2,1
43,2,noite,0,36,sexta-feira,39,3,0,40,1328,365.238483,37,0.011321,1362,1
32,3,noite,0,10,sexta-feira,10,0,0,10,131,28.783581,30,0.018868,110,1
14,2,tarde,0,4,quinta-Feira,4,0,0,4,38,18.166963,33,0.016098,18,1
8,2,madrugada,0,14,quinta-Feira,14,0,0,14,191,32.402768,41,0.013346,226,1
4,4,noite,0,10,quarta-feira,10,0,0,10,0,103.456819,24,0.002838,887,1
16,1,noite,0,4,quarta-feira,4,0,0,4,12,18.723776,41,0.029412,36,1
14,2,noite,0,2,quarta-feira,2,0,0,2,54,9.548009,37,0.035238,15,1
10,4,tarde,0,27,quarta-feira,38,11,0,39,1313,218.752087,35,0.005731,981,1
3,1,tarde,0,1,quarta-feira,1,0,0,1,0,4.719962,33,0.031489,4,1
5,1,tarde,0,1,quarta-feira,1,0,0,1,0,4.900084,33,0.031519,4,0
17,3,tarde,0,3,quarta-feira,3,0,0,3,22,13.955154,0,0,52,0
5,2,tarde,0,4,quarta-feira,4,0,0,4,0,35.839123,25,0.019212,36,1
8,1,noite,0,1,terca-feira,1,0,0,1,0,4.972052,19,0.01834,1,1
72,2,noite,0,7,segunda-feira,7,0,0,7,7,28.254752,30,0.011776,225,1
21,3,noite,0,20,segunda-feira,23,3,0,23,581,147.532001,30,0.005894,674,1
73,4,noite,0,29,segunda-feira,30,1,0,28,1255,271.784526,28,0.010816,1674,1
4,1,tarde,0,1,segunda-feira,3,0,2,3,146,4.376568,25,0.011799,41,1
7,4,noite,0,22,sexta-feira,24,2,0,22,844,156.981172,28,0.003949,1055,1
5,2,noite,0,5,sexta-feira,5,0,0,5,33,33.320199,4,0.00198,107,1
4,2,noite,2,6,sexta-feira,6,0,0,4,4,54.44775,20,0.017946,30,1
15,2,noite,0,3,quinta-Feira,3,0,0,3,42,8.891468,8,0.008205,31,1
16,2,noite,0,3,quinta-Feira,3,0,0,2,12,9.191112,28,0.028807,50,1
13,1,noite,0,1,quinta-Feira,1,0,0,1,0,4.376516,2,0.002058,2,1
58,2,noite,0,10,quinta-Feira,10,0,0,8,228,36.63648,21,0.010309,66,1
14,2,tarde,0,3,quinta-Feira,3,0,0,3,49,4.500625,8,0.00823,11,1
6,1,tarde,1,1,quarta-feira,1,0,0,0,0,4.834054,10,0.010081,0,0
46,2,madrugada,0,2,quarta-feira,2,0,0,2,12,4.677282,4,4,3,0
2,1,noite,0,3,terca-feira,3,0,0,3,4,13.70161,15,0.008982,15,1
3,1,noite,0,2,terca-feira,2,0,0,2,0,9.308861,3,0.002994,8,1
41,2,tarde,0,12,terca-feira,17,4,1,19,374,48.05834,27,0.00199,732,1
7,1,noite,0,3,segunda-feira,3,0,0,3,15,13.882169,18,0.009597,9,1
20,2,tarde,0,8,segunda-feira,8,0,0,8,230,29.162232,30,0.007685,89,1
29,2,tarde,0,6,segunda-feira,6,0,0,6,644,56.273603,19,0.007692,4,1
120,35,noite,2,22,domingo,23,1,0,21,219,200.918303,28,0.009643,322,0
6,2,madrugada,0,1,sexta-feira,1,0,0,1,0,8.994306,0,0,75,1
5,2,madrugada,0,1,sexta-feira,1,0,0,1,0,9.812989,13,0.012253,87,1
4,1,madrugada,0,1,sexta-feira,1,0,0,1,0,4.8215,2,0.001889,22,1
4,1,madrugada,0,1,sexta-feira,1,0,0,1,0,4.802726,7,0.006641,6,1
50,2,noite,0,3,quarta-feira,3,0,0,3,12,14.129802,17,0.001929,93,1
16,3,noite,1,1,quarta-feira,1,0,0,0,0,4.269572,10,0.009653,0,1
9,1,noite,0,1,quarta-feira,1,0,0,0,0,4.269572,10,0.009671,0,1
6,1,noite,0,1,quarta-feira,1,0,0,0,0,4.269572,10,0.009699,0,0
5,1,noite,0,1,quarta-feira,1,0,0,1,0,4.908429,24,0.023278,1,1
3,1,madrugada,0,1,quarta-feira,1,0,0,1,0,4.578013,0,0,69,1
5,1,noite,0,1,terca-feira,1,0,0,1,0,4.722874,2,0.001969,105,0
20,1,noite,0,1,terca-feira,1,0,0,1,0,4.977935,22,0.021956,3,1
6,1,tarde,0,1,terca-feira,1,0,0,1,0,4.52253,19,0.019019,2,0
41,1,tarde,0,5,terca-feira,5,0,0,5,12,23.694809,12,0.002012,24,1
27,2,manha,0,3,terca-feira,3,0,0,3,3,9.28591,22,0.022335,28,1
3,5,madrugada,2,38,terca-feira,42,4,0,38,1218,389.74034,28,0.006091,3015,1
190,12,tarde,0,62,segunda-feira,78,11,5,77,1577,300.546837,25,0.004124,2206,1
4,1,madrugada,0,1,sabado,1,0,0,1,0,4.797055,5,0.005086,49,0
4,1,madrugada,0,1,sabado,1,0,0,1,0,4.951184,13,0.013238,64,1
5,1,madrugada,0,1,sabado,1,0,0,1,0,5.069328,5,0.005097,120,0
5,1,madrugada,0,1,sabado,1,0,0,1,0,4.734019,2,0.002041,110,0
3,2,madrugada,0,1,sabado,1,0,0,1,0,9.367317,0,0,19,0
4,1,madrugada,0,1,sabado,1,0,0,1,0,4.768014,3,0.003071,26,0
5,1,madrugada,0,1,sabado,1,0,0,1,0,4.780597,3,0.003074,39,0
94,1,madrugada,0,1,sabado,1,0,0,1,0,4.760243,2,0.002051,8,1
5,2,madrugada,0,6,sabado,6,0,0,6,8,13.308118,10,0.006173,16,1
20,2,noite,0,2,sexta-feira,2,0,0,2,11,4.591238,10,0.010299,18,1
31,1,noite,0,12,sexta-feira,12,0,0,12,107,56.739026,26,0.016495,96,1
23,1,madrugada,0,1,sexta-feira,1,0,0,1,0,5.045065,0,0,27,1
5,1,noite,0,3,quinta-Feira,3,0,0,3,19,14.581405,23,0.015674,9,1
30,2,noite,0,8,quinta-Feira,9,1,0,9,103,32.419407,12,0.006276,113,1
6,2,noite,0,3,quinta-Feira,3,0,0,3,0,18.137897,18,0.016771,34,1
10,2,noite,2,10,quinta-Feira,10,0,0,7,81,75.914901,26,0.00843,1315,0
6,1,manha,0,1,quinta-Feira,1,0,0,1,0,5.167405,11,0.011677,6,1
17,2,noite,2,2,quarta-feira,2,0,0,0,0,9.85899,10,0.010593,0,1
24,2,noite,0,7,quarta-feira,7,0,0,7,92,33.140713,21,0.008484,204,1
26,2,noite,0,2,quarta-feira,2,0,0,2,0,18.640465,0,0,52,1
73,2,noite,0,5,quarta-feira,5,0,0,5,107,13.998355,10,0.008511,122,1
6,1,noite,0,1,quarta-feira,1,0,0,1,0,4.090416,0,0,2,1
2,1,madrugada,0,1,quarta-feira,1,0,0,1,0,4.759264,5,0.005342,30,1
16,1,noite,0,2,terca-feira,2,0,0,2,0,9.823324,9,0.009626,16,1
5,2,tarde,0,1,terca-feira,1,0,0,1,0,9.4798,26,0.027897,18,1
6,2,tarde,0,2,terca-feira,2,0,0,2,0,4.52253,17,0.018359,24,0
158,1,tarde,0,1,segunda-feira,1,0,0,1,0,4.716255,3,0.003243,4,1
32,2,noite,0,2,domingo,2,0,0,2,0,8.373005,0,0,4,1
42,2,madrugada,0,35,sexta-feira,38,3,0,38,1124,290.641931,24,0.002144,1797,1
11,2,madrugada,0,6,sexta-feira,6,0,0,6,2,19.141163,10,0.006431,41,1
41,1,noite,0,0,quinta-Feira,1,1,0,1,105,4.956506,0,0,0,1
14,1,noite,0,1,quinta-Feira,1,0,0,1,38,4.707587,8,0.008584,0,1
9,2,noite,0,10,quinta-Feira,10,0,0,9,102,93.94054,19,0.011905,1925,1
14,2,tarde,0,2,quinta-Feira,2,0,0,2,4,9.644304,5,0.005435,10,1
20,2,noite,0,2,quarta-feira,2,0,0,2,4,8.969401,12,0.012945,39,1
11,4,noite,0,53,quarta-feira,56,1,2,56,1357,254.320208,24,0.012959,872,1
7,2,noite,0,42,terca-feira,43,1,0,43,921,392.222571,22,0.009605,632,1
16,2,noite,1,2,terca-feira,2,0,0,1,0,9.328094,12,0.013015,15,1
7,2,noite,0,15,terca-feira,15,0,0,15,142,135.734622,16,0.004343,333,1
12,2,noite,0,18,terca-feira,18,0,0,18,182,165.681815,22,0.008715,326,1
29,1,noite,2,4,terca-feira,4,0,0,2,0,18.966257,13,0.008753,4,1
10,2,tarde,0,8,terca-feira,8,0,0,8,34,19.440828,20,0.017525,37,1
102,2,madrugada,1,3,terca-feira,3,0,0,2,6,18.744126,7,0.002186,4,0
36,2,noite,0,65,segunda-feira,65,0,0,65,2014,616.841048,20,0.008772,972,1
5,1,noite,0,1,segunda-feira,1,0,0,1,0,4.710681,10,0.010989,4,1
24,1,tarde,0,1,segunda-feira,1,0,0,1,0,4.52253,16,0.017719,2,0
4,1,tarde,0,1,segunda-feira,1,0,0,1,0,4.531086,8,0.008919,4,1
13,1,tarde,0,1,segunda-feira,1,0,0,1,0,4.534429,2,0.002232,3,1
4,2,madrugada,0,1,sabado,1,0,0,1,0,9.617074,0,0,68,1
83,2,noite,1,16,sexta-feira,23,7,0,21,948,185.607718,16,0.006579,1208,1
12,1,noite,0,3,sexta-feira,3,0,0,3,22,14.437438,16,0.00765,20,1
18,3,tarde,0,51,sexta-feira,57,6,0,56,1745,408.046254,18,0.006522,1414,1
20,1,tarde,1,1,sexta-feira,1,0,0,0,0,5.466052,0,0,0,1
14,2,manha,0,3,sexta-feira,4,1,0,3,0,36.942867,13,0.009783,623,1
9,2,noite,0,2,quinta-Feira,2,0,0,2,8,14.204534,16,0.017602,43,1
5,1,noite,0,1,quarta-feira,1,0,0,1,0,4.515493,13,0.014223,2,0
7,1,noite,0,1,quarta-feira,1,0,0,1,0,4.52298,11,0.012048,2,1
33,2,noite,0,4,quarta-feira,4,0,0,4,54,32.356856,14,0.008772,28,1
6,1,tarde,0,2,quarta-feira,2,0,0,2,0,9.833996,8,0.00882,16,1
6,1,noite,0,1,terca-feira,1,0,0,1,0,4.368162,2,0.002212,3,1
16,1,madrugada,0,1,sexta-feira,1,0,0,1,0,4.727587,4,0.00451,4,1
10,1,noite,0,1,quinta-Feira,1,0,0,1,0,4.557984,6,0.006772,2,1
24,2,noite,0,1,quinta-Feira,1,0,0,1,8,9.905138,0,0,0,1
3,2,noite,0,1,quinta-Feira,1,0,0,1,4,9.713847,4,0.00452,0,1
25,1,noite,0,2,quinta-Feira,2,0,0,2,0,9.150977,8,0.00904,6,1
13,1,noite,0,1,quinta-Feira,1,0,0,1,0,4.511406,15,0.016949,2,0
25,6,noite,0,18,quinta-Feira,19,1,0,19,564,220.964073,9,0.00452,899,1
15,1,madrugada,0,1,quinta-Feira,1,0,0,1,0,4.628611,22,0.025316,2,1
6,1,noite,0,1,quarta-feira,1,0,0,1,0,4.515493,11,0.012776,2,0
72,2,noite,1,12,quarta-feira,19,7,0,16,0,52.761005,16,0,558,1
15,1,tarde,0,1,quarta-feira,1,0,0,1,0,4.890714,18,0.021277,7,1
3,2,tarde,0,1,quarta-feira,1,0,0,1,0,9.664192,3,0.003559,8,1
22,2,noite,0,4,terca-feira,5,1,0,5,259,19.355037,6,0.004739,281,1
8,2,noite,0,1,terca-feira,2,1,0,1,0,14.247604,9,0.010676,146,1
27,2,noite,0,24,terca-feira,24,0,0,24,112,179.640136,20,0.004762,248,1
5,1,noite,0,1,terca-feira,1,0,0,1,0,4.827471,7,0.008403,5,1
40,2,noite,1,1,segunda-feira,2,1,0,1,0,4.779184,2,0.002421,68,1
4,1,noite,0,1,segunda-feira,1,0,0,1,0,4.8219,28,0.034188,27,0
16,1,tarde,0,2,segunda-feira,2,0,0,2,0,9.855893,6,0.007344,16,1
7,2,tarde,0,4,segunda-feira,5,1,0,4,0,36.113162,19,0.009864,287,1
18,1,tarde,2,3,segunda-feira,3,0,0,1,0,13.370723,11,0.006196,20,1
6,1,noite,0,1,sexta-feira,1,0,0,1,0,4.630714,13,0.01601,2,0
21,3,noite,1,7,sexta-feira,8,1,0,7,146,14.418782,0,0,266,1
4,2,tarde,0,1,sexta-feira,1,0,0,1,0,4.716833,25,0.031056,77,1
3,1,madrugada,0,1,sexta-feira,1,0,0,1,0,4.76719,1,0.001236,2,1
7,1,tarde,0,2,quinta-Feira,2,0,0,2,15,9.613442,18,0.02214,2,1
22,2,noite,0,4,quarta-feira,4,0,0,4,76,14.48047,9,0.002439,65,1
8,1,tarde,0,2,quarta-feira,2,0,0,2,11,9.701233,16,0.0193,2,1
4,2,tarde,0,1,quarta-feira,1,0,0,1,0,9.337932,15,0.018116,4,1
12,1,noite,0,4,terca-feira,4,0,0,4,76,18.792484,16,0.016908,63,1
4,1,noite,1,2,terca-feira,2,0,0,1,66,8.792114,11,0.013301,0,1
5,1,noite,0,2,terca-feira,2,0,0,2,0,9.22101,0,0,10,1
5,2,tarde,0,1,terca-feira,1,0,0,1,0,9.1534,26,0.031439,16,1
11,1,tarde,1,1,terca-feira,1,0,0,1,0,4.72529,26,0.031553,10,1
39,2,noite,0,3,segunda-feira,3,0,0,3,25,9.29371,4,0.004854,19,1
28,2,noite,0,48,segunda-feira,48,0,0,48,730,436.268928,14,0.007299,447,1
145,5,noite,1,18,segunda-feira,32,12,2,24,56,202.327871,20,0.002457,1737,0
59,3,madrugada,2,2,sabado,2,0,0,0,0,9.870713,6,0.007282,0,1
72,1,madrugada,1,1,sabado,1,0,0,0,0,4.940821,1,0.001214,0,1
7,1,noite,0,1,sexta-feira,1,0,0,1,0,4.546633,28,0.034063,8,1
18,1,noite,0,3,quinta-Feira,3,0,0,3,0,14.067594,2,0,12,1
51,3,noite,0,27,quinta-Feira,28,0,1,27,472,240.282709,12,0.005903,675,1
9,1,noite,0,7,quinta-Feira,7,0,0,7,230,33.111649,9,0.003521,102,1
6,1,noite,0,1,quinta-Feira,1,0,0,1,0,4.511406,19,0.0223,2,0
62,1,tarde,0,2,quinta-Feira,2,0,0,2,69,9.266202,18,0.021127,17,1
33,1,noite,0,3,quarta-feira,3,0,0,3,4,14.073831,26,0.016037,29,1
26,2,noite,0,1,quarta-feira,1,0,0,1,32,10.108658,10,0.011641,0,1
30,3,noite,0,30,quarta-feira,33,0,3,41,2035,142.56186,15,0.002328,1998,1
46,2,noite,4,3,quarta-feira,4,1,0,0,0,40.982717,7,0.008159,0,1
2,1,noite,0,1,quarta-feira,1,0,0,1,0,4.546781,31,0.036471,11,1
28,2,tarde,0,5,quarta-feira,5,0,0,2,31,4.855651,2,0.002358,3,1
9,1,noite,0,2,terca-feira,2,0,0,2,9,9.418006,18,0.020761,8,1
6,1,noite,0,1,terca-feira,1,0,0,1,0,4.828744,18,0.02069,13,1
22,2,noite,2,1,terca-feira,2,1,0,0,0,9.205617,0,0,0,1
2,3,noite,0,4,terca-feira,4,0,0,4,2,27.425289,5,0.004619,65,1
16,2,noite,0,33,terca-feira,33,0,0,33,26,296.824618,18,0.002312,259,1
96,2,noite,0,2,terca-feira,2,0,0,2,111,19.450487,12,0.013857,79,1
19,2,noite,0,10,terca-feira,16,4,2,16,442,115.445843,23,0.002323,737,1
10,2,tarde,0,2,terca-feira,2,0,0,2,38,9.789145,10,0.011587,30,1
5,2,madrugada,2,19,terca-feira,20,1,0,18,369,130.671241,15,0.004603,452,1
47,2,madrugada,2,13,terca-feira,14,1,0,12,350,130.569563,14,0.006904,332,0
23,1,madrugada,0,5,domingo,5,0,0,3,2,22.415914,4,0.002326,4,1
15,1,madrugada,0,4,domingo,4,0,0,4,30,19.142107,3,0.003488,12,0
19,2,noite,0,1,sexta-feira,1,0,0,1,0,9.400548,2,0.002247,20,1
11,1,noite,0,1,sexta-feira,1,0,0,1,0,4.69842,4,0.004505,2,0
14,1,noite,0,2,sexta-feira,2,0,0,2,4,9.77766,6,0.006772,3,1
9,1,madrugada,0,1,sexta-feira,1,0,0,1,0,4.703379,2,0.002278,4,1
8,2,madrugada,0,3,sexta-feira,6,3,0,6,365,37.745038,8,0,185,1
5,1,noite,0,1,quinta-Feira,1,0,0,1,8,5.209229,12,0.014184,0,1
