@relation 'metasploit-framework-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,6,11,8,12,10,17,18,15,1,5,23,14,25,53'

@attribute num_commits numeric
@attribute created_at_day_turn {noite,manha,madrugada,tarde}
@attribute description_length numeric
@attribute files_changed numeric
@attribute files_added numeric
@attribute src_files numeric
@attribute files_modified numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute src_churn numeric
@attribute created_at_week_day {terca-feira,segunda-feira,sabado,sexta-feira,quarta-feira,domingo,quinta-Feira}
@attribute intra_branch {false,true}
@attribute at_mentions_comments numeric
@attribute other_files numeric
@attribute project_succ_rate numeric
@attribute status {0,1}

@data
1,noite,116,2,1,1,1,4.891269,0.013213,2,terca-feira,false,0,1,0.838982,1
1,manha,64,2,1,2,1,9.58478,0.025895,138,segunda-feira,false,0,0,0.838953,1
1,madrugada,51,1,0,1,1,4.411462,0.011921,2,segunda-feira,false,0,0,0.838924,1
1,madrugada,7,2,0,2,2,9.015377,0.024363,7,segunda-feira,false,0,0,0.838895,1
1,madrugada,259,1,0,1,1,4.864071,0.013146,2,sabado,false,0,0,0.838866,1
1,madrugada,320,1,0,1,1,4.55613,0.012314,2,sabado,false,0,0,0.838837,1
2,madrugada,121,1,1,2,0,4.767033,0.012884,159,sabado,false,0,0,0.838808,1
1,noite,58,1,0,1,1,4.724451,0.012769,2,sexta-feira,false,0,0,0.838779,1
1,noite,102,1,0,1,1,4.82494,0.01304,7,sexta-feira,false,0,0,0.83875,1
1,manha,4,1,1,0,0,0,0,0,sexta-feira,false,3,0,0.838901,0
1,manha,7,1,0,1,1,4.584419,0.01239,2,sexta-feira,false,0,0,0.838872,1
1,madrugada,60,2,0,2,2,9.186659,0.024829,6,sexta-feira,false,0,0,0.838843,1
1,noite,192,1,0,1,1,4.360369,0.011786,2,quarta-feira,false,1,0,0.838814,1
16,madrugada,4,11,0,10,11,78.107186,0.211127,198,quarta-feira,false,0,1,0.838785,1
1,noite,16,300,0,301,300,1378.085275,3.725025,615,terca-feira,false,2,0,0.838756,1
9,madrugada,398,3,0,3,3,65.144035,0.176087,223,terca-feira,false,1,0,0.838727,1
1,madrugada,11,9,0,9,9,40.464227,0.109388,24,terca-feira,false,0,0,0.838698,1
1,noite,37,1,0,1,1,4.381094,0.011844,7,segunda-feira,false,0,0,0.838849,0
4,tarde,28,477,0,478,477,2182.968951,5.900661,954,segunda-feira,false,4,0,0.83882,1
1,manha,64,1,0,1,1,4.710425,0.012732,2,segunda-feira,false,0,0,0.838791,1
2,manha,192,18,0,18,18,78.228516,0.211455,38,segunda-feira,false,0,0,0.838762,1
3,madrugada,23,1,0,1,1,4.977418,0.013451,29,domingo,false,0,0,0.838884,1
2,noite,21,1,0,1,1,4.979605,0.013457,29,sabado,false,2,0,0.839035,0
2,manha,229,6,0,6,6,21.710713,0.058664,70,quinta-Feira,false,1,0,0.839308,1
2,noite,15,1,0,0,1,9.060115,0.024481,0,quarta-feira,false,0,1,0.839279,1
1,noite,23,1,0,1,1,4.59452,0.012431,2,terca-feira,false,0,0,0.83925,1
4,noite,45,1,0,1,1,18.699053,0.050533,64,terca-feira,false,0,0,0.839221,1
2,noite,195,1,0,1,1,4.178598,0.011292,16,terca-feira,false,0,0,0.839192,1
1,manha,52,1,1,1,0,4.720841,0.01276,78,terca-feira,false,5,0,0.839315,1
8,madrugada,117,2,1,1,1,4.834543,0.013067,479,terca-feira,false,0,0,0.839286,1
1,madrugada,38,1,0,1,1,4.024475,0.010889,0,terca-feira,false,0,0,0.839257,1
1,madrugada,38,1,0,1,1,4.024475,0.010889,0,terca-feira,false,0,0,0.839408,0
1,noite,31,1,0,1,1,4.145988,0.011206,2,segunda-feira,false,0,0,0.839379,1
1,noite,288,2,0,2,2,9.100286,0.024603,3,segunda-feira,false,1,0,0.83935,1
8,madrugada,39,6,0,4,5,65.143542,0.176117,452,sabado,false,1,2,0.839473,1
2,madrugada,82,5,0,5,5,27.362893,0.074035,24,sabado,false,0,0,0.839444,1
2,manha,9,3,2,4,1,9.446372,0.025549,179,sexta-feira,false,5,0,0.839415,1
2,noite,56,5,0,5,5,27.362893,0.074035,24,quinta-Feira,false,0,0,0.839537,1
7,tarde,523,6,3,4,3,18.472934,0.049975,742,quarta-feira,false,17,0,0.839689,0
4,noite,21,1,0,1,1,5.015451,0.013568,57,terca-feira,false,4,0,0.83966,1
1,madrugada,7,1,0,1,1,4.746149,0.012842,1,terca-feira,false,1,0,0.839631,1
3,noite,7,3,2,2,1,9.57657,0.025911,57,segunda-feira,false,0,0,0.839602,1
1,manha,80,1,0,1,1,4.464502,0.01208,2,segunda-feira,false,1,0,0.839573,1
