@relation 'meteor-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,4,6,9,11,8,10,12,13,36,1,15,18,19,53'

@attribute num_commits numeric
@attribute created_at_day_turn {manha,madrugada,noite,tarde}
@attribute forward_links {false,true}
@attribute description_length numeric
@attribute files_deleted numeric
@attribute files_changed numeric
@attribute files_added numeric
@attribute files_modified numeric
@attribute src_files numeric
@attribute doc_files numeric
@attribute requester {emgee3,tmeasday,aldeed,glasser,zol,Primigenus,woogenius,laosb,Sarah-Alsinan,mitar,aericson,mattmccutchen,martijnwalraven,trusktr,jithesh55,meonkeys,birkskyum,Kauress,cloudzombie,LewisW,sebakerckhof,avital,fabienb4,dotansimha,lassombra,mquandalle,queso,rafael-nunez,emars,benjamn,pra85,okland,ozsay,zimme,rdickert,jiku,jrmlstf,tonycastle,nagelflorian,sedouard,n1mmy,bwobst,mjmasn,bwhitty,IeuanG,nathan-muir,brunocassol,Veered,aofrozen,slava,sheeldotme,reel,lpinto93,horner,oricordeau,talha-asad,robfallows,devgrok,skishore,rgoomar,stubailo,bySabi,dburles,welelay,mbrookes,TomFreudenberg,zacharydenton,markoshust,yhoiseth,TechplexEngineer,AlexeyMK,greggman,benweissmann,timwachsener,KiwiHacks08,martijndeh,Gwendall,JonTheNiceGuy,ekatek,eXon,ClarenceL,theavish,anand-vishal,bradvogel,kencheung,dandv,johnthepink,brettle,yyx990803,DAB0mB,aramk,pbastowski,sclausen,DCKT,lalomartins,shadedprofit,maxnowack,cedla,wojtkowiak,wh0,Urigo,brianlukoff,OleksandrChekhovskyi,vjau,cherbst,dgreensp,luohuazju,tomwasd,timhaines,quetzalcoatl,anubhav94,servel333,Rebolon,TC827,JamesMGreene,acidsound,atcwells,peterchoo,wbyrnetx,kookoskar,lieuwex,kentonv,omeid,patmoore,RobertLowe,chmac,edwinlin1987,firdausramlan,clothiersphere,robertpitt,tahirabas12,ffxsam,ApplePicke,jboulhous,Kriegslustig,freiit,carterchung,HQingYi,zhenyasav,gsuess,dolgarev,zicai,speciose,Lavan,adhearn,alanning,BraveKenny,jperl,Andarist,avalanche1,rbabayoff,lezed1,copleykj,jagi,jozzas,dferber90,maersu,DenisGorbachev,krazyeom,SachaG,ryneeverett,skagedal,warrenseine,ecwyne,hammadasad,hjst,edull24,dabrorius,Siilwyn,ksepehri,aquator,raix,Dev1an,srounce,Danieboy,jamgold,Sanjo,zyzo,lucendio,rjakobsson,hwillson,dropfen,murillo128,tomarcafe,svda,koolaid1551,Tarang,multilinear,bobiblazeski,hypno2000,mininao,mariorodriguespt,jakozaur,awatson1978,yauh,romanzolotarev,tomByrer,0a-,DanielDent,prasadKodeInCloud,d4nyll,estark37,cuberoot,smallhelm,netanelgilad,prinzdezibel,fay-jai,nothingisdead,splendido,lourd,strikeout,adnissen,restebanez,rissem,knownasilya,ogourment,locksmithdon,taromero,graemian,comerc,musically-ut,waitingkuo,colllin,physiocoder,DanielDornhardt,anstarovoyt,Cangit,ChristianBundy,pcjpcj2,Maxim-Filimonov,PooMaster,sebsylvester,ograycode,chrisbridgett,LyuGGang,olizilla,kevinchiu,awwx,matteodem,plexorama,andylash,stefankutko,mizzao,gitter-badger,adelq,timbrandin,rosh93,vince-stark,Gaelan,richguan,rick-golden-healthagen,davidworkman9,rzymek,pscanf,ryanmurakami,timoabend,evliu,subhog,wulfmeister,prapicault,clauswitt,theosp,justinsb,CryptoQuick,WimAtIHomer,RichardLitt,giavjeko,apendua,JimHough,twhy,MaximDubrovin,plachintas,Sewdn,lorensr,thatneat,ImtiazMajeed,boneyao,cmather,ORiON-,duckspeaker,iamstephenkerr,jbruni,FredericoC,ducdigital,pahans,kevb,babenzele,arbesfeld,juan-lavaina,tbjers,mikowals,rcy,andyeskridge,AntonLS,felixrabe,vsivsi,arunoda,Pent,nodecoder,Neftedollar,lukemt,davegonzalez,rgould,paulswartz,gdi2290,jfhamlin,subjective,marcandre,ankurp,greggdourgarian,patrickleet,yeputons,andreas-karlsson,OyoKooN,michaelbishop,mart-jansink,siggioskarsson,jvanveen,jaredsohn,gandev-de,alexhancock,ScottPolhemus,Tarangp,danieljonce,FooBarWidget,blackcoat,lencinhaus,andriesmalan,MaerF0x0,zeldovich,et,akralj,mcbain,demyanrogozhin,mrmrs,bitsthatmatter,Maxhodges,codeinthehole,sdarnell,bruceharris,BenjaminRH,dnprock,opyh,ansman,meawoppl,andreioprisan,jpmx,ryw,btipling,mrhein,eymiha,deepwell,eldog,bchelli,reezer,drgorb,Xample,yubozhao,lennartcl,zvictor,johnston,adamjspooner,jacott,ashaffer,stephentcannon,gib,pius,sixolet,pmark,jagill,spang,AjayMT,joshuaconner,tutukin,ianserlin,kevee,erundook,jhoxray,reustle,pstuart2,justinledwards,nate-strauser,sylvaingi,rasmuserik,haircuttedfreak,jmhredsox,kevinxucs,qzg,biocross,krizka,michaelglenadams,jerico-dev,dbimmler,belisarius222,Multiply,mrcoles,bbbmmmlll,wihl,RoboTeddy,hijonathan,crunchie84,milesmatthias,xenolf,bramp,bminer,zealoushacker,imageoptimiser,michaelneale,geoffd123,danawoodman,AVGP,rep,scottburch,hipertracker,substack,Ed-von-Schleck,airlok,TimHeckel,acemtp,nwmartin,roymax,workmad3,lvbreda,stephanebisson,Charuru,Gigaroby,75lb,jwulf,ayal,evo42,html5cat,jbernab,tifroz,motro,yonggao,bradens,yanivoliver,possibilities,fivethirty,psoots,joshrtay,TomWij,alansikora,jaeh,heavyk,zhangcheng,alex-seville,corbanbrook,MStumpp,adrusi,mpj,node-migrator-bot,ibash,groodt,TrevorBurnham,1337807,sindrenm,wbzyl,thomasf1,jonathanKingston,jlamontagne,huetsch,clarete,cobbweb,barisbalic,antoviaque,tylerball,phillc,bfirsh,climboid,JasonGiedymin,jackp,gabriel-dehan,d2s,viddo,dsummersl,adrianmaurer,txm,alanvdam,jpmec,AndyMoreland,skalb,iwoj,mindscratch,bobbywarner,shama,jamesotron,dmayle,andredublin,kiba,heikki,thatguydan,joshmcarthur,quarterto,cldwalker,ghostrocket,bnookala,hswolff,davemo,edward,debergalis}
@attribute created_at_week_day {terca-feira,segunda-feira,domingo,sabado,sexta-feira,quinta-Feira,quarta-feira}
@attribute src_churn numeric
@attribute entropy_diff numeric
@attribute commits_on_files_touched numeric
@attribute status {0,1}

@data
1,manha,false,31,0,1,0,1,1,0,emgee3,terca-feira,2,0.05039,37,1
1,madrugada,false,79,0,1,0,1,1,0,tmeasday,segunda-feira,10,0.050383,42,1
2,manha,false,29,0,1,0,1,1,0,aldeed,domingo,12,0.049533,8,1
1,madrugada,false,7,0,8,0,8,6,1,glasser,sabado,28,0.381001,33,1
1,manha,false,14,0,3,0,3,2,0,tmeasday,sexta-feira,33,0.143948,51,1
2,madrugada,false,6,0,1,0,1,1,0,zol,sexta-feira,4,0.048288,37,0
2,manha,false,51,0,1,0,1,1,0,tmeasday,quinta-Feira,39,0.100071,4,1
1,noite,false,7,0,1,0,1,1,0,Primigenus,quarta-feira,2,0.047581,39,1
1,manha,false,53,0,1,0,1,1,0,woogenius,quarta-feira,4,0.042796,0,1
3,manha,false,10,0,9,1,8,7,0,tmeasday,quarta-feira,64,0.432249,96,1
2,manha,false,74,0,4,0,4,4,0,aldeed,quarta-feira,88,0.191334,17,1
1,tarde,false,24,0,1,0,1,1,0,laosb,sabado,13,0.039696,11,1
1,tarde,false,9,0,1,0,1,1,0,Sarah-Alsinan,sexta-feira,2,0.03948,0,1
1,tarde,false,12,0,1,0,1,1,0,Sarah-Alsinan,sexta-feira,2,0.039804,2,1
1,tarde,false,10,0,1,0,1,1,0,Sarah-Alsinan,sexta-feira,2,0.039652,0,1
1,tarde,false,42,300,300,0,0,38,85,tmeasday,quinta-Feira,2663,0,4,1
1,manha,false,7,0,5,1,4,5,0,mitar,quinta-Feira,75,0.207668,8,1
1,madrugada,false,40,0,1,0,1,0,1,zol,quarta-feira,0,0.043377,2,1
2,manha,false,41,3,8,3,2,4,3,tmeasday,terca-feira,65,0.191893,6,1
1,tarde,false,9,0,1,0,1,1,0,mitar,domingo,2,0.037379,0,0
1,noite,false,69,0,3,0,3,2,0,aericson,sabado,6,0.124341,0,1
9,tarde,false,93,0,3,0,3,1,1,laosb,sabado,19,0.120652,2,0
1,noite,false,184,0,1,0,1,1,0,mattmccutchen,sexta-feira,9,0.040968,0,1
7,manha,false,7,0,4,0,4,3,0,tmeasday,sexta-feira,100,0.161358,30,1
5,manha,false,7,1,10,1,8,8,0,tmeasday,quinta-Feira,225,0.261891,20,1
6,noite,false,194,1,9,1,7,8,0,martijnwalraven,quarta-feira,122,0.367686,42,1
1,madrugada,false,8,0,1,0,1,1,0,trusktr,quarta-feira,6,0.039617,1,1
2,manha,false,15,0,2,0,2,1,0,tmeasday,terca-feira,13,0.078573,25,1
2,manha,false,39,0,1,0,1,0,0,tmeasday,segunda-feira,0,0.037061,4,1
1,manha,false,46,0,1,0,1,1,0,tmeasday,segunda-feira,2,0.041398,17,1
1,tarde,false,29,0,1,0,1,1,0,laosb,sexta-feira,2,0.039522,4,1
1,tarde,false,3,0,2,0,2,2,0,tmeasday,quarta-feira,13,0.078053,0,1
197,tarde,false,2,7,400,182,211,304,12,tmeasday,quarta-feira,16899,58.116191,84,1
1,madrugada,false,38,0,1,0,1,1,0,tmeasday,quarta-feira,4,0.038127,0,1
8,tarde,false,1,0,6,0,6,5,0,jithesh55,terca-feira,38,0.249043,9,1
1,noite,false,7,0,1,0,1,1,0,meonkeys,segunda-feira,2,0.039474,8,1
1,noite,false,4,0,1,0,1,1,0,birkskyum,domingo,3,0.038581,15,1
14,noite,false,46,0,7,0,7,6,0,Kauress,domingo,56,0.486639,10,1
3,noite,false,4,0,27,0,27,26,0,cloudzombie,sexta-feira,64,1.153471,13,0
2,madrugada,false,43,0,3,0,3,3,0,LewisW,sexta-feira,21,0.082179,1,1
1,tarde,false,121,0,11,0,11,26,0,sebakerckhof,quarta-feira,77,0.44774,15,1
1,tarde,false,4,0,1,0,1,1,0,mitar,quarta-feira,8,0.042405,1,1
1,madrugada,false,6,0,1,0,1,1,0,avital,terca-feira,4,0.038343,0,0
1,madrugada,false,21,0,1,0,1,1,0,fabienb4,segunda-feira,6,0.043178,0,1
1,noite,false,16,0,1,0,1,1,0,dotansimha,domingo,2,0.042073,4,1
1,manha,false,47,0,3,0,3,3,0,mitar,domingo,18,0.134357,4,1
6,manha,false,46,0,3,0,3,3,0,lassombra,domingo,71,0.24527,3,1
1,madrugada,false,9,0,1,0,1,1,0,mitar,domingo,136,0.04119,13,1
1,noite,false,65,0,1,0,1,1,0,mquandalle,sabado,30,0.041005,10,1
4,madrugada,false,25,0,1,0,1,1,0,queso,sabado,25,0.040297,3,1
4,noite,false,59,0,1,0,1,1,0,rafael-nunez,sexta-feira,14,0.118523,0,0
1,madrugada,false,32,0,1,0,1,1,0,mitar,sexta-feira,3,0.03893,2,1
2,tarde,false,7,0,4,0,4,4,0,sebakerckhof,quarta-feira,15,0.125535,2,0
1,manha,false,6,0,3,0,3,3,0,emars,quarta-feira,13,0.128586,0,1
3,noite,false,71,0,11,2,9,9,0,benjamn,terca-feira,22,0.356543,25,1
1,noite,false,12,0,1,0,1,1,0,pra85,terca-feira,2,0.041323,0,1
3,manha,false,19,0,1,0,1,1,0,lassombra,segunda-feira,6,0.03818,0,1
1,madrugada,false,63,0,1,0,1,1,0,okland,sabado,5,0.040495,2,0
2,tarde,false,6,0,2,0,2,2,0,ozsay,quinta-Feira,10,0.084702,0,0
1,madrugada,false,29,0,1,0,1,1,0,mitar,quinta-Feira,2,0.040286,14,1
1,tarde,false,5,0,1,0,1,1,0,zimme,terca-feira,5,0.044503,9,1
1,madrugada,false,21,0,1,0,1,0,0,rdickert,terca-feira,0,0.039175,0,1
1,madrugada,false,42,0,1,0,1,1,0,mitar,sexta-feira,2,0.042983,15,1
1,madrugada,false,10,0,1,0,1,1,0,mitar,sexta-feira,2,0.039086,15,1
1,tarde,false,21,0,3,0,3,2,0,jiku,quinta-Feira,15,0.122392,7,0
1,tarde,false,6,0,1,0,1,1,0,jrmlstf,quarta-feira,2,0.040343,3,0
8,noite,false,2,0,6,0,6,5,0,tonycastle,domingo,38,0.207676,13,1
1,manha,false,8,0,4,0,4,4,0,mitar,sexta-feira,16,0.161151,2,1
1,madrugada,false,73,0,2,0,2,1,1,nagelflorian,sexta-feira,1,0.074982,4,1
6,madrugada,false,5,0,6,0,6,6,0,sedouard,quinta-Feira,212,0.210273,7,0
2,manha,false,74,0,4,0,4,4,0,n1mmy,quarta-feira,30,0.164793,27,1
1,tarde,false,9,0,2,0,2,2,0,mitar,segunda-feira,2,0.081462,2,1
7,noite,false,33,0,5,0,5,4,0,bwobst,sexta-feira,127,0.207697,15,1
1,noite,true,52,0,1,0,1,1,0,bwobst,sexta-feira,735,0.042567,0,0
15,noite,false,294,0,4,0,4,3,0,martijnwalraven,quinta-Feira,103,0.61257,10,1
1,noite,false,74,0,1,0,1,1,0,okland,terca-feira,5,0.040311,3,1
1,tarde,false,164,0,1,0,1,1,0,mjmasn,terca-feira,3,0.038176,5,1
1,manha,false,6,0,1,0,1,1,0,bwhitty,segunda-feira,2,0.038986,3,1
1,tarde,false,4,0,1,0,1,0,0,IeuanG,sabado,0,0.040632,0,1
1,manha,true,64,0,1,0,1,1,0,bwobst,sexta-feira,148,0.042615,0,0
1,manha,false,72,0,2,0,2,2,0,nathan-muir,sexta-feira,20,0.082417,5,1
1,tarde,false,42,0,1,0,1,1,0,mitar,quinta-Feira,8,0.037873,6,1
1,manha,false,23,0,1,0,1,0,1,brunocassol,quarta-feira,0,0.04117,2,0
1,noite,false,105,0,3,2,1,3,0,mitar,terca-feira,41,0.112075,6,0
1,tarde,false,2,0,1,0,1,1,0,Primigenus,terca-feira,2,0.038453,0,1
