@relation 'Nancy-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,6,2,1,15,8,11,12,10,36,17,18,5,21,14,53'

@attribute num_commits numeric
@attribute description_length numeric
@attribute created_at_day_turn {tarde,noite,madrugada,manha}
@attribute created_at_week_day {terca-feira,segunda-feira,quarta-feira,sexta-feira,domingo,quinta-Feira,sabado}
@attribute src_churn numeric
@attribute files_added numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute files_modified numeric
@attribute requester {jchannon,khellang,thecodejunkie,akoeplinger,hwqdt,phillip-haydon,jasonmead,feeeper,stuart-bennett,SonnevilleJ,xt0rted,Yantrio,grumpydev,uliian,Liversage,EasyAsABC123,06b,damianh,dwonisch,aryelfnd,jeffthiele-iq,jonathanfoster,onliner10,phoenixx,asbjornu,richardprice,DavidLievrouw,horsdal,mikle111,jongleur1983,jlennox,joebuschmann,duszekmestre,ayoung,danielmue,bsommardahl,felipeleusin,samal84,lijunle,gitter-badger,rudygt,AIexandr,anton-gogolev,wtilton,dbent,taharrison,AdamFinley,sroylance,Crisfole,VictorTomaili,tparnell8,jvandertil,awec,oskar,hmemcpy,kobi,cchrisman,danbarua,jbattermann,shiftbot,hlesesne,etishor,scottcarr,ranjitCatchinUp,loftum,DarthWalsh,Tsingbo-Kooboo,adamhathcock,johnduhart,onatm,bendetat,ClemPi,ptomasroos,khalidsalomao,Kibele,albertjan,mtharrington,PureKrome,sloncho,devcrafting,Corstiaan84,sschlesier,jayharris,omeaart,kthompson,IngvarKofoed,yannisgu,nathanmarlor,canton7,wilhen01,solyutor,AnthonySteele,jeff-pang,jjchiw,Jevonius,mat-mcloughlin,Novakov,amityagov,rasmus-beck,Hihaj,pdoh00,StephenFriend,ExUltima,jugglingnutcase,aharin,paulsuart,logiclrd,DavidHoerster,icelorrio,kzhen,nerdfury,mloenow,DarrellMozingo,jtroe,jeffdoolittle,washcroft,tpluscode,acorkery,robertbeal,provegard,csainty,wallymathieu,liddellj,stanislavromanov,philjones88,rcknight,dot-i,stabbylambda,detroitpro,despertargz,Adalyat,frankradocaj,DavidKarlas,scottt732,jbonhag,zippy1981,williambogaiv,CumpsD,tempaccount0,lukesmith,fliiiix,FredrikL,jfis,MCord,raurfang,steenhulthin,marcusoftnet,rogeralsing,anilanar,omockler,TheFastCat,SimonCropp,adamralph,davidalpert,Deadarius,btompkins,DavidChristiansen,brianwigfield,emilianionascu,wasabii,justinvp,sirbadger,ferretallica,mattilaj,haf,DevAtWork,czb,Willmo36,prabirshrestha,MattsGitCode,johnsimons,dragan,thefringeninja,danielporfirio,salaerts,kekekeks,thecopy,whatknott,Invizory,rlipscombe,yojimbo87,JoelHT-Landmark,grahamrhay,kppullin,smithjacobj,erdomke,mike-ward,half-ogre,davepermen,pwain,andreichuk,majimenezp,bwatts,kevfromireland,mjamin,dariusdamalakas,jar349,adamclerk,franhoey,EKibort,timplourde,dchrno,tischlda,jhovgaard,MichaelAz,chrisdavies,danhaller,Dashue,garethrhughes,ChrisBrandhorst,shytikov,RoyJacobs,synhershko,codeprogression,ehanneken,luuksommers,inTagger,kayone,rhwy,emilcardell,palsson,laazyj,maxwe789,alexanderbeletsky,emertechie,webdkmfs,alanta,somedave,tylerburd,GregBrant,blackjable,PaulECoyote,runesoerensen,logicbomb,kleinron,RobertTheGrey,larsw,skinny,yadazula,serbajlo,jfabre,dlineberger,squidge,thinkbeforecoding,nicolasgarfinkiel,frankgeerlings,Fax,loudej,occ,Jeej,vbedegi,paultyng,denkhaus,craiggwilson,hfjallemark,BenHall,nolanw,mbettex,fschwiet,huyderman,rodrigoi,bvanderveen,CedricYao,ant512,kouphax,ChrisMH,t3hc13h,superlogical,factormystic,rspacjer,juanfranblanco,rguerreiro,nathanpalmer,stanhua,markrendle,jschmid,chrisnicola,carlokok,lhaussknecht,jscoles,gbanister,leoduran,andypike,duncansmart,gatapia,pcibraro,jfromaniello,hgarcia,patrik-hagne,GraemeF,tombell,Mpdreamz,ToJans,cryophobia,thedersen,hongymagic,avlasova,mmozuras,khalidabuhakmeh}
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute intra_branch {false,true}
@attribute hotness numeric
@attribute other_files numeric
@attribute status {0,1}

@data
1,6,tarde,terca-feira,0,0,1,0,1,jchannon,4.901833,0.071833,false,0,1,1
1,4,noite,segunda-feira,7,0,1,1,1,khellang,4.543164,0.066577,false,0.013746,0,1
4,11,noite,segunda-feira,297,1,31,30,30,khellang,278.334415,4.078809,false,0.006873,1,1
1,32,noite,segunda-feira,7,0,1,1,1,jchannon,3.705122,0.054296,false,0,0,0
1,8,noite,quarta-feira,0,0,1,0,1,jchannon,4.577725,0.067083,false,0,1,1
1,7,noite,terca-feira,0,0,24,0,0,thecodejunkie,0,0,false,0,21,1
2,16,tarde,terca-feira,0,0,1,0,1,thecodejunkie,8.932056,0.128535,false,0.037383,1,1
2,30,tarde,terca-feira,48,0,1,1,1,thecodejunkie,10.038146,0.144451,false,0.0125,0,1
1,48,tarde,sexta-feira,0,0,1,0,1,thecodejunkie,5.118435,0.073656,false,0.020772,1,1
4,9,noite,quarta-feira,20,0,1,1,1,khellang,10.276598,0.147939,false,0.023739,0,1
2,21,madrugada,quarta-feira,10,0,1,1,1,akoeplinger,10.3342,0.148768,false,0.005666,0,1
2,4,tarde,terca-feira,0,2,3,0,1,thecodejunkie,21.125333,0.304547,false,0,3,1
1,37,noite,segunda-feira,88,1,5,3,3,thecodejunkie,19.106091,0.27544,false,0.005666,2,1
2,37,tarde,segunda-feira,320,0,13,7,13,thecodejunkie,118.326686,1.705796,false,0.005682,6,1
1,1,noite,domingo,399,34,35,4,1,hwqdt,113.258863,1.632739,false,0,24,0
1,12,noite,sexta-feira,2,0,1,1,1,jchannon,4.707239,0.06786,false,0,0,1
1,7,noite,quinta-Feira,12,0,1,1,1,phillip-haydon,4.375432,0.063076,false,0,0,1
38,6,noite,quinta-Feira,7843,4,32,26,25,jasonmead,277.328906,3.997974,false,0.005865,2,1
2,15,noite,quinta-Feira,25,0,4,3,4,feeeper,17.265523,0.2489,false,0.005882,0,1
6,63,noite,quarta-feira,266,1,7,6,6,jchannon,95.055401,1.372101,false,0.008772,1,1
5,35,noite,quarta-feira,216,1,6,5,5,thecodejunkie,45.510238,0.656929,false,0.026627,0,1
1,46,madrugada,quarta-feira,21,0,2,2,2,thecodejunkie,8.931801,0.128577,false,0.015015,0,1
2,25,noite,terca-feira,39,0,2,2,2,khellang,17.1301,0.246595,false,0.006024,0,1
2,39,noite,terca-feira,0,0,1,0,1,stuart-bennett,4.576781,0.065885,false,0,1,1
2,90,noite,terca-feira,124,0,10,9,10,thecodejunkie,43.647271,0.628305,false,0.012158,1,1
39,6,tarde,terca-feira,2029,4,76,73,71,thecodejunkie,554.862391,7.987279,false,0.006098,4,0
1,24,madrugada,terca-feira,18,0,2,2,2,SonnevilleJ,8.319673,0.119762,false,0.012346,0,1
2,74,tarde,segunda-feira,123,0,1,1,1,thecodejunkie,8.864512,0.127605,false,0.006309,0,1
1,3,madrugada,domingo,2,0,1,1,1,xt0rted,4.589429,0.066065,false,0.006289,0,1
1,4,tarde,sabado,62,0,14,14,14,jchannon,63.021449,0.907193,false,0,0,1
4,39,madrugada,sabado,554,0,13,12,9,thecodejunkie,73.283432,1.054915,false,0.0125,1,1
3,182,madrugada,sabado,946,1,17,14,15,thecodejunkie,142.175574,2.046616,false,0.00625,2,1
31,9,noite,sexta-feira,1895,4,66,63,61,Yantrio,493.77697,7.107916,false,0,4,0
1,6,tarde,sexta-feira,2,0,1,1,1,jchannon,3.265254,0.047003,true,0.012579,0,0
1,11,tarde,terca-feira,0,0,1,0,1,thecodejunkie,0,0,false,0.015528,1,1
11,88,noite,segunda-feira,1638,5,25,13,17,thecodejunkie,222.917923,3.213506,false,0.00625,12,1
13,205,noite,sexta-feira,113,26,34,5,5,thecodejunkie,220.291667,3.229676,false,0,29,1
1,14,tarde,sexta-feira,19,0,2,1,2,thecodejunkie,9.287753,0.136169,false,0.025316,1,1
17,47,tarde,quarta-feira,295,4,15,6,11,thecodejunkie,144.25043,2.121002,false,0.006515,7,1
1,4,noite,terca-feira,0,0,1,0,1,jchannon,4.226157,0.06214,true,0.007547,1,1
1,8,noite,terca-feira,0,0,2,0,2,khellang,4.558823,0.067171,true,0.038168,2,1
1,9,noite,terca-feira,0,0,1,0,1,khellang,4.146922,0.061102,false,0.038314,1,0
3,5,tarde,terca-feira,0,0,2,0,2,khellang,9.120413,0.130407,false,0.030888,2,1
8,113,tarde,terca-feira,729,27,146,39,58,thecodejunkie,474.731542,6.787893,false,0.007722,106,1
5,9,noite,segunda-feira,610,8,21,18,11,jchannon,117.074036,1.673969,false,0,1,1
2,8,madrugada,segunda-feira,430,0,5,4,3,thecodejunkie,27.485786,0.392522,false,0.008197,1,1
1,12,noite,domingo,0,0,2,0,2,Yantrio,8.93929,0.127664,false,0.008475,2,0
1,7,tarde,domingo,6,0,1,1,1,thecodejunkie,4.262807,0.060878,false,0.087379,0,1
1,56,tarde,domingo,22,0,1,1,1,thecodejunkie,4.527535,0.064659,false,0,0,1
2,3,noite,sexta-feira,0,0,20,0,20,khellang,100.76847,1.439121,false,0.02451,24,1
2,19,noite,sexta-feira,0,0,56,0,56,khellang,287.984325,4.112837,false,0.014706,105,0
1,95,tarde,sexta-feira,46,0,1,1,1,thecodejunkie,4.591503,0.065573,false,0.078818,0,1
1,10,tarde,sexta-feira,94,0,4,4,4,thecodejunkie,18.77025,0.268072,false,0.014851,0,1
1,35,madrugada,sexta-feira,60,0,6,6,6,thecodejunkie,27.705798,0.395486,false,0.005051,0,1
