@relation 'netty-data-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,8,12,6,11,10,9,15,1,17,14,18,19,16,53'

@attribute num_commits numeric
@attribute created_at_day_turn {noite,tarde,madrugada,manha}
@attribute files_added numeric
@attribute src_files numeric
@attribute description_length numeric
@attribute files_changed numeric
@attribute files_modified numeric
@attribute files_deleted numeric
@attribute src_churn numeric
@attribute created_at_week_day {terca-feira,segunda-feira,sabado,sexta-feira,quinta-Feira,domingo,quarta-feira}
@attribute new_entropy numeric
@attribute other_files numeric
@attribute entropy_diff numeric
@attribute commits_on_files_touched numeric
@attribute test_churn numeric
@attribute status {0,1}

@data
1,noite,0,1,51,1,1,0,0,terca-feira,4.41527,0,0.040666,1,12,1
2,noite,0,5,251,5,5,0,162,segunda-feira,45.704157,0,0.421304,1,224,1
2,tarde,0,1,43,1,1,0,12,segunda-feira,7.643565,0,0.070584,1,0,1
1,tarde,0,1,29,1,1,0,6,segunda-feira,4.897875,0,0.075128,0,0,1
1,tarde,0,1,55,1,1,0,33,segunda-feira,3.494264,0,0.032267,0,0,1
2,tarde,0,11,55,11,11,0,994,segunda-feira,51.500245,0,0.789961,3,48,1
1,tarde,0,2,22,2,2,0,2,segunda-feira,9.281223,0,0.142364,4,8,1
1,madrugada,0,1,60,1,1,0,14,segunda-feira,4.32445,0,0.039934,0,0,1
1,madrugada,0,2,31,2,2,0,26,sabado,8.849666,0,0.081721,0,51,1
2,madrugada,2,6,57,6,4,0,264,sabado,55.086331,0,0.50869,2,388,0
1,madrugada,0,3,123,3,3,0,126,sabado,12.650806,0,0.116823,4,0,0
1,madrugada,0,2,52,2,2,0,23,sabado,9.194212,0,0.084903,10,0,0
1,madrugada,0,1,15,1,1,0,2,sexta-feira,4.796105,0,0.04427,0,0,1
2,madrugada,0,2,94,2,2,0,10,quinta-Feira,18.224377,0,0.279544,1,124,1
2,tarde,1,2,200,2,1,0,308,terca-feira,17.979305,0,0.275991,1,0,0
2,noite,1,7,42,7,6,0,203,segunda-feira,67.799613,0,0.626642,1,166,1
1,tarde,0,1,46,1,1,0,24,segunda-feira,4.260959,0,0.0394,6,0,0
3,tarde,0,1,2,1,1,0,4,segunda-feira,9.59221,0,0.088695,0,0,0
1,manha,0,2,61,2,2,0,6,segunda-feira,8.427549,0,0.077926,4,21,1
3,manha,4,4,47,6,2,0,446,segunda-feira,38.993511,0,0.360556,0,284,1
1,manha,0,2,33,2,2,0,6,domingo,9.61111,0,0.08887,3,0,1
1,madrugada,0,1,44,1,1,0,0,domingo,4.766242,0,0.044071,1,2,1
2,tarde,0,4,25,4,4,0,238,sabado,37.681804,0,0.348427,11,0,1
1,manha,0,1,50,1,1,0,4,sabado,4.173323,0,0.038589,9,0,0
1,?,1,2,48,2,1,0,10,sexta-feira,9.097174,0,0.084118,1,56,0
2,?,0,3,100,3,3,0,20,sexta-feira,25.956379,0,0.240007,5,32,0
1,tarde,0,0,67,1,1,0,0,sexta-feira,4.594754,1,0.042505,21,0,1
250,tarde,94,401,3,475,328,53,38510,quinta-Feira,3725.024217,10,34.45969,21,11976,0
2,madrugada,0,1,64,1,1,0,12,quinta-Feira,9.719001,0,0.089909,0,0,0
2,madrugada,0,2,60,2,2,0,74,quinta-Feira,12.665547,0,0.194711,2,0,1
2,manha,0,9,98,9,8,1,547,quarta-feira,70.958593,0,0.656428,2,353,0
2,madrugada,2,4,77,4,2,0,226,segunda-feira,36.916467,0,0.34151,0,0,1
1,madrugada,0,1,41,1,1,0,14,segunda-feira,4.400257,0,0.040706,0,0,1
1,tarde,0,0,20,1,1,0,0,domingo,4.182748,1,0.038694,19,0,1
2,madrugada,2,5,70,5,2,1,624,domingo,38.51276,0,0.356277,1,0,1
2,noite,0,7,49,7,5,2,5750,sabado,45.5926,0,1.045421,0,0,0
1,manha,0,0,29,5,5,0,0,sabado,20.331238,5,0.188082,19,0,1
2,madrugada,0,1,87,1,1,0,93,sabado,9.610774,0,0.088908,5,0,1
1,madrugada,0,5,59,5,5,0,14,sabado,22.359773,0,0.343745,4,90,1
2,tarde,0,1,38,1,1,0,12,quinta-Feira,9.88081,0,0.091406,2,0,1
2,madrugada,0,4,75,4,4,0,178,quarta-feira,37.668075,0,0.348463,6,72,1
1,manha,0,2,70,2,2,0,56,sabado,8.583861,0,0.079654,5,14,0
2,madrugada,0,1,43,1,1,0,213,sabado,9.149047,0,0.084899,1,0,0
2,manha,1,2,66,3,2,0,121,sexta-feira,23.539336,1,0.218728,22,0,1
1,madrugada,0,2,103,2,2,0,2,sexta-feira,8.866663,0,0.082389,9,12,0
2,noite,1,7,45,7,6,0,360,quinta-Feira,55.435057,0,0.515103,11,0,0
1,manha,0,1,68,1,1,0,2,quarta-feira,4.175144,0,0.038795,2,0,1
2,manha,0,2,54,3,3,0,0,quarta-feira,27.518661,1,0.255703,17,8,1
1,manha,0,2,42,2,2,0,50,quarta-feira,9.310424,0,0.086512,3,0,1
