@relation 'node-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R6,2,10,8,12,7,11,15,9,1,16,17,18,19,20,53'

@attribute description_length numeric
@attribute created_at_day_turn {manha,madrugada,noite,tarde}
@attribute files_modified numeric
@attribute files_added numeric
@attribute src_files numeric
@attribute num_commits numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute files_deleted numeric
@attribute created_at_week_day {terca-feira,segunda-feira,domingo,sabado,sexta-feira,quinta-Feira,quarta-feira}
@attribute test_churn numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute commits_on_files_touched numeric
@attribute commits_to_hottest_file numeric
@attribute status {0,1}

@data
95,manha,1,0,0,2,1,0,0,terca-feira,0,4.619601,0.005217,7,7,0
132,madrugada,2,0,0,2,2,0,0,terca-feira,0,9.570227,0.010807,5,3,0
104,madrugada,199,15,187,115,214,2621,0,terca-feira,349,1499.277236,1.77768,336,28,0
100,madrugada,2,0,2,2,2,14,0,terca-feira,0,9.980129,0.011272,0,0,1
117,madrugada,5,0,4,6,5,17,0,terca-feira,15,32.944049,0.037209,41,17,0
38,noite,2,0,2,3,2,13,0,segunda-feira,0,9.927407,0.011548,17,16,0
17,noite,1,0,0,1,1,0,0,segunda-feira,0,4.692498,0.0053,2,2,0
71,noite,2,1,2,2,3,3,0,segunda-feira,44,9.482324,0.01071,6,6,0
54,noite,2,1,2,2,3,3,0,segunda-feira,25,9.348918,0.010559,6,6,0
100,noite,1,0,1,1,1,2,0,segunda-feira,0,4.463452,0.005041,6,6,0
91,noite,1,0,1,2,1,4,0,segunda-feira,0,8.926904,0.010083,6,6,1
118,noite,1,0,1,1,1,4,0,segunda-feira,0,4.640138,0.005241,6,6,0
103,noite,1,0,1,1,1,7,0,segunda-feira,0,4.779895,0.005399,3,3,0
153,noite,1,0,1,2,1,13,0,segunda-feira,0,9.209244,0.010402,13,13,0
140,tarde,1,0,1,2,1,9,0,segunda-feira,0,9.354163,0.010562,3,3,0
125,tarde,2,0,2,1,2,4,0,segunda-feira,2,9.459363,0.010681,3,3,0
139,madrugada,1,0,1,2,1,0,0,segunda-feira,46,9.274285,0.010472,1,1,0
12,madrugada,3,0,1,2,3,0,0,segunda-feira,4,5.248222,0.005926,2,2,0
46,noite,1,0,0,2,1,0,0,domingo,0,9.0863,0.01026,5,5,0
43,noite,3,0,1,2,3,0,0,domingo,4,5.125189,0.005787,2,2,0
38,noite,1,0,1,2,1,9,0,domingo,0,4.580039,0.005171,3,3,0
