@relation 'okhttp-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R36,22,6,2,7,10,12,11,15,17,16,18,23,8,14,53'

@attribute requester {swankjesse,dave-r12,morder,mattlogan,nfuller,alexrwegener,NightlyNexus,reisub,JakeWharton,SpikeKing,mreichelt,nxtstep,franmontiel,chadbrubaker,lh62863,iNoles,gkimbwala,pforhan,tasomaniac,artem-zinnatullin,jgilfelt,ChristianBecker,topwu,moltak,austynmahoney,lburgazzoli,twbarber,cswzxly,yschimke,jonan,adstro,rburgst,TOdorus,SuriyaaKudoIsc,0xced,chaitanyajun12,rnauber,AhmedDaraz,alexeimoisseev,javedkansi,sunyal,timcooijmans,rfc2822,thest1,markhobson,ErikHellman,drorweiss,marenzo,iagreen,RasKasa,ansman,cketti,KENJU,felipecsl,JasperG,snodnipper,mgp,dmoneyUK,jwriteclub,vicmosin,pguilbot,MichaelEvans,minakov,halizton,gfx,duanhongyi,the4thfloor,GUIpsp,Wopple,pwerry,yegorius,peknudsen,Ponyets,deronbrown,alokmenghrajani,unguiculus,StephenBarlow,wjam,HugoGresse,nfukuzaki,circlespainter,ajwhite,kryali,quinnjn,kenmasumitsu,lalbuquerque,aried3r,hiddenmin,cy6erGn0m,adriancole,nashira,dmide,longbai,ipsi,busylee999,klyubin,mikevoyt,kboyarshinov,raggi,brennantaylor,jbornemann,joschi,alfishe,josketres,mruddy,marshallpierce,dcheckoway,yelinaung,tomxor,LaLiLuLeLo,davidschreiber,bendog24,mescortes,mpost,seato,DanGe42,baldur,dlubarov,tomrozb,lcolitti,hostinmars,westarle,BugsBunnyBR,fbiville,andrewgaul,mlc,MiguelLavigne,kkocel,lexer,anderius,indutny,robUx4,nmittler,ross,fizbin,goaway,rtyley,takke,adamsp,normanmaurer,marco-cova,intrications,lingmingyb,hwrdprkns,nacx,carck,pablolb,xiaobi625,JonWatson,rupertbates,everett-toews,desseim,aahlenst,romkavt,narayank,vmarko,menny,kriswuollett,kruton,candrews,edenman,orrc}
@attribute at_mentions_description numeric
@attribute description_length numeric
@attribute created_at_day_turn {manha,noite,tarde,madrugada}
@attribute num_commits numeric
@attribute files_modified numeric
@attribute src_files numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute new_entropy numeric
@attribute test_churn numeric
@attribute entropy_diff numeric
@attribute at_mentions_comments numeric
@attribute files_added numeric
@attribute other_files numeric
@attribute status {0,1}

@data
swankjesse,0,7,manha,1,1,1,1,4,4.493827,0,0.289504,0,0,0,1
dave-r12,0,24,noite,1,2,2,2,11,9.356261,26,0.602752,0,0,0,1
dave-r12,0,110,noite,1,3,3,3,19,14.098523,204,0.90826,2,0,0,1
morder,0,10,tarde,2,1,1,1,4,9.301165,0,0.599203,0,0,0,0
mattlogan,0,193,manha,4,10,10,10,92,46.641305,61,3.004682,0,0,0,1
nfuller,0,35,noite,1,1,1,1,0,4.762527,2,0.306807,0,0,0,1
alexrwegener,0,8,madrugada,5,2,2,2,85,14.4038,54,0.927908,0,0,0,1
swankjesse,0,8,manha,2,3,5,4,58,27.755178,452,1.863675,0,1,0,0
dave-r12,0,29,madrugada,1,4,4,4,6,18.067128,4,1.163882,0,0,0,1
dave-r12,0,64,madrugada,2,3,3,3,37,28.077692,437,1.808722,0,0,0,1
swankjesse,0,35,manha,1,2,2,2,29,9.363739,68,0.603206,0,0,0,1
swankjesse,0,31,manha,2,8,8,8,58,72.546607,92,4.67341,0,0,0,1
swankjesse,0,7,noite,2,4,4,4,461,40.183298,204,2.588874,0,0,0,1
swankjesse,0,29,noite,1,0,2,1,12,4.604898,0,0.297561,0,1,0,1
swankjesse,0,56,manha,2,3,4,4,58,32.164358,629,2.084721,1,1,0,1
swankjesse,0,4,noite,1,2,1,2,10,8.991857,0,0.582801,0,0,1,1
NightlyNexus,0,6,manha,1,1,1,1,3,4.415245,0,0.286171,0,0,0,1
reisub,0,3,tarde,1,1,1,1,2,5.028633,0,0.325927,0,0,0,1
NightlyNexus,0,2,madrugada,2,2,2,2,58,19.063161,33,1.235565,0,0,0,1
swankjesse,0,26,manha,1,1,1,1,140,4.887748,0,0.316798,0,0,0,1
swankjesse,0,9,noite,1,1,1,1,8,4.678137,0,0.303212,0,0,0,1
swankjesse,0,7,manha,2,3,8,6,263,34.142526,49,2.315662,0,3,0,0
swankjesse,0,13,madrugada,1,1,1,1,13,4.757755,0,0.308371,2,0,0,1
swankjesse,0,38,noite,2,3,8,6,526,58.747986,100,3.844679,0,3,0,1
swankjesse,0,9,madrugada,5,9,11,12,729,76.900409,387,5.266199,0,3,0,0
swankjesse,0,8,noite,1,2,2,2,106,9.544411,0,0.624756,0,0,0,1
JakeWharton,0,30,noite,2,3,3,3,34,29.069676,144,1.902843,0,0,0,1
SpikeKing,0,2,manha,1,1,1,1,1,4.680725,0,0.306388,0,0,0,0
swankjesse,0,78,manha,1,2,2,2,46,9.473622,0,0.620109,0,0,0,1
swankjesse,0,47,madrugada,1,3,6,6,309,29.235868,352,1.931605,0,3,0,1
dave-r12,0,30,noite,2,6,6,6,32,58.064943,254,3.836324,0,0,0,1
NightlyNexus,0,10,madrugada,2,2,2,2,4,14.164658,16,0.935851,0,0,0,1
mreichelt,0,7,noite,1,1,1,1,2,5.012279,0,0.331159,0,0,0,1
nxtstep,0,7,tarde,1,1,1,1,2,4.815216,0,0.318139,0,0,0,1
swankjesse,0,74,manha,1,3,3,3,135,14.382405,30,0.950248,0,0,0,1
franmontiel,0,80,madrugada,3,1,1,1,54,4.609252,0,0.305521,0,0,0,1
swankjesse,0,29,madrugada,1,10,14,11,52,52.1556,479,3.468796,0,1,0,1
chadbrubaker,0,58,manha,3,4,5,5,140,62.855688,155,4.180443,0,1,0,1
lh62863,0,6,manha,1,0,0,1,0,0,0,0,0,1,0,0
swankjesse,0,10,manha,2,6,6,6,0,59.6416,1303,3.965594,0,0,0,1
dave-r12,0,15,madrugada,1,2,2,2,11,9.454267,40,0.628617,0,0,0,1
