@relation 'pouchdb-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R2,5,6,10,8,11,7,12,15,17,18,16,19,1,20,53'

@attribute created_at_day_turn {noite,manha,tarde,madrugada}
@attribute intra_branch {false,true}
@attribute description_length numeric
@attribute files_modified numeric
@attribute files_added numeric
@attribute files_changed numeric
@attribute num_commits numeric
@attribute src_files numeric
@attribute src_churn numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute created_at_week_day {sabado,sexta-feira,quarta-feira,terca-feira,segunda-feira,quinta-Feira,domingo}
@attribute commits_to_hottest_file numeric
@attribute status {0,1}

@data
noite,false,5,1,0,1,1,1,4,4.656491,0.186942,0,2,sabado,2,1
manha,true,503,1,0,1,1,0,0,4.197506,0.168515,0,93,sabado,93,1
tarde,false,4,1,0,1,1,1,2,4.387473,0.176141,0,5,sexta-feira,5,1
noite,true,7,1,0,1,1,1,3,4.896392,0.196573,0,3,quarta-feira,3,1
manha,true,135,1,0,1,1,0,0,4.240691,0.170249,0,95,quarta-feira,95,1
manha,true,98,1,0,1,1,0,0,4.682216,0.187975,0,95,quarta-feira,95,1
madrugada,true,36,1,0,1,1,0,0,5.00234,0.200826,0,2,terca-feira,2,1
noite,false,35,1,0,1,1,0,0,4.54331,0.182398,0,2,segunda-feira,2,1
noite,true,98,1,0,1,1,0,0,4.248252,0.170552,0,93,segunda-feira,93,1
madrugada,true,136,1,0,1,1,0,0,4.260993,0.171064,0,93,segunda-feira,93,1
manha,true,1358,1,0,1,1,0,0,4.190117,0.168218,0,88,sabado,88,1
madrugada,true,98,1,0,1,1,0,0,4.680078,0.187888,0,88,sabado,88,1
madrugada,true,98,1,0,1,1,0,0,4.674954,0.187683,0,88,sabado,88,1
noite,true,241,1,0,1,1,0,0,4.239893,0.170217,0,88,sexta-feira,88,1
noite,true,98,1,0,1,1,0,0,4.247855,0.170893,0,87,sexta-feira,87,1
noite,true,21,4,1,5,2,1,90,47.729166,1.920169,0,87,sexta-feira,87,1
tarde,true,37,1,0,1,1,0,0,5.285986,0.212658,0,21,quinta-Feira,21,1
manha,true,241,1,0,1,1,0,0,4.257689,0.171289,0,84,quinta-Feira,84,1
madrugada,true,98,1,0,1,1,0,0,4.681653,0.188346,0,84,quinta-Feira,84,1
madrugada,true,98,1,0,1,1,0,0,4.68792,0.188598,0,84,quinta-Feira,84,1
madrugada,true,98,1,0,1,1,0,0,4.680695,0.188307,0,84,quinta-Feira,84,0
noite,false,4,1,0,1,1,1,4,4.687142,0.188566,0,1,quarta-feira,1,1
noite,true,98,1,0,1,1,0,0,4.674449,0.188068,0,83,terca-feira,83,1
noite,true,98,1,0,1,1,0,0,4.667879,0.187803,0,83,terca-feira,83,0
manha,true,98,1,0,1,1,0,0,4.667879,0.187803,0,82,terca-feira,82,0
madrugada,false,4,1,0,1,1,1,4,4.93124,0.198399,0,1,terca-feira,1,1
tarde,true,7,2,0,2,2,2,6,19.607851,0.788886,17,3,segunda-feira,3,1
tarde,true,25,3,0,3,2,1,5,5.37682,0.216325,0,20,quinta-Feira,20,1
noite,true,185,1,0,1,1,0,0,4.384449,0.176399,0,82,quarta-feira,82,1
tarde,false,4,1,0,1,2,1,7,9.18064,0.369364,0,1,quarta-feira,1,0
noite,true,6,1,0,1,1,0,0,5.160882,0.20764,0,19,terca-feira,19,1
manha,false,6,1,0,1,1,1,12,4.692406,0.19235,0,2,terca-feira,2,1
madrugada,true,50,3,0,3,2,3,12,26.710279,1.094899,31,10,terca-feira,9,1
madrugada,true,157,1,0,1,1,0,0,4.370486,0.179154,0,81,terca-feira,81,1
madrugada,true,256,1,0,1,1,0,0,4.4033,0.180499,0,81,terca-feira,81,1
noite,true,160,1,0,1,1,0,0,4.369534,0.179115,0,81,segunda-feira,81,1
noite,true,140,1,0,1,1,0,0,4.370585,0.179158,0,81,segunda-feira,81,0
madrugada,true,221,14,10,24,2,21,378,226.05713,9.266483,49,92,segunda-feira,81,1
noite,false,48,1,0,1,1,1,12,4.94127,0.202551,0,0,domingo,0,1
madrugada,true,7,1,0,1,2,0,0,10.565023,0.433079,0,17,domingo,17,1
noite,true,137,1,0,1,1,0,0,4.38522,0.179757,0,79,sabado,79,1
madrugada,true,431,1,0,1,1,0,0,4.183513,0.171489,0,79,sabado,79,1
madrugada,false,68,1,0,1,1,0,0,4.709235,0.193039,0,79,sabado,79,1
tarde,true,8,4,0,4,3,4,0,4.148427,0.170051,16,3,sexta-feira,3,1
manha,true,228,1,0,1,1,0,0,4.311305,0.176727,0,78,sexta-feira,78,1
manha,false,7,4,0,4,3,4,146,18.761273,0.769052,6,6,quinta-Feira,5,1
manha,false,8,1,0,1,1,0,0,4.664764,0.191216,0,1,quarta-feira,1,1
manha,true,33,11,0,11,1,11,98,52.117423,2.136394,7,13,terca-feira,7,1
noite,true,5,44,2,47,2,42,43,226.504657,9.284519,902,112,segunda-feira,79,1
manha,true,36,5,0,5,1,5,49,24.085815,0.987283,0,5,segunda-feira,3,1
manha,true,26,1,0,1,1,1,5,4.892508,0.200545,0,2,segunda-feira,2,1
madrugada,true,105,21,0,21,1,3,16,102.279761,4.19247,0,10,segunda-feira,2,1
noite,true,226,1,0,1,1,0,0,4.342504,0.178,0,78,domingo,78,1
tarde,true,118,1,0,1,1,0,0,4.369932,0.179125,0,80,sabado,80,1
noite,true,98,1,0,1,1,0,0,4.673074,0.19155,0,80,sexta-feira,80,1
noite,true,98,1,0,1,1,0,0,4.672439,0.191524,0,80,sexta-feira,80,0
manha,true,161,1,0,1,1,0,0,4.617619,0.189277,0,80,sexta-feira,80,0
noite,false,8,1,0,1,1,0,0,4.342922,0.178017,0,1,quinta-Feira,1,1
madrugada,false,77,2,0,2,1,2,37,9.275598,0.380209,48,3,quinta-Feira,2,1
noite,true,127,1,0,1,1,0,0,4.167406,0.170823,0,81,terca-feira,81,1
tarde,true,167,1,0,1,1,0,0,4.256924,0.174493,0,79,segunda-feira,79,1
manha,true,98,1,0,1,1,0,0,4.680695,0.191863,0,79,segunda-feira,79,1
madrugada,true,98,1,0,1,1,0,0,4.678204,0.191761,0,79,segunda-feira,79,0
tarde,false,108,1,1,2,1,0,0,9.217814,0.377841,0,79,domingo,79,0
madrugada,true,135,1,0,1,1,0,0,4.342504,0.178001,0,79,domingo,79,1
noite,true,130,1,0,1,1,0,0,4.363792,0.178874,0,80,quinta-Feira,80,1
tarde,true,129,1,0,1,1,0,0,4.391911,0.180031,0,75,terca-feira,75,1
madrugada,true,190,3,0,3,2,2,8,27.31498,1.119685,0,77,segunda-feira,77,1
madrugada,true,192,1,0,1,1,0,0,4.331832,0.177569,0,77,segunda-feira,77,1
manha,true,214,1,0,1,1,1,18,4.657361,0.190913,0,1,domingo,1,1
madrugada,true,154,1,0,1,1,0,0,4.28212,0.175531,0,77,domingo,77,1
madrugada,true,46,2,0,2,1,1,5,9.291446,0.38087,0,77,domingo,77,1
?,true,166,1,0,1,1,0,0,4.30369,0.176415,0,77,sabado,77,1
madrugada,true,233,1,0,1,1,0,0,4.215107,0.172783,0,77,sabado,77,1
noite,false,29,2,0,2,1,1,10,9.243956,0.378923,0,5,sexta-feira,4,1
madrugada,true,205,1,0,1,1,0,0,4.062027,0.166486,0,73,sexta-feira,73,1
noite,true,98,1,0,1,1,0,0,4.273726,0.175163,0,73,quinta-Feira,73,0
noite,true,224,1,0,1,1,0,0,4.547213,0.186372,0,73,quinta-Feira,73,1
manha,true,44,1,0,1,1,0,0,5.375987,0.22034,0,15,quinta-Feira,15,0
manha,true,7,4,0,4,1,0,0,18.572679,0.761221,0,73,quinta-Feira,73,1
madrugada,true,155,1,0,1,1,0,0,4.062027,0.166486,0,73,quinta-Feira,73,0
madrugada,true,208,1,0,1,1,0,0,4.36833,0.179041,0,69,quinta-Feira,69,1
noite,true,123,1,0,1,1,0,0,4.064607,0.166592,0,69,quarta-feira,69,0
