@relation 'pulp-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,7,10,6,12,2,11,15,17,18,16,5,8,9,14,53'

@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute files_modified numeric
@attribute description_length numeric
@attribute src_files numeric
@attribute created_at_day_turn {noite,madrugada,tarde,manha}
@attribute files_changed numeric
@attribute src_churn numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute test_churn numeric
@attribute intra_branch {false,true}
@attribute files_added numeric
@attribute files_deleted numeric
@attribute other_files numeric
@attribute status {0,1}

@data
false,1,1,10,0,noite,1,0,3.793423,0.061086,0,false,0,0,0,1
false,1,1,26,1,madrugada,1,0,4.482335,0.072176,1,false,0,0,0,1
false,2,1,8,0,madrugada,1,0,4.603404,0.074125,0,false,0,0,0,1
false,1,2,26,0,tarde,7,0,8.837596,0.141737,0,false,0,5,6,1
false,1,3,8,0,tarde,5,0,13.258816,0.212641,0,false,1,1,5,1
false,1,1,3,0,tarde,1,0,3.916631,0.062812,0,false,0,0,1,1
false,1,2,5,0,tarde,4,0,9.342185,0.14982,0,false,1,1,4,1
false,1,1,22,1,noite,1,5,4.888839,0.078402,0,false,0,0,0,0
false,1,1,11,0,manha,1,0,4.941369,0.079244,0,false,0,0,1,1
false,1,1,12,1,madrugada,1,6,4.464707,0.0716,0,false,0,0,0,1
false,2,2,37,2,noite,2,106,18.809296,0.301628,0,false,0,0,0,1
false,1,1,123,1,noite,1,2,4.796532,0.076918,0,false,0,0,0,1
false,1,3,41,3,madrugada,3,49,13.116964,0.210344,8,false,0,0,0,1
false,2,3,45,3,madrugada,3,96,26.333783,0.422289,16,false,0,0,0,1
false,3,5,45,3,madrugada,5,94,34.948214,0.56043,16,false,0,0,2,1
false,1,2,62,2,madrugada,2,28,8.822387,0.141476,38,false,0,0,0,1
false,1,1,18,1,tarde,1,2,4.480489,0.071849,0,false,0,0,0,1
false,1,1,13,0,madrugada,1,0,4.482288,0.071878,0,false,0,0,1,1
false,1,1,81,0,madrugada,1,0,4.695348,0.075294,0,false,0,0,1,1
false,1,1,8,0,noite,1,0,3.800066,0.060938,0,false,0,0,1,1
false,1,2,6,0,noite,2,0,8.807792,0.141241,0,false,0,0,2,1
false,1,2,28,0,noite,2,0,7.658455,0.122818,0,false,0,0,2,1
