@relation 'rosdistro-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R16,17,8,18,6,7,25,2,14,24,5,10,11,19,21,53'

@attribute test_churn numeric
@attribute new_entropy numeric
@attribute files_added numeric
@attribute entropy_diff numeric
@attribute description_length numeric
@attribute num_commits numeric
@attribute project_succ_rate numeric
@attribute created_at_day_turn {madrugada,noite,manha,tarde}
@attribute other_files numeric
@attribute prev_pull_reqs_project numeric
@attribute intra_branch {false,true}
@attribute files_modified numeric
@attribute files_changed numeric
@attribute commits_on_files_touched numeric
@attribute hotness numeric
@attribute status {0,1}

@data
0,4.287832,0,0.133302,69,2,0.929022,madrugada,1,10299,false,1,1,82,0.137124,1
0,4.36735,0,0.135774,5,2,0.929015,madrugada,1,10298,false,1,1,54,0.090301,1
0,4.378016,0,0.136106,58,1,0.929008,madrugada,1,10297,false,1,1,80,0.134003,1
0,4.252005,0,0.132188,132,1,0.929002,noite,1,10296,false,1,1,78,0.13,1
0,8.974856,0,0.279014,25,2,0.928995,manha,2,10295,false,2,2,77,0.086667,1
0,4.319725,0,0.134293,138,1,0.928988,madrugada,1,10294,false,1,1,76,0.126246,1
0,4.367581,0,0.135781,60,1,0.928981,madrugada,1,10293,false,1,1,73,0.121667,1
0,4.340229,0,0.134931,135,2,0.928974,noite,1,10292,false,1,1,65,0.108514,1
0,4.319546,0,0.134288,183,2,0.928967,noite,1,10291,false,1,1,65,0.108514,1
0,4.299699,0,0.133671,47,1,0.92896,noite,1,10290,false,1,1,654,1.09182,1
0,4.291685,0,0.133422,47,1,0.929044,noite,1,10288,false,1,1,63,0.105175,1
0,4.245736,0,0.131993,97,1,0.929037,madrugada,1,10287,false,1,1,61,0.099836,1
0,4.424623,0,0.137554,4,1,0.92921,noite,1,10284,false,1,1,321,0.52623,1
0,4.335025,0,0.134769,2,1,0.929204,noite,1,10283,false,1,1,666,1.093596,1
0,4.418703,0,0.13737,7,1,0.929197,noite,1,10282,false,1,1,664,1.092105,1
0,4.35442,0,0.135372,36,2,0.929287,noite,1,10281,false,1,1,321,0.527961,0
0,4.343188,0,0.135023,36,1,0.92928,noite,1,10280,false,1,1,664,1.093904,1
0,4.339511,0,0.134908,36,1,0.929273,tarde,1,10279,false,1,1,670,1.105611,1
0,4.331901,0,0.134672,18,6,0.929266,noite,1,10278,false,1,1,681,1.118227,1
0,4.305763,0,0.133859,155,2,0.92926,manha,1,10277,false,1,1,58,0.095082,1
0,4.3988,0,0.136752,47,2,0.929253,madrugada,1,10276,false,1,1,55,0.090312,1
0,4.285632,0,0.133233,155,1,0.929343,madrugada,1,10275,false,1,1,55,0.090312,0
0,4.424184,0,0.137541,15,2,0.929336,madrugada,1,10274,false,1,1,49,0.08046,1
0,4.378696,0,0.136127,49,1,0.929329,madrugada,1,10273,false,1,1,53,0.087171,1
0,4.118933,0,0.12805,474,2,0.929322,madrugada,1,10272,false,1,1,50,0.082372,1
0,4.408705,0,0.137059,5,1,0.929316,madrugada,1,10271,true,1,1,27,0.044554,1
0,4.36203,0,0.135608,4,2,0.929309,noite,2,10270,false,2,2,679,1.113115,1
0,4.102207,0,0.12753,13,1,0.929302,tarde,1,10269,false,1,1,682,1.108943,1
0,4.304934,0,0.133833,8,1,0.929295,manha,1,10268,false,1,1,47,0.076423,1
0,4.257951,0,0.132372,116,1,0.929288,madrugada,1,10267,false,1,1,48,0.078049,1
0,4.164837,0,0.129476,90,2,0.929281,madrugada,1,10266,false,1,1,45,0.07329,1
0,4.272452,0,0.132822,74,1,0.929455,madrugada,1,10263,false,1,1,43,0.070147,1
0,4.389739,0,0.136468,36,1,0.92963,madrugada,1,10260,false,1,1,682,1.114379,1
0,4.324416,0,0.134437,51,1,0.929804,madrugada,1,10257,false,1,1,41,0.067103,1
0,4.343629,0,0.135035,36,1,0.929797,madrugada,1,10256,false,1,1,682,1.116203,1
0,4.385126,0,0.136324,36,1,0.929881,madrugada,1,10254,false,1,1,39,0.063934,1
0,4.706276,0,0.146308,36,1,0.929972,madrugada,1,10253,false,1,1,682,1.118033,0
0,4.316151,0,0.13418,36,1,0.929965,madrugada,1,10252,false,1,1,37,0.060656,1
0,4.215341,0,0.131046,780,1,0.929958,noite,1,10251,false,1,1,685,1.113821,1
0,4.379796,0,0.136159,185,1,0.930049,tarde,1,10250,false,1,1,337,0.547967,0
0,4.363155,0,0.135641,185,1,0.93014,tarde,1,10249,false,1,1,693,1.126829,0
0,4.208314,0,0.130828,780,1,0.93023,tarde,1,10248,false,1,1,695,1.130081,0
0,4.388453,0,0.136428,73,1,0.930223,tarde,1,10247,false,1,1,691,1.127243,1
0,4.388862,0,0.13644,182,1,0.930217,tarde,1,10246,false,1,1,689,1.125817,1
0,4.406934,0,0.137002,58,1,0.93021,tarde,1,10245,false,1,1,689,1.125817,1
0,4.40084,0,0.136813,163,1,0.930203,tarde,1,10244,false,1,1,687,1.124386,1
0,4.396538,0,0.136679,58,1,0.930196,tarde,1,10243,false,1,1,685,1.122951,1
0,4.365888,0,0.135726,75,1,0.930189,tarde,1,10242,false,1,1,683,1.121511,1
0,8.541819,0,0.265547,8,2,0.930183,manha,1,10241,false,1,1,47,0.077049,1
0,4.289159,0,0.133341,138,1,0.930176,manha,1,10240,false,1,1,33,0.054276,1
0,8.689451,0,0.270136,64,2,0.930169,madrugada,1,10239,false,1,1,33,0.054366,1
0,4.415049,0,0.137254,36,1,0.930162,madrugada,1,10238,false,1,1,684,1.126853,1
0,4.373303,0,0.135956,94,2,0.930337,madrugada,1,10235,false,1,1,30,0.049423,1
0,4.367433,0,0.135774,36,1,0.93033,madrugada,1,10234,false,1,1,28,0.046205,1
0,4.362274,0,0.135613,36,1,0.930421,madrugada,1,10233,false,1,1,26,0.042975,0
0,4.340386,0,0.134933,36,1,0.930414,madrugada,1,10232,false,1,1,24,0.039735,1
0,4.374629,0,0.135998,72,1,0.930499,madrugada,1,10230,false,1,1,24,0.039735,1
0,4.315161,0,0.134148,83,2,0.930583,madrugada,1,10228,false,1,1,21,0.034826,1
0,4.289053,0,0.133336,36,1,0.930576,noite,1,10227,false,1,1,19,0.031561,1
0,4.335584,0,0.134781,81,2,0.930751,noite,1,10224,false,1,1,16,0.026667,1
0,4.280166,0,0.133056,49,1,0.930744,noite,1,10223,false,1,1,14,0.023372,1
0,4.325039,0,0.134451,65,1,0.930738,noite,1,10222,false,1,1,682,1.138564,1
0,4.588265,0,0.142634,65,1,0.930829,noite,1,10221,false,1,1,682,1.136667,0
0,4.513223,0,0.140301,28,1,0.930822,tarde,1,10220,false,1,1,29,0.048333,1
0,4.18053,0,0.129959,8,1,0.930913,tarde,1,10219,false,1,1,688,1.146667,0
0,4.457772,0,0.138577,144,1,0.930906,manha,1,10218,false,1,1,691,1.151667,1
0,4.449365,0,0.138316,165,1,0.930899,manha,1,10217,false,1,1,337,0.564489,1
0,4.500055,0,0.139892,319,1,0.930893,manha,1,10216,false,1,1,337,0.564489,1
