@relation 'scala-ide-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,5,6,9,8,10,14,1,11,12,17,18,16,19,53'

@attribute num_commits numeric
@attribute created_at_day_turn {noite,tarde,manha,madrugada}
@attribute intra_branch {false,true}
@attribute description_length numeric
@attribute files_deleted numeric
@attribute files_added numeric
@attribute files_modified numeric
@attribute other_files numeric
@attribute created_at_week_day {domingo,quarta-feira,terca-feira,segunda-feira,sexta-feira,quinta-Feira,sabado}
@attribute files_changed numeric
@attribute src_files numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute status {0,1}

@data
1,noite,false,3,0,0,1,1,domingo,1,0,4.681891,0.051322,0,14,1
1,noite,false,6,0,0,70,70,quarta-feira,70,0,333.828034,3.659406,0,16,1
1,noite,false,29,0,0,1,1,quarta-feira,1,0,4.710333,0.051634,0,10,1
1,noite,false,14,0,0,1,0,quarta-feira,1,1,4.80939,0.05272,0,4,1
6,noite,false,36,0,0,1,0,terca-feira,1,1,13.964297,0.153076,0,2,1
1,tarde,false,31,0,0,2,0,terca-feira,2,2,9.417837,0.103238,0,2,1
1,manha,false,50,0,0,1,0,segunda-feira,1,1,4.760748,0.052161,0,4,1
5,madrugada,false,132,1,0,5,0,segunda-feira,6,6,18.829209,0.2063,0,4,1
2,noite,false,16,0,0,1,1,sexta-feira,1,0,9.423305,0.103246,0,8,1
5,noite,false,72,0,2,6,1,sexta-feira,8,7,76.879727,0.842342,0,13,0
3,tarde,false,64,0,0,2,0,quarta-feira,2,2,19.903725,0.218077,0,0,1
1,tarde,false,4,0,0,1,1,terca-feira,1,0,4.680314,0.052156,0,6,1
4,madrugada,false,39,0,33,1,0,terca-feira,34,34,319.993986,3.565939,0,2,1
1,tarde,false,20,0,0,1,1,domingo,1,0,4.670863,0.052051,0,5,1
1,tarde,false,27,0,0,1,0,sexta-feira,1,1,4.561704,0.050835,0,2,1
1,tarde,false,24,0,0,1,0,sexta-feira,1,1,4.838179,0.053916,0,7,1
1,noite,false,69,0,0,1,0,sexta-feira,1,1,4.57287,0.050959,0,1,1
2,tarde,false,14,0,0,2,0,segunda-feira,2,2,18.747718,0.208921,0,16,1
6,noite,false,62,0,0,229,0,quinta-Feira,229,229,1020.70533,11.374103,22,94,1
1,tarde,false,15,0,0,1,0,sexta-feira,1,1,4.563545,0.050853,0,0,1
3,tarde,false,4,0,0,1,0,quinta-Feira,1,1,9.536354,0.106267,0,0,1
1,tarde,false,9,0,0,1,0,quinta-Feira,1,1,4.710148,0.052487,0,1,1
2,madrugada,false,45,0,0,2,0,sabado,2,2,17.469818,0.194672,0,0,1
1,tarde,false,15,0,0,1,1,sexta-feira,1,0,4.774344,0.053202,0,3,1
2,tarde,false,46,0,2,2,0,terca-feira,4,4,39.289741,0.439262,46,6,1
2,noite,false,30,0,0,1,0,quarta-feira,1,1,9.878268,0.110439,0,11,1
