@relation 'scala-js-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R22,7,6,10,2,8,14,17,11,9,15,12,16,18,1,53'

@attribute at_mentions_description numeric
@attribute num_commits numeric
@attribute description_length numeric
@attribute files_modified numeric
@attribute created_at_day_turn {noite,tarde,madrugada,manha}
@attribute files_added numeric
@attribute other_files numeric
@attribute new_entropy numeric
@attribute files_changed numeric
@attribute files_deleted numeric
@attribute src_churn numeric
@attribute src_files numeric
@attribute test_churn numeric
@attribute entropy_diff numeric
@attribute created_at_week_day {domingo,quinta-Feira,quarta-feira,segunda-feira,terca-feira,sexta-feira,sabado}
@attribute status {0,1}

@data
0,4,29,2,noite,1,0,28.641201,3,0,125,3,0,0.471128,domingo,0
0,3,57,6,noite,0,0,51.361606,6,0,165,6,14,0.845768,quinta-Feira,1
0,3,6,4,tarde,0,2,22.848245,4,0,37,2,0,0.376242,quarta-feira,1
0,3,4,19,noite,2,0,151.245059,23,2,0,22,5077,2.490553,segunda-feira,1
0,2,4,17,noite,1,0,174.016903,19,1,0,19,7072,2.866333,quinta-Feira,1
0,2,4,7,tarde,0,0,68.158411,7,0,0,7,3452,1.122677,quinta-Feira,1
0,2,3,6,noite,2,0,43.64922,9,1,0,9,3864,0.719618,terca-feira,1
0,11,21,25,tarde,0,0,245.111764,25,0,458,25,84,4.040899,terca-feira,1
0,1,9,1,tarde,1,0,0,2,0,6,2,36,0,sexta-feira,1
0,1,80,1,tarde,0,0,4.097669,1,0,9,1,0,0.067601,sexta-feira,1
0,8,9,22,noite,0,0,23.885282,22,0,186,22,503,0.394045,segunda-feira,1
0,8,4,43,tarde,10,0,500.142002,64,11,4,64,7287,8.24534,sexta-feira,1
0,2,8,8,tarde,15,2,215.368758,23,0,941,17,125,3.562404,quarta-feira,0
0,1,39,10,noite,0,1,47.48686,11,1,1616,10,2,0.78485,sabado,1
0,10,5,14,noite,4,0,133.85896,18,0,708,18,851,2.212308,quinta-Feira,1
0,2,10,4,noite,0,0,23.457744,4,0,23,4,0,0.38769,quinta-Feira,1
0,1,9,3,noite,0,0,14.23988,3,0,30,3,0,0.235345,quinta-Feira,1
0,2,27,2,madrugada,0,0,13.823279,2,0,13,2,0,0.228627,domingo,1
0,2,36,7,noite,1,0,67.765687,8,0,297,8,0,1.120794,sabado,1
0,1,50,3,noite,0,0,13.984707,3,0,9,3,37,0.231297,sabado,1
0,1,7,2,noite,0,0,9.387054,2,0,36,2,0,0.155255,sabado,1
0,3,9,3,tarde,0,0,24.53461,3,0,28,3,88,0.405784,sabado,1
0,1,42,2,madrugada,0,0,9.362745,2,0,18,2,11,0.155224,quarta-feira,1
0,6,19,9,noite,1,0,46.702978,10,0,143,9,0,0.774852,domingo,1
0,2,7,1,manha,0,0,8.490506,1,0,40,1,0,0.140866,domingo,1
0,1,10,1,madrugada,0,0,4.644046,1,0,17,1,0,0.07705,domingo,1
0,6,2,6,noite,3,0,46.483537,9,0,520,9,516,0.77121,sexta-feira,1
0,1,55,1,noite,0,0,4.493415,1,0,24,1,0,0.07455,quarta-feira,1
0,1,39,2,tarde,0,0,9.591087,2,0,68,2,0,0.159245,terca-feira,1
0,1,26,1,manha,0,0,4.770053,1,0,9,1,0,0.079199,terca-feira,1
0,2,6,4,madrugada,0,0,36.896621,4,0,27,4,0,0.612612,terca-feira,1
