@relation 'scikit-learn-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,6,10,11,12,1,9,16,17,8,14,18,15,19,53'

@attribute num_commits numeric
@attribute created_at_day_turn {madrugada,noite,manha,tarde}
@attribute description_length numeric
@attribute files_modified numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute created_at_week_day {terca-feira,domingo,sexta-feira,segunda-feira,sabado,quinta-Feira,quarta-feira}
@attribute files_deleted numeric
@attribute test_churn numeric
@attribute new_entropy numeric
@attribute files_added numeric
@attribute other_files numeric
@attribute entropy_diff numeric
@attribute src_churn numeric
@attribute commits_on_files_touched numeric
@attribute status {0,1}

@data
1,madrugada,27,1,1,1,terca-feira,0,0,4.7701,0,0,0.097813,2,1,1
1,noite,24,1,1,1,domingo,0,0,4.283576,0,0,0.087837,2,6,1
1,noite,4,1,1,1,domingo,0,0,4.287746,0,0,0.087922,2,5,1
1,manha,302,1,1,0,sexta-feira,0,0,4.901831,0,0,0.100514,0,7,1
2,noite,39,2,2,1,terca-feira,0,0,9.889306,0,1,0.203376,4,12,1
1,tarde,55,1,1,1,terca-feira,0,0,4.27246,0,0,0.087864,2,7,0
1,madrugada,5,1,1,0,terca-feira,0,0,4.685629,0,0,0.096361,0,5,0
1,noite,29,1,1,0,segunda-feira,0,0,4.97449,0,0,0.102302,0,5,1
2,madrugada,64,2,2,1,domingo,0,0,10.117927,0,1,0.208078,11,12,1
1,manha,34,2,2,1,sabado,0,0,9.129013,0,0,0.18774,1,3,1
2,noite,18,1,1,1,quinta-Feira,0,0,8.752987,0,0,0.18,12,6,1
1,noite,21,1,1,1,terca-feira,0,0,4.369829,0,0,0.089863,4,8,1
1,madrugada,62,1,1,1,segunda-feira,0,0,4.409827,0,0,0.090861,30,1,1
1,madrugada,20,1,1,1,segunda-feira,0,0,4.551028,0,0,0.09377,2,2,1
1,noite,16,1,1,1,sabado,0,0,4.347446,0,0,0.089576,4,5,1
1,manha,13,8,8,2,sexta-feira,0,0,34.813783,0,1,0.71731,6,1,1
2,madrugada,45,1,1,1,quinta-Feira,0,0,8.69836,0,0,0.17975,18,1,1
1,tarde,2,1,1,0,quarta-feira,0,0,4.258063,0,0,0.087992,0,41,1
2,noite,48,2,2,2,terca-feira,0,28,17.072814,0,0,0.352806,40,4,0
1,noite,18,2,2,2,terca-feira,0,6,8.827477,0,0,0.182418,17,4,0
1,tarde,46,1,1,0,terca-feira,0,0,4.789542,0,0,0.098975,0,5,1
