@relation 'vagrant-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R36,7,6,11,8,10,12,14,2,9,15,1,17,18,20,53'

@attribute requester {pearkes,kenorb,larsch,jtopper,altexdim,mwrock,amontalban,tpenguin,kamigerami,geo4orce,donaldguy,radarhere,interdev,evisboy,jzohrab,Eric-Guo,budhrg,oddtazz,snagy22000,sethvargo,rightsaidjames,krutcha,taurus-forever,erSitzt,mbrodala,pra85,evaryont,prateepb,kkremitzki,gavioto,williamonymous,tompscanlan,wjsager,mmickan,theengineear,daniel-sc,jlduran,cweagans,anatol,adamenger,velocity303,kamazee,sneal,gimler,gildegoma,kylegibson,michaldo,aqnouch,kriuz,petems,OmarIthawi,sschuberth,char16t,mitchellh,ianvanness,KaffeJunky123,metropolislights,geerlingguy,josephfrazier,kikitux,tomkins,captainill,tonyarkles,michaa76,rickard-von-essen,mkuzmin,chenz,reedloden,jharshman,rubenv,romulodl,timuralp,legal90,handlers,Panya,iamseth,ReadmeCritic,yoshiyaka,thachmai,signed8bit,oliviermeurice,fedorovdima,dmacvicar,amirbilu,Ingramz,invernizzi,dvorak,nikelmwann,aneeshusa,rogerhu,karthequian,dexterc,matthewcodes,gawbul,glamouracademy,gpkfr,jsyeo,htesligte,joseph-onsip,markus-perl,timotei,grafjo,javimuu,PatOShea,jcockhren,caleblloyd,electrofelix,knixeur,ctammes,iankronquist,janek-warchol,Fudoshiki,trivoallan,blueyed,bitprocessor,senglin,tbriggs-curse,justinlynn,tomfanning,jperville,loren-osborn,samphippen,philipwigg,krig,dharmab,myrjola,mirthy,phinze,jgoldschrafe,jrob,modernlegend,yanosz,konomae,dustymabe,ArloL,gajdaw,marc-ta,hubub,tknerr,glensc,cbednarski,issyl0,lonniev,JustinCampbell,pwnall,philoserf,tjanez,StefanScherer,cazzerson,mtwentyman,evverx,vbaskoff,driskell,Johntron,caseylang,benh57,bdwyertech,darkn3rd,pogliamarci,ievgenp,Mattias-,denisbr,jkburges,bheuvel,cristovaov,progamesigner,aidanhs,wkral,kaorimatz,densuke,adrianguenter,msabramo,dcbw,strzibny,oxygen0211,cisco87,jjasghar,ivuk,miguel250,peckpeck,alh84001,jeremyplichta,iNecas,Ryanbarnes420,chrisbaldauf,berendt,linyows,jim-minter,leocassarani,bergman,deviantintegral,c33s,mrahtz,mahnkong,agdula,taliesins,Stanzilla,dmangot,paul-krohn,brooksbrown,otagi,jfbibeau,frapposelli,purpleidea,bluehaoran,michaeldhopkins,notpeter,quirkey,stoned,thenewwazoo,randonn,jackywu,vvchik,ssugar,marsam,obnoxxx,MiLk,johnsonj,eidge,francisoud,follower,duro,aogail,Turbo87,Jamezz,valchonedelchev,timoguin,ibizaman,marxarelli,laetificat,trensen,edward010,davidsantoso,erwinvaneyk,hashar,choffee,agreenbhm,YpNo,mafrosis,tioteath,kev009,timsutton,frankbb,mixpix3ls,SchnWalter,channui,Scythril,terceiro,Keeguon,rgardler,aknrdureegaesr,blairham,radeksimko,alfonsodev,dragon788,simonjbeaumont,simonvetter,voxik,BlakeMesdag,clayallsopp,tomassrnka,thierrymarianne,clintoncwolfe,clinstid,hdeheer,windowsrefund,bvalerius,peterood,dcarley,fgrehm,johnclaus,AntonioMeireles,wkolean,simon3z,MobileWiseguyTX,mdirik,ermaker,tai-ga,lpabon,HerrBertling,databus23,willdurand,zmingee,maxlinc,tjouan,c0dxtr3m1st,frodenas,heydonovan,imjacobclark,joelhandwell,kalifg,tboettch,riquito,jquast,athak,oeuftete,svenXY,obfusk,michaeljb,malonecm,whitel,jcollins1991,aidanmorgan,maoueh,derdanne,julienvey,stephenwithav,jch,llamallama,ccutrer,philwrenn,KFishner,robkinyon,aspiers,Tarrant,cllns,konstantint,uchagani,awithersdd,jramnani,orenmazor,dimbleby,tmatilai,jschwarze,dlundgren,crypt1d,styro,danielsiwiec,davidjb,dannykansas,dup2,rogeriopradoj,ilucker,ebelew,mrwhelan,plu,matgnt,Xylakant,kbohnenberger,lunetics,chriskuehl,sprin,donckers,tboerger,mpoeter,jugglinmike,rtkrruvinskiy,abele,Gurpartap,jure,andytson,npvisual,igas,keithchambers,juliandunn,cdenneen,omehegan,simoleone,dmcrystax,gpoulin2,rclanan,sax,lsimons,jdmulloy,BackSlasher,s7726,sumkincpp,andrewmains12,ewigkeit1204,nmische,parisholley,justanshulsharma,acidum,gildub,fpletz,danielparks,synth3tk,b-dean,stvleung,emyl,stevemcc,vStone,EvanPurkhiser,ffrank,bbaugher,schauer,vassilevsky,aaadschutz,techtonik,amracks,keiths-osc,skeggse,sfx-public,Maks3w,BlackIkeEagle,dhoppe,cielavenir,akzhan,salimane,zr40,simono,bewiwi,KLVTZ,brettporter,calvinhp,ifnull,dougm,pdericson,PerilousApricot,az7arul,xstevecs,catsby,marnovdm,rockymadden,zigg,stonith,kalmanh,Freyskeyd,gpurkins,snowch,hippich,shtouff,cstrahan,targetx007,RabidGuppy,ramakrishnan,YungSang,agilebarbecue,goshakkk,szuliq,assens,takekazuomi,tupy,p0deje,cammoraton,felixrabe,also,sciurus,chr4,lamont-granquist,eykd,shadowfax-chc,JuanitoFatas,wtanaka,bclarkindy,benesch,javornikolov,bmcorser,ronnix,rasschaert,jingchan,jjshoe,mjfroehlich,brenttheisen,Mulkave,zeroem,bmorg,b-long,cuberri,zzamboni,timcooper,Arxisos,joanbarros,ndemonner,briandailey,odigity,davidkuridza,oscarrenalias,valioDOTch,philippfranke,pmenglund,miurahr,Coffee-fan,toooooooby,jaikdean,skoblenick,mattoxbeckman,ecoleman,novalagung,barrkel,skinofstars,mivok,justincwatt,pbitty,alimony,andyclarke,uwej711,cournape,rissem,jyggen,khiro,ex-nerd,freshteapot,mkremer,xraj,mway,schlamar,Fuhrmann,patrickheeney,bbinet,Krazylee,stormbrew,adamlazz,mafigit,johnbellone,ramondelafuente,mattes,johan-open-future,endemics,gldnspud,lheinlen-os,ajw0100,retr0h,kvilhaugsvik,eugeneware,shanegibbs,ryanuber,dstevenson,earnubs,elyast,gnawhleinad,mhahn,rmccue,danielbachhuber,maspwr,wouteroostervld,nickborromeo,frosario,chrischillibean,mpalmer,myoung34,seginoviax,morrizon,timgus,thanosa75,gustavobgama,masteinhauser,miketheman,glebm,smoyer,charlax,ryansb,joestump,graingert,lunohodov,sferik,jameydeorio,darthmuffins,MarcMeszaros,marcellodesales,picsolvebryan,tobiasbaehr,Ninir,Ninjamoose,oalders,Grunny,ampedandwired,martinezdelariva,acharlieh,adrianlzt,drpebcak,tnaoto,arthurnn,bbonamin,lndbrg,makern,scalp42,ShonM,mwarkentin,jpfuentes2,teaforthecat,mattalexx,till,bennlich,instilled,alangarf,ticosax,nikhilv,Sgoettschkes,athoune,elliotsegler,markpeek,millerdev,isaoshimizu,rconradharris,AJCStriker,phs,jaugustin,ziuchkovski,hatsuseno,andyfowler,canausa,tduffield,jeremyfelt,clintjhill,jackdesert,onejli,rimckenn,tmacedo,Schpidi,SpringMT,txchen,hikch,borgstrom,tehmaspc,catharsis,Tomdarkness,viq,sgronblo,3flex,virtuald,gwaldo,tuminoid,mpioli,copperlight,jeffasinger,jabclab,eggsby,ianheggie,jeremyquinton,daveloyall,grenade,czi,fcharlier,mrkafk,Caustic,PeteMichaud,bt5e,aleno,gregwork,mark-rushakoff,mikerowehl,tpltnt,Raman148,deltaroe,atomic-penguin,cmthornton,grepory,BreiteSeite,ndemoor,herdani,psi,beporter,gildas,erichelgeson,miguno,tsahara-iij,mlex,janth,shutej,Boohbah,ches,rajivr,ppp0,sevos,tejaycar,mcourtois,flozano,talexb,gwenci,michaelglass,StephenKing,erran,bmabey,tsugliani,tehranian,zvirusz,mpapis,znz,korya,Sauraus,nickanderson,saturnflyer,marcparadise,b2jrock,mightybs,commandtab,bdon,patcon,sthulb,koolhead17,benjixx,voronoipotato,mfournier,trlinkin,ngiger,scottmuc,jprosevear,tgarvey,kburwieck,davegudge,hecko,Aigeruth,dsesh,hwartig,ekalinin,wbates,tunix,econchick,jheise,drogerschariot,frankshearar,Loa,tawan,toretore,pronix,aszeszo,akalyaev,igorbonadio,cliles,Govinda-Fichtner,gilesbowkett,pmorton,johntdyer,gumayunov,hectcastro,nickrw,NeilW,raadad,cassianoleal,davidbirdsong,geetarista,onefrankguy,tobli,chorankates-sfdc,smdahlen,benprew,schisamo,jimmycuadra,jefflab,wormzer,wenlock,neil477,davedevelopment,jedvardsson,kentaro,janschumann,hmalphettes,rubbish,yujiorama,uggedal,nickchappell,martoe,lucaspiller,curzonj,masm,whiteley,aaa572,jblaine,grosser,frsantos,johnbarney,erikh,phunehehe,erictip,ereslibre,hh,ithinkihaveacat,samet,lolindrath,pastafari,dmajkic,magec,kainz,llonchj,yarikoptic,nicobrevin,eladroz,kbrock,rizzatti,ozanturksever,nwjsmith,jwhitley,hdorio,priestjim,jbraeuer,paulmars,chilicat,mattandersen,jasim,ryfow,morpheu,xiwenc,pbrisbin,gmsharky,jeremyd,lorello,obscurerichard,carlossg,paulv,petere,sbfaulkner,michaelthies,sl4m,YannRobert,gabetax,piavlo,smerrill,rrehbeindoi,julianhille,hugowetterberg,gaffo,Samuel29,danmidwood,bcwaldon,jtimberman,jmazzi,spk,benburkert,chipchilders,scoates,vaimo-wilko,mandarbarve,loe,conormcd,dansimau,5long,bobmaerten,marklap,jamtur01,jssjr,zsiddique,nathankleyn,muffs,videlalvaro,RLasinski,mattrobenolt,monvillalon,mxtthias,leth,oker1,kindjal,npeters,webcoyote,hollow,jmahowald,ryanlecompte,squarelover,jhf,LarsFronius,dbroeglin,nesQuick,rafmagana,bitprophet,calavera,theju,stevehodgkiss,andyl,skarab,dcolish,lorin,hvolkmer,Oakie3CR,rvermeulen,rtyler,andrewchalfant,withnale,mbbx6spp,wayneeseguin,jbochi,Achimh3011,dgholz,ndwns,ergonlogic,jjhuff,jsoriano,bobveznat,semarj,mephaust,straphka,jkutner,withnail,sroegner,mamciek,rtgibbons,jarmo,sigi,henare,sirl1on,zev,bgreenlee,richardiux,halcyonCorsair,LeftyBC,dgtized,hedgehog,paulsmith,cwarden,avit,russss,jbrown,lmars,alexey-chebotar,xuru,eriksencosta,mdellanoce,dizzyd,brycethornton,ticean,wjlroe,kevin1024,dctrwatson,ody,sjl,darrin-wortlehock,samerbuna,ambethia,mirell,josephholsten,tnm,brianloveswords,pelletier,xdissent,dax,simonsd,halcyon,gabemc,jeffrafter,pauln415,theaboutbox,RichardBronosky,svenfuchs,mlinderm,reset,nstielau,philips,ryansch,alanshields,mhorbul,stopdropandrew,bodepd,jwinter,wfarr,th34ut0m4t0r,rcreasey,patcoll,wsc,tonyla,TimDumol,morepanda,gammons,ramonvanalteren,jeffmccune,tail,aglarond,thbar,vishvananda,mdub,underlog,kvs,michaelbearne,mtrudel,evtuhovich,bpo,masterzen,tolbrino,lstoll,bnmrrs,scompt,dreamcat4,ctrabold,drnic,adamv,ankopainting,bixu}
@attribute num_commits numeric
@attribute description_length numeric
@attribute files_changed numeric
@attribute files_added numeric
@attribute files_modified numeric
@attribute src_files numeric
@attribute other_files numeric
@attribute created_at_day_turn {noite,madrugada,tarde,manha}
@attribute files_deleted numeric
@attribute src_churn numeric
@attribute created_at_week_day {terca-feira,domingo,sabado,quarta-feira,sexta-feira,quinta-Feira,segunda-feira}
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute commits_to_hottest_file numeric
@attribute status {0,1}

@data
pearkes,2,32,11,1,10,10,0,noite,0,50,terca-feira,42.220281,0.721162,2,1
kenorb,1,78,1,0,1,1,0,noite,0,2,terca-feira,4.454756,0.076091,2,1
larsch,1,31,1,0,1,1,0,noite,0,2,terca-feira,4.54909,0.077703,1,1
jtopper,1,22,1,0,1,1,0,noite,0,11,domingo,4.491123,0.076713,2,1
altexdim,2,22,1,0,1,1,0,madrugada,0,4,domingo,4.288309,0.073248,1,1
mwrock,1,48,1,0,1,1,0,tarde,0,6,sabado,4.829702,0.082496,1,1
amontalban,1,36,1,0,1,1,0,madrugada,0,7,quarta-feira,4.49797,0.076834,0,1
tpenguin,1,37,1,0,1,1,0,madrugada,0,2,quarta-feira,4.249018,0.072581,2,0
kamigerami,1,58,1,0,1,1,0,tarde,0,5,domingo,4.502826,0.076916,2,1
kamigerami,1,24,1,0,1,1,0,manha,0,2,sabado,4.506615,0.076981,0,1
geo4orce,1,18,1,0,1,1,0,noite,0,2,sexta-feira,4.593812,0.07847,2,1
donaldguy,1,51,4,0,4,4,0,madrugada,0,16,sexta-feira,17.085189,0.291853,1,1
radarhere,1,2,1,0,1,1,0,noite,0,4,sexta-feira,4.915792,0.083973,66,1
interdev,2,22,1,0,1,1,0,noite,0,10,terca-feira,8.813214,0.15079,0,1
evisboy,1,70,1,0,1,1,0,noite,0,17,sexta-feira,4.46408,0.076378,8,0
jzohrab,2,6,1,0,1,1,0,noite,0,6,sexta-feira,8.942387,0.153,5,1
Eric-Guo,1,4,3,3,0,3,0,noite,0,45,sexta-feira,12.892955,0.220592,0,0
budhrg,1,6,1,0,1,1,0,tarde,0,2,sexta-feira,4.522305,0.077374,3,1
oddtazz,1,6,1,0,1,1,0,noite,0,4,quinta-Feira,4.357641,0.074557,2,1
snagy22000,3,70,1,0,1,1,0,tarde,0,26,quarta-feira,8.858828,0.15157,8,0
sethvargo,2,46,3,0,3,3,0,noite,0,50,segunda-feira,22.352862,0.382445,5,1
jzohrab,2,96,1,0,1,1,0,manha,0,12,sabado,9.10247,0.155738,2,1
rightsaidjames,1,29,1,0,1,1,0,tarde,0,2,sexta-feira,4.389284,0.075098,2,1
krutcha,1,22,1,0,1,1,0,manha,0,2,sexta-feira,4.533016,0.077557,3,1
taurus-forever,1,28,1,0,1,1,0,madrugada,0,2,sexta-feira,4.187483,0.071646,7,0
erSitzt,5,24,3,1,2,2,0,noite,0,57,quinta-Feira,17.99942,0.308202,0,1
mbrodala,1,4,1,0,1,1,0,noite,0,2,quarta-feira,4.870125,0.083391,126,1
sethvargo,1,9,12,0,12,10,0,noite,0,24,terca-feira,56.068003,0.962313,3,1
sethvargo,1,9,2,0,2,1,0,noite,0,0,terca-feira,9.298667,0.159596,3,1
pra85,1,9,1,0,1,0,1,madrugada,0,0,domingo,4.147375,0.071183,41,1
evaryont,1,56,1,0,1,1,0,noite,0,2,sexta-feira,5.22644,0.089703,3,1
prateepb,1,6,1,0,1,1,0,noite,0,2,sexta-feira,4.632446,0.079508,3,1
kkremitzki,1,25,1,0,1,1,0,tarde,0,2,quarta-feira,4.568455,0.07841,2,1
sethvargo,2,7,16,0,16,14,2,noite,0,40,segunda-feira,74.104039,1.272784,107,1
mwrock,1,7,1,0,1,1,0,noite,0,1,domingo,4.349623,0.074708,6,1
mwrock,5,29,7,0,7,7,0,noite,0,158,domingo,22.711306,0.390081,6,1
kamigerami,1,41,1,0,1,1,0,tarde,0,3,domingo,4.195795,0.072164,3,0
gavioto,1,33,1,0,1,1,0,madrugada,0,4,sexta-feira,4.180195,0.071896,7,1
williamonymous,1,24,1,0,1,1,0,noite,0,6,quinta-Feira,4.252553,0.07314,7,1
tompscanlan,1,22,1,0,1,1,0,madrugada,0,1,quinta-Feira,4.506733,0.077512,3,1
wjsager,1,5,1,0,1,1,0,madrugada,0,7,quinta-Feira,4.572724,0.078647,2,1
mmickan,2,7,2,0,2,2,0,manha,0,7,quarta-feira,8.696685,0.149574,4,1
sethvargo,1,127,264,60,1,195,59,madrugada,203,3566,quarta-feira,136.52473,2.125388,15,1
jtopper,3,59,3,0,3,3,0,noite,0,68,sexta-feira,8.105411,0.126184,0,1
theengineear,2,29,1,0,1,1,0,madrugada,0,4,sexta-feira,9.083215,0.141406,4,1
daniel-sc,1,73,1,0,1,1,0,madrugada,0,2,quinta-Feira,4.432197,0.069001,14,1
jlduran,1,16,1,0,1,1,0,tarde,0,2,quarta-feira,4.542535,0.070719,0,1
cweagans,1,29,5,1,4,4,1,noite,0,76,segunda-feira,22.29,0.347016,3,0
anatol,1,8,1,0,1,1,0,noite,0,2,segunda-feira,4.693157,0.073064,4,1
adamenger,1,5,1,0,1,0,0,manha,0,0,segunda-feira,4.673271,0.072755,3,1
velocity303,1,42,2,2,0,2,0,noite,0,26,domingo,9.115706,0.141915,0,1
anatol,1,3,1,0,1,1,0,noite,0,1,sexta-feira,4.559008,0.070976,2,1
kamazee,1,122,2,0,2,2,0,noite,0,6,quinta-Feira,9.541956,0.148551,25,0
sneal,1,33,1,0,1,1,0,madrugada,0,2,quinta-Feira,4.204755,0.065461,5,1
gimler,1,15,2,1,1,2,0,noite,0,32,terca-feira,8.758963,0.136362,3,1
gimler,1,32,1,0,1,1,0,noite,0,2,terca-feira,4.800463,0.074735,3,1
gildegoma,8,47,6,0,6,6,0,tarde,0,64,terca-feira,23.334488,0.363277,106,1
kylegibson,2,406,2,0,2,2,0,manha,0,2,terca-feira,4.656902,0.0725,3,0
michaldo,1,18,1,0,1,1,0,madrugada,0,17,terca-feira,4.804676,0.0748,0,1
michaldo,1,15,1,0,1,1,0,madrugada,0,7,segunda-feira,5.079591,0.07908,5,0
aqnouch,1,4,1,0,1,0,0,manha,0,0,sexta-feira,4.703725,0.073229,0,1
kriuz,1,5,1,0,1,1,0,madrugada,0,2,quinta-Feira,4.424079,0.068875,9,1
petems,1,10,1,0,1,1,0,noite,0,5,terca-feira,4.154849,0.064684,0,1
OmarIthawi,1,7,1,0,1,1,0,tarde,0,2,terca-feira,5.126166,0.079805,2,1
sschuberth,1,10,1,0,1,1,0,madrugada,0,6,terca-feira,4.687127,0.072971,0,1
mwrock,1,47,1,0,1,1,0,madrugada,0,4,segunda-feira,4.546868,0.070788,2,1
char16t,2,6,1,0,1,1,0,noite,0,12,sabado,9.210715,0.143397,3,1
mitchellh,2,42,1,0,1,1,0,madrugada,0,38,sexta-feira,8.372903,0.130358,4,1
ianvanness,1,5,1,0,1,1,0,madrugada,0,2,quinta-Feira,4.603483,0.071673,3,1
KaffeJunky123,1,13,1,0,1,1,0,noite,0,2,quarta-feira,4.205877,0.065482,8,1
metropolislights,1,10,4,0,4,4,0,tarde,0,62,quarta-feira,18.573171,0.28917,9,0
geerlingguy,1,5,1,0,1,1,0,manha,0,2,quarta-feira,4.603483,0.071673,3,1
josephfrazier,1,62,1,0,1,1,0,manha,0,4,quarta-feira,4.497964,0.07003,6,0
sethvargo,1,9,1,0,1,1,0,madrugada,0,6,quarta-feira,4.580554,0.07132,7,1
sethvargo,1,10,1,0,1,1,0,noite,0,2,terca-feira,4.360694,0.067897,5,1
kikitux,1,41,1,0,1,1,0,tarde,0,8,terca-feira,4.990844,0.077708,4,1
tomkins,1,49,1,0,1,1,0,madrugada,0,2,terca-feira,4.579618,0.071305,2,1
captainill,15,27,65,32,31,9,6,madrugada,2,512,segunda-feira,284.44924,4.542974,6,1
tonyarkles,1,58,1,0,1,1,0,madrugada,0,7,sexta-feira,3.729765,0.059569,1,1
michaa76,1,11,2,0,2,2,0,noite,0,10,quarta-feira,9.241722,0.147599,0,1
sethvargo,3,11,2,0,2,2,0,noite,0,74,terca-feira,13.665541,0.218249,4,1
sethvargo,1,7,2,0,2,2,0,noite,0,2,segunda-feira,8.852882,0.141465,6,1
rickard-von-essen,1,21,4,2,1,4,0,noite,1,102,segunda-feira,12.843948,0.205241,2,1
mkuzmin,1,191,1,0,1,1,0,noite,0,1,sabado,4.463054,0.071318,2,1
kamigerami,5,34,4,0,4,3,1,madrugada,0,77,sexta-feira,23.089572,0.368964,46,1
gildegoma,13,47,3,0,3,3,0,tarde,0,26,quarta-feira,18.400456,0.294034,12,1
chenz,6,15,0,0,0,0,0,noite,0,0,terca-feira,0,0,0,1
reedloden,1,31,4,0,4,3,1,tarde,0,26,sabado,18.567945,0.296711,46,1
jharshman,1,36,1,0,1,1,0,madrugada,0,2,sabado,4.424422,0.070701,0,1
rubenv,1,4,0,0,0,0,0,tarde,0,0,sexta-feira,0,0,0,1
sethvargo,1,121,0,0,0,0,0,noite,0,0,quinta-Feira,0,0,0,1
sethvargo,2,10,3,1,2,3,0,noite,0,33,quinta-Feira,13.681655,0.218631,0,1
romulodl,1,26,2,0,2,2,0,noite,0,4,quinta-Feira,8.433057,0.134759,3,1
timuralp,1,21,1,0,1,1,0,madrugada,0,2,quarta-feira,4.686784,0.075276,3,1
timuralp,1,126,2,0,2,2,0,madrugada,0,21,quarta-feira,9.038683,0.145173,4,0
sethvargo,1,5,2,0,2,3,0,noite,0,8,terca-feira,9.25441,0.148638,22,0
sethvargo,1,8,2,0,2,2,0,manha,0,20,terca-feira,9.098886,0.146248,0,1
sethvargo,1,6,2,0,2,1,0,manha,0,0,terca-feira,9.278834,0.14914,0,1
sethvargo,2,8,6,0,6,5,1,madrugada,0,26,terca-feira,25.354908,0.40753,44,1
sethvargo,1,9,9,0,9,9,0,madrugada,0,59,terca-feira,39.682277,0.637827,8,1
sethvargo,1,3,2,2,0,2,0,madrugada,0,41,terca-feira,8.591254,0.138278,0,1
sethvargo,1,7,3,2,1,3,0,madrugada,0,20,terca-feira,13.101336,0.211315,2,1
legal90,1,137,1,0,1,1,0,noite,0,1,domingo,4.787634,0.077327,2,1
mitchellh,1,51,2,0,2,2,0,noite,0,11,sexta-feira,8.64422,0.13971,1,1
mitchellh,1,16,1,0,1,1,0,manha,0,6,sexta-feira,4.591774,0.074211,0,1
sethvargo,8,8,9,0,9,8,1,madrugada,0,215,sexta-feira,116.670807,1.885593,36,1
sethvargo,1,10,2,0,2,2,0,madrugada,0,25,sexta-feira,8.938288,0.144458,0,1
sethvargo,2,13,7,0,7,7,0,madrugada,0,77,sexta-feira,44.435123,0.718154,3,1
sethvargo,1,6,5,0,5,3,0,madrugada,0,12,sexta-feira,22.29111,0.360267,4,1
sethvargo,1,13,1,0,1,1,0,madrugada,0,4,sexta-feira,3.938608,0.063702,2,1
sethvargo,2,5,5,0,5,4,1,madrugada,0,35,sexta-feira,22.010381,0.355991,34,1
sethvargo,5,71,15,1,14,15,0,madrugada,0,194,sexta-feira,65.964281,1.067646,6,1
sethvargo,1,14,2,0,2,2,0,noite,0,6,quinta-Feira,8.927001,0.144485,0,1
sethvargo,2,57,4,0,4,3,1,noite,0,49,quinta-Feira,25.916063,0.419455,32,1
mitchellh,1,41,2,0,2,2,0,noite,0,3,quinta-Feira,8.187825,0.132521,0,1
sethvargo,1,8,3,0,3,3,0,noite,0,6,quinta-Feira,11.107395,0.179774,20,1
mitchellh,3,36,1,0,1,1,0,noite,0,55,quinta-Feira,4.336383,0.070237,7,1
sethvargo,2,3,2,1,1,2,0,noite,0,5,quinta-Feira,4.122822,0.066778,0,1
handlers,1,77,2,0,2,0,0,noite,0,0,quinta-Feira,9.889534,0.160183,7,1
Panya,1,19,4,0,4,0,0,tarde,0,0,quinta-Feira,17.973812,0.291126,7,1
iamseth,1,18,1,0,1,1,0,manha,0,2,quinta-Feira,5.029168,0.081459,0,1
sethvargo,2,5,4,0,4,4,0,manha,0,0,quinta-Feira,32.253573,0.522421,2,1
sethvargo,2,11,3,0,3,3,0,manha,0,32,quinta-Feira,8.403895,0.136123,2,1
mitchellh,1,25,2,0,2,2,0,madrugada,0,7,quinta-Feira,8.890936,0.144012,9,1
sethvargo,1,17,2,0,2,1,1,madrugada,0,8,quinta-Feira,8.55983,0.138649,30,1
mitchellh,2,23,2,0,2,2,0,madrugada,0,8,quinta-Feira,9.017726,0.146066,0,1
sethvargo,1,11,1,0,1,1,0,madrugada,0,10,quinta-Feira,4.437094,0.07187,4,1
sethvargo,4,11,2,0,2,2,0,madrugada,0,21,quinta-Feira,12.731733,0.206224,3,1
sethvargo,1,12,3,0,3,3,0,madrugada,0,27,quinta-Feira,14.128774,0.22886,0,1
sethvargo,1,18,1,0,1,1,0,madrugada,0,22,quinta-Feira,4.768786,0.077588,2,1
mitchellh,1,40,3,0,3,3,0,madrugada,0,15,quinta-Feira,12.244636,0.199221,0,1
sethvargo,1,57,2,0,2,2,0,noite,0,21,quarta-feira,8.957467,0.146045,0,1
