@relation 'diaspora-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,28,34,36,38,44,45,49,53'

@attribute forward_links {false,true}
@attribute test_lines_per_kloc numeric
@attribute workload numeric
@attribute requester {SuperTux88,cmrd-senya,svbergerem,denschub,Flaburgan,k0kubun,Faldrian,celber,visualsayed,korun,dmorley,theworldbright,Fensterbank,manuelVo,fiedl,jhass,Thor77,balasankarc,kas70,ujdhesa,avikpal,atulonruby,stragu,apsc92,Zauberstuhl,AugierLe42e,sarithats,tamatsyk,lstoll,marienfressinaud,jaywink,SansPseudoFix,axilleas,jpope777,pravi,Darael,sjain1107,Raven24,zaziemo,johand,AntonTkachov,morashid92,mikicaivosevic,RichKavanagh,yithian,giniouxe,Realtin,joebew42,RyDroid,Haidy777,fap-,pablocubico,arlogn,efstrian,strivedi183,teslasmoustache,ita1024,margori,goobertron,mrbrdo,artoartnik,szlend,zachrab,desyncr,MothOnMars,lislis,sam09,S-Ercan,aka001,WebDevFromScratch,fscz,salbertson,dimaursu,gdpelican,maliktunga,SWW13,aykevl93,jonsger,collimarco,flamontagne,ThomasLeister,joshk,Gallaecio,DharmaCommunity,JesseWeinstein,RoseTheFlower,hferee,Reifenpilot24de,zikalify,StefOfficiel,MarcBurt,roymckenzie,goofy-bz,taro-k,18augst,deepy,polsVoice,theatre-x,max258,jaideng123,remcohh,khall,lyzellis,dan-mi-sun,damzcodes,blase,MrFrety,rundkorn,theutahkate,blackwarthog,mmn,kpcyrd,hpetru,maxwell,wiegelmann,Chocobozzz,taratatach,jbelanich,MrZYX,Ruxton,nviennot,santosgabriel,hank789,amyilake,JannikStreek,rootwyrm,ilake,mehmetaergun,olorin,abhineet08,hincupetru,MatrixCrawler,seanbrant,onpon4,dash-rai,geirkairam,bronislav,rsofaer,qmaruf,ivanzotov,fabianrbz,ZBarg,zapiens,PallaviTS,marciol,rezapaya,pkallberg,manwithtwowatches,nitinsurfs,RoonyH,AraanBranco,alisoncassidy,0TWAIN0,ssrihari,redrik,movilla,WebSpider,marekjm,fubik,emilceh,gilhyun,manuels,colindean,dorman,rogerbraun,andrewcsmith,oliverbarnes,juliaguar,netom,kvsatya,meitar,L3MNcakes,jguyon,carolinagc,bjozzi,rivendale2010,tsrivishnu,davexunit,dukex,fabianfiorotto,kevivmatrix,juanazam,lnakamura,eloydegen,brauliomartinezlm,diasp,brunomachado,embs,wenzowski,marceloeloelo,workwareusa,marpo60,pestrada,jishnu7,afrerich,mtparet,prellele,somethree,alininja,DeadSuperHero,divout,fhsdi2,malavbhavsar,tubbo,archSeer,marco-gallardo,YaNoo,yurkobb,liamn,davecocoa,PatBarret,bobbywilson0,rschaden,EJW1,grimreaper,grzuy,simonsmiley,mklew,hfase01,devendram,gutobenn,billyoc,jeremyjh,alimony,dotkrnl,flipkick,fermionic,sfawaz,Goutte,kikuchiyo,L2G,brynary,justindthomas,Rawk,stevenh512,wubwubwubcr3w,zscott,ChaosCoder,kostasnw,nsdevaraj,caarlos0,fechterjm,clavisound,OhaiBBQ,agconnor,panckreous,pubis,tsujigiri,ktkaushik,xray7224,m4tze,christophe-de,denniscollective,vcuculo,shavit,s-f-s,ChFernandez,jbivins,pixelistik,gandaro,beardedninja,Carabas,JMSilla,prathamesh-sonpatki,stefi,Pistos,rekado,stwf,nolith,Stultus2,Yajo,sailing,fred,robhogg,gouthamvel,torrancew,arions,CodeBlock,judytuna,ChaseReid,memarko,futurechimp,vanhalt,one-dash,DusanM97,laserlemon,aabril,tmlee,geckoxx,kaleemullah,aboire,michaelklishin,carzil,groovehunter,kapcom01,jperyl,21echoes,mrtee,Robsteranium,Gonzih,buddhamagnet,walternelson,doot0,svoop,bagilevi,halfd,firefly21,spieker,wcs,Flink,bdjnk,gladiac,uiri,johnedmonds,sofian,Flashinator,alda519,jtimberman,NaleagDeco,robin-drexler,cparker15,everplays,untitaker,brianwisti,andrejpodzimek,lksnyder0,leonardolaporte,ticho,isaacsanders,galaxor,anassahmed,ajft,jancborchardt,disconn3ct,mblog,gvx,protowouter,drummondj,shawnwebs,ndee,cyberkov,paddyez,vidkun,nannubest,yolk,rtznprmpftl,imw,anishsheela,jerinphilip,Dorian,arzumy,jamiew,NPerry,ritchiewilson,adonix,evant,williamtheaker,jrichardlai,kiranh,mnutt,siefca,brandonkernell,ramiromagalhaes,benoit934,dangold1138,soukron,raid5,lfortin,jairodiaz,berkes,frank-r-schmidt,lusum,Pasta,joedavis,TomK32,nickvdb,flah00,utkarshkukreti,rajesh672,oacis,pupeno,themasch,sentientwaffle,iurikothe,digination,jish,masterdot,adedommelin,Hexagon,Vanuan,blackxored,silviorelli,antimatter15,rtxanson,yarons,jandom,jdeisenberg,alepane21,mattbaker,danieleds,robotarmy,robustdj,rnevitt,michiwend,ecleel,onewland,ultrasaurus,jwinky,ggilder,rmaskey,maelsoucaze,theBernd,tristil,archi,UserAd,bigbash,binarycleric,tenaciousflea,leamas,patcito,Crimer,sgayda2,Stigjb,jeffrydegrande,koo5,jbhannah,kashif,minilibra,maco,duke-,guilleiguaran,yuvadm,drt24,bastos,sarahmei,sennewood,D4nte,cirnatdan,diogenes,michael-k,mousey,apardo,adelcasse,CAFxX,tkrehbiel,Setheck,Chiggins,mastooo,cmelbye,spack,moziz,brinchj,manveru,pedrosilva,CodeBleu,stefanotravelli,arielo,mishudark,danillos,sloser,7h0ma5,ubikuity,sirmacik,kyber,Otacon,Darkmagister,madmaze,MrBison,zturtleman,halfdan,voxdolo,tdpsk,nh2,ebruning,donpdonp,rwaldron,gosuri,steveklabnik,5v3n,sterops,zeph,ccoenen,soychicka,felgru,fbrubacher,cryptix,hemanth,jarinudom,hbons,jcdyer,ashcrow,dlo}
@attribute requester_succ_rate numeric
@attribute req_follows_integrator {false,true}
@attribute integrator_follows_req {false,true}
@attribute prior_interaction_pr_comments numeric
@attribute status {0,1}

@data
false,1146.87926,75,SuperTux88,0.940299,false,false,5,1
false,1129.020814,77,cmrd-senya,0.428571,false,false,2,1
false,1129.020814,77,SuperTux88,0.939394,true,true,5,1
false,1128.120194,76,SuperTux88,0.938462,false,false,5,1
false,1128.120194,77,svbergerem,0.935484,true,true,42,1
false,1128.120194,77,svbergerem,0.935294,true,true,42,1
false,1128.120194,75,svbergerem,0.935103,true,true,42,1
false,1125.340116,73,svbergerem,0.934911,true,true,42,1
false,1137.157107,76,SuperTux88,0.9375,true,true,1,1
false,1131.041444,76,denschub,0.846154,true,true,13,1
false,1137.732375,78,svbergerem,0.934718,true,true,42,1
false,1137.732375,78,SuperTux88,0.936508,false,false,1,1
false,1138.34086,81,svbergerem,0.934524,true,true,40,1
false,1138.34086,80,SuperTux88,0.935484,true,true,1,1
true,1138.34086,82,SuperTux88,0.934426,true,true,1,1
false,1138.40851,78,svbergerem,0.934328,true,true,41,1
false,1138.40851,77,cmrd-senya,0.421053,false,false,3,1
false,1138.40851,79,svbergerem,0.934132,true,true,41,1
false,1138.40851,78,svbergerem,0.933934,true,true,41,1
false,1138.40851,78,cmrd-senya,0.388889,false,false,5,1
false,1138.40851,77,svbergerem,0.933735,true,true,41,1
false,1138.400285,79,denschub,0.833333,true,true,22,1
false,1138.400285,79,svbergerem,0.933535,true,true,44,1
false,1138.400285,77,svbergerem,0.933333,true,true,44,1
false,1138.400285,78,svbergerem,0.933131,true,true,44,1
false,1137.330639,79,svbergerem,0.932927,true,true,44,1
false,1137.330639,79,svbergerem,0.932722,true,true,29,1
false,1137.398229,77,svbergerem,0.932515,true,true,28,1
false,1136.685089,79,svbergerem,0.932308,true,true,28,1
false,1137.256065,79,svbergerem,0.932099,true,true,19,1
false,1137.256065,80,svbergerem,0.931889,true,true,19,1
false,1137.256065,81,svbergerem,0.931677,true,true,19,1
false,1137.256065,81,svbergerem,0.931464,true,true,19,1
false,1137.256065,80,svbergerem,0.93125,true,true,19,1
false,1137.256065,81,svbergerem,0.931034,true,true,19,1
false,1137.256065,81,Flaburgan,0.82,false,false,9,1
false,1137.256065,80,denschub,0.909091,true,true,22,0
false,1135.548055,80,svbergerem,0.930818,true,true,19,1
false,1135.548055,80,svbergerem,0.930599,true,true,19,1
false,1135.434564,85,svbergerem,0.93038,true,true,19,1
false,1135.434564,84,svbergerem,0.930159,true,true,19,1
false,1135.434564,83,svbergerem,0.929936,true,true,19,1
false,1135.434564,83,svbergerem,0.929712,true,true,19,1
false,1135.434564,81,svbergerem,0.929487,true,true,19,1
false,1135.434564,85,svbergerem,0.92926,true,true,19,1
false,1135.434564,81,svbergerem,0.929032,true,true,19,1
false,1135.434564,80,svbergerem,0.928803,true,true,19,1
false,1135.434564,83,svbergerem,0.928571,true,true,19,1
false,1135.434564,82,svbergerem,0.928339,true,true,19,1
false,1135.434564,84,denschub,1,true,true,22,0
false,1135.434564,87,k0kubun,0,false,false,0,1
false,1136.242367,84,Faldrian,0.8,false,false,0,1
false,1136.242367,82,celber,0,false,false,0,0
false,1136.242367,83,visualsayed,0.714286,false,false,1,1
false,1136.242367,83,svbergerem,0.928105,true,true,18,1
false,1136.242367,82,svbergerem,0.931148,true,true,18,0
false,1139.078752,83,visualsayed,0.666667,false,false,0,1
false,1139.078752,83,SuperTux88,0.933333,false,false,1,1
false,1139.146457,84,visualsayed,0.6,false,false,0,1
false,1139.146457,83,Faldrian,0.791667,false,true,0,1
false,1139.146457,87,korun,0,false,false,0,1
false,1138.824508,86,SuperTux88,0.932203,true,true,1,1
false,1138.824508,86,svbergerem,0.930921,true,true,20,1
false,1138.824508,86,SuperTux88,0.931034,true,true,1,1
false,1138.824508,91,svbergerem,0.930693,true,true,11,1
false,1138.824508,93,svbergerem,0.930464,true,true,11,1
false,1139.656504,93,svbergerem,0.930233,true,true,11,1
false,1139.656504,93,dmorley,0.655172,false,false,0,0
false,1139.656504,93,Flaburgan,0.826531,false,true,7,1
false,1139.656504,92,SuperTux88,0.929825,false,false,0,1
false,1139.656504,97,Flaburgan,0.835052,true,false,8,0
false,1139.656504,92,svbergerem,0.93,true,true,18,1
false,1139.656504,92,SuperTux88,0.946429,false,false,0,0
false,1139.656504,92,svbergerem,0.929766,false,false,19,1
true,1139.656504,95,theworldbright,0.473684,false,false,19,0
false,1139.656504,99,Fensterbank,0,false,false,0,1
false,1168.726664,90,manuelVo,1,false,false,0,1
false,1168.726664,96,cmrd-senya,0.411765,false,false,28,0
false,1168.801906,89,manuelVo,1,false,false,0,1
false,1168.801906,99,fiedl,0,false,false,0,0
false,1171.314741,92,jhass,0.854839,true,true,180,1
false,1171.314741,92,SuperTux88,0.945455,true,true,0,1
false,1171.314741,91,Thor77,0,false,false,0,1
false,1171.314741,91,svbergerem,0.92953,false,false,30,1
false,1171.314741,91,svbergerem,0.929293,false,false,30,1
false,1171.314741,91,svbergerem,0.929054,true,true,30,1
false,1171.314741,91,balasankarc,0,false,false,0,0
false,1152.782439,91,celber,0,false,false,0,0
false,1171.314741,91,kas70,0,false,false,0,0
false,1171.314741,93,cmrd-senya,375,false,false,28,1
false,1171.314741,92,ujdhesa,0.6,false,false,0,1
false,1171.314741,92,avikpal,0,false,false,0,0
true,1171.314741,104,atulonruby,0,false,false,0,0
false,1148.589463,93,svbergerem,0.928814,false,false,45,1
false,1148.589463,105,cmrd-senya,0.333333,false,false,28,1
false,1147.954911,90,stragu,0,false,false,0,1
false,1152.782439,90,stragu,0,false,false,0,0
false,1147.954911,91,apsc92,0,false,false,1,1
false,1152.782439,90,stragu,0,false,false,0,0
false,1147.954911,93,Zauberstuhl,0.758621,true,false,4,1
false,1152.782439,93,Zauberstuhl,0.785714,true,false,4,0
false,1147.767016,87,ujdhesa,0.75,false,false,0,0
false,1147.954911,93,AugierLe42e,0.608696,false,false,72,1
true,1147.954911,98,sarithats,1,false,false,0,1
false,1146.806728,90,atulonruby,0,false,false,0,0
false,1146.806728,98,tamatsyk,0,false,false,0,0
false,1146.512827,83,manuelVo,1,false,false,0,1
false,1145.610416,83,manuelVo,0,false,false,0,1
false,1145.610416,95,cmrd-senya,0.285714,false,false,20,1
true,1145.610416,100,AugierLe42e,0.646154,false,false,64,0
false,1145.251757,79,theworldbright,0.444444,false,false,17,1
false,1145.325596,95,cmrd-senya,0.307692,false,false,20,0
false,1145.325596,84,AugierLe42e,0.650794,false,false,68,1
false,1145.325596,79,Zauberstuhl,0.777778,false,false,4,1
true,1145.899206,83,cmrd-senya,0.333333,false,false,9,0
false,1145.899206,81,sarithats,1,false,false,0,1
false,1145.899206,79,AugierLe42e,0.66129,false,false,62,0
false,1145.641092,82,jhass,0.85,false,false,224,1
false,1145.641092,81,cmrd-senya,0.272727,false,false,9,1
false,1145.641092,102,AugierLe42e,0.655738,false,false,57,1
false,1145.641092,80,cmrd-senya,0.3,false,false,3,0
false,1145.641092,78,svbergerem,0.928571,false,false,110,1
false,1145.641092,80,sarithats,0,false,false,0,1
false,1142.027489,77,svbergerem,0.928328,false,false,110,1
false,1142.027489,77,svbergerem,0.928082,true,true,110,1
