@relation 'appium-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,7,17,18,23,27,28,29,30,35,36,37,38,42,48,52,53'

@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute at_mentions_comments numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute test_cases_per_kloc numeric
@attribute asserts_per_kloc numeric
@attribute ci {travis,unknown}
@attribute requester {lucyking,imurchie,SrinivasanTarget,scottdixon,vikramvi,jlipps,guysmoilov,ahansen1,rompic,anandsadu,Jonahss,moizjv,MiteshShah,pra85,rahuljawale,aluedeke,akhillb,wuhao5,sankha93,amake,rseek,christian-bromann,some-say,dshafer,gempesaw,redshirtrob,lukeis,Footpad,michalsarna,srautiai,nicolasavenza,michaelpreston,ericwengelking,sebv,yaphatak,sofaking,arunnat,theyelllowdart,mjdetullio,bayandin,fernyb,exstan,d0lfin,icecrystal23,WKPlus,romainlouvet,xudafeng,whoward,lihuazhang,penguinho,Annnd,siriwit,paymand,hyeung-trulia,0x1mason,bootstraponline,teragoon,tarunsujit,sangeethasriniv,SBoudrias,aleks2a,qianyiliushang,robfromca,slk9,jpkrause,danail-branekov,panozzaj,macmishra,apankov1,ktronic80,jdeff,rgonalo,emakiej,DylanLacey,KazuCocoa,lbielski,arikon,shzero5,austenke,axemclion,bardh,varzan,paramadeep,edgy360,erlendfh,jamescaldwell,jsgithub1,dandoveralba,Erolstt,tonetheman,Mikrovolnovka,rickihastings,boxiong,thebeekeeper,fbai,curtissiemens,marley71,testerhome,sah,jfk-urbandaddy,prolificcoder,tokunbo,callmewa,astayleraz,pkastner,deadmoto,himukin,midopa,shyamvala,casschin,snevesbarros,NozomiIto,joe-harter,matthewdunn,vgrigoruk,landryraccoon,lxuan,mobiware,Buritica,guoyongzhen,egoldblum,stephensjlee,Javier84,deivanai,danubiusdan,pavelsmolensky,bigfei,linguinee,q-a,lbunschoten,davebassan,jasonchutko,yujie1985,thu2004,patotskiy,c0nscience,zijie0,ecomrobotics,Markm21,gong023,rectalogic,CharlesHarley,rockbot,vkmtse,elgalu,grz0,filmaj,Nefry,haveahennessy,Astro03,rossrowe,seveniruby,misttar,feelobot,twilly86,drpy,peterschwarz,monkeytest15,samaitra,approxinfinity,ritika-mish,mgmanikandan87,tylersnavely-wf,LouisStAmour,swapna-chennadi,PavithraNavaneeth,xuru,frankbp,sourishkrout,yohannesalazar,Bogger,angerborn,enricostano,tborys,TadeasKriz,kinghenry3,chrisgw,bernii,mansibarodia,elysakohrs,alimoeeny,alvillaflor,HimanshuJ,AmitKumar5,michellai,rmcloughlin,tanob,mmerrell,herzbube,rorp,mbanks411,houlianpi,umaar,maudineormsby,OniOni,Shiin,dawogfather,pradeepbishnoi,omireault,Rorosha,gaige,santiycr,satchit,jmathes,admc,bernie-mesos,brainsik}
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute main_team_member {false,true}
@attribute prior_interaction_pr_events numeric
@attribute first_response numeric
@attribute status {0,1}

@data
false,1,4.679137,0.626084,0,1436,385.793872,43.175487,111.420613,travis,lucyking,2,0,false,3,2,1
false,1,4.771444,0.638434,0,1436,385.793872,43.175487,111.420613,travis,imurchie,188,0.861702,true,77,16,1
false,2,14.307395,1.902351,0,1436,385.793872,43.175487,111.420613,travis,imurchie,187,0.860963,true,75,41,1
false,1,54.891902,7.298829,1,1436,385.793872,43.175487,111.420613,travis,SrinivasanTarget,17,0.705882,true,20,2,1
false,2,92.399491,12.286586,2,1436,385.793872,43.175487,111.420613,travis,SrinivasanTarget,16,0.6875,true,19,2,1
false,2,9.554512,1.270499,0,1436,385.793872,43.175487,111.420613,travis,scottdixon,26,0.884615,true,18,2,1
false,1,4.625158,0.615013,0,1436,385.793872,43.175487,111.420613,travis,vikramvi,1,0,false,2,-1,1
false,1,9.181326,1.220859,0,1436,385.793872,43.175487,111.420613,travis,imurchie,186,0.860215,true,61,1,1
false,1,4.866015,0.647031,0,1436,385.793872,43.175487,111.420613,travis,imurchie,185,0.859459,true,60,2,1
false,2,9.777152,1.300203,1,1436,385.793872,43.175487,111.420613,travis,SrinivasanTarget,15,0.666667,true,18,4,1
false,1,4.61453,0.613666,0,1436,385.793872,43.175487,111.420613,travis,SrinivasanTarget,14,0.642857,true,17,2,1
false,1,0,0,1,1436,385.793872,43.175487,111.420613,travis,SrinivasanTarget,13,0.615385,true,16,0,1
false,1,4.279183,0.565564,2,1436,385.793872,43.175487,111.420613,travis,SrinivasanTarget,12,0.583333,true,15,1,1
false,3,4.636558,0.612797,3,1436,385.793872,43.175487,111.420613,travis,vikramvi,0,0,false,0,2,0
false,1,9.238499,1.221023,0,1436,385.793872,43.175487,111.420613,travis,jlipps,419,0.98568,true,26,1,1
false,2,28.043185,3.706627,1,1436,385.793872,43.175487,111.420613,travis,imurchie,184,0.858696,true,57,20,1
false,217,1124.118387,41.905514,0,15772,700.862288,39.436977,102.777073,unknown,guysmoilov,0,0,false,0,4,0
false,1,4.552895,0.601771,0,1436,385.793872,43.175487,111.420613,travis,jlipps,418,0.985646,true,24,903,1
false,1,9.454704,1.24986,0,1436,385.793872,43.175487,111.420613,travis,scottdixon,25,0.88,true,16,2,1
false,4,9.365047,1.238026,8,1436,385.793872,43.175487,111.420613,travis,SrinivasanTarget,11,0.636364,false,13,4,0
false,1,4.532635,0.168967,0,15772,700.481867,39.436977,102.777073,unknown,imurchie,183,0.863388,true,55,-1,0
false,1,4.442606,0.587858,0,1436,385.793872,43.175487,111.420613,travis,imurchie,182,0.862637,true,54,-1,1
false,1,17.187045,0.640696,0,15779,700.171114,39.419482,102.731479,unknown,imurchie,181,0.867403,true,52,-1,0
false,2,14.23011,1.882967,0,1436,385.793872,43.175487,111.420613,travis,scottdixon,24,875,true,15,0,1
false,1,14.285011,1.890238,0,1436,385.793872,43.175487,111.420613,travis,jlipps,417,0.985612,true,21,-1,1
false,2,19.390524,2.582563,3,1436,385.793872,43.175487,111.420613,travis,jlipps,416,0.985577,true,19,0,1
false,2,14.144991,1.895782,1,1436,385.793872,43.175487,111.420613,travis,jlipps,415,0.985542,true,17,2,1
false,2,8.979224,0.335927,2,15776,697.768763,39.236815,102.560852,unknown,ahansen1,1,0,false,0,2,0
false,1,4.691987,0.175535,0,15776,697.768763,39.236815,102.560852,unknown,lucyking,1,0,false,1,-1,0
false,1,4.725169,0.63329,0,1434,386.331939,43.235704,111.576011,travis,imurchie,180,0.866667,true,56,-1,1
false,208,1079.607728,40.389827,0,15776,697.768763,39.236815,102.560852,unknown,rompic,0,0,false,0,4,0
false,1,4.627958,0.619733,0,1434,386.331939,43.235704,111.576011,travis,imurchie,179,0.865922,true,56,-1,1
false,1,4.777104,0.639677,0,1427,388.22705,43.447793,112.123336,travis,jlipps,414,0.985507,true,18,23,1
false,2,9.012536,1.207859,0,1427,388.22705,43.447793,112.123336,travis,scottdixon,23,0.869565,true,16,-1,1
false,206,1074.014004,40.180557,10,15776,697.768763,39.236815,102.560852,unknown,anandsadu,0,0,false,0,3,0
false,1,13.10727,1.756631,0,1427,388.22705,43.447793,112.123336,travis,imurchie,178,0.865169,true,63,-1,1
false,1,8.774157,1.175908,0,1427,388.22705,43.447793,112.123336,travis,imurchie,177,0.864407,true,61,-1,1
