@relation 'bundler-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R13,19,36,53'

@attribute doc_files numeric
@attribute commits_on_files_touched numeric
@attribute requester {indirect,segiddins,RochesterinNYC,schneems,allenzhao,sonalkr132,BronzDoc,asutoshpalai,mobilutz,njam,mib32,jbodah,Elffers,glennpratt,christhekeele,cirdes,lamont-granquist,dtognazzini,Zorbash,vassilevsky,MOZGIII,arthurnn,hughbien,Agis-,morsheed,pcarranza,dthjones,drn,smellsblue,deepj,jperville,doy,benlovell,fotanus,JuanitoFatas,TimMoore,stantona,CoralineAda,blackxored,deivid-rodriguez,dwb,felixbuenemann,sikachu,denmat,Nikolay-Pomytkin,andremedeiros,csfrancis,toolmantim,voxik,goughy000,jtarchie,A5308Y,samphippen,dilumn,Sirupsen,esasse,jasonkarns,jaym,lukaso,robinboening,philnash,heliocola,asymmetric,jrafanie,esse,masarakki,Eric-Guo,smlance,seanlinsley,pmenglund,chulkilee,grosser,Koronen,jordanthomas,mastfish,sferik,tf,steved,frsyuki,EduardoBautista,byroot,roseweixel,cdwort,hbd225,mattbrictson,amatsuda,ethanez713,PG-kura,AlexanderPavlenko,mcantor,joshk,pducks32,danieltdt,timblair,Bartuz,tjschuck,cstrahan,steverob,habibalamin,karlo57,tony-spataro-rs,strand,neoeno,postmodern,waynn,skateman,ivantsepp,e2,hartator,repinel,akihiro17,nickborromeo,spastorino,Strech,ineiti,stevenjack,pjump,fny,aprescott,hone,tenderlove,korobkov,hiukkanen,panthomakos,sealocal,jdmundrawala,digitalextremist,mlarraz,matiasow,seamusabshere,jhass,simi,chastell,bobishh,kodnin,marocchino,marutosi,niku4i,janlelis,Sxl1092,sanemat,kohgpat,kirs,banyan,maclover7,keiths-osc,neerfri,moeffju,steakknife,darnould,tamird,bjfish,ccutrer,eagletmt,joneslee85,k0kubun,dsisnero,claudiob,bkeepers,selcham,BenMorganIO,tdtds,jnraine,pangloss,eapache,aroben,y-yagi,onetwopunch,myronmarston,gfvcastro,rohit,myabc,petedmarsh,dholdren,toy,thomasfedb,kuraga,doodzik,staugaard,Who828,GeekOnCoffee,gsamokovarov,obfusk,zzak,Deradon,agenteo,arronmabrey,patvice,Sketch,gretel,twcctz50,elia,dubek,rrrene,dangoita,danfinnie,DevRubySlippers,Intrepidd,fvaleur,seuros,meganemura,yous,ryansouza,dx7,aasmith,kares,ruyrocha,HonoreDB,benlakey,bak,eloyesp,citizen428,hwartig,tonytonyjan,ejaypcanaria,splattael,allyraza,reiz,lgierth,pmahoney,jetaggart,tryba,nickpellant,mraidel,zmack,jasonrclark,jemc,rodreegez,Razzell,Nerian,IvanUkhov,notlaforge,jc00ke,Juanxo,prathamesh-sonpatki,aptinio,vinbarnes,tiredpixel,mvz,mattwynne,gjaldon,MSNexploder,deitrick,unak,robolson,aughr,richo,grant-olson,1337807,gnufied,jmmk,peter-mtso,YorickPeterse,mokhan,jm,dylanahsmith,j15e,d-reinhold,mathonsunday,stevecj,vais,as-cii,urbanautomaton,tbuehlmann,aitor,mrphs,headius,kiela,mdkent,suzukaze,stlay,jfvanderwalt,divineforest,lardcanoe,burke,strzalek,davidblondeau,jwworth,narutosanjiv,zebardy,punkle,smashwilson,kgrz,shrey-sharma,andreychernih,suhastech,loveky,codertux,salimane,v-yarotsky,rafaelfranca,deependersingla,olivierlacan,phallstrom,tundal45,DavidEGrayson,dougcole,yaotti,tdumitrescu,skottler,sunny,ognevsky,spohlenz,arunagw,rhysd,mrkn,steveklabnik,qblake,grddev,tyler,cainlevy,jendiamond,misfo,mfojtik,samsm,ghedamat,joyicecloud,cowboyd,brandonblack,henrik,jasonmp85,SamSaffron,steved555,benjamintanweihao,wfarr,joallard,Garoe,snackbandit,mcfiredrill,rykov,larskanis,flyinprogramer,xaviershay,Plaristote,jlsuttles,JordanFaust,faun,lucasmazza,ssrihari,shtirlic,fuadsaud,gudleik,ndbroadbent,nubbel,ixti,rthbound,tricknotes,jfoy,JonRowe,apsoto,kml,mipearson,Gaelan,rahearn,bwillis,Nitrodist,pjvds,regularfry,matthewd,BrentWheeldon,mpapis,epinault,Holek,ardavis,Ptico,hbakhtiyor,dougal,qichunren,chief,nslocum,jayniz,rehevkor5,sakuro,gregory-m,bradleybuda,dmueller,halorgium,nevir,okitan,coop,ogra,danielsdeleo,JamesFerguson,zimbatm,alup,sunaku,jarl-dk,raggi,matthewrudy,parndt,luislavena,gaffneyc,CosmicCat,utkarshkukreti,ddopson,databus23,matschaffer,EmilRehnberg,RyanonRails,Peeja,andreagoulet,dblock,csgui,timoschilling,NARKOZ,gkop,liveh2o,ToadJamb,jisaacks,semanticart,farski,drbrain,crowbot,Empact,kcurtin,wildchild,cheald,wallyqs,sol,brettporter,nbibler,tomykaira,koraktor,pivotalcommon,rking,MafcoCinco,phocke,dkastner,jmoses,benmoss,godfat,BMorearty,davidcelis,brainopia,jdelStrother,mkristian,Flameeyes,mrflip,carlosantoniodasilva,hirochachacha,eightbitraptor,kikito,luismreis,zofrex,trans,bobbus,takkanm,phil-monroe,bowsersenior,jgaskins,gilesbowkett,nwwatson,rkh,stevenh512,coding46,drogus,kucaahbe,mpabst,dougbarth,fpauser,bryanwoods,richardkmichael,bpardee,echohead,kytrinyx,jimmycuadra,jgeiger,ariofrio,jhlllnd,floehopper,dlee,soulcutter,dekellum,etehtsea,svenfuchs,hlidotbe,gerwinbrunner,Fluxx,josevalim,nashby,Vanuan,jpatokal,zeha,knu,d,geemus,lsimoneau,ANithian,mattconnolly,mhoran,vijaydev,osheroff,jreidinger,sodabrew,invisiblefunnel,ilude,dadooda,brixen,eric1234,laserlemon,stve,petervandenabeele,nurse,jeremy,derekprior,jredville,smartinez87,lunks,lastobelus,arsduo,albus522,jjb,sleeper,francois,timfel,jch,roend83,maxjustus,nono,bensie,jacobo,lanej,pirj,sundbp,benhoskings,nextmat,leereilly,stephencelis,slagyr,rwilcox,radsaq,DNNX,Trevoke,tpope,retr0h,tiegz,robertwahler,boffbowsh,neonlex,cldwalker,mtylty,cgriego,kmayer,mheffner,tadman,joelmoss,leejarvis,rkbodenner,benhamill,ybart,pascalh1011,mbirk,rubiii,csquared,mikehoward,mpj,tissak,ngollan,josh,ryanbriones,evanphx,dhh,krekoten,rslifka,cmeiklejohn,gucki,jordansissel,voidlock,bgreenlee,jonah-carbonfive,nledez,botanicus,jackdempsey,epall,wuputah,nolith,hedgehog,nicksieger,opsb,goneflyin,vandrijevik,mjio,jfelchner,baroquebobcat,sumbach,Lytol,sgrove,davesmylie,tigris,aaronblohowiak,bcardarella,now,adelcambre,ecoleman,gyngve,leobessa,dasch,ai,net1957,sdhull,rcarver,mcolyer,kalv,shwoodard,ultrasaurus,tsigo,dismaldenizen,bobbywilson0,antono,jfirebaugh,tarcieri,rjharmon,ddollar,kakutani,jstorimer,irjudson,trampoline,dennisreimann,graaff,aslakhellesoy,MasterLambaster,mephux,bsears,fd,chipiga,spraints}
@attribute status {0,1}

@data
0,97,indirect,1
0,19,indirect,1
0,7,segiddins,1
0,4,RochesterinNYC,1
0,14,schneems,1
0,59,segiddins,1
0,7,RochesterinNYC,1
0,5,allenzhao,1
0,6,sonalkr132,1
0,9,BronzDoc,1
0,33,segiddins,1
0,2,asutoshpalai,1
0,0,sonalkr132,1
0,25,asutoshpalai,1
0,32,segiddins,1
0,27,segiddins,1
0,30,RochesterinNYC,1
0,25,segiddins,1
0,9,segiddins,1
0,7,RochesterinNYC,0
0,22,RochesterinNYC,1
0,24,RochesterinNYC,1
0,2,segiddins,1
0,10,RochesterinNYC,1
0,38,segiddins,1
0,0,RochesterinNYC,1
0,18,RochesterinNYC,1
0,3,mobilutz,1
0,31,njam,1
0,45,segiddins,1
0,8,RochesterinNYC,1
0,34,njam,1
0,23,mib32,0
0,20,RochesterinNYC,0
0,36,RochesterinNYC,1
0,13,RochesterinNYC,1
0,56,segiddins,1
0,8,RochesterinNYC,1
0,12,segiddins,1
0,45,segiddins,1
0,19,RochesterinNYC,1
0,0,jbodah,1
0,21,indirect,1
0,9,segiddins,1
0,19,Elffers,1
0,2,segiddins,1
0,30,segiddins,1
0,5,glennpratt,1
0,0,RochesterinNYC,1
0,21,RochesterinNYC,1
0,0,christhekeele,0
0,346,segiddins,1
0,15,segiddins,1
0,22,segiddins,1
0,0,segiddins,1
0,44,segiddins,1
0,0,segiddins,1
0,11,segiddins,1
0,34,RochesterinNYC,1
0,14,cirdes,1
0,0,lamont-granquist,1
0,18,dtognazzini,1
0,0,Zorbash,0
0,0,RochesterinNYC,1
0,2,segiddins,1
0,5,segiddins,1
0,0,RochesterinNYC,1
0,3,segiddins,1
0,2,RochesterinNYC,1
0,0,RochesterinNYC,1
0,0,RochesterinNYC,1
0,19,christhekeele,1
0,19,christhekeele,1
0,17,segiddins,1
0,6,RochesterinNYC,1
0,5,vassilevsky,1
0,0,RochesterinNYC,1
0,0,MOZGIII,0
0,9,arthurnn,0
0,0,RochesterinNYC,1
0,0,hughbien,1
0,0,Agis-,1
0,3,morsheed,0
0,0,indirect,1
0,11,RochesterinNYC,1
0,8,RochesterinNYC,1
0,17,RochesterinNYC,1
0,19,RochesterinNYC,0
0,0,segiddins,1
0,6,RochesterinNYC,1
0,4,Agis-,1
0,18,RochesterinNYC,1
0,19,RochesterinNYC,1
0,8,RochesterinNYC,1
0,10,RochesterinNYC,1
0,0,RochesterinNYC,1
0,4,RochesterinNYC,1
0,31,pcarranza,1
0,6,dthjones,1
0,13,segiddins,1
0,12,RochesterinNYC,1
0,17,RochesterinNYC,1
0,17,drn,0
0,9,segiddins,1
0,10,segiddins,1
0,1,RochesterinNYC,1
0,23,smellsblue,1
0,10,RochesterinNYC,1
0,14,RochesterinNYC,1
0,15,RochesterinNYC,1
0,15,indirect,1
0,4,RochesterinNYC,1
0,27,deepj,1
0,0,jperville,1
0,5,doy,1
0,0,benlovell,1
0,0,fotanus,1
0,9,segiddins,1
0,2,JuanitoFatas,1
0,17,TimMoore,1
0,0,stantona,0
0,0,segiddins,1
0,0,segiddins,1
0,2,CoralineAda,1
0,10,segiddins,1
0,10,smellsblue,1
0,4,blackxored,1
0,0,deivid-rodriguez,0
0,10,dwb,0
0,7,felixbuenemann,1
0,10,sikachu,0
0,0,JuanitoFatas,1
0,2,denmat,0
0,2,segiddins,1
0,0,deivid-rodriguez,0
0,0,deivid-rodriguez,0
0,23,smellsblue,1
0,0,Nikolay-Pomytkin,1
0,4,Agis-,0
0,2,Agis-,0
0,12,andremedeiros,1
0,6,csfrancis,0
0,3,toolmantim,1
0,17,voxik,0
0,34,Agis-,1
0,32,Agis-,1
0,10,Agis-,1
0,0,Agis-,0
0,14,Agis-,1
0,5,Agis-,1
0,39,Zorbash,0
0,11,goughy000,1
0,37,jtarchie,1
0,50,A5308Y,1
0,17,segiddins,1
0,24,Agis-,1
0,2,Agis-,1
0,11,Zorbash,0
0,5,A5308Y,1
0,6,samphippen,0
0,0,dilumn,0
0,9,Zorbash,0
0,30,Agis-,1
0,19,Zorbash,1
0,2,Sirupsen,1
0,56,segiddins,0
0,60,segiddins,1
0,61,Zorbash,0
0,26,Agis-,1
0,122,esasse,1
0,24,Zorbash,1
0,17,Sirupsen,1
0,207,Zorbash,0
0,4,Zorbash,0
0,105,esasse,1
0,58,segiddins,1
0,3,jasonkarns,1
0,17,jaym,1
0,107,lukaso,1
0,18,robinboening,0
0,13,philnash,1
0,16,A5308Y,1
0,96,Agis-,1
0,0,heliocola,1
0,124,Agis-,1
0,36,asymmetric,1
0,33,Agis-,1
0,0,Agis-,0
0,115,asymmetric,1
0,15,jrafanie,1
0,16,asymmetric,0
0,25,asymmetric,0
0,143,asymmetric,0
0,43,asymmetric,0
0,23,esse,0
0,22,Agis-,1
0,21,asymmetric,0
0,30,masarakki,1
0,17,Eric-Guo,0
0,114,smlance,1
0,3,indirect,0
0,25,Agis-,1
0,29,seanlinsley,1
0,129,smlance,0
0,0,Agis-,1
0,9,Agis-,1
0,40,Agis-,1
0,15,pmenglund,1
0,0,Agis-,1
0,0,chulkilee,0
0,22,Agis-,1
0,13,indirect,1
0,33,Agis-,1
0,0,grosser,1
0,143,Koronen,0
0,95,Koronen,1
0,177,smlance,0
0,39,indirect,0
0,113,esasse,1
0,24,smlance,1
0,254,smlance,1
0,22,smlance,1
0,66,smlance,0
0,97,asymmetric,0
0,30,smlance,0
0,31,indirect,1
0,5,indirect,1
0,13,indirect,1
0,0,Agis-,1
0,2,Agis-,1
0,0,Koronen,1
0,207,Koronen,1
0,127,Koronen,0
0,28,segiddins,1
0,159,segiddins,1
0,4,esasse,1
0,20,jordanthomas,1
0,10,mastfish,1
0,1,sferik,1
0,23,tf,1
0,17,indirect,1
0,42,indirect,1
0,24,asymmetric,0
0,100,esasse,1
0,2,indirect,1
0,34,steved,0
0,14,frsyuki,1
0,27,EduardoBautista,1
0,12,indirect,1
0,5,EduardoBautista,1
0,82,esasse,1
0,84,esasse,1
0,48,esasse,1
0,27,indirect,1
0,19,TimMoore,1
0,42,byroot,0
0,33,roseweixel,1
0,76,segiddins,0
0,0,cdwort,1
0,112,esasse,1
0,69,esasse,1
0,41,segiddins,1
0,66,hbd225,1
0,32,segiddins,1
0,17,cdwort,1
0,91,esasse,1
0,165,esasse,0
0,4,mattbrictson,1
0,17,mattbrictson,1
0,18,amatsuda,1
0,25,indirect,1
0,45,smlance,1
0,33,segiddins,1
0,129,esasse,1
0,44,esasse,1
0,130,esasse,1
0,12,indirect,1
0,18,esasse,1
0,100,esasse,0
0,188,esasse,0
0,15,esasse,1
0,54,esasse,1
0,202,esasse,0
0,46,esasse,1
0,54,esasse,1
0,54,esasse,0
0,12,esasse,1
0,315,smlance,1
0,40,smlance,1
0,13,smlance,1
0,84,smlance,1
0,6,ethanez713,1
0,47,smlance,1
0,22,smlance,1
0,12,smlance,1
0,91,smlance,0
0,18,PG-kura,1
0,250,segiddins,1
0,0,AlexanderPavlenko,1
0,91,smlance,0
0,2,cdwort,1
0,17,mcantor,0
0,10,mattbrictson,1
0,8,joshk,0
0,198,pducks32,0
0,11,danieltdt,1
0,5,deivid-rodriguez,1
0,8,timblair,1
0,9,segiddins,1
0,22,tf,1
0,0,EduardoBautista,0
0,6,pducks32,1
0,5,Bartuz,1
0,1,segiddins,1
0,8,Elffers,1
0,42,tjschuck,1
0,32,segiddins,1
0,54,pducks32,0
0,13,segiddins,1
0,10,cstrahan,0
0,131,smlance,1
0,21,steverob,1
0,49,habibalamin,0
0,6,karlo57,1
0,64,tony-spataro-rs,1
0,1,strand,1
0,39,neoeno,1
0,9,karlo57,1
0,0,postmodern,1
0,6,asymmetric,1
0,19,asymmetric,1
0,3,pducks32,1
0,6,pducks32,0
0,6,pducks32,0
0,15,pducks32,0
0,15,karlo57,1
0,13,pducks32,0
0,11,segiddins,1
0,0,waynn,1
0,5,skateman,1
0,28,ivantsepp,1
0,3,e2,1
0,14,hartator,0
0,5,mattbrictson,1
0,35,indirect,1
0,12,fotanus,1
0,66,repinel,1
0,5,steverob,1
0,16,ivantsepp,0
0,27,segiddins,1
0,18,segiddins,1
0,7,segiddins,1
0,9,segiddins,1
