@relation 'candlepin-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,24,27,33,50,52,53'

@attribute forward_links {false,true}
@attribute prev_pull_reqs_project numeric
@attribute sloc numeric
@attribute project_age numeric
@attribute prior_interaction_commits numeric
@attribute first_response numeric
@attribute status {0,1}

@data
false,1140,43039,1377,22,-1,0
false,1139,42706,1376,21,-1,0
false,1138,36803,1372,4,1386,0
false,1137,46606,1370,150,3951,1
false,1136,46605,1370,149,1383,1
false,1135,46606,1370,25,-1,1
false,1134,46606,1369,145,-1,1
false,1133,43032,1369,4,-1,0
false,1132,43000,1369,4,-1,0
false,1131,42699,1369,4,-1,0
false,1129,43032,1366,50,-1,0
false,1128,46598,1366,49,-1,0
false,1126,46598,1365,48,258,0
false,1125,42999,1365,47,-1,0
false,1124,42699,1365,46,-1,0
false,1123,46598,1365,45,-1,1
false,1120,46598,1364,19,2555,1
false,1118,43031,1363,141,2855,0
false,1117,42999,1363,141,2763,0
false,1116,46598,1362,143,5481,1
false,1115,42999,1358,137,-1,0
false,1114,47228,1358,130,-1,0
false,1113,47228,1358,136,0,1
false,1112,47228,1358,6,-1,0
false,1111,47228,1357,132,0,1
false,1109,47228,1356,131,0,1
false,1108,47228,1356,27,2655,1
false,1107,36798,1355,130,1,0
true,1106,36550,1352,6,4513,0
false,1105,47228,1351,139,11484,1
false,1104,42714,1351,4,-1,0
false,1103,42714,1351,4,-1,0
false,1102,47228,1350,1,2,1
false,1101,47238,1348,33,1,1
false,1100,47238,1348,32,49,1
false,1099,47238,1348,2,55,1
false,1098,47238,1348,147,0,1
false,1097,47238,1345,141,5925,1
false,1096,47238,1345,139,5788,1
false,1095,47238,1345,137,175,1
false,1094,47193,1344,135,7047,1
false,1093,47193,1344,133,-1,1
false,1092,47193,1343,131,8618,1
false,1091,47193,1342,129,1333,1
false,1090,47193,1338,40,16647,1
true,1089,47193,1338,3,184,1
false,1088,42701,1337,2,15504,0
false,1086,42681,1336,3,1,0
false,1085,47063,1335,155,1034,1
false,1083,42714,1335,32,1322,0
false,1082,47036,1335,32,1510,1
false,1081,47036,1334,35,2569,1
false,1080,47036,1331,119,3,1
false,1079,47036,1331,37,4130,1
false,1078,47036,1331,34,7475,1
false,1077,47036,1330,121,6,1
false,1076,42401,1330,33,-1,0
true,1075,47036,1330,125,16,1
false,1074,47028,1329,130,-1,1
false,1073,42706,1329,129,-1,0
false,1072,42701,1329,129,71,0
false,1071,42393,1329,129,68,0
false,1070,46787,1329,3,11699,1
true,1069,46787,1328,125,0,0
false,1068,42706,1328,2,0,0
false,1067,42706,1328,0,1,0
false,1066,46787,1328,0,0,0
false,1065,42393,1324,3,4402,0
false,1064,42393,1324,3,-1,0
false,1063,42705,1323,133,30,0
