@relation 'hazelcast-data-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R6,23,37,38,39,41,45,50,53'

@attribute description_length numeric
@attribute at_mentions_comments {0,1,3,5,4,8,6,2,11,7,10,false,9}
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute followers numeric
@attribute requester_age {2435,1940,1053,1882,2434,2433,1690,1052,1939,1689,1937,1879,2431,1057,1575,1192,2430,1156,1935,1056,2429,2294,1934,1075,1189,2427,1933,1074,1931,1930,1872,688,2424,1185,2423,2015,1184,1928,2288,2422,2014,1870,1171,1183,1159,1869,684,469,1868,2420,2012,1158,1385,1926,2419,1865,2417,1922,2416,1063,1154,1561,1042,1062,1153,1380,1061,2280,1032,1040,956,1151,1060,1861,1917,1375,1148,2410,1147,1231,1857,1901,1914,2408,1170,672,1900,2407,1169,1552,1855,2406,1854,2403,1141,1851,2402,1027,2400,1161,2399,387,663,1126,2398,1023,927,660,2396,2395,1539,382,1188,2393,1164,2392,1119,2258,2390,2389,1160,932,1837,931,1836,1353,2253,1125,1034,1124,1834,1351,1113,1207,2385,1350,1123,1877,1890,1109,1874,2382,1347,1144,1346,1152,1829,2380,1827,1524,1150,367,1105,1200,1197,1606,1137,1520,1340,1822,1866,917,1112,1101,1339,2374,1111,2016,1583,613,1965,1604,1517,1820,1581,1819,2371,2369,1106,1333,1130,1578,1513,1577,1576,1597,2366,1596,1813,1103,2365,1856,1867,1325,2226,1808,1952,1591,2225,1121,599,1504,1129,346,1950,1084,1949,2223,767,900,1502,1092,1585,897,1116,1802,763,1115,896,1175,1080,1801,1091,593,1174,895,1317,761,1843,350,1496,1078,1842,1315,1560,1942,1088,1077,337,1087,587,1312,1557,1839,1118,0,756,1838,1108,1793,1107,991,2344,1489,1850,1792,753,1165,1307,582,968,965,1483,571,964,1547,1099,880,577,1568,1784,1481,600,1157,2334,1298,1478,2199,1781,1095,1070,1059,1563,1297,1094,1924,2197,1562,1541,666,1069,1102,1476,1779,1923,1296,1475,1778,1068,1295,1821,1777,1474,2195,1294,1293,1292,1471,1064,1096,1556,1470,735,1817,868,565,1773,951,1916,2324,1085,1915,563,1145,733,246,1532,1467,1814,1049,2188,1553,732,1811,1911,1284,1550,2318,1140,1283,1549,1810,1910,1045,1909,1139,2183,1079,1044,1809,1526,1054,1461,726,650,858,942,725,1907,940,1761,1050,2178,1457,1134,939,1904,1759,1073,299,854,1903,551,1816,1455,853,1902,1072,921,157,1193,101,1058,916,1364,1190,1334,504,1742,151,1479,1330,699,1329,908,1328,907,1327,700,1735,626,906,493,492,1730,491,1729,1728,1727,489,1452,1726,1725,1450,135,485,1723,687,484,1249,894,1721,1035,1313,132,483,482,131,685,1719,539,128,1717,114,861,888,127,1716,1468,1456,126,1715,680,2149,125,679,476,1306,124,475,1305,111,1712,675,121,1302,472,1710,674,1709,120,1301,1022,119,1300,470,1299,1155,118,1707,852,671,117,1017,1444,465,848,464,113,667,1016,1443,1136,1015,846,1149,463,873,665,1208,462,110,1700,1014,664,1013,461,871,1451,458,1437,1288,661,1010,106,1009,457,456,659,866,1008,455,865,658,390,1007,1693,454,657,1433,103,654,100,1281,653,1688,1280,1687,859,652,1686,1685,1684,1425,1683,93,1681,1272,1680,1421,true,91,645,78,1432,90,851,644,1679,1271,643,1678,850,1431,1676,1675,640,1267,716,1202,1674,1266,1673,84,1265,637,1120,83,1264,1671,82,1424,1263,18,79,490,1533,1259,632,1420,77,1258,1407,1257,630,979,14,1405,629,1404,807,1662,1661,833,832,1252,1660,804,481,1659,1251,1658,830,1399,1523,1656,1655,1654,1245,1653,1394,798,618,617,63,1393,824,62,616,1651,61,1648,1239,792,611,791,1387,817,467,790,610,1645,55,1644,816,788,1641,289,51,1639,50,604,1086,49,603,1637,809,48,1636,1635,44,1225,1633,805,597,1632,1631,1630,802,801,40,800,1628,1627,1626,797,1217,794,1488,33,1621,1485,1619,1211,30,898,267,583,1210,789,28,1617,27,1616,1480,785,1613,23,575,782,755,781,370,573,1472,15,568,567,364,746,363,1342,1466,360,8,562,1338,742,275,1337,7,358,1133,560,357,6,740,1595,356,1594,1593,1592,353,352,555,1589,1588,1180,553,460,1104,345,547,1582,1322,550,1028,1579,543,1025,722,338,1493,1167,336,1573,1314,335,1572,1570,331,1569,534,1487,1309,330,713,532,1308,388,531,1484,1482,1564,708,325,528,344,707,1303,526,321,524,704,730,521,1555,519,1554,311,371,513,310,309,995,98,307,1286,304,216,1535,162,500,772,975,288,287,1525,347,670,1117,669,286,284,1262,282,281,1518,279,339,479,478,1253,1512,334,602,601,1508,1507,1247,1506,1505,649,468,1503,648,1501,466,1241,1500,947,1499,1498,123,1494,459,941,638,1492,1491,869,636,1490,1001,477,1465,1453,981,224,612,819,607,606,96,1401,474,1379,743,16,-1140,1,3,1255,1199,1198,1196,1194,1024,902,1276,147,17,681,678,20,74}
@attribute integrator_follows_req {false,true,30}
@attribute prior_interaction_commits numeric
@attribute status {0,1}

@data
5,0,832,0.848558,43,2435,false,88,1
9,0,39,0.974359,5,1940,false,27,1
77,0,3,1,0,1053,false,0,1
19,0,38,0.973684,5,1940,false,26,1
46,0,2,1,0,1053,false,0,1
8,0,330,0.863636,8,1882,false,53,1
3,0,830,0.849398,43,2434,false,86,1
16,0,829,0.849216,43,2434,false,85,1
15,0,828,0.849034,43,2433,false,84,1
76,0,4,0.25,0,1690,false,0,0
93,0,3,0.333333,0,1690,false,0,0
73,0,2,0,0,1690,false,0,1
126,0,1,1,0,1052,false,0,1
90,1,37,0.972973,5,1939,false,25,1
5,0,1,0,0,1689,false,0,0
5,0,0,0,0,1689,false,0,0
38,0,36,0.972222,5,1937,false,20,1
10,0,35,0.971429,5,1937,false,19,1
30,0,34,0.970588,5,1937,false,18,1
62,0,329,0.863222,8,1879,false,50,1
62,0,328,0.862805,8,1879,false,50,1
7,0,826,0.849879,43,2431,false,81,1
84,0,95,0.894737,15,1057,false,41,1
52,3,314,0.920382,55,1575,false,21,1
16,0,407,0.87715,4,1192,false,50,1
16,5,406,0.876847,4,1192,false,50,1
3,0,824,0.850728,43,2430,false,79,1
19,0,55,0.909091,8,1156,false,19,1
22,0,54,0.907407,8,1156,false,19,1
52,0,33,0.969697,5,1935,false,17,1
19,0,94,0.893617,15,1056,false,39,1
53,0,93,0.892473,15,1056,false,39,1
5,0,823,0.850547,43,2429,false,74,1
35,0,822,0.850365,43,2429,false,74,1
55,0,821,0.850183,43,2429,false,74,1
2,4,818,0.853301,43,2429,false,74,0
67,8,190,0.842105,15,2294,false,24,1
21,0,32,0.96875,5,1934,false,14,1
19,0,20,0.7,0,1075,false,10,1
14,0,405,0.876543,4,1189,false,56,1
26,0,816,0.854167,43,2427,false,72,1
6,0,404,0.876238,4,1189,false,55,1
8,0,31,0.967742,5,1933,false,13,1
18,0,19,0.736842,0,1074,false,10,0
40,0,815,0.853988,43,2427,false,70,1
67,0,30,0.966667,5,1931,false,12,1
19,0,29,0.965517,5,1930,false,11,1
25,0,326,0.865031,8,1872,false,48,1
25,0,325,0.864615,8,1872,false,48,1
5,0,93,0.827957,35,688,false,2,1
11,0,92,0.826087,35,688,false,2,1
32,0,813,0.854859,43,2424,false,65,1
4,0,812,0.85468,43,2424,false,64,1
14,0,403,0.875931,4,1185,false,55,1
32,0,811,0.855734,43,2423,false,63,0
21,0,240,0.9125,22,2015,false,42,1
20,0,239,0.912134,22,2015,false,42,1
38,0,810,0.855556,43,2423,false,62,1
39,0,809,0.855377,43,2423,false,62,1
9,0,402,0.875622,4,1184,false,57,1
10,0,401,0.875312,4,1184,false,57,1
119,0,28,0.964286,5,1928,false,8,1
20,1,188,0.845745,15,2288,false,27,1
15,0,187,0.84492,15,2288,false,27,1
8,0,807,0.856258,43,2422,false,62,1
19,0,806,0.856079,43,2422,false,61,1
97,6,238,0.911765,22,2014,false,41,1
99,0,237,0.911392,22,2014,false,41,1
5,0,324,0.864198,8,1870,false,49,1
4,0,805,0.857143,43,2422,false,57,0
48,0,804,0.856965,43,2422,false,57,1
27,0,803,0.856787,43,2422,false,57,1
19,0,802,0.856608,43,2422,false,57,1
27,0,801,0.856429,43,2422,false,57,1
37,1,0,0,0,1171,false,0,1
14,0,400,875,4,1183,false,55,1
20,0,185,0.864865,68,1159,false,47,1
15,0,399,0.874687,4,1183,false,55,1
80,0,322,0.869565,8,1869,false,48,0
3,0,91,0.824176,35,684,false,2,1
56,4,0,0,3,469,false,0,1
2,8,321,0.872274,8,1868,false,49,0
37,0,800,0.85625,43,2420,false,56,1
10,0,236,0.911017,22,2012,false,39,1
9,0,235,0.910638,22,2012,false,39,1
8,0,184,0.86413,68,1158,false,45,1
46,0,799,0.85607,43,2420,false,51,1
23,0,798,0.85589,43,2420,false,51,1
12,0,364,0.923077,15,1385,false,64,1
10,0,363,0.922865,15,1385,false,64,1
56,0,27,0.962963,5,1926,false,5,1
23,0,797,0.855709,43,2419,false,50,1
69,0,320,875,8,1865,false,52,0
34,1,796,0.855528,43,2417,false,48,1
21,0,26,0.961538,5,1922,false,5,1
37,0,795,0.855346,43,2416,false,46,1
9,2,18,0.777778,0,1063,false,10,0
30,0,183,0.863388,68,1154,false,45,1
4,0,794,0.856423,43,2416,false,44,0
10,0,17,0.823529,0,1063,false,9,0
67,0,313,0.920128,55,1561,false,35,1
63,0,312,0.919872,55,1561,false,35,1
70,0,92,0.891304,15,1042,false,55,1
12,0,16,0.8125,0,1062,false,8,1
14,0,182,0.862637,68,1153,false,44,1
104,1,181,0.861878,68,1153,false,43,1
12,0,362,0.922652,15,1380,false,61,1
10,0,361,0.922438,15,1380,false,61,1
18,0,15,0.8,0,1061,false,4,1
37,0,186,0.844086,15,2280,false,26,1
11,0,80,0.9625,2,1184,false,24,1
7,0,79,0.962025,2,1184,false,24,1
60,2,0,0,0,1032,false,0,1
113,0,91,0.89011,15,1040,false,62,1
14,0,32,0.78125,3,956,false,7,1
24,0,180,0.861111,68,1151,false,42,1
10,0,31,0.774194,3,956,false,7,1
27,0,179,0.860335,68,1151,false,42,1
19,0,14,0.785714,0,1060,false,3,1
21,0,319,0.874608,8,1861,false,54,1
18,0,318,0.874214,8,1861,false,54,1
56,0,25,0.96,5,1917,false,4,1
6,1,360,0.922222,15,1375,false,68,1
87,0,178,0.859551,68,1148,false,41,1
4,0,793,0.856242,43,2410,false,44,1
13,0,792,0.856061,43,2410,false,44,1
18,0,791,0.855879,43,2410,false,44,1
5,0,790,0.855696,43,2410,false,43,1
6,0,789,0.855513,43,2410,false,43,1
5,0,788,0.85533,43,2410,false,43,1
72,0,177,0.858757,68,1147,false,41,1
5,0,79,0.848101,20,1231,false,19,1
5,0,78,0.846154,20,1231,false,19,1
11,0,77,0.844156,20,1231,false,18,1
10,0,76,0.842105,20,1231,false,18,1
56,0,317,0.873817,8,1857,false,56,1
53,0,316,0.873418,8,1857,false,56,1
1,1,398,0.874372,4,1171,false,52,1
22,0,49,0.918367,2,1901,false,23,1
18,0,24,0.958333,5,1914,false,3,1
33,0,23,0.956522,5,1914,false,2,1
16,0,787,0.855146,43,2408,false,42,1
14,0,397,0.874055,4,1170,false,49,1
13,0,90,0.822222,35,672,true,2,1
