@relation 'marathon-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,30,34,36,38,53'

@attribute forward_links {false,true}
@attribute asserts_per_kloc numeric
@attribute workload numeric
@attribute requester {aquamatthias,kolloch,AlexanderWeber,pierlo-upitup,meichstedt,gkleiman,ltrabuco,fr0stbyte,xiaoqge,sascala,vitan,pierrecdn,prsekar,timoreimann,alenkacz,joerg84,janisz,knesenko,philipnrmn,lloesche,jgarcia-mesosphere,jimenez,ssk2,leemunroe,tgermain,Poltergeist,jlamillan,cmluciano,guenter,wendigo,bayendor,rji,justingood,medzin,jdubs,asridharan,brndnmtthws,kermitas,meln1k,carlanton,ljharb,cgbaker,avthart,andygrunwald,mrajashree,aldipower,pgkelley4,hayderimran7,heichblatt,ReadmeCritic,earldouglas,discordianfish,alon-argus,mwasn,pbnsilva,tobilg,ConnorDoyle,titilambert,zemanel,orlandohohmeier,matsluni,surdy,tamarrow,felixb,sledigabel,rboyer,X-Cray,okuryu,sielaq,ss75710541,EvanKrall,hangyan,flosell,first-it-consulting,bobrik,MrMarvin,cmaloney,manojlds,brockoffdev,lusid,vivekjuneja,sepiroth887,drewrobb,Sodki,cameronpickham,anshulverma,rncry,IanSaunders,LeePorte,MikeMichel,rickfast,ranxxerox,woegjiub,Kosta-Github,syogesh,arthurbarr,artemharutyunyan,quamilek,tfrench,pchojnacki,spacejam,Way,hansbogert,hekaldama,sttts,cinsk,hellertime,mhausenblas,drexin,sanjana-bhat,krystiannowak,pradeepchhetri,shoenig,hyper-carrot,aeife,eigenvariable,swartzrock,waffle-iron,mlunoe,dominichamon,wzyboy,wouterkwakernaak,jrandall,michiroth,sdwr98,nevins-b,jsancio,ywahl,freshmatrix,lfergon,rcorral,gambol99,kozyraki,everpeace,lingmann,cloudify,abhay-agarwal,millerjam,c089,iven,kensipe,gomes,codemomentum,solarkennedy,samccone,roybos,ksmth,kmcgrath,jhspaybar,gphat,crackcomm,mikljohansson,phildougherty,tdooner,BenWhitehead,alex3305,iangelov,maselvaraj,branden,mbabineau,rhopman,potto007,lukaswelte,lucciano,stem,rasputnik,gregory90,bgentry,ssorallen,michaeljin,fillorkill,adamdecaf,florianleibert,fuziontech,bspaans,sumkincpp,adgaudio,crosbymichael,rthomas,olix0r,elingg,silas,dmitriy-kiriyenko,jbDalido,chengweiv5,yemyat89,nelsou,D-Roch,activars,jplock,cbuben,wingchen,hgschmie,solidsnack,asher,marc-barry,MiLk,casualjim,mattstep,ian-kent,rbpark,johanatan,rloomba,mohitsoni,nguyenvanthan,rkatti,pyronicide,davidhoyt,benmccann,BrianHicks,mrdmnd,curzonj,tpetr,russellcardullo,hsaputra}
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,80.846704,40,aquamatthias,0.829545,1
false,80.850745,40,kolloch,0.931217,0
false,80.850745,39,AlexanderWeber,875,1
false,80.75,40,pierlo-upitup,0.714286,1
false,80.778272,42,meichstedt,0.814815,1
false,80.778272,41,kolloch,0.930851,1
false,80.265114,42,aquamatthias,0.828571,1
false,80.176434,42,AlexanderWeber,0.866667,1
false,80.176434,44,gkleiman,0.876404,1
false,80.176434,40,aquamatthias,0.827586,1
false,80.118994,38,aquamatthias,0.82659,1
false,80.070547,45,kolloch,0.930481,1
false,80.070547,41,gkleiman,875,1
false,80.070547,40,gkleiman,0.885057,0
false,66.462243,40,aquamatthias,0.831395,0
false,80.070547,43,meichstedt,0.807692,1
false,82.845494,40,ltrabuco,0,1
false,82.231665,44,AlexanderWeber,0.857143,1
false,82.231665,41,kolloch,0.930108,1
false,82.787186,41,meichstedt,0.8,1
false,82.787186,40,kolloch,0.92973,1
false,82.697268,45,kolloch,0.929348,1
false,82.736465,43,kolloch,0.928962,1
false,82.74736,42,kolloch,0.928571,1
false,82.59587,44,AlexanderWeber,0.846154,1
false,82.59587,45,AlexanderWeber,0.833333,1
false,82.59587,43,kolloch,0.928177,1
false,82.59587,43,AlexanderWeber,0.818182,1
false,82.59587,43,aquamatthias,0.830409,1
false,82.168293,43,aquamatthias,0.835294,0
false,82.168293,42,fr0stbyte,0,0
false,82.150957,43,kolloch,0.927778,1
false,82.150957,43,kolloch,0.927374,1
false,82.131083,43,aquamatthias,0.83432,1
false,82.131083,42,gkleiman,0.883721,1
false,82.131083,42,aquamatthias,0.833333,1
false,82.131083,42,meichstedt,0.791667,1
false,82.131083,39,xiaoqge,0,0
false,81.951194,43,sascala,0.578947,1
false,81.951194,41,sascala,0.555556,1
false,81.951194,38,sascala,0.529412,1
false,81.951194,38,sascala,0.5,1
false,81.620153,52,AlexanderWeber,0.8,1
false,81.620153,51,sascala,0.466667,1
false,81.620153,50,sascala,0.428571,1
false,81.635371,50,sascala,0.461538,0
false,81.635371,50,vitan,0,1
false,82.529036,52,sascala,0.416667,1
false,82.529036,52,sascala,0.454545,0
false,82.510501,52,pierrecdn,0,1
false,86.928007,52,pierlo-upitup,0.75,0
false,82.510501,51,aquamatthias,0.832335,1
false,82.492225,56,prsekar,0,1
false,82.492225,53,gkleiman,0.882353,1
false,82.473664,50,meichstedt,0.818182,1
false,82.473664,52,sascala,0.5,0
false,82.473664,51,sascala,0.444444,1
false,82.473664,50,sascala,0.5,0
false,82.473664,50,sascala,0.571429,0
false,82.473664,48,sascala,0.666667,0
false,82.473664,47,sascala,0.8,0
false,82.473664,46,sascala,1,0
false,82.473664,49,timoreimann,0.5,1
false,82.473664,49,alenkacz,1,1
false,82.473664,52,aquamatthias,0.836364,1
false,82.473664,48,aquamatthias,0.835366,1
false,82.349404,41,sascala,1,1
false,82.335902,41,aquamatthias,0.834356,1
false,82.335902,40,aquamatthias,0.833333,1
false,82.29767,40,gkleiman,0.880952,1
true,82.29767,51,gkleiman,0.891566,0
false,82.531326,45,joerg84,1,1
false,82.531326,44,aquamatthias,0.832298,1
false,82.531326,45,aquamatthias,0.83125,1
false,82.531326,46,janisz,0.8,1
true,82.531326,45,AlexanderWeber,0.777778,1
false,82.531326,43,knesenko,0,1
false,82.531326,45,sascala,1,1
false,82.531326,41,philipnrmn,0.846154,1
false,82.531326,43,philipnrmn,0.833333,1
false,86.90856,42,philipnrmn,0.909091,0
false,82.531326,43,timoreimann,0,1
false,82.531326,41,alenkacz,0,1
false,82.531326,44,gkleiman,0.890244,1
false,82.531326,42,aquamatthias,0.830189,1
false,82.538116,46,meichstedt,0.809524,1
false,82.538116,39,meichstedt,0.8,1
false,83.536924,40,meichstedt,0.789474,1
false,83.539243,40,aquamatthias,0.829114,1
false,83.539243,40,AlexanderWeber,0.75,1
false,83.539243,39,kolloch,0.926966,1
false,82.99055,39,kolloch,0.926554,1
false,86.308032,42,aquamatthias,0.828025,1
false,86.308032,41,kolloch,0.926136,1
false,86.292771,40,kolloch,0.925714,1
false,86.420481,41,lloesche,0.866667,1
false,86.420481,44,aquamatthias,0.826923,1
true,86.420481,45,jgarcia-mesosphere,1,0
false,86.420481,42,kolloch,0.925287,1
true,86.420481,40,joerg84,1,1
false,86.812597,39,pierlo-upitup,0.789474,0
false,86.289323,42,joerg84,1,1
false,86.289323,42,jimenez,0,1
false,86.289323,41,sascala,1,1
false,86.289323,42,meichstedt,0.777778,1
false,86.702793,41,gkleiman,0.888889,1
false,86.702793,40,kolloch,0.924855,1
false,86.702793,40,aquamatthias,0.825806,1
false,86.702793,40,ssk2,0.8,1
false,86.702793,38,gkleiman,0.8875,1
false,86.778832,37,pierlo-upitup,0.833333,0
false,86.702793,36,gkleiman,0.886076,1
false,86.434824,36,kolloch,0.924419,1
