@relation 'metasploit-framework-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R36,38,42,45,53'

@attribute requester {wchen-r7,hdm,FireFart,jlee-r7,acammack-r7,shipcod3,dmaloney-r7,timwr,wvu-r7,bcook-r7,d0lph1n98,bpatterson-r7,gmikeska-r7,jbarnett-r7,sempervictus,talos-arch3y,RubenRocha,dmohanty-r7,LennonCMJ,joevennix,farias-r7,OJ,all3g,nstarke,nikaiw,omriher,umerov1999,jhale85446,bigendiansmalls,wwebb-r7,ghettoeinstein,pedrib,shin-sugar-yi,flowztul,rastating,kfr-ma,psychomario,Sinkmanu,chrisdcmoore,lsato-r7,darkbushido,zeroSteiner,bcoles,nopnopnoppopopret,vysec,Atul9,todb-r7,princeofdarkness76,cdoughty-r7,mubix,g0tmi1k,jhart-r7,karllll,llmora,stufus,martinvigo,pyllyukko,madmike33,elia,radekk,r3naissance,busterb,joncave,sammbertram,jww519,m0t,KINGSABRI,jlmurray,hmoore-r7,addy-sh,jvoisin,jvazquez-r7,jakxx,fraf0,tomspencer,void-in,shuckins-r7,ccatalan-r7,xistence,brandonprry,securecurebt5,espreto,jaguasch,mandreko,metacom27,danilbaz,inkrypto,mcsaban,h0ng10,b6938236,earthquake,Meatballs1,MuhammetDilmac,scriptjunkie,MSadek-r7,samvartaka,crashbrz,Jack64,kernelsmith,altjx,AlexanderSalmin,justarandomuser,mfadzilr,alexcwatt,potmdehex,jabra-,kn0,St0rn,alexlipman1,crsanders,rcvalle,madmantm,vallejocc,rwhitcroft,h00die,leoloobeek,dmaasland,dozernz,datenschrott,blincoln682F048A,cldrn,t0nyhj,Karogh,trevrosen,jharms,HugoDelval,aushack,Th3R3p0,dnkolegov,benpturner,m-1-k-3,omarix,amatus,jsherwood0,kaospunk,cliffe,after100,sgonzalez-r7,erwanlr,sejr,dfreamon,TomSellers,mbuck-r7,lanjelot,gorums,ztgrace,limhoff-r7,lightsey,sekritskwurl,anantshri,matusso,nullbind,DrDinosaur,C-P-949,FrUh,andygoblins,pyrohaz4good,adamziaja,flashspys,disenchant,Jervelund,julianvilas,ricardojba,enioh,n0b1dy,enigma0x3,FerencSpala,jacksupinu,KoreLogicSecurity,vulp1n3,wez3,bannedit,snar5,bturner-r7,guikcd,nanomebia,claudijd,jvennix-r7,IMcPwn,BorjaMerino,sgabe,eyalgr,pdeardorff-r7,jstnkndy,b00stfr3ak,dlanner,EricGershman,dmooray,rcnunez,jduck,m7x,mzet-,bushwack,pielgrzym,E-Goldstein,techpeace,metasploitminute,andrew-morris,marcwickenden,EgiX,us3r777,Jaywalker,Lesage,headlesszeke,henshin,rasta-mouse,hacksysteam,spdfire,jezzus,mschloesser-r7,addenial,tatehansen,kbronstein,webstersprodigy,julioauto,itseco,FreedomCoder,agix,parzamendi-r7,dheiland-r7,fozavci,ikkini,fmunozs,plaguna,ir0njaw,paimei,0a2940,kost,ronibachar,rains31,dcnoren,sashs,todb,henryk,joridos,grutz,Ceenix,nnam,ringt,jakoblell,ChrisTruncer,johnhsawyer,Lutzy,epinna,OsandaMalith,iquaba,veritysr,darknight007,byt3bl33d3r,stamparm,nakilon,ytisf,philophobia78,msfcd3r,PagedeGeek,luisco,midnitesnake,nodeofgithub,AnwarMohamed,chrisukgit,attackdebris,84a0deba7af552d68c80a16b20cdef32,zombie042,TecR0c,mcfakepants,mercd,inokii,bugch3ck,tkisason,jholgui,mvdevnull,dougy2,0x41414141,arnaudsoullie,Zinterax,lsanchez-r7,Th4nat0s,allfro,herself,fillfish,musalbas,jjarmoc,abes975,dchan,gigstorm,p4tchw0rk,sensepost,mmetince,7a69,phikshun,0x3fcoma,Karmanovskii,dummys,jemjensen,rick2600,sappirate,net-ninja,mcantoni,trosen-r7,silascutler,ZeroChaos,bonsaiviking,Ensopado,kyuz0,malthusianhedonist,schierlm,sagishahar,jgor,Fr330wn4g3,ribeirux,sho-luv,aczire,j0hnf,bit4bit,R3dy,pyoor,bwall,dmaciejak,grimmlin,juushya,Mekanismen,rangercha,rsmudge,dukebarman,Ahmed-Elhady-Mohamed,ethack,jubaisamurai,shoxxdj,jiuweigui,g1ldedm1n1on,nieldk,kicks4kittens,totaldowner,rbsec,morisson,mwulftange,SeawolfRN,zeknox,floyd-fuh,trustedsec,russell,denandz,yehualiu,peto01,F1gure8,JonValt,corelanc0d3r,Bruk0ut,pnegry,ChrisJohnRiley,0pc0deFR,jhonnyboy,ethicalhack3r,averagesecurityguy,booboule,FiloSottile,titanous,Kentsson,MrXors,ddouhine,'7,3696E+069',3v0lver,Winterspite,TsCl,jwpari,alexiacole,SteveJM,jamcut,rwincey,nanotechz9l,MosDefAssassin,tyll,geyslan,sgaudet,tkrpata,shellster,dzruyk,CharlieEriksen,ndavis-r7,swtornio,Ruslaideemin,PsychoSpy,icewall,somename11111,viable-hartman,ll11010,frederic,kholia,alexmaloteaux,joernchen,staaldraad,frank2,modpr0be,froschi,Jimvin,Keebie4e,zyx2k,matthiaskaiser,jtesta,cmaruti,salcho,dougsko,twinvega,tasos-r7,darkoperator,c0mpound,cbgabriel,xard4s,steponequit,picchioni,carnal0wnage,dcbz,Console,nxnrt,linuxgeek247,viris,enaqx,nmonkee,gregory-m,marthieubean,andrewkabai,djmanilaice,steeve85,ant1,dominicwang,melihsarica,RogueBit,drimgere,msidagni,integgroll,heyder,jasbro,infodox,whoisshop,L1ghtn1ng,nahualito,ettisan,tmc,gerry,jrozner,smilingraccoon,nemski,SphaZ,lmercer-r7,rogueclown,truekonrads,kacpern,charles-n2netsec,digininja,Newpid0,svnk42,jselvi,danielemartini,defendtheworld,stephenfewer,bouk,espes,gspillman-r7,zgrace,gb2,SherifEldeeb,sput-nick,t0x1c-1,luh2,nikolai-r,msware,evil-e,malerisch,erran,mephos,bpoole,donctl,zombieCraig,esmnemon,satishb3,lincoln-corelan,erran-r7,sectorix,tdtds,dalton,v10l3nt,eddiezab,robin-francois,saintpatrick,jcran,calennert,phillips321,balgan,nevdull77,raesene,LittleLightLittleFire,tdoan-r7,lcashdol,sqlifuzzer,badishi,efraintorres,mrmee,3vi1john,justincmsf,rootman,graingert,johnnykv,wvandevanter,trolldbois,mdietz94,evilwurst,wireghoul,silviupopescu,juanvazquez,TheJacksonBrownie,b0telh0,alech,Datacut,wvandevanter-r7,ohdae,deadbyte,noperand,olliwolli,minlex,mak,matugm,syndrowm,ToxicRoot,jhartftw,threatagent,ygoltsev,sohilgarg,cd1zz,argp,Baldanos,davehull,chao-mu,okami41,andurin,mHarshal,dirtyfilthy,smorrison017,mbevand-r7,mboman,snarez,XeroHawk,exarkun634,d1n,neriberto,rickyz,tecknicaltom}
@attribute requester_succ_rate numeric
@attribute main_team_member {true,false}
@attribute integrator_follows_req {false,true}
@attribute status {0,1}

@data
wchen-r7,0.899696,true,false,1
wchen-r7,0.899543,true,false,1
hdm,1,false,false,1
FireFart,0.854369,true,false,1
wchen-r7,0.89939,true,false,1
wchen-r7,0.899237,true,false,1
wchen-r7,0.899083,true,false,1
jlee-r7,0.945813,false,false,1
acammack-r7,1,true,false,1
shipcod3,0.833333,false,false,0
shipcod3,0.826087,false,false,1
dmaloney-r7,0.882353,true,false,1
wchen-r7,0.898928,true,false,1
dmaloney-r7,0.881188,true,false,1
FireFart,0.852941,true,false,1
timwr,0.833333,true,false,1
wvu-r7,0.913043,true,false,1
FireFart,0.861386,true,false,0
FireFart,0.86,true,false,1
bcook-r7,0.855422,true,false,1
bcook-r7,0.853659,true,false,1
d0lph1n98,0,false,false,1
d0lph1n98,0,false,false,0
bcook-r7,0.8625,true,false,1
wvu-r7,0.9125,true,false,1
bpatterson-r7,1,false,false,1
wvu-r7,0.91195,true,false,1
wchen-r7,0.898773,true,false,1
shipcod3,0.818182,false,false,1
wchen-r7,0.898618,true,false,1
gmikeska-r7,0.7,true,false,1
gmikeska-r7,0.777778,true,false,0
wchen-r7,0.898462,true,false,1
wchen-r7,0.898305,true,false,1
jbarnett-r7,0,false,false,1
gmikeska-r7,0.75,true,false,1
wvu-r7,0.911392,true,false,1
gmikeska-r7,0.714286,true,false,1
sempervictus,0.417582,false,false,0
talos-arch3y,1,true,false,1
hdm,1,false,false,1
jlee-r7,0.945545,true,false,1
sempervictus,0.411111,false,false,1
timwr,0.823529,true,false,1
RubenRocha,0,false,false,1
dmohanty-r7,0.5,true,false,1
LennonCMJ,0,false,false,0
joevennix,0.913043,true,false,1
joevennix,0.909091,false,false,1
jlee-r7,0.945274,true,false,1
farias-r7,1,false,false,1
OJ,0.902655,true,false,1
wchen-r7,0.898148,true,false,1
jlee-r7,945,true,false,1
bcook-r7,0.871795,true,false,1
all3g,0.52381,true,false,0
bcook-r7,0.87013,true,false,1
all3g,0.526316,true,false,1
timwr,0.8125,true,false,1
timwr,0.8,true,false,1
jlee-r7,0.944724,true,false,1
wchen-r7,0.899536,true,false,0
shipcod3,0.809524,true,false,1
nstarke,0.846154,false,false,1
nikaiw,0,false,false,1
omriher,0,false,false,0
umerov1999,0,false,false,0
umerov1999,0,false,false,0
umerov1999,0,false,false,0
jhale85446,0.666667,true,false,1
wchen-r7,0.899381,true,false,1
bigendiansmalls,1,true,false,1
wchen-r7,0.899225,true,false,1
wchen-r7,0.899068,true,false,1
wwebb-r7,0,true,false,1
wchen-r7,0.898911,true,false,1
wchen-r7,0.898754,true,false,1
wchen-r7,0.898596,true,false,1
ghettoeinstein,0,false,false,1
wvu-r7,0.917197,true,false,0
acammack-r7,1,true,false,1
pedrib,0.962963,false,false,1
pedrib,0.961538,false,false,1
wchen-r7,0.899844,true,false,1
bpatterson-r7,0,false,false,1
jlee-r7,0.944444,true,false,1
shin-sugar-yi,0,false,false,1
wvu-r7,0.916667,true,false,1
all3g,0.5,true,false,1
wvu-r7,0.916129,true,true,1
jlee-r7,0.944162,true,false,1
sempervictus,0.409091,false,false,1
timwr,0.785714,true,false,1
acammack-r7,0,true,false,1
wchen-r7,0.901099,true,false,1
gmikeska-r7,0.666667,true,false,1
OJ,0.90991,true,false,1
OJ,0.909091,true,false,1
nstarke,0.833333,false,false,1
bcook-r7,0.868421,true,false,1
bcook-r7,0.866667,true,false,1
wchen-r7,0.900943,true,false,1
flowztul,1,false,false,1
FireFart,0.858586,true,false,1
bcook-r7,0.864865,true,false,1
wchen-r7,0.902362,true,false,0
bigendiansmalls,1,true,false,1
FireFart,0.857143,true,false,1
rastating,0.923077,false,false,1
OJ,0.908257,true,false,1
bcook-r7,0.863014,true,false,1
kfr-ma,1,false,false,1
kfr-ma,1,false,false,1
jlee-r7,0.943878,true,true,1
kfr-ma,0,false,false,1
psychomario,0.666667,false,false,1
dmaloney-r7,0.88,true,false,1
Sinkmanu,0.333333,false,false,1
chrisdcmoore,1,true,false,1
chrisdcmoore,1,true,false,1
wchen-r7,0.902208,true,false,1
chrisdcmoore,0,true,false,1
lsato-r7,1,true,false,1
wchen-r7,0.902054,true,false,1
darkbushido,0.857143,true,false,1
zeroSteiner,0.852459,true,false,1
shipcod3,0.8,true,false,1
jlee-r7,0.94359,true,false,1
all3g,0.5,true,false,1
shipcod3,0.789474,true,false,1
bcoles,0.930233,false,false,1
shipcod3,0.777778,true,false,1
all3g,0.533333,true,false,0
nopnopnoppopopret,0,false,false,1
jlee-r7,0.943299,true,false,1
nopnopnoppopopret,0,false,false,0
vysec,0,false,false,1
bcook-r7,0.861111,true,false,1
Atul9,0,false,false,1
joevennix,0.904762,false,false,1
joevennix,0.9,false,false,1
all3g,0.5,true,true,1
dmaloney-r7,0.878788,true,false,1
todb-r7,0.904639,true,false,1
princeofdarkness76,0,true,false,0
all3g,0.461538,true,false,1
cdoughty-r7,0.666667,true,false,1
cdoughty-r7,0.5,true,false,1
mubix,0.806452,false,false,0
FireFart,0.85567,true,false,1
bcoles,0.95122,false,false,1
jhale85446,1,true,false,1
bcoles,0.95,false,false,1
g0tmi1k,0.848485,false,false,1
jhart-r7,0.913793,true,false,1
jhart-r7,0.912281,true,false,1
karllll,1,false,false,1
jhale85446,0,true,false,1
wchen-r7,0.901899,true,false,1
bcook-r7,0.859155,true,false,1
wchen-r7,0.901743,true,false,1
jhart-r7,0.910714,true,false,1
FireFart,0.854167,true,false,1
g0tmi1k,0.84375,false,false,1
timwr,0.769231,true,false,1
shipcod3,0.764706,true,false,1
llmora,0,false,false,1
psychomario,0.5,false,false,1
wchen-r7,0.901587,true,false,1
stufus,0.8,true,false,1
martinvigo,1,true,false,1
wchen-r7,0.901431,true,false,1
wvu-r7,0.921569,true,false,1
FireFart,0.852632,true,false,1
wchen-r7,0.901274,true,false,1
wchen-r7,0.901116,true,false,1
pyllyukko,1,false,false,1
all3g,0.454545,true,false,1
stufus,0.777778,true,false,1
FireFart,0.851064,true,false,1
wchen-r7,0.900958,true,false,1
wchen-r7,0.9024,true,false,0
bcook-r7,0.857143,true,false,1
bcook-r7,0.855072,true,false,1
wchen-r7,0.902244,true,false,1
madmike33,1,false,false,1
wchen-r7,0.902087,true,false,1
gmikeska-r7,0.6,true,false,1
elia,0,false,false,1
radekk,0,false,false,1
wchen-r7,0.901771,true,false,1
bcook-r7,0.852941,true,false,1
bcook-r7,0.850746,true,false,1
bcook-r7,0.848485,true,false,1
shipcod3,0.75,true,false,1
all3g,0.4,true,true,1
stufus,0.75,true,false,1
jhart-r7,0.909091,true,false,1
FireFart,0.849462,true,false,1
shipcod3,0.733333,true,false,1
lsato-r7,1,true,false,1
r3naissance,0,false,false,1
jlee-r7,0.943005,true,false,1
shipcod3,0.714286,true,false,1
FireFart,0.847826,true,false,1
busterb,1,false,false,1
r3naissance,0,false,false,0
zeroSteiner,0.85,true,false,1
hdm,0,true,false,1
joncave,1,true,false,1
bigendiansmalls,1,true,false,1
wchen-r7,0.901613,true,false,1
bcook-r7,0.846154,true,false,1
joncave,1,true,false,1
OJ,0.907407,true,false,1
wchen-r7,0.901454,true,false,1
wvu-r7,0.921053,true,false,1
wchen-r7,0.901294,true,false,1
jhart-r7,0.907407,true,false,1
jhart-r7,0.90566,true,false,1
wchen-r7,0.904065,true,false,1
sammbertram,1,false,false,1
wchen-r7,0.903909,true,false,1
sammbertram,1,false,false,1
wchen-r7,0.903752,true,false,1
wchen-r7,0.903595,true,false,1
talos-arch3y,0,false,false,1
dmaloney-r7,0.877551,true,false,1
dmaloney-r7,0.876289,true,true,1
psychomario,0,false,false,1
jww519,0,false,false,1
sammbertram,0,false,false,1
shipcod3,0.75,true,false,1
wchen-r7,0.906404,true,false,1
m0t,1,false,false,1
KINGSABRI,1,true,false,1
jhart-r7,0.903846,true,false,1
wchen-r7,0.90625,true,false,1
shipcod3,0.727273,true,false,1
jhart-r7,0.901961,true,false,1
jlmurray,0,false,false,0
jhart-r7,0.9,true,false,1
