@relation 'meteor-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R10,36,50,53'

@attribute files_modified numeric
@attribute requester {emgee3,tmeasday,aldeed,glasser,zol,Primigenus,woogenius,laosb,Sarah-Alsinan,mitar,aericson,mattmccutchen,martijnwalraven,trusktr,jithesh55,meonkeys,birkskyum,Kauress,cloudzombie,LewisW,sebakerckhof,avital,fabienb4,dotansimha,lassombra,mquandalle,queso,rafael-nunez,emars,benjamn,pra85,okland,ozsay,zimme,rdickert,jiku,jrmlstf,tonycastle,nagelflorian,sedouard,n1mmy,bwobst,mjmasn,bwhitty,IeuanG,nathan-muir,brunocassol,Veered,aofrozen,slava,sheeldotme,reel,lpinto93,horner,oricordeau,talha-asad,robfallows,devgrok,skishore,rgoomar,stubailo,bySabi,dburles,welelay,mbrookes,TomFreudenberg,zacharydenton,markoshust,yhoiseth,TechplexEngineer,AlexeyMK,greggman,benweissmann,timwachsener,KiwiHacks08,martijndeh,Gwendall,JonTheNiceGuy,ekatek,eXon,ClarenceL,theavish,anand-vishal,bradvogel,kencheung,dandv,johnthepink,brettle,yyx990803,DAB0mB,aramk,pbastowski,sclausen,DCKT,lalomartins,shadedprofit,maxnowack,cedla,wojtkowiak,wh0,Urigo,brianlukoff,OleksandrChekhovskyi,vjau,cherbst,dgreensp,luohuazju,tomwasd,timhaines,quetzalcoatl,anubhav94,servel333,Rebolon,TC827,JamesMGreene,acidsound,atcwells,peterchoo,wbyrnetx,kookoskar,lieuwex,kentonv,omeid,patmoore,RobertLowe,chmac,edwinlin1987,firdausramlan,clothiersphere,robertpitt,tahirabas12,ffxsam,ApplePicke,jboulhous,Kriegslustig,freiit,carterchung,HQingYi,zhenyasav,gsuess,dolgarev,zicai,speciose,Lavan,adhearn,alanning,BraveKenny,jperl,Andarist,avalanche1,rbabayoff,lezed1,copleykj,jagi,jozzas,dferber90,maersu,DenisGorbachev,krazyeom,SachaG,ryneeverett,skagedal,warrenseine,ecwyne,hammadasad,hjst,edull24,dabrorius,Siilwyn,ksepehri,aquator,raix,Dev1an,srounce,Danieboy,jamgold,Sanjo,zyzo,lucendio,rjakobsson,hwillson,dropfen,murillo128,tomarcafe,svda,koolaid1551,Tarang,multilinear,bobiblazeski,hypno2000,mininao,mariorodriguespt,jakozaur,awatson1978,yauh,romanzolotarev,tomByrer,0a-,DanielDent,prasadKodeInCloud,d4nyll,estark37,cuberoot,smallhelm,netanelgilad,prinzdezibel,fay-jai,nothingisdead,splendido,lourd,strikeout,adnissen,restebanez,rissem,knownasilya,ogourment,locksmithdon,taromero,graemian,comerc,musically-ut,waitingkuo,colllin,physiocoder,DanielDornhardt,anstarovoyt,Cangit,ChristianBundy,pcjpcj2,Maxim-Filimonov,PooMaster,sebsylvester,ograycode,chrisbridgett,LyuGGang,olizilla,kevinchiu,awwx,matteodem,plexorama,andylash,stefankutko,mizzao,gitter-badger,adelq,timbrandin,rosh93,vince-stark,Gaelan,richguan,rick-golden-healthagen,davidworkman9,rzymek,pscanf,ryanmurakami,timoabend,evliu,subhog,wulfmeister,prapicault,clauswitt,theosp,justinsb,CryptoQuick,WimAtIHomer,RichardLitt,giavjeko,apendua,JimHough,twhy,MaximDubrovin,plachintas,Sewdn,lorensr,thatneat,ImtiazMajeed,boneyao,cmather,ORiON-,duckspeaker,iamstephenkerr,jbruni,FredericoC,ducdigital,pahans,kevb,babenzele,arbesfeld,juan-lavaina,tbjers,mikowals,rcy,andyeskridge,AntonLS,felixrabe,vsivsi,arunoda,Pent,nodecoder,Neftedollar,lukemt,davegonzalez,rgould,paulswartz,gdi2290,jfhamlin,subjective,marcandre,ankurp,greggdourgarian,patrickleet,yeputons,andreas-karlsson,OyoKooN,michaelbishop,mart-jansink,siggioskarsson,jvanveen,jaredsohn,gandev-de,alexhancock,ScottPolhemus,Tarangp,danieljonce,FooBarWidget,blackcoat,lencinhaus,andriesmalan,MaerF0x0,zeldovich,et,akralj,mcbain,demyanrogozhin,mrmrs,bitsthatmatter,Maxhodges,codeinthehole,sdarnell,bruceharris,BenjaminRH,dnprock,opyh,ansman,meawoppl,andreioprisan,jpmx,ryw,btipling,mrhein,eymiha,deepwell,eldog,bchelli,reezer,drgorb,Xample,yubozhao,lennartcl,zvictor,johnston,adamjspooner,jacott,ashaffer,stephentcannon,gib,pius,sixolet,pmark,jagill,spang,AjayMT,joshuaconner,tutukin,ianserlin,kevee,erundook,jhoxray,reustle,pstuart2,justinledwards,nate-strauser,sylvaingi,rasmuserik,haircuttedfreak,jmhredsox,kevinxucs,qzg,biocross,krizka,michaelglenadams,jerico-dev,dbimmler,belisarius222,Multiply,mrcoles,bbbmmmlll,wihl,RoboTeddy,hijonathan,crunchie84,milesmatthias,xenolf,bramp,bminer,zealoushacker,imageoptimiser,michaelneale,geoffd123,danawoodman,AVGP,rep,scottburch,hipertracker,substack,Ed-von-Schleck,airlok,TimHeckel,acemtp,nwmartin,roymax,workmad3,lvbreda,stephanebisson,Charuru,Gigaroby,75lb,jwulf,ayal,evo42,html5cat,jbernab,tifroz,motro,yonggao,bradens,yanivoliver,possibilities,fivethirty,psoots,joshrtay,TomWij,alansikora,jaeh,heavyk,zhangcheng,alex-seville,corbanbrook,MStumpp,adrusi,mpj,node-migrator-bot,ibash,groodt,TrevorBurnham,1337807,sindrenm,wbzyl,thomasf1,jonathanKingston,jlamontagne,huetsch,clarete,cobbweb,barisbalic,antoviaque,tylerball,phillc,bfirsh,climboid,JasonGiedymin,jackp,gabriel-dehan,d2s,viddo,dsummersl,adrianmaurer,txm,alanvdam,jpmec,AndyMoreland,skalb,iwoj,mindscratch,bobbywarner,shama,jamesotron,dmayle,andredublin,kiba,heikki,thatguydan,joshmcarthur,quarterto,cldwalker,ghostrocket,bnookala,hswolff,davemo,edward,debergalis}
@attribute prior_interaction_commits numeric
@attribute status {0,1}

@data
1,emgee3,0,1
1,tmeasday,69,1
1,aldeed,2,1
8,glasser,4,1
3,tmeasday,66,1
1,zol,11,0
1,tmeasday,64,1
1,Primigenus,0,1
1,woogenius,0,1
8,tmeasday,55,1
4,aldeed,2,1
1,laosb,1,1
1,Sarah-Alsinan,1,1
1,Sarah-Alsinan,1,1
1,Sarah-Alsinan,1,1
0,tmeasday,47,1
4,mitar,2,1
1,zol,8,1
2,tmeasday,39,1
1,mitar,2,0
3,aericson,0,1
3,laosb,1,0
1,mattmccutchen,0,1
4,tmeasday,26,1
8,tmeasday,26,1
7,martijnwalraven,167,1
1,trusktr,0,1
2,tmeasday,22,1
1,tmeasday,20,1
1,tmeasday,19,1
1,laosb,0,1
2,tmeasday,14,1
211,tmeasday,14,1
1,tmeasday,23,1
6,jithesh55,0,1
1,meonkeys,0,1
1,birkskyum,0,1
7,Kauress,0,1
27,cloudzombie,0,0
3,LewisW,1,1
11,sebakerckhof,1,1
1,mitar,2,1
1,avital,54,0
1,fabienb4,0,1
1,dotansimha,0,1
3,mitar,2,1
3,lassombra,2,1
1,mitar,2,1
1,mquandalle,0,1
1,queso,0,1
1,rafael-nunez,0,0
1,mitar,2,1
4,sebakerckhof,1,0
3,emars,1,1
9,benjamn,87,1
1,pra85,0,1
1,lassombra,1,1
1,okland,0,0
2,ozsay,1,0
1,mitar,2,1
1,zimme,2,1
1,rdickert,2,1
1,mitar,2,1
1,mitar,2,1
3,jiku,0,0
1,jrmlstf,0,0
6,tonycastle,0,1
4,mitar,2,1
2,nagelflorian,0,1
6,sedouard,0,0
4,n1mmy,1,1
2,mitar,1,1
5,bwobst,0,1
1,bwobst,0,0
4,martijnwalraven,78,1
1,okland,0,1
1,mjmasn,0,1
1,bwhitty,0,1
1,IeuanG,0,1
1,bwobst,0,0
2,nathan-muir,3,1
1,mitar,1,1
1,brunocassol,0,0
1,mitar,1,0
1,Primigenus,0,1
1,Veered,2,1
1,mitar,1,1
1,mitar,1,0
3,aofrozen,0,0
1,slava,0,1
1,mitar,1,1
1,mitar,1,1
1,sheeldotme,0,1
1,reel,0,1
14,lpinto93,16,0
14,lpinto93,16,0
14,lpinto93,16,0
1,horner,1,1
2,oricordeau,0,1
8,avital,35,1
1,talha-asad,0,0
1,robfallows,0,1
2,devgrok,2,1
1,mitar,3,1
3,skishore,0,1
1,okland,0,1
1,okland,0,0
1,mitar,3,1
1,mitar,3,1
1,Primigenus,0,1
1,mitar,3,1
6,martijnwalraven,111,1
1,rgoomar,0,1
23,benjamn,135,1
4,stubailo,154,1
1,bySabi,0,1
1,mitar,3,0
3,nathan-muir,2,1
65,Veered,1,1
3,zimme,4,1
1,dburles,0,1
1,welelay,0,1
2,stubailo,162,1
2,stubailo,161,1
1,mbrookes,0,1
3,mbrookes,0,0
8,sebakerckhof,0,1
1,okland,0,1
24,TomFreudenberg,0,1
2,benjamn,136,1
4,stubailo,190,1
1,rgoomar,0,0
2,zacharydenton,0,1
1,markoshust,0,0
1,mbrookes,0,0
1,yhoiseth,0,0
4,TechplexEngineer,1,0
23,avital,47,0
1,AlexeyMK,0,1
3,greggman,1,0
1,benweissmann,0,1
1,timwachsener,0,0
3,KiwiHacks08,0,1
2,martijndeh,0,1
1,Gwendall,0,1
2,JonTheNiceGuy,2,0
4,ekatek,14,1
2,JonTheNiceGuy,0,0
1,eXon,1,1
1,ClarenceL,0,0
1,theavish,0,0
1,anand-vishal,0,0
1,bradvogel,2,1
2,kencheung,0,1
1,dandv,4,1
1,johnthepink,1,1
3,bradvogel,1,0
1,stubailo,210,0
1,stubailo,209,0
1,kencheung,0,0
1,brettle,5,1
0,yyx990803,12,1
2,DAB0mB,0,1
1,aramk,1,1
2,pbastowski,1,0
4,sclausen,0,0
1,rgoomar,0,1
1,zimme,6,1
1,DCKT,0,0
6,glasser,159,1
8,lalomartins,0,0
1,shadedprofit,0,0
1,mitar,4,1
5,maxnowack,1,1
3,cedla,1,0
3,wojtkowiak,0,0
1,stubailo,242,1
1,wh0,0,1
0,Urigo,0,0
5,avital,38,1
1,mitar,3,1
6,nathan-muir,3,1
1,mitar,2,1
2,mitar,1,1
1,brianlukoff,0,1
1,wh0,0,0
3,OleksandrChekhovskyi,4,1
18,stubailo,328,1
2,eXon,0,0
1,vjau,1,1
1,cherbst,0,0
1,brettle,4,1
1,dgreensp,36,1
1,avital,35,0
2,dandv,5,1
3,luohuazju,1,0
1,stubailo,312,1
11,stubailo,312,0
7,stubailo,307,1
1,martijnwalraven,352,0
1,tomwasd,0,0
1,timhaines,1,1
8,ekatek,9,1
1,Primigenus,2,1
1,dandv,4,1
1,quetzalcoatl,0,0
1,dandv,3,1
3,brettle,1,1
1,anubhav94,94,1
1,dandv,3,1
1,servel333,1,1
1,Rebolon,1,1
2,benjamn,213,0
11,benjamn,213,1
1,sebakerckhof,0,1
1,mbrookes,0,0
10,TC827,0,0
1,TC827,0,0
1,JamesMGreene,0,1
1,cherbst,0,1
12,dgreensp,23,1
6,anubhav94,58,0
1,stubailo,298,1
5,brettle,0,1
1,Primigenus,2,1
6,stubailo,283,1
2,stubailo,256,1
3,stubailo,244,1
4,TechplexEngineer,0,0
1,OleksandrChekhovskyi,2,1
1,acidsound,0,1
3,martijnwalraven,254,1
4,martijnwalraven,252,1
1,atcwells,0,0
1,TomFreudenberg,1,0
2,peterchoo,0,1
1,wbyrnetx,0,1
1,Primigenus,2,1
1,kookoskar,0,1
1,trusktr,5,1
1,lieuwex,1,1
1,trusktr,4,0
11,nathan-muir,2,1
1,kentonv,1,1
1,omeid,1,0
1,patmoore,1,1
2,RobertLowe,1,1
1,trusktr,4,0
1,chmac,0,0
1,edwinlin1987,1,1
0,firdausramlan,0,0
1,trusktr,3,1
8,benjamn,402,0
1,clothiersphere,1,1
1,mitar,7,0
1,TomFreudenberg,1,0
1,TomFreudenberg,1,0
1,robertpitt,0,0
3,OleksandrChekhovskyi,1,0
21,anubhav94,23,1
12,tahirabas12,0,1
1,zimme,8,0
1,zimme,8,1
1,ffxsam,1,1
1,zimme,5,0
1,RobertLowe,6,0
2,ApplePicke,0,0
1,trusktr,3,1
2,jboulhous,0,0
5,stubailo,246,0
4,stubailo,241,0
112,benjamn,299,1
1,trusktr,2,1
1,trusktr,2,0
1,Kriegslustig,0,0
1,mitar,7,1
1,wh0,0,1
2,benjamn,289,1
2,zimme,4,1
1,freiit,0,1
1,carterchung,1,1
1,HQingYi,0,0
2,zhenyasav,2,1
1,dandv,3,1
1,dandv,2,1
28,stubailo,195,1
2,gsuess,1,1
1,dolgarev,0,1
1,zicai,1,1
1,dandv,2,1
1,speciose,0,0
1,Lavan,0,0
2,adhearn,1,1
1,alanning,1,1
3,BraveKenny,0,1
1,jperl,0,1
1,sebakerckhof,0,1
2,mitar,8,1
1,trusktr,1,1
1,trusktr,1,1
3,queso,1,0
1,mitar,8,1
1,trusktr,0,0
1,Andarist,0,0
1,yyx990803,44,1
1,nathan-muir,0,0
3,robertpitt,0,1
1,avalanche1,0,1
1,stubailo,218,1
2,rbabayoff,1,1
