@relation 'Nancy-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,9,10,19,34,36,37,44,45,46,52,53'

@attribute forward_links {false,true}
@attribute files_deleted numeric
@attribute files_modified numeric
@attribute commits_on_files_touched numeric
@attribute workload numeric
@attribute requester {jchannon,khellang,thecodejunkie,akoeplinger,hwqdt,phillip-haydon,jasonmead,feeeper,stuart-bennett,SonnevilleJ,xt0rted,Yantrio,grumpydev,uliian,Liversage,EasyAsABC123,06b,damianh,dwonisch,aryelfnd,jeffthiele-iq,jonathanfoster,onliner10,phoenixx,asbjornu,richardprice,DavidLievrouw,horsdal,mikle111,jongleur1983,jlennox,joebuschmann,duszekmestre,ayoung,danielmue,bsommardahl,felipeleusin,samal84,lijunle,gitter-badger,rudygt,AIexandr,anton-gogolev,wtilton,dbent,taharrison,AdamFinley,sroylance,Crisfole,VictorTomaili,tparnell8,jvandertil,awec,oskar,hmemcpy,kobi,cchrisman,danbarua,jbattermann,shiftbot,hlesesne,etishor,scottcarr,ranjitCatchinUp,loftum,DarthWalsh,Tsingbo-Kooboo,adamhathcock,johnduhart,onatm,bendetat,ClemPi,ptomasroos,khalidsalomao,Kibele,albertjan,mtharrington,PureKrome,sloncho,devcrafting,Corstiaan84,sschlesier,jayharris,omeaart,kthompson,IngvarKofoed,yannisgu,nathanmarlor,canton7,wilhen01,solyutor,AnthonySteele,jeff-pang,jjchiw,Jevonius,mat-mcloughlin,Novakov,amityagov,rasmus-beck,Hihaj,pdoh00,StephenFriend,ExUltima,jugglingnutcase,aharin,paulsuart,logiclrd,DavidHoerster,icelorrio,kzhen,nerdfury,mloenow,DarrellMozingo,jtroe,jeffdoolittle,washcroft,tpluscode,acorkery,robertbeal,provegard,csainty,wallymathieu,liddellj,stanislavromanov,philjones88,rcknight,dot-i,stabbylambda,detroitpro,despertargz,Adalyat,frankradocaj,DavidKarlas,scottt732,jbonhag,zippy1981,williambogaiv,CumpsD,tempaccount0,lukesmith,fliiiix,FredrikL,jfis,MCord,raurfang,steenhulthin,marcusoftnet,rogeralsing,anilanar,omockler,TheFastCat,SimonCropp,adamralph,davidalpert,Deadarius,btompkins,DavidChristiansen,brianwigfield,emilianionascu,wasabii,justinvp,sirbadger,ferretallica,mattilaj,haf,DevAtWork,czb,Willmo36,prabirshrestha,MattsGitCode,johnsimons,dragan,thefringeninja,danielporfirio,salaerts,kekekeks,thecopy,whatknott,Invizory,rlipscombe,yojimbo87,JoelHT-Landmark,grahamrhay,kppullin,smithjacobj,erdomke,mike-ward,half-ogre,davepermen,pwain,andreichuk,majimenezp,bwatts,kevfromireland,mjamin,dariusdamalakas,jar349,adamclerk,franhoey,EKibort,timplourde,dchrno,tischlda,jhovgaard,MichaelAz,chrisdavies,danhaller,Dashue,garethrhughes,ChrisBrandhorst,shytikov,RoyJacobs,synhershko,codeprogression,ehanneken,luuksommers,inTagger,kayone,rhwy,emilcardell,palsson,laazyj,maxwe789,alexanderbeletsky,emertechie,webdkmfs,alanta,somedave,tylerburd,GregBrant,blackjable,PaulECoyote,runesoerensen,logicbomb,kleinron,RobertTheGrey,larsw,skinny,yadazula,serbajlo,jfabre,dlineberger,squidge,thinkbeforecoding,nicolasgarfinkiel,frankgeerlings,Fax,loudej,occ,Jeej,vbedegi,paultyng,denkhaus,craiggwilson,hfjallemark,BenHall,nolanw,mbettex,fschwiet,huyderman,rodrigoi,bvanderveen,CedricYao,ant512,kouphax,ChrisMH,t3hc13h,superlogical,factormystic,rspacjer,juanfranblanco,rguerreiro,nathanpalmer,stanhua,markrendle,jschmid,chrisnicola,carlokok,lhaussknecht,jscoles,gbanister,leoduran,andypike,duncansmart,gatapia,pcibraro,jfromaniello,hgarcia,patrik-hagne,GraemeF,tombell,Mpdreamz,ToJans,cryophobia,thedersen,hongymagic,avlasova,mmozuras,khalidabuhakmeh}
@attribute prev_pullreqs numeric
@attribute req_follows_integrator {false,true}
@attribute integrator_follows_req {false,true}
@attribute prior_interaction_issue_events numeric
@attribute first_response numeric
@attribute status {0,1}

@data
false,0,1,0,19,jchannon,83,false,false,11,-1,1
false,0,1,4,17,khellang,92,true,false,19,-1,1
false,0,30,49,19,khellang,91,true,false,19,1,1
false,0,1,0,18,jchannon,82,false,false,9,25,0
false,0,1,0,14,jchannon,81,false,false,9,-1,1
false,24,0,0,14,thecodejunkie,242,false,false,19,-1,1
false,0,1,12,14,thecodejunkie,241,false,false,19,-1,1
false,0,1,4,13,thecodejunkie,240,false,false,19,0,1
false,0,1,7,13,thecodejunkie,239,false,true,21,-1,1
false,0,1,8,17,khellang,90,true,false,26,-1,1
false,0,1,2,16,akoeplinger,0,false,false,0,30,1
false,0,1,20,15,thecodejunkie,237,false,true,19,10,1
false,1,3,13,16,thecodejunkie,236,false,false,19,0,1
false,0,13,13,16,thecodejunkie,235,false,true,18,2,1
false,0,1,2,16,hwqdt,1,false,false,0,1039,0
false,0,1,0,22,jchannon,79,false,true,8,-1,1
false,0,1,0,16,phillip-haydon,27,true,false,2,16,1
false,3,25,24,15,jasonmead,3,false,false,1,1534,1
false,0,4,2,18,feeeper,0,false,false,0,1,1
false,0,6,15,16,jchannon,71,false,false,7,255,1
false,0,5,38,16,thecodejunkie,234,false,false,18,16,1
false,0,2,7,20,thecodejunkie,233,false,true,18,-1,1
false,0,2,4,19,khellang,89,true,false,28,223,1
false,0,1,0,18,stuart-bennett,0,false,false,0,53,1
false,0,10,27,18,thecodejunkie,230,false,true,18,11,1
false,1,71,105,18,thecodejunkie,228,false,false,18,0,0
false,0,2,6,18,SonnevilleJ,0,false,false,0,383,1
false,0,1,2,18,thecodejunkie,226,false,false,18,28,1
false,0,1,2,20,xt0rted,27,false,false,0,-1,1
false,0,14,21,20,jchannon,70,false,false,7,-1,1
false,4,9,35,18,thecodejunkie,225,false,false,19,6784,1
true,1,15,19,18,thecodejunkie,224,false,false,19,3654,1
false,1,61,79,15,Yantrio,16,false,false,1,-1,0
false,0,1,4,15,jchannon,67,false,false,7,105,0
false,0,1,5,20,thecodejunkie,223,false,true,19,-1,1
false,3,17,44,21,thecodejunkie,222,false,true,20,1747,1
false,3,5,6,21,thecodejunkie,221,false,true,21,19,1
false,0,2,12,21,thecodejunkie,220,false,false,21,3,1
false,0,11,16,20,thecodejunkie,219,false,false,21,0,1
false,0,1,2,20,jchannon,61,false,false,7,0,1
false,0,2,12,21,khellang,88,false,false,28,-1,1
false,0,1,10,21,khellang,87,false,false,28,-1,0
false,0,2,8,22,khellang,86,true,false,28,1,1
false,61,58,14,21,thecodejunkie,218,false,true,21,4,1
false,2,11,15,20,jchannon,60,false,false,6,38,1
false,2,3,29,21,thecodejunkie,217,false,false,22,-1,1
false,0,2,2,18,Yantrio,3,false,false,0,-1,0
false,0,1,18,19,thecodejunkie,216,false,false,22,-1,1
false,0,1,0,19,thecodejunkie,215,false,false,22,-1,1
false,0,20,7,20,khellang,85,false,false,28,-1,1
false,0,56,4,20,khellang,84,false,false,28,6,0
false,0,1,16,20,thecodejunkie,214,false,true,22,11,1
false,0,4,5,20,thecodejunkie,213,false,true,22,-1,1
false,0,6,1,22,thecodejunkie,212,false,true,22,-1,1
false,0,13,8,22,thecodejunkie,211,false,true,22,61,1
false,0,1,4,22,thecodejunkie,210,false,true,22,-1,1
false,0,1,2,21,jchannon,59,false,false,5,32,0
false,0,2,1,22,thecodejunkie,209,false,false,22,-1,1
false,0,1,7,22,khellang,83,true,false,32,-1,1
false,0,2,6,22,thecodejunkie,208,false,true,22,2,1
false,0,1,2,21,jchannon,58,false,false,5,-1,1
false,3,58,42,22,khellang,82,false,false,32,-1,1
false,0,6,22,23,thecodejunkie,207,false,false,22,-1,1
false,0,2,6,21,thecodejunkie,206,false,true,22,-1,1
false,0,2,16,22,jchannon,57,false,false,5,-1,1
false,0,1,1,22,jchannon,56,false,false,5,-1,1
false,0,6,27,22,jchannon,55,false,false,5,1077,1
false,0,9,36,23,thecodejunkie,205,false,true,22,1746,1
false,0,1,2,20,jchannon,54,false,false,5,-1,1
false,0,1,2,21,jchannon,53,false,false,4,53,1
false,0,1,18,20,thecodejunkie,204,false,true,22,147,1
false,0,2,14,22,khellang,81,false,false,31,977,1
false,5,1,0,19,khellang,80,false,false,31,-1,0
false,0,1,16,19,thecodejunkie,203,false,false,20,-1,1
false,293,80,52,19,Yantrio,2,false,false,0,34,1
false,0,8,3,17,Yantrio,1,false,false,0,-1,0
false,0,1,0,17,khellang,79,true,false,31,-1,1
false,0,4,17,18,khellang,78,true,false,31,19,1
false,293,61,56,18,khellang,77,true,false,31,-1,1
true,0,3,0,18,Yantrio,0,false,false,0,5,0
false,0,9,34,18,thecodejunkie,202,false,true,19,544,1
false,0,4,30,18,thecodejunkie,201,false,false,19,-1,1
false,0,1,6,17,hwqdt,0,false,false,0,5603,1
false,0,28,76,19,thecodejunkie,200,false,false,19,536,1
false,3,82,84,19,grumpydev,142,false,false,8,973,1
false,0,1,1,19,uliian,4,false,false,0,-1,0
false,0,1,1,19,uliian,3,false,false,0,-1,0
false,0,1,1,19,uliian,2,false,false,0,-1,0
false,0,1,1,28,uliian,1,false,false,0,4704,1
false,0,1,0,23,uliian,0,false,false,0,21,0
false,0,12,35,23,thecodejunkie,199,false,false,21,12,1
