@relation 'netty-data-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R13,18,27,36,38,39,41,49,53'

@attribute doc_files numeric
@attribute entropy_diff numeric
@attribute sloc numeric
@attribute requester {buchgr,normanmaurer,maxwindiff,Scottmitch,mm-binary,vietj,daschl,trustin,windie,kerumai,qiangjinjiu,johnou,CodingFabian,jamel,cnapagoda,guidomedina,Spikhalskiy,nmittler,rtimush,mosesn,blucas,Karry,jchambers,jiafu1115,travishaagen,alkemist,liuzhengyang,lovesea42,huguesb,ejona86,houdejun214,MediumOne,slandelle,ifesdjeen,yetisno,ferrybig,cdancy,NiteshKant,earthling,jza70,louxiu,technocoreai,xkr47,Apache9,zsxwing,skyao,hepin1989,eantaev,rayh176,PierreCoquentin,lukehutch,pieteradejong,jakubjanecek,Underbalanced,louiscryan,sbtourist,develar,ninja-,slachiewicz,loolooyyyy,merlimat,zhangshun2014,hgl888,rdicroce,jroper,jenskordowski,Adam-,silvaran,mubarak,serioussam,fratboy,sverkera,kvr000,mrb-twx,tomasol,vargarob,eincs,myArea51,sja,chrisprobst,grgvineet,rkapsi,yawkat,ioanbsu,djchen,wangzhiheng,sunng87,darabos,FeiWongReed,tomaszc,flozano,glennleidy,JungMinu,hamzaxx,syucream,0mok,woshilaiceshide,atellwu,mikkokar,jedesah,andyHa,clebertsuconic,ruslansennov,rovarga,robinst,idelpivnitskiy,fredericBregier,jestan,Alwayswithme,lime62,ThomasLau,benevans,jingene,d-t-w,garretwu,leogomes,ddossot,pdalpra,wouterhund,luciferous,robertpanzer,tbocek,opinali,jpinner,danbev,casidiablo,lhkzh,yhleeus,ngocdaothanh,mcraveiro,andreipet,sammychen105,elad-yosifon,adriancole,reflection,gariev,dittos,wf2030,beckje01,MichaelScofield,zcourts,ysammy,Pyrolistical,grahamedgecombe,fbarberamzn,heinousjay,timboudreau,jongyeol,jakobbuchgraber,naude-r,gitter-badger,afredlyj,amuniz,g-eorge,Matthias247,CruzBishop,jverce,bk1te,thobbs,pat2013,lw346,profer,bigrasjf,bfritz,youngero,dkocher,kichik,marekjelen,ylgrgyq,plucury,mikereedell,schulzp,zhuguowei01,WillemJiang,zw1127,onlychoice,Scottmitch1,notz,kangjunwei,nitsanw,gaol,xmxsuperstar,michaelklishin,perfectid,houyanjun,alepar,fboucher38,philbaxter,Lekanich,belliottsmith,dns,54k,j3h,jiangzezhou1989,dhanaraj0,WhiteTrashLord,jjYBdx4IL,ctron,jkeys089,mkrueger92,mousom,dragonsinth,tblongjia,died103times,anilsaldhana,tea-dragon,xhumanoid,CoNDoRip,itzg,jbertram,bucjac,aaronriekenberg,PhantomJin,m0wfo,nisihara562,JatinderSingh,andrewgaul,cmcmaugh,xfrag,vschafer,swankjesse,stIncMale,sskachkov,MiddleBen,mleventi,veebs,chenxiuheng,wgallagher,milenkovicm,igstan,arianitu,koen-serry,danielnorberg,BabyDuncan,smiera,nikolajovanovic,craigday,d4r7hk3rm17,mkjellman,lospejos,darionyaphet,okapies,planerist,ANorwell,velmurugan-0186,mhgrove,gsoltis,quickwango,aledale,goaway,radimch,sofent,jwils,matlach,tsingxu,mbakkar,ssilverman,kxbmap,golovnin,alainw,TonyRice,diginori,menacher,irelandKen,razvan-jurca,shreyharia,Andrei-Pozolotin,ryanobjc,siteware,michielbaird,andrewcox,georgecao,Melon1017,infynyxx,adamv,mauricio,hgschmie,haremyak,EugenDueck,lucky,kryptonics411,mcaserta,justinsb,cloudaloe,md-5,carrot-garden,gamlerhart,ming13,matterkkila,barkbay,broach,jeje,glynnm,anathan,stefanmk,bartex80,macer1,arya,matzew,tsuna,jaens,mheath,dantran,coltnz,ytfei,ankurcha,alex-berger,obergner,AtKaaZ,losipiuk,sprsquish,illicitonion,jfallows,jamestyrrell,izstas,gbehrmann,tianjiaguo66,94c3,spullara,mattiasrosberg,boldt,echarles,jabley,trask,cgbystrom,jrask,zhen9ao,transistorize,palmerabollo,rshelley,chavdar,mariusaeriksen,valodzka,motlin,jeffgriffith,evnm,coderunner,pfisterer,nibin,reines,fbarber,danbim,aperepel,waywardmonkeys,Rogiel,iainmcgin,wg,antlen}
@attribute requester_succ_rate numeric
@attribute followers numeric
@attribute requester_age numeric
@attribute prior_interaction_pr_comments numeric
@attribute status {0,1}

@data
0,0.040666,145224,buchgr,0.142857,27,1508,3,1
0,0.421304,144893,buchgr,0.1,27,1507,0,1
0,0.070584,144734,normanmaurer,0.673347,477,1978,348,1
0,0.075128,102967,normanmaurer,0.674044,477,1978,348,1
0,0.032267,144734,normanmaurer,0.673387,477,1978,348,1
0,0.789961,102967,normanmaurer,0.672727,477,1978,348,1
0,0.142364,102967,normanmaurer,0.672065,477,1978,348,1
0,0.039934,144733,buchgr,0.052632,27,1506,0,1
0,0.081721,144733,maxwindiff,0,1,2026,0,1
0,0.50869,144750,Scottmitch,0.136882,40,1007,240,0
0,0.116823,144750,Scottmitch,0.137405,40,1007,240,0
0,0.084903,144750,Scottmitch,0.138462,40,1007,240,0
0,0.04427,144742,mm-binary,0,2,509,0,1
0,0.279544,102961,vietj,0,145,2183,0,1
0,0.275991,102906,daschl,0.28,109,2701,2,0
0,0.626642,144635,normanmaurer,0.6714,477,1971,406,1
0,0.0394,144630,normanmaurer,0.672764,477,1971,406,0
0,0.088695,144613,mm-binary,0,2,506,0,0
0,0.077926,144613,trustin,0.705128,571,2260,200,1
0,0.360556,144613,windie,0.6875,3,1027,32,1
0,0.08887,144613,kerumai,0,9,1643,0,1
0,0.044071,144613,normanmaurer,0.672098,477,1969,388,1
0,0.348427,144613,windie,0.677419,3,1025,32,1
0,0.038589,144613,Scottmitch,0.138996,40,1001,246,0
0,0.084118,144613,Scottmitch,0.139535,40,1000,249,0
0,0.240007,144613,Scottmitch,0.140078,40,1000,249,0
0,0.042505,144623,windie,0.666667,3,1024,32,1
2,34.45969,144575,qiangjinjiu,0,0,3,0,0
0,0.089909,144575,Scottmitch,0.140625,40,998,257,0
0,0.194711,102897,johnou,0.333333,13,2067,11,1
0,0.656428,144575,Scottmitch,0.141732,40,998,256,0
0,0.34151,144581,CodingFabian,0.181818,72,2246,5,1
0,0.040706,144581,jamel,1,11,2384,1,1
0,0.038694,144581,cnapagoda,0,0,934,0,1
0,0.356277,144581,jamel,1,11,2383,1,1
0,1.045421,62783,guidomedina,1,5,1369,2,0
0,0.188082,144581,windie,0.655172,3,1018,32,1
0,0.088908,144581,Scottmitch,0.13834,40,993,245,1
0,0.343745,102898,normanmaurer,0.671429,477,1961,399,1
0,0.091406,144581,normanmaurer,0.670757,477,1960,407,1
0,0.348463,144582,Spikhalskiy,0.333333,7,1891,5,1
0,0.079654,144059,Scottmitch,0.138889,40,987,291,0
0,0.084899,144059,nmittler,0.058252,42,756,109,0
0,0.218728,143968,normanmaurer,0.670082,477,1954,455,1
0,0.082389,143968,Scottmitch,0.139442,40,985,294,0
0,0.515103,143968,rtimush,0,13,1719,0,0
0,0.038795,143905,normanmaurer,0.669405,477,1952,451,1
0,0.255703,143905,normanmaurer,0.668724,477,1952,451,1
0,0.086512,143905,normanmaurer,0.668041,477,1952,451,1
0,0.128259,143905,mosesn,0,114,2278,0,1
0,0.205256,143905,Scottmitch,0.14,40,983,301,0
0,0.042527,143905,Scottmitch,0.136546,40,983,301,1
0,0.085101,143905,Scottmitch,0.137097,40,983,301,0
0,0,143905,blucas,0.666667,1,1372,5,0
0,0.171905,143408,Karry,0,2,2065,0,1
0,0.08529,143339,Scottmitch,0.137652,40,979,285,0
0,0.223082,143303,windie,0.642857,3,1003,23,1
0,0.084247,143301,Scottmitch,0.138211,40,978,280,0
0,0.322618,143301,normanmaurer,0.669421,477,1946,439,0
0,0.342983,143301,windie,0.666667,3,1002,23,0
0,0.161844,143301,Scottmitch,0.138776,40,977,280,0
0,0.425354,143301,Scottmitch,0.139344,40,977,280,0
0,0.042606,143301,normanmaurer,0.668737,477,1945,438,1
0,0.130048,143294,Scottmitch,0.139918,40,976,301,0
0,0.169426,143198,windie,0.692308,3,997,14,0
0,0.040692,143195,windie,0.72,3,997,14,0
0,0.045657,143195,Scottmitch,0.140496,40,973,309,0
0,0.33864,143195,Scottmitch,0.141079,40,973,309,0
0,0.044621,143195,Scottmitch,0.1375,40,973,309,1
0,0.044863,143116,normanmaurer,0.66805,477,1940,458,1
0,0.043172,143116,normanmaurer,0.66736,477,1940,458,1
0,0.089205,143116,normanmaurer,0.666667,477,1940,458,1
0,0.072336,101947,normanmaurer,0.665971,477,1940,458,1
0,0.033337,143101,normanmaurer,0.665272,477,1940,458,1
0,0.221134,101947,normanmaurer,0.66457,477,1940,458,1
0,1.559677,143101,windie,0.708333,3,996,14,1
0,0.078354,143097,normanmaurer,0.663866,477,1939,474,1
0,0.03978,143044,trustin,0.701299,571,2228,153,1
0,0,143013,blucas,0.636364,1,1359,4,1
0,0.165599,143013,CodingFabian,0.1,72,2221,4,1
0,0.127994,143013,jchambers,0,18,2654,0,0
0,0.180894,143009,jiafu1115,0.333333,5,846,6,0
0,0.084797,142973,Scottmitch,0.138075,40,969,345,0
0,0.909445,142973,Scottmitch,0.138655,40,969,345,0
0,1.988299,142973,Scottmitch,0.135021,40,969,344,1
0,0.888491,142973,normanmaurer,0.663158,477,1937,456,1
0,0.264046,142973,normanmaurer,0.662447,477,1937,455,1
0,0.168956,142973,normanmaurer,0.661734,477,1937,455,1
0,0.124808,101842,normanmaurer,0.661017,477,1937,455,1
0,0.18135,142973,normanmaurer,0.660297,477,1937,455,1
0,0.321419,142973,normanmaurer,0.661702,477,1937,453,0
0,1.276965,142970,windie,0.695652,3,993,11,1
0,0.066974,101842,jiafu1115,375,5,845,6,0
0,0.035431,142970,jiafu1115,0.285714,5,845,6,1
0,0.085005,142970,travishaagen,0,0,1036,0,1
