@relation 'node-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R10,30,36,38,40,42,48,50,52,53'

@attribute files_modified numeric
@attribute asserts_per_kloc numeric
@attribute requester {eversojk,bengl,TheAlphaNerd,Fishrock123,jasnell,evanlucas,trevnorris,thlorenz,mhdawson,JacksonTian,lpinca,gareth-ellis,santigimeno,kapouer,drywolf,benjamingr,claudiorodriguez,ofrobots,tomreece,lance,bsegault,cjihrig,WebReflection,Trott,orangemocha,jbergstroem,matthewloring,thefourtheye,joaocgreis,fast0490f,FB55,rvagg,dirceu,kevinoid,mithun-daa,pittyplatsch,alexpenev-s,shigeki,svozza,watilde,phillipj,fanatid,luoziyong,fansworld-claudio,thekemkid,AndreasMadsen,whitlockjc,geek,gnash48,erg0dic,stevemao,mscdex,therewillbecode,axvm,gibm,bnoordhuis,RWOverdijk,entertainyou,othiym23,targos,princejwesley,pmuellr,omsmith,mike182uk,stefanmb,silverwind,arnav-gudibande,robertchiras,eljefedelrodeodeljefe,strawbrary,indutny,zdebyman,firedfox,billautomata,DungarMT,mcollina,zbinlin,kthelgason,vkurchatkin,ronkorving,sam-github,dnalborczyk,chrisdew,SeekTheError,kahwee,Shambhavi,estliberitas,nettofarah,pinggod,glenholmes,zkat,jray319,silentroach,kaero,Ralt,hgwood,jrit,andrewmash,mpotra,mjcuva,MrOutput,chinedufn,tristanls,dimhotepus,IgorKlopov,vaibhav93,NoahRoseLedesma,Avinash-Raj,mikeal,TriAnMan,arlolra,BridgeAR,juliepagano,braydonf,agl,ChALkeR,ncopa,imyller,iarna,a0viedo,ojss,dcposch,tflanagan,JungMinu,raineroviir,osmanager,aayn,Necromos,pra85,piepmatz,romankl,focusaurus,fdaciuk,TimothyGu,techjeffharris,lumberj,dturing,Cangit,chicoxyzzy,Qard,Jimbly,drewfish,obastemur,Chris911,felixfbecker,seokju-na,garrows,wKich,Nibbler999,kunalspathak,drjokepu,richardlau,cusspvz,pgeiss,luckduvip,MichaelTheriot,thejefflarson,exinfinitum,bryce-gibson,littledan,kohei-takata,danielsan,iWuzHere,misterdjules,zeusdeux,greenjava,zoubin,sung-su,saru95,feross,rmg,Sequoia,tomgco,daguej,barisvelioglu,richardsun29,davidvgalbraith,mafintosh,ChuckLangford,ryansobol,designfrontier,jfromaniello,bripkens,iamchenxin,jsheely,dschenkelman,nikolas,juancho1,mbarinov,setun-90,saadq,addaleax,woollybogger,Sup,ashleygwilliams,dnakamura,nicholaswyoung,chrisJohn404,Xotic750,AdriVanHoudt,skilledDeveloper,saghul,lmarkus,martinbark,gagern,yorkie,hidekiy,calvinmetcalf,joerg-krause,baloo,wurde,brycebaril,scottsb,vdemedes,Y--,jkrems,jonathanp,tangxinfa,jscissr,bsnote,gireeshpunathil,pabigot,gromnitsky,martfors,aredridel,TejasManohar,rifler,Zirak,lordjabez,srl295,yosuke-furukawa,minesworld,pmq20,jmm,DaftMonk,neilstuartcraig,thinkingdust,john-yan,hellopao,saquibkhan,hmalphettes,SPGB,mccraveiro,aks-,jas-,fredericosilva,zertosh,emilyaviva,rodmachen,suitupalex,usta,narqo,baslr,fernandezpablo85,birnam,zhangrenyang,mLuby,sitegui,ifdattic,darobin,domenic,Gum-Joe,PabloSuarez,micnic,Skomski,hemanth,calebboyd,reggi,hustxiaoc,dhodder,idoby,Martii,smith-kyle,fabiosantoscode,thorn0,dougshamoo,TooTallNate,MJefferson,pdilyard,jwueller,zyxar,brendanashworth,mareksrom,kulkarniankita,zcbenz,johannhof,sbourdelin,xiangshouding,PaulVI,brodybits,justinmchase,lfortin,mobinni,tjconcept,dgerber,mzgol,vaseker,joepie91,psharma1209,IonicaBizau,sevoma,abbr,DannyNemer,tunniclm,AhoyM,mtharrison,foliveira,daveboivin,agcolom,julianduque,viirya,akroeger1984,walkerlee,mnkhouri,charlierudolph,yoshokatana,saljam,joozek78,sambthompson,yjhjstz,jhamhader,sxa555,jasonkarns,mansona,bmeck,toddself,hertzg,socketpair,MattMS,alexrepin,skeggse,bahamas10,diversario,apechimp,jmdyck,itkoren,OleksandrChekhovskyi,wraithan,manvalls,nathan7,subzey,rlidwka,yury-s,yanxyz,martinheidegger,tellnes,3y3,monsanto,phersh,piscisaureus,Olegas,pierreinglebert,petschekr,mogadanez,sxyizhiren,dominictarr,webPapaya,m0ppers,davidtpate,skenqbx,MauriceButler,michalzagrodzki,joshgummersall,saarons,fsbatista,fhemberger,smikes,chrisdickinson,robertkowalski,mikemaccana,petkaantonov,maqnouch,ivan,enaqx,coderaiser,fastest963,ChrisYip,jomo,hoho,jekrb,standup75,danvarga,alexyursha,ajcrites,not-implemented,modeswitch,Gioyik,super-turbo,adrianblynch,tako-black,Frijol,kaspars,AlexKVal,phlco,coderhaoxin,jagoda,MayhemYDG,fengmk2,xoddong,connor4312,anio,mdarse,runeli,abbshr,Schmoopiie,fundon,laino,pesho,okuryu,blakmatrix,nkt,olov,bnb,MBullington,JCMais,SgtPooki,timoxley,nvcexploder,pmed,kenperkins,Havvy,reqshark,goto-bus-stop,shinnn,kevinmehall,emilyrose,uxp,e-jigsaw,jimmyhsu,charmander,thewazir,ceejbot,skaapgif,ryanseys,cfsghost,remixz,popomore,lllama,zerhacken,lxe,snostorm,sonewman,Demurgos,DsXack,ontouchstart,jonathanong,curtiszimmerman,mathiask88,3674823674252,seishun,a8m,pascalduez,wizicer,toastynerd,jray,sairion,qzaidi,bcbcb,drcapulet,mhart,jongyeol,pwnate,isaacs,MicTech,btd,qbit,ysmood,iamphill,RubenVerborgh,Zuckonit,mathiasbynens,haroldfredshort,chrisalley,jessecogollo,ruimarinho,fixe,crandmck,loyd,ziyunfei,caitp,Cydox,amir-s,rudi-cilibrasi,timruffles,markstos,gdi2290,teppeis,iankronquist,bajtos,rootslab,Jinkwon,algesten,srijs,alvynmcq,wizardzloy,bk2204,smcmurray,ghostbar,ahmdrefat,imjacobclark,leobalter,tkellen,kevinohara80,maraca,xjamundx,maxogden}
@attribute requester_succ_rate numeric
@attribute following numeric
@attribute main_team_member {false,true}
@attribute prior_interaction_pr_events numeric
@attribute prior_interaction_commits numeric
@attribute first_response numeric
@attribute status {0,1}

@data
1,282.427767,eversojk,0,5,false,1,11,3,0
2,282.390952,bengl,0.666667,108,false,1,7,10,0
199,258.367286,TheAlphaNerd,0.230769,145,true,81,1555,2,0
2,282.382537,Fishrock123,0.556818,17,true,37,329,2,1
5,282.382537,jasnell,0.118421,39,true,211,398,0,0
2,263.344366,evanlucas,0.634146,60,true,46,213,10,0
1,282.387996,trevnorris,0.222222,24,true,19,91,13,0
2,282.387996,thlorenz,0,26,false,1,0,9,0
2,282.387996,thlorenz,0,26,false,0,0,58,0
1,282.387996,mhdawson,0.5,4,true,14,24,-1,0
1,282.387996,Fishrock123,0.551724,17,true,35,322,0,1
1,282.387996,JacksonTian,0.071429,134,true,23,56,5,0
1,282.395307,lpinca,0.333333,15,false,4,3,1,0
1,282.395307,gareth-ellis,0,0,false,0,4,20,0
1,282.395307,lpinca,0.5,15,false,2,3,3,0
2,282.395307,lpinca,1,15,false,0,0,12,0
1,282.395307,santigimeno,0.378378,8,true,19,89,3,0
3,282.395307,kapouer,0,15,false,2,9,789,0
1,282.395307,drywolf,0,0,false,0,3,10,0
3,282.395307,kapouer,0,15,false,1,9,12,0
1,282.395307,benjamingr,0.222222,11,true,29,65,1372,0
1,282.360403,benjamingr,0.235294,11,true,24,60,253,0
1,282.360403,benjamingr,0.25,11,true,23,58,4,0
1,282.360403,claudiorodriguez,0.5,0,true,5,22,2,0
1,282.360403,eversojk,0,5,false,0,5,19,0
2,263.344366,ofrobots,0.292683,11,true,27,109,241,0
2,282.493696,Fishrock123,0.546512,17,true,34,324,19,1
1,282.485539,bengl,625,108,false,0,4,21,1
1,282.485539,mhdawson,0.470588,4,true,13,24,33,1
0,282.485539,tomreece,0,4,false,0,0,2,0
2,282.485539,lance,0.5,11,true,2,13,3,0
2,282.485539,Fishrock123,0.541176,17,true,33,321,2,1
3,282.485539,ofrobots,0.3,11,true,25,107,20,0
3,282.485539,bsegault,0,0,false,0,0,10,0
1,282.485539,cjihrig,0.338028,19,true,55,90,73,0
1,282.481279,WebReflection,0.5,1,false,4,5,23,1
2,282.481279,Trott,0.483221,41,true,298,652,567,1
2,282.47767,orangemocha,0.545455,2,true,6,11,13,0
3,282.47767,jbergstroem,0.190476,23,true,16,29,1,1
1,282.47767,matthewloring,0.181818,4,true,5,10,270,0
2,282.47767,thefourtheye,0.26506,75,true,10,22,75,0
3,263.344366,jasnell,0.12,39,true,201,405,2,0
1,282.47767,benjamingr,0.266667,11,true,21,50,56,0
13,282.480076,trevnorris,0.207547,24,true,19,91,30,1
7,282.480076,JacksonTian,0.073171,134,true,25,69,29,0
4,282.480076,ofrobots,0.307692,11,true,24,105,7,0
5,390.576928,jasnell,0.121622,39,true,207,415,2,0
0,282.480076,santigimeno,0.388889,8,true,20,95,7,0
8,446.081721,jasnell,0.123288,39,true,206,416,14,0
5,263.344366,jasnell,0.126761,39,true,204,413,209,0
1,282.480076,joaocgreis,0.684211,3,true,4,15,65,0
2,282.480076,jasnell,0.128571,39,true,199,411,32,0
4,280.402699,fast0490f,0,1,true,0,1,6,0
1,280.402699,FB55,0,46,false,0,5,2,0
2,280.402699,rvagg,0.349754,17,true,66,453,2,0
2,280.402699,jasnell,0.130435,39,true,199,409,0,0
1,280.391631,dirceu,0.5,8,true,2,14,41,0
3,280.391631,kevinoid,0.5,0,false,2,11,19,0
1,280.391631,Trott,0.489796,41,true,286,643,3,0
2,280.391631,jasnell,0.132353,39,true,198,401,7,0
2,280.375624,mithun-daa,0.5,16,true,2,17,5,0
2,280.213717,WebReflection,1,1,false,3,0,145,0
1,280.213717,mithun-daa,0,16,true,1,11,9,1
1,280.213717,pittyplatsch,0,6,false,0,0,18,0
1,280.203323,alexpenev-s,0,0,false,0,4,149,1
3,446.081721,shigeki,0.15625,7,true,16,44,0,0
2,280.203323,jbergstroem,0.177419,23,true,14,29,10,1
1,280.203323,Trott,0.491468,41,true,284,639,3127,0
2,280.203323,Trott,0.489726,41,true,283,639,914,1
1,280.203323,svozza,0,8,true,1,10,749,1
1,280.203323,claudiorodriguez,0,0,true,2,18,1049,1
1,280.203323,lance,1,11,true,1,11,81,0
31,263.057535,evanlucas,0.641975,60,true,46,190,74,0
1,280.203323,mithun-daa,0,16,true,0,5,5,0
2,280.19054,jbergstroem,0.163934,23,true,13,29,85,1
1,280.19054,watilde,1,248,true,1,1,3,0
1,280.19054,phillipj,0.111111,2,true,7,13,11,0
1,280.19054,Trott,0.487973,41,true,281,639,169,1
1,280.19054,fanatid,0,60,false,0,6,75,1
1,280.19054,benjamingr,0.214286,11,true,14,46,0,1
1,280.19054,claudiorodriguez,0,0,true,0,13,315,0
3,280.19054,watilde,0,248,true,0,1,11,1
1,280.19054,svozza,0,8,false,0,6,84,0
1,280.19054,santigimeno,0.4,8,true,19,90,56,0
0,280.13089,luoziyong,0,8,false,0,0,-1,0
1,280.13089,Trott,0.486207,41,true,281,634,14,1
1,280.13089,Trott,0.484429,41,true,280,632,8,1
1,280.13089,fansworld-claudio,0.454545,0,true,5,20,0,1
1,280.13089,thekemkid,0.2,62,false,0,5,0,1
1,280.13089,AndreasMadsen,0,57,true,2,88,4,1
1,280.13089,whitlockjc,0,5,true,0,6,5,0
1,280.13089,benjamingr,0.153846,11,true,12,38,3,1
1,280.13089,phillipj,125,2,true,4,11,2,0
1,280.13089,matthewloring,0.2,4,true,3,8,2,0
1,280.13089,geek,0.214286,28,true,6,18,3,1
1,280.13089,gnash48,0,6,false,0,0,11249,0
3,280.13089,joaocgreis,0.666667,3,true,3,11,14,1
1,280.13089,Trott,0.482639,41,true,278,628,5,1
1,280.164314,erg0dic,0,26,false,0,6,22,1
0,280.164314,cjihrig,0.328571,19,true,58,121,33,1
2,280.164314,WebReflection,0,1,false,0,0,9,1
0,280.164314,Trott,0.480836,41,true,277,627,291,1
3,280.164314,stevemao,0,335,false,1,6,27,1
0,280.164314,Trott,0.482517,41,true,277,627,4,0
1,280.164314,mscdex,0.168831,1,true,68,200,15,1
3,280.164314,Trott,0.480702,41,true,280,633,286,1
1,280.164314,jbergstroem,0.15,23,true,11,28,13,1
1,280.164314,jasnell,0.134328,39,true,193,404,1229,0
1,280.15153,TheAlphaNerd,0.236842,145,true,71,1526,49,0
18,280.15153,shigeki,0.16129,7,true,15,40,1,0
1,280.15153,Fishrock123,0.554217,17,true,34,330,16,0
1,280.15153,joaocgreis,0.647059,3,true,1,8,2,1
1,280.15153,therewillbecode,0,3,false,2,0,244,0
1,280.15153,therewillbecode,0,3,false,0,0,-1,0
1,280.15153,axvm,0,0,false,0,6,5,1
1,446.081721,gibm,0,0,true,2,6,1889,0
0,280.15153,bnoordhuis,0.791667,29,true,58,111,4,1
3,280.15153,jasnell,0.136364,39,true,188,397,3,0
2,280.15153,jasnell,0.138462,39,true,187,396,2,0
1,280.15153,santigimeno,0.382353,8,true,19,85,18,1
1,280.15153,jbergstroem,0.135593,23,true,9,23,8,1
7,280.15153,jasnell,0.140625,39,true,186,393,1,0
1,280.15153,Trott,0.482394,41,true,281,629,4,0
2,280.15153,matthewloring,0.222222,4,false,3,7,29,0
1,280.143008,Trott,0.484099,41,true,280,629,40,0
1,280.143008,RWOverdijk,0,26,false,0,0,1,0
3,280.143008,jasnell,0.142857,39,true,182,388,12,0
3,280.143008,entertainyou,0,14,false,1,8,66,1
273,446.081721,othiym23,0.142857,32,false,1,0,5,0
