@relation 'okhttp-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,6,7,8,24,36,37,42,46,48,50,52,53'

@attribute forward_links {false,true}
@attribute description_length numeric
@attribute num_commits numeric
@attribute files_added numeric
@attribute prev_pull_reqs_project numeric
@attribute requester {swankjesse,dave-r12,morder,mattlogan,nfuller,alexrwegener,NightlyNexus,reisub,JakeWharton,SpikeKing,mreichelt,nxtstep,franmontiel,chadbrubaker,lh62863,iNoles,gkimbwala,pforhan,tasomaniac,artem-zinnatullin,jgilfelt,ChristianBecker,topwu,moltak,austynmahoney,lburgazzoli,twbarber,cswzxly,yschimke,jonan,adstro,rburgst,TOdorus,SuriyaaKudoIsc,0xced,chaitanyajun12,rnauber,AhmedDaraz,alexeimoisseev,javedkansi,sunyal,timcooijmans,rfc2822,thest1,markhobson,ErikHellman,drorweiss,marenzo,iagreen,RasKasa,ansman,cketti,KENJU,felipecsl,JasperG,snodnipper,mgp,dmoneyUK,jwriteclub,vicmosin,pguilbot,MichaelEvans,minakov,halizton,gfx,duanhongyi,the4thfloor,GUIpsp,Wopple,pwerry,yegorius,peknudsen,Ponyets,deronbrown,alokmenghrajani,unguiculus,StephenBarlow,wjam,HugoGresse,nfukuzaki,circlespainter,ajwhite,kryali,quinnjn,kenmasumitsu,lalbuquerque,aried3r,hiddenmin,cy6erGn0m,adriancole,nashira,dmide,longbai,ipsi,busylee999,klyubin,mikevoyt,kboyarshinov,raggi,brennantaylor,jbornemann,joschi,alfishe,josketres,mruddy,marshallpierce,dcheckoway,yelinaung,tomxor,LaLiLuLeLo,davidschreiber,bendog24,mescortes,mpost,seato,DanGe42,baldur,dlubarov,tomrozb,lcolitti,hostinmars,westarle,BugsBunnyBR,fbiville,andrewgaul,mlc,MiguelLavigne,kkocel,lexer,anderius,indutny,robUx4,nmittler,ross,fizbin,goaway,rtyley,takke,adamsp,normanmaurer,marco-cova,intrications,lingmingyb,hwrdprkns,nacx,carck,pablolb,xiaobi625,JonWatson,rupertbates,everett-toews,desseim,aahlenst,romkavt,narayank,vmarko,menny,kriswuollett,kruton,candrews,edenman,orrc}
@attribute prev_pullreqs numeric
@attribute main_team_member {true,false}
@attribute prior_interaction_issue_events numeric
@attribute prior_interaction_pr_events numeric
@attribute prior_interaction_commits numeric
@attribute first_response numeric
@attribute status {0,1}

@data
false,7,1,0,1239,swankjesse,604,true,149,120,233,-1,1
false,24,1,0,1237,dave-r12,6,true,7,6,3,179,1
false,110,1,0,1233,dave-r12,5,true,6,5,2,8501,1
false,10,2,0,1232,morder,0,false,0,0,0,212,0
false,193,4,0,1231,mattlogan,0,false,0,0,1,172,1
false,35,1,0,1230,nfuller,62,false,1,0,0,-1,1
false,8,5,0,1229,alexrwegener,0,false,0,0,1,32,1
false,8,2,1,1227,swankjesse,603,true,161,153,275,-1,0
false,29,1,0,1226,dave-r12,4,true,4,4,1,-1,1
false,64,2,0,1225,dave-r12,3,true,4,3,1,154,1
false,35,1,0,1224,swankjesse,602,true,160,152,275,-1,1
false,31,2,0,1223,swankjesse,601,true,160,150,271,0,1
false,7,2,0,1222,swankjesse,600,true,161,148,270,245,1
false,29,1,1,1221,swankjesse,599,true,155,147,268,-1,1
false,56,2,1,1219,swankjesse,598,true,156,146,267,0,1
false,4,1,0,1218,swankjesse,597,true,156,150,270,26,1
false,6,1,0,1217,NightlyNexus,4,false,0,2,1,-1,1
false,3,1,0,1216,reisub,0,false,0,0,0,-1,1
false,2,2,0,1215,NightlyNexus,3,false,0,1,1,0,1
false,26,1,0,1214,swankjesse,596,true,157,156,274,-1,1
false,9,1,0,1213,swankjesse,595,true,154,155,271,1,1
false,7,2,3,1212,swankjesse,594,true,154,156,265,-1,0
false,13,1,0,1211,swankjesse,593,true,154,155,265,37,1
false,38,2,3,1210,swankjesse,592,true,153,155,265,0,1
false,9,5,3,1209,swankjesse,591,true,152,155,258,12,0
false,8,1,0,1208,swankjesse,590,true,152,154,254,-1,1
false,30,2,0,1207,JakeWharton,204,true,58,91,120,127,1
false,2,1,0,1206,SpikeKing,0,false,0,0,0,-1,0
false,78,1,0,1205,swankjesse,589,true,157,164,266,105,1
false,47,1,3,1204,swankjesse,588,true,160,166,270,0,1
false,30,2,0,1203,dave-r12,2,false,4,2,0,3,1
false,10,2,0,1202,NightlyNexus,2,false,0,0,0,0,1
false,7,1,0,1201,mreichelt,0,false,1,0,0,-1,1
false,7,1,0,1200,nxtstep,0,false,0,0,0,-1,1
false,74,1,0,1199,swankjesse,587,true,185,167,270,0,1
false,80,3,0,1198,franmontiel,0,false,0,0,0,86,1
false,29,1,1,1197,swankjesse,586,true,181,166,273,-1,1
false,58,3,1,1196,chadbrubaker,0,false,1,0,1,1032,1
false,6,1,1,1195,lh62863,0,false,0,0,0,-1,0
false,10,2,0,1194,swankjesse,585,true,176,165,273,-1,1
false,15,1,0,1193,dave-r12,1,false,3,1,0,187,1
false,7,2,0,1192,dave-r12,0,false,3,0,0,6,1
false,14,1,0,1191,iNoles,2,false,1,3,0,-1,1
false,29,2,0,1190,swankjesse,584,true,176,160,268,21,1
false,5,1,0,1189,gkimbwala,0,false,0,0,0,-1,1
false,9,1,0,1188,swankjesse,583,true,171,158,262,10,1
false,9,2,0,1187,pforhan,1,false,0,0,0,0,1
false,5,1,0,1186,tasomaniac,0,false,0,0,0,-1,1
false,18,2,0,1185,swankjesse,582,true,166,154,254,5,1
false,51,1,0,1184,swankjesse,581,true,164,152,251,-1,1
false,9,2,0,1183,swankjesse,580,true,164,151,250,7,1
false,5,2,0,1182,JakeWharton,203,true,46,86,109,18,1
false,42,2,1,1181,artem-zinnatullin,2,true,0,0,1,2,0
false,17,1,0,1180,jgilfelt,1,false,0,0,0,324,1
false,10,7,0,1179,iNoles,1,false,0,1,0,2,0
false,4,1,0,1178,ChristianBecker,3,false,0,0,0,-1,1
false,24,1,1,1177,topwu,0,false,0,0,0,493,0
false,17,1,0,1176,moltak,1,false,0,1,0,-1,1
false,10,1,0,1175,moltak,0,false,0,0,0,-1,1
false,9,1,0,1172,austynmahoney,0,false,3,0,0,-1,1
false,6,1,0,1171,JakeWharton,202,true,44,86,110,9,1
false,78,3,0,1170,lburgazzoli,0,false,0,0,0,861,1
false,9,1,0,1169,JakeWharton,201,true,43,85,109,-1,1
false,6,2,0,1168,swankjesse,577,true,155,143,234,131,1
false,8,1,0,1167,swankjesse,576,true,156,142,223,-1,1
false,5,2,1,1166,swankjesse,575,true,156,141,221,2,1
false,19,2,0,1165,swankjesse,574,true,141,140,216,0,1
false,25,2,0,1164,swankjesse,573,true,141,139,211,-1,1
false,16,1,0,1163,swankjesse,572,true,141,138,208,-1,1
false,8,1,0,1162,swankjesse,571,true,140,137,207,-1,1
false,53,1,0,1161,swankjesse,570,true,140,135,200,-1,1
false,32,1,0,1160,swankjesse,569,true,140,133,198,0,1
false,32,1,0,1159,swankjesse,568,true,141,132,198,0,1
false,35,2,0,1158,swankjesse,567,true,140,132,196,1414,1
false,123,2,1,1157,swankjesse,566,true,140,130,189,47,1
false,88,1,1,1156,swankjesse,565,true,140,129,186,-1,1
false,11,2,0,1155,swankjesse,564,true,140,128,185,28,1
false,10,1,0,1154,iNoles,0,false,0,0,0,84,0
false,16,1,0,1153,swankjesse,563,true,141,126,183,-1,1
false,5,2,0,1152,swankjesse,562,true,141,125,181,17,1
false,11,2,0,1151,JakeWharton,200,true,41,73,96,139,1
false,20,1,0,1150,twbarber,0,false,0,0,0,-1,1
false,6,2,2,1149,swankjesse,561,true,140,122,177,27,1
false,6,2,0,1148,swankjesse,560,true,138,127,177,-1,1
false,27,2,3,1147,swankjesse,559,true,136,125,174,2,1
false,30,1,0,1146,swankjesse,558,true,134,124,172,-1,1
false,29,2,0,1145,swankjesse,557,true,134,123,171,19,1
false,10,1,1,1144,swankjesse,556,true,134,122,169,-1,1
