@relation 'pouchdb-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,14,17,36,44,53'

@attribute forward_links {false,true}
@attribute other_files numeric
@attribute new_entropy numeric
@attribute requester {pgte,greenkeeperio-bot,d0ugal,nolanlawson,daleharvey,adamlofts,tangollama,cdaringe,nickcolley,unpete,AntonioVdlC,tonylukasavage,iivvoo,garethbowen,Hypercubed,dahjelle,mroeder,sgenoud,beardicus,jacwright,bbenezech,anaran,pixelistik,willholley,KlausTrainer,Arslanbekov,fivetanley,daedlock,joshblour,RichiH,tmct,fiatjaf,mudcube,jerem,EuAndreh,wheresrhys,filoozom,garrensmith,wilk,lupomontero,rubensayshi,carloshanson,stephenlautier,bdchauvette,janraasch,swashcap,Charlotteis,mwksl,tohagan,colinskow,adamvert,ermouth,ntwcklng,scottmtp,omsmith,robertkowalski,denis-sokolov,nicolasbrugneaux,olafura,karolklp,mattbailey,Dashed,bedney,karlwestin,michalchochol,sirkitree,calvinmetcalf,kkirsche,jhs,victorkohl,slaskis,marten-de-vries,janl,nichoth,thriqon,suziwen,mainakae,yaronyg,dholth,AGBrown,jo,gr2m,viskin,alax,neojski,RichardLitt,sphaso,ronag,jjd314,oliviertassinari,yungchin,svnlto,cyrusbowman,ialbescu,jchris,tannerlinsley,tOkeshu,shimaore,slang800,tyler-johnson,JakeChampion,jez0990,rsutphin,BigBlueHat,gabrielnau,glynnbird,robertkeizer,lokeshj,anubes19,backspace,tomsun,KSchreyer,rudasn,jacargentina,cschwarz,webinista,runlevelsix,gitter-badger,yurtaev,vvo,ktarasz,azu,tomraithel,ahizzle,redgeoff,refractalize,runetvilum,frankrousseau,ssured,desertzebra,commandoline,PeterDaveHello,explorigin,ajkerrigan,dereke,guglie,redtrumpet,jprichardson,haustraliaer,bmihelac,klaemo,falmp,mdebski,yunhaia,qs44,adamshih,ig3,trokster,erikwaing,jtbarker,davedoesdev,valotas,krists,saubaer,vw52,virgie,sygi}
@attribute req_follows_integrator {false,true}
@attribute status {0,1}

@data
false,0,4.656491,pgte,false,1
false,1,4.197506,greenkeeperio-bot,false,1
false,0,4.387473,d0ugal,false,1
false,0,4.896392,nolanlawson,true,1
false,1,4.240691,greenkeeperio-bot,false,1
false,1,4.682216,greenkeeperio-bot,false,1
false,0,5.00234,daleharvey,false,1
false,0,4.54331,adamlofts,false,1
false,1,4.248252,greenkeeperio-bot,false,1
false,1,4.260993,greenkeeperio-bot,false,1
false,1,4.190117,greenkeeperio-bot,false,1
false,1,4.680078,greenkeeperio-bot,false,1
false,1,4.674954,greenkeeperio-bot,false,1
false,1,4.239893,greenkeeperio-bot,false,1
false,1,4.247855,greenkeeperio-bot,false,1
false,4,47.729166,nolanlawson,false,1
false,1,5.285986,daleharvey,false,1
false,1,4.257689,greenkeeperio-bot,false,1
false,1,4.681653,greenkeeperio-bot,false,1
false,1,4.68792,greenkeeperio-bot,false,1
false,1,4.680695,greenkeeperio-bot,false,0
false,0,4.687142,tangollama,false,1
false,1,4.674449,greenkeeperio-bot,false,1
false,1,4.667879,greenkeeperio-bot,false,0
false,1,4.667879,greenkeeperio-bot,false,0
false,0,4.93124,cdaringe,false,1
false,0,19.607851,daleharvey,false,1
false,2,5.37682,nickcolley,true,1
false,1,4.384449,greenkeeperio-bot,false,1
false,0,9.18064,unpete,false,0
false,1,5.160882,daleharvey,false,1
false,0,4.692406,AntonioVdlC,false,1
false,0,26.710279,nickcolley,true,1
false,1,4.370486,greenkeeperio-bot,false,1
false,1,4.4033,greenkeeperio-bot,false,1
false,1,4.369534,greenkeeperio-bot,false,1
false,1,4.370585,greenkeeperio-bot,false,0
false,2,226.05713,nolanlawson,true,1
false,0,4.94127,tonylukasavage,false,1
false,1,10.565023,daleharvey,false,1
false,1,4.38522,greenkeeperio-bot,false,1
false,1,4.183513,greenkeeperio-bot,false,1
false,1,4.709235,iivvoo,false,1
false,0,4.148427,daleharvey,false,1
false,1,4.311305,greenkeeperio-bot,false,1
false,0,18.761273,garethbowen,false,1
false,0,4.664764,Hypercubed,false,1
false,0,52.117423,nolanlawson,true,1
false,6,226.504657,daleharvey,false,1
false,0,24.085815,nolanlawson,true,1
false,0,4.892508,nolanlawson,true,1
false,0,102.279761,nolanlawson,false,1
false,1,4.342504,greenkeeperio-bot,false,1
false,1,4.369932,greenkeeperio-bot,false,1
false,1,4.673074,greenkeeperio-bot,false,1
false,1,4.672439,greenkeeperio-bot,false,0
false,1,4.617619,greenkeeperio-bot,false,0
false,0,4.342922,dahjelle,false,1
false,0,9.275598,mroeder,false,1
false,1,4.167406,greenkeeperio-bot,false,1
false,1,4.256924,greenkeeperio-bot,false,1
false,1,4.680695,greenkeeperio-bot,false,1
false,1,4.678204,greenkeeperio-bot,false,0
false,2,9.217814,sgenoud,false,0
false,1,4.342504,greenkeeperio-bot,false,1
false,1,4.363792,greenkeeperio-bot,false,1
false,1,4.391911,greenkeeperio-bot,false,1
false,1,27.31498,nolanlawson,false,1
false,1,4.331832,greenkeeperio-bot,false,1
false,0,4.657361,nolanlawson,true,1
false,1,4.28212,greenkeeperio-bot,false,1
false,1,9.291446,nolanlawson,true,1
false,1,4.30369,greenkeeperio-bot,false,1
false,1,4.215107,greenkeeperio-bot,false,1
