@relation 'pulp-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R6,20,29,38,39,40,42,46,50,51,52,53'

@attribute description_length numeric
@attribute commits_to_hottest_file numeric
@attribute test_cases_per_kloc numeric
@attribute requester_succ_rate numeric
@attribute followers numeric
@attribute following numeric
@attribute main_team_member {true,false}
@attribute prior_interaction_issue_events numeric
@attribute prior_interaction_commits numeric
@attribute prior_interaction_commit_comments numeric
@attribute first_response numeric
@attribute status {0,1}

@data
10,0,97.714369,0.877049,5,0,true,0,45,0,-1,1
26,18,97.714369,0.941558,7,2,true,0,62,0,-1,1
8,15,97.714369,965,9,0,true,0,9,0,43,1
26,43,97.714369,0.925926,6,0,true,0,17,0,-1,1
8,42,97.714369,925,6,0,true,0,17,0,-1,1
3,42,97.714369,0.924051,6,0,true,0,17,0,-1,1
5,7,97.714369,0.923077,6,0,true,0,17,0,-1,1
22,38,97.714369,0.831325,18,12,true,0,33,0,7,0
11,2,97.714369,0.964824,9,0,true,0,11,0,5,1
12,43,97.714369,0.946667,13,3,true,0,37,0,3887,1
37,18,97.836861,0.941176,7,2,true,0,72,0,14,1
123,49,97.836861,0.952096,18,0,true,0,24,0,-1,1
41,3,97.851124,0.830303,18,12,true,0,39,0,10,1
45,3,97.851124,0.829268,18,12,true,0,39,0,4,1
45,51,97.851124,0.828221,18,12,true,0,39,0,-1,1
62,37,97.851124,0.940789,7,2,true,0,71,0,1089,1
18,6,97.851124,0.922078,6,0,true,0,21,0,9,1
13,7,97.851124,0.951807,18,0,true,0,29,0,-1,1
81,6,97.851124,0.951515,18,0,true,0,28,0,-1,1
8,46,97.851124,0.951768,11,0,true,0,27,0,-1,1
6,50,97.851124,0.921053,6,0,true,0,21,0,-1,1
28,7,97.851124,0.821429,7,2,true,0,30,0,-1,1
52,2,97.851124,0.814815,7,2,true,0,30,0,-1,1
7,46,97.851124,0.946548,13,3,true,0,39,0,1,1
102,24,97.821332,0.940397,7,2,true,0,75,0,5434,1
32,24,97.821332,0.82716,18,12,true,0,40,0,-1,1
22,5,97.821332,0.946429,13,3,true,0,39,0,0,1
53,24,99.500199,0.95122,18,0,true,0,36,0,-1,1
6,43,97.947026,0.946309,13,3,true,0,35,0,13,1
22,43,97.947026,0.946188,13,3,true,0,35,0,-1,1
45,11,97.947026,0.946067,13,3,true,0,35,0,135,1
44,17,97.947026,0.94,7,2,true,0,75,0,-1,1
46,17,97.947026,0.807692,7,2,true,0,27,0,-1,1
40,54,97.947026,0.951613,11,0,true,0,25,0,15,1
33,18,97.947026,0.939597,7,2,true,0,75,0,-1,1
24,5,97.947026,0.939189,7,2,true,0,75,0,1005,1
5,0,97.947026,0.8,7,2,true,0,27,0,165,1
19,1,97.947026,0.823529,10,13,true,0,4,0,284,1
4,0,97.947026,0.826087,18,12,true,0,38,0,-1,1
9,52,97.949886,0.95092,18,0,true,0,35,0,-1,1
28,11,97.860041,0.964646,9,0,true,0,12,0,22,1
10,17,97.865756,0.950617,18,0,true,0,34,0,12,1
3,3,97.865756,0.92,6,0,true,0,22,0,17,1
11,3,97.865756,0.950311,18,0,true,0,32,0,-1,1
4,47,97.865756,0.918919,6,0,true,0,22,0,-1,1
13,5,97.902915,0.95,18,0,true,0,31,0,-1,1
11,45,97.902915,0.949686,18,0,true,0,30,0,-1,1
35,0,97.902915,0.964467,9,0,true,0,12,0,1153,1
14,10,97.902915,1,0,0,true,0,8,0,151,0
7,0,97.905774,0.917808,6,0,true,0,19,0,-1,1
293,3,97.905774,0.949367,18,0,true,0,30,0,1159,1
11,59,97.905774,0.876033,5,0,true,0,53,0,-1,1
68,46,97.871471,0.916667,6,0,true,0,21,0,26,1
15,11,99.500199,0.869565,1,0,true,0,15,0,-1,1
15,14,97.871471,825,18,12,true,0,38,0,-1,1
10,22,97.871471,0.945946,13,3,true,0,35,0,27,1
144,41,97.871471,0.791667,7,2,true,0,27,0,5,1
11,5,97.871471,0.909091,1,0,true,0,15,0,26,0
37,14,97.806082,0.945824,13,3,true,0,32,0,55,1
6,9,97.806082,0.945701,13,3,true,0,32,0,261,1
60,11,97.806082,0.938776,7,2,true,0,75,0,284,1
65,9,97.806082,0.5,9,15,true,0,1,0,0,1
8,4,97.806082,1,0,0,true,0,6,0,-1,1
13,48,97.806082,0.8125,10,13,true,0,2,0,18,1
6,11,97.806082,0.938356,7,2,true,0,77,0,4441,1
7,12,97.806082,0.937931,7,2,true,0,78,0,4553,1
41,16,97.806082,0.9375,7,2,true,0,79,0,4410,1
62,0,97.806082,0.937063,7,2,true,0,79,0,149,1
8,57,97.806082,0.93662,7,2,true,0,79,0,-1,1
13,48,97.806082,0.823899,18,12,true,0,42,0,6130,1
7,20,97.782582,0.945578,13,3,true,0,31,0,1311,1
39,14,97.782582,0.93617,7,2,true,0,77,0,935,1
51,0,99.500199,0.949045,18,0,true,0,27,0,1,1
11,43,97.782582,0.935714,7,2,true,0,76,0,-1,1
50,5,97.782582,0.826087,7,2,true,0,25,0,-1,0
10,11,99.500199,0.952381,1,0,true,0,15,0,-1,0
49,41,97.8048,0.951456,11,0,true,0,25,0,1045,1
15,10,97.8048,1,0,0,true,0,5,0,10,1
70,9,97.8048,0.935252,7,2,true,0,75,0,11,1
28,8,99.500199,0.95,1,0,true,0,13,0,20,1
40,24,97.819733,0.945455,13,3,true,0,31,0,-1,1
40,10,97.819733,0.934783,7,2,true,0,74,0,-1,1
6,7,97.819733,0.94533,13,3,true,0,30,0,39,1
6,9,97.801298,0.945205,13,3,true,0,30,0,-1,1
16,27,99.500199,0.947368,1,0,true,0,12,0,47,1
110,7,97.801298,0.333333,9,15,true,0,1,0,0,1
17,2,97.745021,0.934307,7,2,true,0,71,0,153,1
45,8,97.745021,0.933824,7,2,true,0,71,0,22,1
64,3,97.745021,0.933333,7,2,true,0,71,0,3187,1
70,42,97.745021,0.932836,7,2,true,0,71,0,187,1
16,5,97.745021,0.822785,18,12,true,0,46,0,6,1
12,8,97.745021,875,5,0,true,0,58,0,92,1
13,46,97.816543,0.821656,18,12,true,0,44,0,81,1
10,23,99.500199,0.944444,1,0,true,0,10,0,7,1
16,8,97.816543,1,0,0,true,0,4,0,-1,1
10,23,99.500199,0.941176,1,0,true,0,10,0,15,1
86,38,97.816543,0.951299,11,0,true,0,27,0,741,1
22,47,97.810817,0.932331,7,2,true,0,69,0,-1,1
32,21,99.500199,0.9375,1,0,true,0,9,0,-1,1
7,19,99.500199,0.933333,1,0,true,0,8,0,-1,1
36,3,97.810817,0.931818,7,2,true,0,69,0,-1,1
43,0,97.825132,0.938931,7,2,true,0,68,0,-1,0
47,8,97.920937,0.938462,7,2,true,0,67,0,-1,1
21,8,97.920937,0.95114,11,0,true,0,26,0,597,1
24,7,97.920937,1,36,36,false,0,0,0,0,1
11,15,97.920937,0.8,10,13,true,0,2,0,14,1
27,6,97.920937,0,36,36,false,0,0,0,0,1
35,3,97.920937,0.937984,7,2,true,0,65,0,-1,1
21,41,97.734249,0.9375,7,2,true,0,64,0,13,1
54,6,97.710727,0.937008,7,2,true,0,64,0,1,1
5,37,97.653736,0.87395,5,0,true,0,53,0,-1,1
81,37,97.628111,0.94508,13,3,true,0,23,0,-1,1
23,15,97.628111,0.936508,7,2,true,0,65,0,7264,1
53,21,97.633829,0.872881,5,0,true,0,51,0,999,1
69,7,97.571692,0.871795,5,0,true,0,49,0,48,1
61,1,97.515965,936,7,2,true,0,64,0,5,1
66,17,99.500199,0.948718,18,0,true,0,25,0,-1,1
38,14,97.524535,0.935484,7,2,true,0,62,0,1318,1
70,3,97.524535,0.934959,7,2,true,0,61,0,-1,1
55,51,97.518094,0.87069,5,0,true,0,50,0,5,1
11,37,97.520952,0.944954,13,3,true,0,23,0,4477,1
18,0,97.524535,0.95098,11,0,true,0,27,0,-1,1
13,17,97.520952,0.820513,18,12,true,0,42,0,53,1
10,4,97.520952,1,0,0,true,0,3,0,-1,1
33,3,97.520952,0.819355,18,12,true,0,42,0,-1,1
9,19,97.462345,0.824675,18,12,true,0,40,0,1664,0
3,50,97.462345,0.823529,18,12,true,0,38,0,-1,1
7,0,97.462345,0.818182,7,2,true,0,23,0,-1,1
8,4,97.462345,0.822368,18,12,true,0,38,0,15,1
21,20,97.45949,0.944828,13,3,true,0,23,0,5,1
39,19,97.45949,0.821192,18,12,true,0,35,0,95,1
21,6,99.500199,0.82,18,12,true,0,35,0,-1,1
7,11,97.45949,0.934426,7,2,true,0,63,0,-1,1
14,25,97.456508,0.933884,7,2,true,0,62,0,-1,1
23,6,97.456508,0.948387,18,0,true,0,25,0,14,1
6,5,97.39059,0.9447,13,3,true,0,22,0,356,1
10,12,97.39059,0.915493,6,0,true,0,23,0,-1,1
51,49,97.396307,0.809524,7,2,true,0,22,0,3,1
15,0,97.447796,0.785714,10,13,true,0,1,0,-1,1
70,15,97.447796,0.8,7,2,true,0,21,0,1,1
8,2,95.995698,0.95082,11,0,true,0,28,0,-1,1
38,5,97.447796,0.933333,7,2,true,0,60,0,-1,1
51,49,97.447796,0.944573,13,3,true,0,21,0,1271,1
42,47,97.459245,0.932773,7,2,true,0,59,0,12,1
30,7,97.459245,0.940678,7,2,true,0,59,0,16,0
13,2,97.459245,1,0,0,true,0,1,0,1341,1
16,0,97.464971,0.769231,10,13,false,0,0,0,-1,1
49,46,97.464971,0.940171,7,2,true,0,58,0,-1,1
24,8,97.333177,0.928571,1,0,true,0,6,0,129,1
17,10,97.333177,1,0,0,false,0,0,0,312,1
9,2,97.333177,0.939655,7,2,true,0,59,0,-1,1
19,21,97.336035,0,0,0,false,0,0,0,32,1
62,11,97.336035,0.948052,18,0,true,0,28,0,8,1
31,38,97.336035,0.944444,13,3,true,0,24,0,6,1
19,16,97.336035,0.923077,1,0,true,0,5,0,728,1
28,45,98.244172,0.93913,7,2,true,0,58,0,21,1
34,57,98.244172,0.916667,1,0,true,0,4,0,25,1
7,8,98.244172,0.869565,5,0,true,0,71,0,-1,1
6,34,98.244172,0.938596,7,2,true,0,58,0,-1,1
97,1,98.244172,0.950658,11,0,true,0,28,0,972,1
8,0,98.244172,0.938053,7,2,true,0,59,0,-1,1
45,9,98.244172,0.868421,5,0,true,0,68,0,-1,1
40,41,98.283565,0.9375,7,2,true,0,56,0,12,1
42,17,98.283565,0.789474,7,2,true,0,20,0,72,1
8,11,98.283565,0.818792,18,12,true,0,42,0,-1,1
8,41,98.320638,0.867257,5,0,true,0,67,0,-1,1
42,3,98.320638,0.909091,1,0,true,0,4,0,-1,1
9,5,98.320638,0.914286,6,0,true,0,27,0,-1,1
4,1,98.308077,0.913043,6,0,true,0,26,0,-1,1
92,17,98.308077,0.944316,13,3,true,0,26,0,-1,1
122,54,98.308077,0.777778,7,2,true,0,19,0,13,1
45,5,98.28632,0.964286,9,0,true,0,26,0,-1,1
10,0,98.225583,0.944186,13,3,true,0,23,0,2,1
7,0,98.225583,0.944056,13,3,true,0,23,0,-1,1
3,3,98.225583,0.943925,13,3,true,0,23,0,12,1
8,0,98.225583,0.943794,13,3,true,0,23,0,25,1
3,6,98.175397,0.950495,11,0,true,0,30,0,-1,1
44,30,98.175397,0.936937,7,2,true,0,60,0,-1,1
47,23,98.175397,0.964103,9,0,true,0,26,0,-1,1
5,35,98.557905,0.764706,7,2,true,0,18,0,0,1
29,13,98.569533,0.936364,7,2,true,0,61,0,20,1
47,39,98.569533,0.9,1,0,true,0,3,0,21,1
55,8,98.497644,0.93578,7,2,true,0,61,0,21,1
7,30,98.497644,0.947712,18,0,true,0,27,0,93,1
6,3,98.497644,0.947368,18,0,true,0,27,0,3097,1
7,21,98.441297,0.963918,9,0,true,0,26,0,221,1
30,65,98.441297,0.935185,7,2,true,0,66,0,4,1
41,7,98.441297,0.824324,18,12,true,0,58,0,1018,0
14,19,98.441297,0.963731,9,0,true,0,26,0,-1,1
10,35,98.441297,0.888889,1,0,true,0,2,0,12,1
7,19,98.441297,0.866071,5,0,true,0,120,0,10,1
8,12,98.805065,0.934579,7,2,true,0,63,0,-1,1
24,10,98.808002,0.933962,7,2,true,0,62,0,0,1
41,60,98.799192,0.933333,7,2,true,0,61,0,9,1
9,60,98.799192,0.950331,11,0,true,0,52,0,109,1
9,0,95.246812,875,1,0,false,0,0,0,-1,1
7,0,99.576531,0.864865,5,0,true,0,121,0,-1,1
18,0,95.252624,0.857143,1,0,false,0,0,0,29,1
26,21,99.576531,0.94702,18,0,true,0,28,0,-1,1
8,0,95.238095,0.8125,7,2,true,0,18,0,65,0
8,22,95.238095,0.943662,13,3,true,0,48,0,3888,1
2,29,95.238095,0.950166,11,0,true,0,52,0,8,1
26,36,98.730942,0.95,11,0,true,0,50,0,-1,1
46,6,95.238095,0.823129,18,12,true,0,56,0,42,1
42,58,98.730942,0.949833,11,0,true,0,50,0,-1,1
113,4,95.238095,0.8,7,2,true,0,17,0,59269,1
5,24,95.24971,0.863636,5,0,true,0,120,0,-1,1
26,5,95.24971,0.857143,7,2,true,0,17,0,4,0
9,24,95.24971,0.923077,7,2,true,0,17,0,672,0
42,21,95.336914,0.943529,13,3,true,0,49,0,-1,1
5,6,95.336914,0.943396,13,3,true,0,49,0,-1,1
35,2,95.336914,0.932692,7,2,true,0,56,0,86,1
10,6,95.336914,0.963542,9,0,true,0,27,0,-1,1
48,7,95.339824,0.949664,11,0,true,0,49,0,17,1
49,17,95.339824,0.821918,18,12,true,0,63,0,6,1
32,18,95.670943,0.932039,7,2,true,0,55,0,1206,1
37,31,99.415378,0.931373,7,2,true,0,54,0,435,1
17,0,95.670943,0.862385,5,0,true,0,125,0,9,1
41,0,99.415378,0.930693,7,2,true,0,54,0,-1,1
4,16,95.768306,0.943262,13,3,true,0,48,0,46,1
29,13,95.768306,0.82069,18,12,true,0,63,0,2538,1
8,16,95.768306,0.943128,13,3,true,0,48,0,-1,1
32,22,95.782876,0.93,7,2,true,0,54,0,2855,1
25,25,95.782876,0.916667,7,2,true,0,16,0,52,1
30,51,99.415378,0.929293,7,2,true,0,52,0,-1,1
7,2,95.834476,0.819444,18,12,true,0,65,0,4111,1
11,16,95.834476,0.928571,7,2,true,0,52,0,-1,1
37,16,95.834476,0.927835,7,2,true,0,52,0,4269,1
72,22,95.834476,0.927083,7,2,true,0,51,0,2777,1
68,8,95.791046,0.963351,9,0,true,0,24,0,-1,1
49,8,95.791046,0.963158,9,0,true,0,24,0,0,1
13,12,95.791046,0.962963,9,0,true,0,24,0,-1,1
78,29,95.791046,0.968085,9,0,true,0,24,0,-1,0
50,2,95.791046,0.909091,7,2,true,0,15,0,3573,1
23,18,98.121722,0.942584,13,3,true,0,47,0,853,1
100,8,98.121722,0.861111,5,0,true,0,134,0,88,1
34,11,98.121722,0.946667,18,0,true,0,28,0,912,1
37,27,98.012881,0.816901,18,12,true,0,61,0,25,1
10,3,98.012881,0.942446,13,3,true,0,43,0,131,1
272,48,97.705249,0.949324,11,0,true,0,42,0,31,1
39,15,98.000916,0.924731,7,2,true,0,46,0,-1,1
70,12,98.000916,0.942308,13,3,true,0,42,0,-1,1
92,20,99.594868,0.888889,7,2,true,0,8,0,10,1
103,6,95.829243,875,7,2,true,0,8,0,15,1
103,25,98.000916,1,7,2,true,0,8,0,0,0
6,14,98.000916,0.942169,13,3,true,0,42,0,-1,1
7,0,96.010882,0.859813,5,0,true,0,126,0,3954,1
28,3,99.137799,0.942029,13,3,true,0,41,0,-1,1
92,3,99.137799,0.941889,13,3,true,0,41,0,32,1
