@relation 'rosdistro-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,8,33,44,52,53'

@attribute forward_links {false,true}
@attribute files_added numeric
@attribute project_age numeric
@attribute req_follows_integrator {false,true}
@attribute first_response numeric
@attribute status {0,1}

@data
false,0,1525,false,1,1
false,0,1525,false,1,1
false,0,1525,false,-1,1
false,0,1525,false,-1,1
false,0,1525,true,98,1
false,0,1525,false,-1,1
false,0,1524,false,-1,1
false,0,1524,false,-1,1
false,0,1524,false,-1,1
false,0,1524,false,-1,1
false,0,1524,false,-1,1
false,0,1523,false,-1,1
false,0,1523,false,-1,1
false,0,1523,false,-1,1
false,0,1523,false,-1,1
false,0,1523,false,-1,0
false,0,1523,false,-1,1
false,0,1523,false,-1,1
false,0,1522,false,9,1
false,0,1522,false,-1,1
false,0,1521,false,-1,1
true,0,1521,false,4,0
false,0,1521,false,4282,1
false,0,1521,false,1,1
false,0,1521,false,-1,1
false,0,1521,false,1,1
false,0,1521,false,66,1
false,0,1521,false,-1,1
false,0,1521,false,2,1
false,0,1521,false,-1,1
false,0,1520,false,-1,1
false,0,1520,false,-1,1
false,0,1520,true,15,1
false,0,1520,false,-1,1
false,0,1520,false,0,1
false,0,1520,false,-1,1
false,0,1520,false,21,0
false,0,1520,false,-1,1
false,0,1520,false,-1,1
false,0,1520,false,426,0
false,0,1520,false,436,0
false,0,1520,false,-1,0
false,0,1520,true,-1,1
false,0,1520,true,-1,1
false,0,1520,true,-1,1
false,0,1520,true,-1,1
false,0,1520,false,-1,1
false,0,1520,false,-1,1
true,0,1520,false,858,1
false,0,1520,false,-1,1
false,0,1520,false,0,1
false,0,1520,false,-1,1
false,0,1519,false,-1,1
false,0,1519,false,-1,1
false,0,1519,false,-1,0
false,0,1519,false,-1,1
false,0,1519,false,-1,1
false,0,1519,false,-1,1
false,0,1519,false,-1,1
false,0,1519,false,-1,1
false,0,1519,false,-1,1
false,0,1519,false,-1,1
false,0,1519,false,56,0
false,0,1519,false,155,1
false,0,1519,false,-1,0
false,0,1519,false,-1,1
false,0,1519,true,-1,1
false,0,1519,false,-1,1
false,0,1519,false,-1,1
false,0,1519,true,-1,1
false,0,1518,false,-1,1
false,0,1518,false,-1,1
false,0,1518,false,134,0
false,0,1518,false,7,0
false,0,1517,false,6,1
false,0,1516,true,-1,1
false,0,1516,true,-1,1
false,0,1516,false,-1,1
false,0,1516,true,-1,1
false,0,1516,false,-1,0
false,0,1515,false,10,1
false,0,1515,false,-1,1
false,0,1515,false,-1,1
false,0,1515,false,-1,1
false,0,1515,false,-1,1
false,0,1515,false,-1,1
false,0,1515,false,-1,1
false,0,1515,false,-1,1
false,0,1515,false,-1,1
false,0,1515,false,1,0
false,0,1515,false,-1,1
false,0,1514,false,99,1
false,0,1514,false,-1,1
false,0,1514,false,1,1
false,0,1514,false,-1,1
false,0,1514,false,-1,1
false,0,1514,false,-1,1
false,0,1514,false,7,1
false,0,1513,false,9,1
false,0,1513,false,-1,1
false,0,1513,false,-1,1
false,0,1513,false,-1,1
false,0,1513,false,-1,0
false,0,1513,false,-1,0
false,0,1513,false,-1,1
false,0,1513,true,-1,1
false,0,1513,false,61,0
false,0,1513,false,-1,1
false,0,1512,false,-1,1
false,0,1512,false,10,1
false,0,1511,false,-1,1
false,0,1511,false,-1,1
false,0,1511,true,20,0
false,0,1511,false,3,1
false,0,1511,false,21,1
false,0,1511,false,-1,1
false,0,1510,false,-1,1
false,0,1510,true,-1,1
false,0,1510,false,-1,1
false,0,1510,false,62,1
false,0,1510,false,-1,0
false,0,1508,true,-1,1
false,0,1506,false,-1,1
false,0,1506,false,-1,1
false,0,1506,false,286,0
false,0,1506,false,94,0
false,0,1506,false,35,1
false,0,1505,true,-1,1
false,0,1505,false,-1,1
false,0,1504,false,-1,1
false,0,1504,false,-1,1
false,0,1504,false,-1,1
false,0,1504,false,-1,1
false,0,1504,false,-1,1
false,0,1504,false,-1,1
false,0,1504,false,-1,1
false,0,1504,false,-1,1
false,0,1504,false,-1,1
false,0,1504,false,-1,1
false,0,1504,false,-1,1
false,0,1504,false,-1,1
false,0,1504,false,-1,1
false,0,1504,false,-1,1
true,0,1504,false,326,0
