@relation 'scala-ide-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R2,4,8,45,52,53'

@attribute created_at_day_turn {noite,tarde,manha,madrugada}
@attribute forward_links {false,true}
@attribute files_added numeric
@attribute integrator_follows_req {false,true}
@attribute first_response numeric
@attribute status {0,1}

@data
noite,false,0,false,2,1
noite,false,0,false,4,1
noite,false,0,false,70,1
noite,false,0,false,38,1
noite,false,0,false,36,1
tarde,false,0,false,43,1
manha,false,0,false,34,1
madrugada,false,0,false,36,1
noite,false,0,false,2,1
noite,true,2,false,0,0
tarde,false,0,false,37,1
tarde,false,0,false,38,1
madrugada,false,33,false,5,1
tarde,false,0,false,3,1
tarde,false,0,false,4,1
tarde,false,0,false,38,1
noite,false,0,false,38,1
tarde,false,0,false,38,1
noite,false,0,false,39,1
tarde,false,0,false,39,1
tarde,false,0,false,0,1
tarde,false,0,false,47,1
madrugada,false,0,false,0,1
tarde,false,0,false,37,1
tarde,false,2,false,15,1
noite,false,0,false,15,1
noite,false,0,false,38,1
madrugada,false,0,false,27,1
madrugada,false,6,false,5,0
tarde,false,0,false,28,1
noite,false,6,false,38,1
noite,false,0,false,37,1
tarde,false,0,false,37,1
tarde,false,0,false,21,1
tarde,false,0,false,36,1
noite,false,4,false,73,1
noite,false,0,false,38,1
noite,false,5,false,38,1
noite,false,0,false,14,1
noite,false,0,false,1166,1
tarde,false,0,false,37,1
tarde,false,0,false,38,1
tarde,false,0,false,38,1
tarde,false,1,false,36,1
noite,false,0,false,36,1
noite,false,2,false,14,1
noite,true,0,false,36,0
tarde,false,1,false,13,1
madrugada,false,0,false,49,1
madrugada,false,0,false,37,1
madrugada,false,0,false,36,1
noite,false,0,false,36,1
noite,true,0,false,35,1
noite,false,6,false,35,1
noite,false,16,false,7,1
