@relation 'scala-js-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R1,4,48,53'

@attribute created_at_week_day {domingo,quinta-Feira,quarta-feira,segunda-feira,terca-feira,sexta-feira,sabado}
@attribute forward_links {true,false}
@attribute prior_interaction_pr_events numeric
@attribute status {0,1}

@data
domingo,true,14,0
quinta-Feira,false,103,1
quarta-feira,false,50,1
segunda-feira,false,49,1
quinta-Feira,false,52,1
quinta-Feira,false,53,1
terca-feira,false,59,1
terca-feira,false,109,1
sexta-feira,false,109,1
sexta-feira,false,108,1
segunda-feira,false,65,1
sexta-feira,false,67,1
quarta-feira,false,68,0
sabado,false,120,1
quinta-Feira,false,72,1
quinta-Feira,false,71,1
quinta-Feira,false,123,1
domingo,false,121,1
sabado,false,120,1
sabado,false,119,1
sabado,false,118,1
sabado,false,117,1
quarta-feira,false,122,1
domingo,false,120,1
domingo,false,19,1
domingo,false,119,1
sexta-feira,false,120,1
quarta-feira,false,123,1
terca-feira,false,18,1
terca-feira,false,17,1
terca-feira,false,16,1
terca-feira,false,1,1
sabado,false,116,1
sexta-feira,false,0,1
sexta-feira,false,76,1
quinta-Feira,false,113,1
quarta-feira,false,111,1
terca-feira,false,75,1
terca-feira,false,74,1
terca-feira,false,107,1
terca-feira,false,105,1
segunda-feira,false,73,1
segunda-feira,false,103,1
segunda-feira,false,102,1
segunda-feira,false,101,1
domingo,false,100,1
sabado,false,2,0
quinta-Feira,false,18,1
terca-feira,false,104,1
segunda-feira,false,75,1
segunda-feira,false,100,1
domingo,false,100,1
domingo,false,99,1
sabado,false,97,1
sabado,false,96,1
sabado,false,95,1
sabado,false,94,1
sexta-feira,false,96,1
sexta-feira,false,1,1
quinta-Feira,false,95,1
quarta-feira,false,76,0
quarta-feira,false,97,1
terca-feira,false,75,1
segunda-feira,false,96,1
sexta-feira,false,97,1
segunda-feira,false,97,1
segunda-feira,false,96,1
domingo,false,95,1
sabado,false,0,0
sabado,false,19,1
quinta-Feira,false,96,1
terca-feira,true,95,1
terca-feira,false,0,1
segunda-feira,false,76,1
domingo,false,93,1
domingo,false,92,1
sabado,false,9,1
quinta-Feira,false,19,1
quarta-feira,false,0,1
quarta-feira,false,0,1
terca-feira,false,72,1
segunda-feira,false,70,1
quarta-feira,false,8,1
quarta-feira,false,7,1
sexta-feira,false,65,1
sexta-feira,false,64,1
sexta-feira,true,63,1
quinta-Feira,false,62,1
quinta-Feira,false,60,1
quinta-Feira,false,17,1
quarta-feira,false,57,1
quarta-feira,false,56,1
quarta-feira,false,55,1
quarta-feira,false,53,1
segunda-feira,false,52,1
segunda-feira,false,6,1
segunda-feira,false,5,1
domingo,false,1,0
domingo,false,0,1
sexta-feira,false,51,1
sexta-feira,false,49,0
sexta-feira,false,15,1
quinta-Feira,false,50,1
quinta-Feira,true,3,1
quarta-feira,false,1,1
quarta-feira,false,0,1
segunda-feira,false,50,1
segunda-feira,false,0,1
sexta-feira,false,52,0
quinta-Feira,true,51,1
quinta-Feira,false,52,1
quarta-feira,false,52,1
quarta-feira,false,52,1
quarta-feira,false,51,1
terca-feira,false,105,1
terca-feira,false,53,1
segunda-feira,false,52,1
segunda-feira,false,4,1
segunda-feira,false,51,1
domingo,false,102,1
domingo,false,101,1
domingo,false,100,1
sexta-feira,false,100,1
quinta-Feira,false,97,1
quinta-Feira,false,95,1
segunda-feira,false,5,1
domingo,false,0,1
quinta-Feira,false,96,1
quarta-feira,false,19,1
quarta-feira,false,94,1
quarta-feira,false,93,1
sexta-feira,false,95,1
sexta-feira,false,48,0
quinta-Feira,false,48,0
quinta-Feira,false,93,1
quinta-Feira,false,92,1
terca-feira,false,47,1
terca-feira,false,17,1
terca-feira,false,44,1
sexta-feira,false,16,1
sexta-feira,false,15,1
sexta-feira,false,3,1
quinta-Feira,false,0,1
quinta-Feira,false,2,1
quinta-Feira,false,99,1
domingo,false,13,1
quinta-Feira,false,46,1
quarta-feira,false,16,1
terca-feira,false,15,1
terca-feira,false,47,1
terca-feira,false,13,1
terca-feira,false,106,1
terca-feira,false,1,0
segunda-feira,false,105,1
sabado,false,103,1
sexta-feira,false,1,1
sexta-feira,true,45,1
quinta-Feira,false,44,1
quinta-Feira,false,43,1
quinta-Feira,false,0,1
quarta-feira,false,40,1
quarta-feira,false,39,1
quarta-feira,false,38,1
segunda-feira,false,93,1
segunda-feira,false,37,1
segunda-feira,false,36,1
segunda-feira,true,35,1
quinta-Feira,false,6,1
quarta-feira,false,103,1
terca-feira,false,103,1
segunda-feira,false,36,1
sexta-feira,false,0,1
quarta-feira,false,13,1
terca-feira,false,7,1
terca-feira,true,41,1
domingo,false,0,1
quinta-Feira,false,18,1
quinta-Feira,false,17,0
quarta-feira,false,0,0
sabado,false,129,1
quinta-Feira,false,122,1
quinta-Feira,false,118,1
quinta-Feira,false,117,1
quarta-feira,false,50,1
quarta-feira,false,114,1
terca-feira,false,113,1
terca-feira,false,112,1
segunda-feira,false,111,1
segunda-feira,false,15,1
domingo,false,110,1
quinta-Feira,false,45,1
quinta-Feira,true,107,1
quinta-Feira,false,13,1
terca-feira,false,42,1
terca-feira,false,41,1
terca-feira,false,12,1
segunda-feira,false,40,1
segunda-feira,false,39,1
segunda-feira,false,38,1
segunda-feira,false,11,1
sexta-feira,false,18,1
sabado,false,24,1
sexta-feira,false,1,1
sexta-feira,false,35,1
quinta-Feira,false,34,1
quarta-feira,false,33,1
quarta-feira,false,32,1
terca-feira,false,122,1
terca-feira,false,120,1
segunda-feira,false,13,1
sexta-feira,false,0,1
sexta-feira,false,123,1
sexta-feira,false,125,1
domingo,false,122,1
sexta-feira,false,28,1
sexta-feira,false,120,0
sexta-feira,false,117,1
quinta-Feira,false,27,1
quarta-feira,false,27,1
terca-feira,false,3,1
segunda-feira,false,112,1
segunda-feira,false,111,1
domingo,false,0,1
quinta-Feira,false,12,1
quarta-feira,true,105,1
quarta-feira,false,104,1
terca-feira,false,11,1
terca-feira,true,10,1
segunda-feira,false,21,1
segunda-feira,false,20,1
segunda-feira,false,19,1
sexta-feira,false,18,1
quinta-Feira,false,101,1
quinta-Feira,false,100,1
quarta-feira,false,16,1
