@relation 'scikit-learn-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,36,53'

@attribute forward_links {false,true}
@attribute requester {ohld,gasagna,Arafatk,giorgiop,lesteve,philipperemy,philipgura,rhiever,ogrisel,nelson-liu,maniteja123,ralexx,scottclowe,yenchenlin1994,MechCoder,radarhere,ssaeger,Naereen,galdreiman,dsquareindia,jakirkham,amueller,yarikoptic,hlin117,alyssaq,rgommers,GaelVaroquaux,joerobmunoz,rvraghav93,chyikwei,gjreda,tshauck,danielhomola,kaichogami,pestrickland,rasbt,vatsg,jakevdp,halwai,harrymvr,louridas,amlankar,strixcuriosus,NielsZeilemaker,webdrone,mth4saurabh,kingjr,TomDLT,jarfa,mannby,maciejkula,RPGOne,betatim,jamiebull1,edwinENSAE,toastedcornflakes,Sentient07,imaculate,AnishShah,Qwasser,chezou,samyhhu,mrandrewandrade,doaa-altarawy,duboism,fayeshine,IsaacHaze,suhkrish,DavidThaler,malzantot,zhengqm,kputnam,alexloginov,lvrzhn,statwonk,proinsias,fabioticconi,jblackburne,AlexanderFabisch,seales,dshieble,ClimbsRocks,lucasdavid,sieben,alexfields,kshitij10496,KjellSwedin,EricFalkenberg,r0fls,olologin,nmayorov,bmcfee,mekman,lynochka,SmedbergM,LeiG,trevorstephens,pwgerman,mcculloh,pieteradejong,nickyj88,JeremyNixon,lazarillo,hugobowne,welch,codevig,joshuacook,lmcinnes,vighneshbirodkar,alvarouc,vruusmann,max-moroz,aakashjain,varun-kr,mkurnikov,bhargav,staranjeet,hrjn,ethanwhite,alvations,perimosocordiae,hdmetor,glouppe,shawpan,ziky90,gclenaghan,IshankGulati,ElDeveloper,mscherer,ngoix,jmschrei,vortex-ape,antialias,jnothman,waterponey,johannah,dohmatob,fabianp,arjoly,Mbompr,ltiao,Kornel,jpopham91,ishank08,agramfort,KamalakerDadi,RachitKansal,arthurmensch,pletelli,adijo,edublancas,tomMoral,achab,eickenberg,aabadie,MaryanMorel,zermelozf,Jeffrey04,deepcharles,AlexandreAbraham,sotlampr,shagunsodhani,kwgoodman,ylow,Fenugreek,joshloyal,ariddell,JohnBoersma,rrohan,larsmans,nicodv,jereze,JeanKossaifi,carrillo,tdhopper,andylamb,hasancansaral,terrytangyuan,Clyde-fare,mattilyra,mooz,rififi,glennq,garbas,acganesh,vstolbunov,christophebourguignat,jackzhang84,sdvillal,phdowling,NoonienSoong,beepee14,Eric89GXL,michigraber,kylerbrown,kyu999,fzalkow,maheshakya,pv,kazemakase,jayflo,vermouthmjl,andrewgiessel,PGryllos,jdwittenauer,joewreschnig,abhishekkrthakur,tokoroten,marktab,yanlend,SPL361,donnemartin,edsonduarte1990,dotsdl,stephen-hoover,lazywei,mrphilroth,vinc456,mkrump,nealchau,copyconstructor,ankurankan,zyrikby,aupiff,aesuli,pianomania,thvasilo,banilo,benjaminirving,ejcaropr,untom,henridwyer,ryadzenine,tw991,SonnyHu,Titan-C,opahk,Carldeboer,kronosapiens,pjknkda,lbillingham,mblondel,llllllllll,martinosorb,alexeygrigorev,tiagofrepereira2012,y0ast,ajschumacher,Spikhalskiy,jseabold,meduz,ermakovpetr,BigCrunsh,kianho,bnaul,zacstewart,owengbs,MAnyKey,andosa,dougalsutherland,scls19fr,Aerlinger,SnakeHunt2012,christophesaintjean,sseg,jfraj,ibayer,cangermueller,clorenz7,chrsrds,sdegryze,kno10,jrings,thedrow,mspacek,hsuantien,xuewei4d,jcm1317,ThatGeoGuy,sinhrks,zhaipro,mheilman,jmetzen,vmichel,kshmelkov,daveudaimon,CaMeLCa5e,baharev,samzhang111,cgohlke,ragv,pprett,hzpc-joostk,bryandeng,mbatchkarov,hhchen1105,gwulfs,akitty,Barmaley-exe,dan-blanchard,DonBeo,saketkc,arimbr,josephlewis42,alexsavio,bendavies,sotte,martin0258,mehdidc,chebee7i,Flimm,Hasil-Sharma,gitter-badger,ugurcaliskan,Treora,mvdoc,miniyou,xbhsu,mjbommar,hbredin,nadersoliman,MMKrell,aflaxman,hsalamin,cathydeng,MSusik,seowyanyi,akshayah3,scharron,jjhelmus,x0l,wujiang,irogerthat,pratapvardhan,tomazc,galv,nathankallus,tttthomasssss,andreasvc,lmichelbacher,wadawson,cemoody,sylvinus,ClashTheBunny,DanielSidhion,he7d3r,hammer,bwignall,imkevinyang,justhalf,AlexisMignon,sethdandridge,dsullivan7,ppuggioni,Lothiraldan,jlopezpena,tvarvadoukas,dfletchermaths,zeppe,ThomasDelteil,a4tunado,fannix,dimazest,mrshu,jdcaballero,isms,anntzer,FlorianWilhelm,borjaayerdi,snuderl,justmarkham,eientuni,cmd-ntrf,tliu30,SaurabhJha,origingod,spitz-dan-l,Garrett-R,agileminor,staple,kpysniak,jiayiliu,queqichao,ndawe,Cocu,mlopezantequera,wlamond,MattpSoftware,floydsoft,BrianLondon,luispedro,cct479,hamiltonkibbe,danfrankj,nathanathan,mkneierV,kashif,wangz10,s8wu,stefanv,kain88-de,calvingiles,oddskool,rahiel,AndrewWalker,Tafkas,kaicheng,vene,ugurthemaster,SamStudio8,makokal,jatinshah,jonathanronen,cle1109,andaag,albahnsen,jld23,furukama,rafacarrascosa,hamsal,kastnerkyle,freud14,pvnguyen,ldirer,RolT,joker0x5F5F,brentp,NelleV,stevetjoa,yelite,houbysoft,chatcannon,robertwb,lmatthieu,ihaque,pignacio,gatagat,afshinrahimi,FedericoV,ilam,ryw90,logicmd,argriffing,IssamLaradji,esc,rphlypo,JelleZijlstra,besser82,mfeurer,staubda,apw,andrewclegg,aboSamoor,mmaker,YS-L,filthysocks,IvicaJovic,zarch,rajatkhanduja,jdowns,t-aft,jrouly,kmike,matthew-brett,rmcgibbo,mrene,hxu,wcdolphin,MikhailStartsev,ash211,jwkvam,msalahi,simonfrid,mdbecker,raulgarreta,sdenton4,denisgarci,abatula,chalmerlowe,griffinmyers,Manoj-Kumar-S,danstowell,ahojnnes,fareshedayati,matrixorz,l00pen,rurkowce,ajtulloch,jyu-rmn,Oscarlsson,dhawaljoh,kaushik94,kevinpCroat,yoni,csytracy,pmandera,chrisfilo,RWalecki,jperla,hanke,sciunto,eltermann,ameasure,zyv,SreudianFlip,earino,VirgileFritsch,h10r,bryan-lunt,arahuja,ankit-maverick,charlescearl,lgarrison,cli248,romaniukm,adrinjalali,HapeMask,blagarde,DanielWeitzenfeld,stefan-w,robertlayton,jaquesgrobler,sergiopasra,ai8rahim,eloj,amormachine,eshilts,likang7,arpangarg,bicycle1885,simomo,AndreaCatalucci,Melevir,trein,czxcjx,josericardo,dubourg,dengemann,craigdsthompson,nanli0416,bdkearns,djv,edran,vijaykramesh,Jorge-C,lpierron,StevenMaude,hadsed,AndreaBravi,jfelectron,johncollins,samuelstjean,shoyer,dmedri,ericjster,samuela,flukeskywalker,paulgb,rsivapr,dnouri,honnix,kemaleren,schmee,rolisz,Balu-Varanasi,cournape,jamestwebber,emsrc,alemagnani,rgbkrk,dashesy,sturlamolden,NicolasTr,pgervais,erg,schwarty,har777,ianozsvald,jzwinck,justinvf,cleverless,ccoovrey,sergeyf,fhs,rspeer,kanielc,TimSC,andreas-hjortgaard,nzer0,kgeis,norbert,espg,jmmcd,serch,Jim-Holmstroem,arnaudsj,abhirk,lqdc,johnb30,pickle27,luoq,stevekochscience,tjanez,slattarini,seamusabshere,flxb,yanirs,temporaer,sergeyk,JakeMick,hrishikeshio,archipleago-creature,dclambert,mrjbq7,aflag,rlmv,dmollaaliod,CamDavidsonPilon,lucidfrontier45,basvandenberg,JohnFNovak,darkrho,RONNCC,zaxtax,mluessi,ApproximateIdentity,mrorii,kuantkid,kyleabeauchamp,wrichert,bcajes,yedtoss,MarkyV,sdicker8,aweinstein,aymas,AWinterman,seberg,briancheung,tnunes,SnippyHolloW,enizhibitsky,satra,sjackman,cjauvin,pzc,AStaric,conradlee,v3ss0n,coreylynch,alextp,guyrt,cdeil,kalaidin,kcarnold,ynd,jaberg,ephes,osdf,buma,buguen,ludwigschwardt,welinder,fsav,kernc,bdholt1,emanuele,acompa,npinto,Carreau,cpa,fhoeni,tobigue,alexis-mignon,danohuiginn,duckworthd,grenoya,BenoitDamota,invisibleroads,bwhite,dwf,joonazzz,davidmarek,paolo-losi,udi,emmanuelle,feth,njwilson,smoitra87,clayw,fcostin,daien,leonpalafox,cscheid,Epinoch,jansoe,gwtaylor,otizonaizit,bthirion,DraXus,chermes,cavorite,bvtrach,ohe,diogojc,vincentschut,sabba,lemin,ametaireau,mosi,pberkes,lucaswiman,bsilverthorn,thouis,mike-perdide,yml,amitibo,f0k,demianw,aman-thakral,yamins81,duchesnay,turian,mbrucher,scampion,AnneLaureF}
@attribute status {0,1}

@data
false,ohld,1
false,gasagna,1
false,Arafatk,1
false,giorgiop,1
false,lesteve,1
false,philipperemy,0
false,philipgura,0
false,rhiever,1
false,ogrisel,1
false,nelson-liu,1
false,maniteja123,1
false,ralexx,1
false,scottclowe,1
false,scottclowe,1
false,yenchenlin1994,1
false,yenchenlin1994,1
false,MechCoder,1
false,radarhere,1
false,nelson-liu,0
false,yenchenlin1994,0
false,nelson-liu,1
false,yenchenlin1994,1
false,yenchenlin1994,0
false,nelson-liu,0
false,ssaeger,1
false,Naereen,1
false,nelson-liu,1
false,galdreiman,0
false,dsquareindia,1
false,nelson-liu,1
false,yenchenlin1994,1
false,yenchenlin1994,1
false,yenchenlin1994,1
false,lesteve,1
false,jakirkham,0
false,amueller,1
false,yenchenlin1994,1
false,yarikoptic,1
false,ogrisel,1
false,hlin117,1
false,alyssaq,1
false,rgommers,1
false,yenchenlin1994,1
false,lesteve,1
false,yenchenlin1994,1
false,maniteja123,0
false,GaelVaroquaux,1
false,lesteve,1
true,amueller,0
false,joerobmunoz,1
false,rvraghav93,1
false,yenchenlin1994,1
false,chyikwei,1
false,gjreda,1
false,ogrisel,0
false,tshauck,1
false,danielhomola,0
false,jakirkham,1
false,kaichogami,0
false,ogrisel,1
false,pestrickland,1
false,rasbt,1
false,yenchenlin1994,1
false,yenchenlin1994,1
false,vatsg,1
false,yenchenlin1994,0
false,ogrisel,1
false,yenchenlin1994,1
false,rasbt,1
false,jakevdp,1
false,ogrisel,1
false,ogrisel,1
false,yenchenlin1994,1
false,yenchenlin1994,1
false,ogrisel,1
false,rvraghav93,1
false,halwai,0
false,harrymvr,1
false,louridas,1
false,amlankar,1
false,lesteve,1
false,maniteja123,1
false,yenchenlin1994,1
false,dsquareindia,1
false,strixcuriosus,1
false,ogrisel,1
false,NielsZeilemaker,0
false,webdrone,0
false,mth4saurabh,1
true,maniteja123,0
false,mth4saurabh,1
false,dsquareindia,1
false,kingjr,1
false,TomDLT,1
true,jarfa,1
false,GaelVaroquaux,1
false,kaichogami,0
false,maniteja123,0
false,mannby,0
false,maciejkula,0
false,mth4saurabh,1
false,dsquareindia,0
false,ogrisel,1
false,RPGOne,0
false,RPGOne,1
false,RPGOne,1
false,RPGOne,0
false,betatim,1
false,jamiebull1,0
false,jamiebull1,0
false,lesteve,1
false,edwinENSAE,1
false,dsquareindia,0
false,halwai,1
false,MechCoder,1
false,MechCoder,1
false,MechCoder,1
false,toastedcornflakes,1
false,Sentient07,0
false,imaculate,0
false,dsquareindia,1
false,dsquareindia,0
false,dsquareindia,1
false,AnishShah,1
false,Qwasser,1
false,betatim,1
false,chezou,1
false,MechCoder,1
false,samyhhu,0
false,maniteja123,1
false,toastedcornflakes,1
false,mrandrewandrade,1
false,doaa-altarawy,0
false,duboism,1
false,kaichogami,1
false,ogrisel,1
false,fayeshine,0
false,rvraghav93,1
false,MechCoder,1
false,nelson-liu,1
false,IsaacHaze,1
false,jakevdp,1
false,suhkrish,0
false,nelson-liu,1
false,DavidThaler,1
false,malzantot,0
false,lesteve,1
false,ogrisel,1
false,ogrisel,1
false,zhengqm,1
false,DavidThaler,1
false,yarikoptic,1
false,kputnam,1
false,dsquareindia,1
false,amueller,1
false,kputnam,1
false,alexloginov,1
false,lvrzhn,1
false,statwonk,0
false,proinsias,1
false,halwai,0
false,fabioticconi,1
false,fabioticconi,0
false,jblackburne,1
false,AlexanderFabisch,0
false,seales,0
false,seales,1
false,dshieble,1
false,seales,0
false,ClimbsRocks,1
false,lucasdavid,1
false,sieben,0
false,hlin117,1
false,lucasdavid,0
false,alexfields,1
false,kshitij10496,0
false,KjellSwedin,1
false,EricFalkenberg,0
false,r0fls,0
false,olologin,1
false,nmayorov,1
false,mth4saurabh,1
false,nelson-liu,1
false,hlin117,1
false,olologin,1
false,lesteve,1
false,fabioticconi,1
true,nelson-liu,0
false,nelson-liu,1
false,fabioticconi,0
false,bmcfee,1
false,mekman,1
false,mekman,0
false,amueller,1
false,rvraghav93,1
false,toastedcornflakes,1
false,lynochka,0
false,mth4saurabh,1
false,fayeshine,0
false,amueller,1
false,SmedbergM,1
false,sieben,0
false,sieben,1
true,sieben,1
false,LeiG,1
false,jakevdp,1
false,lucasdavid,1
false,hlin117,1
false,trevorstephens,1
false,pwgerman,1
false,mcculloh,1
false,pieteradejong,1
false,nickyj88,1
false,JeremyNixon,1
true,trevorstephens,1
false,hlin117,1
true,pieteradejong,0
false,lazarillo,0
false,hugobowne,1
false,welch,1
false,codevig,1
false,joshuacook,1
false,mth4saurabh,1
false,rvraghav93,1
false,hlin117,1
false,lmcinnes,1
false,vighneshbirodkar,1
false,alvarouc,1
false,hlin117,1
false,fabioticconi,1
false,vruusmann,1
false,max-moroz,1
true,rasbt,1
false,MechCoder,1
false,aakashjain,0
false,MechCoder,1
false,varun-kr,1
false,mkurnikov,0
false,amueller,1
false,bhargav,1
true,Sentient07,0
false,rvraghav93,1
false,rvraghav93,1
false,staranjeet,1
false,hrjn,1
false,ethanwhite,1
false,alvations,0
false,Sentient07,1
false,amueller,1
false,perimosocordiae,1
false,giorgiop,1
false,ClimbsRocks,1
false,hdmetor,1
true,amueller,1
false,Naereen,1
false,amueller,1
false,rvraghav93,1
true,glouppe,0
true,giorgiop,1
false,amueller,1
false,shawpan,1
false,hrjn,0
false,rvraghav93,0
false,ziky90,1
false,bhargav,1
false,bhargav,1
false,gclenaghan,1
false,amueller,1
false,amueller,1
false,IshankGulati,1
false,IshankGulati,0
false,vighneshbirodkar,0
false,amueller,1
false,amueller,1
false,trevorstephens,1
false,amueller,1
false,betatim,1
false,AlexanderFabisch,1
false,amueller,1
false,amueller,1
false,amueller,1
false,amueller,1
false,amueller,1
false,amueller,1
false,ElDeveloper,1
false,amueller,1
false,sieben,1
false,sieben,1
false,sieben,1
false,sieben,1
false,shawpan,1
false,jakevdp,0
false,sieben,1
false,sieben,1
false,mscherer,1
false,sieben,1
false,trevorstephens,1
false,sieben,0
false,MechCoder,1
false,TomDLT,1
false,ogrisel,1
false,sieben,1
false,sieben,1
false,sieben,1
false,sieben,0
true,sieben,0
false,sieben,1
true,sieben,1
false,ogrisel,1
true,lesteve,0
false,TomDLT,0
false,ngoix,1
false,jakevdp,1
false,jmschrei,0
false,giorgiop,1
false,olologin,1
false,vortex-ape,1
false,betatim,1
false,antialias,1
false,antialias,1
false,glouppe,1
false,jnothman,1
false,giorgiop,1
false,gclenaghan,1
false,rvraghav93,1
false,waterponey,1
true,waterponey,1
false,johannah,1
false,johannah,1
false,johannah,1
false,johannah,1
false,dohmatob,1
false,fabianp,0
false,rvraghav93,1
false,ogrisel,0
false,arjoly,1
false,johannah,1
false,johannah,1
false,johannah,1
false,johannah,1
false,Mbompr,1
false,ltiao,1
false,arjoly,0
false,johannah,1
false,johannah,1
false,dohmatob,1
false,arjoly,1
false,Kornel,1
false,giorgiop,1
true,dohmatob,0
false,dohmatob,0
false,jpopham91,0
false,ishank08,1
false,lesteve,1
false,agramfort,0
false,giorgiop,1
true,KamalakerDadi,1
false,dohmatob,0
false,RachitKansal,1
false,hlin117,1
false,MechCoder,1
false,MechCoder,1
false,dohmatob,1
false,arthurmensch,1
true,waterponey,0
false,arjoly,1
false,jakevdp,1
false,pletelli,1
false,pletelli,1
false,rvraghav93,1
true,adijo,0
false,glouppe,1
false,edublancas,0
false,Kornel,0
false,rvraghav93,1
false,jmschrei,1
false,tomMoral,1
false,glouppe,1
false,achab,1
true,eickenberg,0
false,glouppe,1
false,aabadie,1
false,aabadie,1
false,GaelVaroquaux,1
false,MaryanMorel,1
false,zermelozf,1
false,Jeffrey04,1
false,MaryanMorel,0
false,deepcharles,1
false,tomMoral,1
false,AlexandreAbraham,1
false,giorgiop,1
true,achab,1
false,aabadie,1
false,rvraghav93,1
false,Mbompr,1
false,hlin117,1
false,amueller,1
false,amueller,1
false,sotlampr,0
false,MechCoder,1
false,shagunsodhani,1
false,rvraghav93,0
false,Naereen,0
false,giorgiop,1
false,amueller,1
false,lesteve,1
false,GaelVaroquaux,1
false,lesteve,1
false,lesteve,1
false,kwgoodman,1
false,lesteve,1
false,rvraghav93,1
false,amueller,1
false,jmschrei,1
false,amueller,1
false,rvraghav93,1
false,nmayorov,1
false,ylow,1
false,Fenugreek,0
false,joshloyal,1
false,Naereen,1
false,Naereen,1
false,MechCoder,1
false,TomDLT,1
true,arthurmensch,1
false,giorgiop,1
true,rvraghav93,1
false,ogrisel,0
false,jakevdp,1
true,jakevdp,0
false,ariddell,1
false,Naereen,1
false,JohnBoersma,1
false,ogrisel,1
false,giorgiop,1
false,rrohan,1
false,ogrisel,1
false,larsmans,1
false,ishank08,1
false,nicodv,1
false,hlin117,1
false,jereze,1
false,JeanKossaifi,1
false,jmschrei,1
false,larsmans,1
false,ogrisel,1
false,ogrisel,1
false,glouppe,1
true,giorgiop,1
false,vighneshbirodkar,1
false,trevorstephens,1
false,amueller,1
false,MechCoder,1
false,carrillo,1
false,jnothman,1
false,tdhopper,1
false,TomDLT,1
false,andylamb,1
false,ogrisel,1
false,jmschrei,1
true,hasancansaral,1
false,terrytangyuan,0
false,MechCoder,1
false,vortex-ape,1
false,jmschrei,0
false,hlin117,1
false,andylamb,1
false,glouppe,1
false,Clyde-fare,1
false,amueller,1
false,amueller,1
false,ogrisel,1
true,ogrisel,1
false,jmschrei,1
false,TomDLT,1
false,MechCoder,1
false,ogrisel,1
false,arjoly,1
false,arjoly,0
false,rvraghav93,1
false,gclenaghan,1
false,amueller,1
true,vighneshbirodkar,1
false,jmschrei,0
false,vighneshbirodkar,1
false,jmschrei,1
true,jmschrei,1
false,MechCoder,1
false,mattilyra,1
false,jmschrei,0
false,arjoly,1
false,jnothman,1
false,mooz,1
false,rififi,1
false,glennq,1
false,garbas,0
false,MechCoder,1
false,acganesh,1
true,vstolbunov,1
false,arjoly,1
false,christophebourguignat,1
