@relation 'vagrant-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R36,53'

@attribute requester {pearkes,kenorb,larsch,jtopper,altexdim,mwrock,amontalban,tpenguin,kamigerami,geo4orce,donaldguy,radarhere,interdev,evisboy,jzohrab,Eric-Guo,budhrg,oddtazz,snagy22000,sethvargo,rightsaidjames,krutcha,taurus-forever,erSitzt,mbrodala,pra85,evaryont,prateepb,kkremitzki,gavioto,williamonymous,tompscanlan,wjsager,mmickan,theengineear,daniel-sc,jlduran,cweagans,anatol,adamenger,velocity303,kamazee,sneal,gimler,gildegoma,kylegibson,michaldo,aqnouch,kriuz,petems,OmarIthawi,sschuberth,char16t,mitchellh,ianvanness,KaffeJunky123,metropolislights,geerlingguy,josephfrazier,kikitux,tomkins,captainill,tonyarkles,michaa76,rickard-von-essen,mkuzmin,chenz,reedloden,jharshman,rubenv,romulodl,timuralp,legal90,handlers,Panya,iamseth,ReadmeCritic,yoshiyaka,thachmai,signed8bit,oliviermeurice,fedorovdima,dmacvicar,amirbilu,Ingramz,invernizzi,dvorak,nikelmwann,aneeshusa,rogerhu,karthequian,dexterc,matthewcodes,gawbul,glamouracademy,gpkfr,jsyeo,htesligte,joseph-onsip,markus-perl,timotei,grafjo,javimuu,PatOShea,jcockhren,caleblloyd,electrofelix,knixeur,ctammes,iankronquist,janek-warchol,Fudoshiki,trivoallan,blueyed,bitprocessor,senglin,tbriggs-curse,justinlynn,tomfanning,jperville,loren-osborn,samphippen,philipwigg,krig,dharmab,myrjola,mirthy,phinze,jgoldschrafe,jrob,modernlegend,yanosz,konomae,dustymabe,ArloL,gajdaw,marc-ta,hubub,tknerr,glensc,cbednarski,issyl0,lonniev,JustinCampbell,pwnall,philoserf,tjanez,StefanScherer,cazzerson,mtwentyman,evverx,vbaskoff,driskell,Johntron,caseylang,benh57,bdwyertech,darkn3rd,pogliamarci,ievgenp,Mattias-,denisbr,jkburges,bheuvel,cristovaov,progamesigner,aidanhs,wkral,kaorimatz,densuke,adrianguenter,msabramo,dcbw,strzibny,oxygen0211,cisco87,jjasghar,ivuk,miguel250,peckpeck,alh84001,jeremyplichta,iNecas,Ryanbarnes420,chrisbaldauf,berendt,linyows,jim-minter,leocassarani,bergman,deviantintegral,c33s,mrahtz,mahnkong,agdula,taliesins,Stanzilla,dmangot,paul-krohn,brooksbrown,otagi,jfbibeau,frapposelli,purpleidea,bluehaoran,michaeldhopkins,notpeter,quirkey,stoned,thenewwazoo,randonn,jackywu,vvchik,ssugar,marsam,obnoxxx,MiLk,johnsonj,eidge,francisoud,follower,duro,aogail,Turbo87,Jamezz,valchonedelchev,timoguin,ibizaman,marxarelli,laetificat,trensen,edward010,davidsantoso,erwinvaneyk,hashar,choffee,agreenbhm,YpNo,mafrosis,tioteath,kev009,timsutton,frankbb,mixpix3ls,SchnWalter,channui,Scythril,terceiro,Keeguon,rgardler,aknrdureegaesr,blairham,radeksimko,alfonsodev,dragon788,simonjbeaumont,simonvetter,voxik,BlakeMesdag,clayallsopp,tomassrnka,thierrymarianne,clintoncwolfe,clinstid,hdeheer,windowsrefund,bvalerius,peterood,dcarley,fgrehm,johnclaus,AntonioMeireles,wkolean,simon3z,MobileWiseguyTX,mdirik,ermaker,tai-ga,lpabon,HerrBertling,databus23,willdurand,zmingee,maxlinc,tjouan,c0dxtr3m1st,frodenas,heydonovan,imjacobclark,joelhandwell,kalifg,tboettch,riquito,jquast,athak,oeuftete,svenXY,obfusk,michaeljb,malonecm,whitel,jcollins1991,aidanmorgan,maoueh,derdanne,julienvey,stephenwithav,jch,llamallama,ccutrer,philwrenn,KFishner,robkinyon,aspiers,Tarrant,cllns,konstantint,uchagani,awithersdd,jramnani,orenmazor,dimbleby,tmatilai,jschwarze,dlundgren,crypt1d,styro,danielsiwiec,davidjb,dannykansas,dup2,rogeriopradoj,ilucker,ebelew,mrwhelan,plu,matgnt,Xylakant,kbohnenberger,lunetics,chriskuehl,sprin,donckers,tboerger,mpoeter,jugglinmike,rtkrruvinskiy,abele,Gurpartap,jure,andytson,npvisual,igas,keithchambers,juliandunn,cdenneen,omehegan,simoleone,dmcrystax,gpoulin2,rclanan,sax,lsimons,jdmulloy,BackSlasher,s7726,sumkincpp,andrewmains12,ewigkeit1204,nmische,parisholley,justanshulsharma,acidum,gildub,fpletz,danielparks,synth3tk,b-dean,stvleung,emyl,stevemcc,vStone,EvanPurkhiser,ffrank,bbaugher,schauer,vassilevsky,aaadschutz,techtonik,amracks,keiths-osc,skeggse,sfx-public,Maks3w,BlackIkeEagle,dhoppe,cielavenir,akzhan,salimane,zr40,simono,bewiwi,KLVTZ,brettporter,calvinhp,ifnull,dougm,pdericson,PerilousApricot,az7arul,xstevecs,catsby,marnovdm,rockymadden,zigg,stonith,kalmanh,Freyskeyd,gpurkins,snowch,hippich,shtouff,cstrahan,targetx007,RabidGuppy,ramakrishnan,YungSang,agilebarbecue,goshakkk,szuliq,assens,takekazuomi,tupy,p0deje,cammoraton,felixrabe,also,sciurus,chr4,lamont-granquist,eykd,shadowfax-chc,JuanitoFatas,wtanaka,bclarkindy,benesch,javornikolov,bmcorser,ronnix,rasschaert,jingchan,jjshoe,mjfroehlich,brenttheisen,Mulkave,zeroem,bmorg,b-long,cuberri,zzamboni,timcooper,Arxisos,joanbarros,ndemonner,briandailey,odigity,davidkuridza,oscarrenalias,valioDOTch,philippfranke,pmenglund,miurahr,Coffee-fan,toooooooby,jaikdean,skoblenick,mattoxbeckman,ecoleman,novalagung,barrkel,skinofstars,mivok,justincwatt,pbitty,alimony,andyclarke,uwej711,cournape,rissem,jyggen,khiro,ex-nerd,freshteapot,mkremer,xraj,mway,schlamar,Fuhrmann,patrickheeney,bbinet,Krazylee,stormbrew,adamlazz,mafigit,johnbellone,ramondelafuente,mattes,johan-open-future,endemics,gldnspud,lheinlen-os,ajw0100,retr0h,kvilhaugsvik,eugeneware,shanegibbs,ryanuber,dstevenson,earnubs,elyast,gnawhleinad,mhahn,rmccue,danielbachhuber,maspwr,wouteroostervld,nickborromeo,frosario,chrischillibean,mpalmer,myoung34,seginoviax,morrizon,timgus,thanosa75,gustavobgama,masteinhauser,miketheman,glebm,smoyer,charlax,ryansb,joestump,graingert,lunohodov,sferik,jameydeorio,darthmuffins,MarcMeszaros,marcellodesales,picsolvebryan,tobiasbaehr,Ninir,Ninjamoose,oalders,Grunny,ampedandwired,martinezdelariva,acharlieh,adrianlzt,drpebcak,tnaoto,arthurnn,bbonamin,lndbrg,makern,scalp42,ShonM,mwarkentin,jpfuentes2,teaforthecat,mattalexx,till,bennlich,instilled,alangarf,ticosax,nikhilv,Sgoettschkes,athoune,elliotsegler,markpeek,millerdev,isaoshimizu,rconradharris,AJCStriker,phs,jaugustin,ziuchkovski,hatsuseno,andyfowler,canausa,tduffield,jeremyfelt,clintjhill,jackdesert,onejli,rimckenn,tmacedo,Schpidi,SpringMT,txchen,hikch,borgstrom,tehmaspc,catharsis,Tomdarkness,viq,sgronblo,3flex,virtuald,gwaldo,tuminoid,mpioli,copperlight,jeffasinger,jabclab,eggsby,ianheggie,jeremyquinton,daveloyall,grenade,czi,fcharlier,mrkafk,Caustic,PeteMichaud,bt5e,aleno,gregwork,mark-rushakoff,mikerowehl,tpltnt,Raman148,deltaroe,atomic-penguin,cmthornton,grepory,BreiteSeite,ndemoor,herdani,psi,beporter,gildas,erichelgeson,miguno,tsahara-iij,mlex,janth,shutej,Boohbah,ches,rajivr,ppp0,sevos,tejaycar,mcourtois,flozano,talexb,gwenci,michaelglass,StephenKing,erran,bmabey,tsugliani,tehranian,zvirusz,mpapis,znz,korya,Sauraus,nickanderson,saturnflyer,marcparadise,b2jrock,mightybs,commandtab,bdon,patcon,sthulb,koolhead17,benjixx,voronoipotato,mfournier,trlinkin,ngiger,scottmuc,jprosevear,tgarvey,kburwieck,davegudge,hecko,Aigeruth,dsesh,hwartig,ekalinin,wbates,tunix,econchick,jheise,drogerschariot,frankshearar,Loa,tawan,toretore,pronix,aszeszo,akalyaev,igorbonadio,cliles,Govinda-Fichtner,gilesbowkett,pmorton,johntdyer,gumayunov,hectcastro,nickrw,NeilW,raadad,cassianoleal,davidbirdsong,geetarista,onefrankguy,tobli,chorankates-sfdc,smdahlen,benprew,schisamo,jimmycuadra,jefflab,wormzer,wenlock,neil477,davedevelopment,jedvardsson,kentaro,janschumann,hmalphettes,rubbish,yujiorama,uggedal,nickchappell,martoe,lucaspiller,curzonj,masm,whiteley,aaa572,jblaine,grosser,frsantos,johnbarney,erikh,phunehehe,erictip,ereslibre,hh,ithinkihaveacat,samet,lolindrath,pastafari,dmajkic,magec,kainz,llonchj,yarikoptic,nicobrevin,eladroz,kbrock,rizzatti,ozanturksever,nwjsmith,jwhitley,hdorio,priestjim,jbraeuer,paulmars,chilicat,mattandersen,jasim,ryfow,morpheu,xiwenc,pbrisbin,gmsharky,jeremyd,lorello,obscurerichard,carlossg,paulv,petere,sbfaulkner,michaelthies,sl4m,YannRobert,gabetax,piavlo,smerrill,rrehbeindoi,julianhille,hugowetterberg,gaffo,Samuel29,danmidwood,bcwaldon,jtimberman,jmazzi,spk,benburkert,chipchilders,scoates,vaimo-wilko,mandarbarve,loe,conormcd,dansimau,5long,bobmaerten,marklap,jamtur01,jssjr,zsiddique,nathankleyn,muffs,videlalvaro,RLasinski,mattrobenolt,monvillalon,mxtthias,leth,oker1,kindjal,npeters,webcoyote,hollow,jmahowald,ryanlecompte,squarelover,jhf,LarsFronius,dbroeglin,nesQuick,rafmagana,bitprophet,calavera,theju,stevehodgkiss,andyl,skarab,dcolish,lorin,hvolkmer,Oakie3CR,rvermeulen,rtyler,andrewchalfant,withnale,mbbx6spp,wayneeseguin,jbochi,Achimh3011,dgholz,ndwns,ergonlogic,jjhuff,jsoriano,bobveznat,semarj,mephaust,straphka,jkutner,withnail,sroegner,mamciek,rtgibbons,jarmo,sigi,henare,sirl1on,zev,bgreenlee,richardiux,halcyonCorsair,LeftyBC,dgtized,hedgehog,paulsmith,cwarden,avit,russss,jbrown,lmars,alexey-chebotar,xuru,eriksencosta,mdellanoce,dizzyd,brycethornton,ticean,wjlroe,kevin1024,dctrwatson,ody,sjl,darrin-wortlehock,samerbuna,ambethia,mirell,josephholsten,tnm,brianloveswords,pelletier,xdissent,dax,simonsd,halcyon,gabemc,jeffrafter,pauln415,theaboutbox,RichardBronosky,svenfuchs,mlinderm,reset,nstielau,philips,ryansch,alanshields,mhorbul,stopdropandrew,bodepd,jwinter,wfarr,th34ut0m4t0r,rcreasey,patcoll,wsc,tonyla,TimDumol,morepanda,gammons,ramonvanalteren,jeffmccune,tail,aglarond,thbar,vishvananda,mdub,underlog,kvs,michaelbearne,mtrudel,evtuhovich,bpo,masterzen,tolbrino,lstoll,bnmrrs,scompt,dreamcat4,ctrabold,drnic,adamv,ankopainting,bixu}
@attribute status {0,1}

@data
pearkes,1
kenorb,1
larsch,1
jtopper,1
altexdim,1
mwrock,1
amontalban,1
tpenguin,0
kamigerami,1
kamigerami,1
geo4orce,1
donaldguy,1
radarhere,1
interdev,1
evisboy,0
jzohrab,1
Eric-Guo,0
budhrg,1
oddtazz,1
snagy22000,0
sethvargo,1
jzohrab,1
rightsaidjames,1
krutcha,1
taurus-forever,0
erSitzt,1
mbrodala,1
sethvargo,1
sethvargo,1
pra85,1
evaryont,1
prateepb,1
kkremitzki,1
sethvargo,1
mwrock,1
mwrock,1
kamigerami,0
gavioto,1
williamonymous,1
tompscanlan,1
wjsager,1
mmickan,1
sethvargo,1
jtopper,1
theengineear,1
daniel-sc,1
jlduran,1
cweagans,0
anatol,1
adamenger,1
velocity303,1
anatol,1
kamazee,0
sneal,1
gimler,1
gimler,1
gildegoma,1
kylegibson,0
michaldo,1
michaldo,0
aqnouch,1
kriuz,1
petems,1
OmarIthawi,1
sschuberth,1
mwrock,1
char16t,1
mitchellh,1
ianvanness,1
KaffeJunky123,1
metropolislights,0
geerlingguy,1
josephfrazier,0
sethvargo,1
sethvargo,1
kikitux,1
tomkins,1
captainill,1
tonyarkles,1
michaa76,1
sethvargo,1
sethvargo,1
rickard-von-essen,1
mkuzmin,1
kamigerami,1
gildegoma,1
chenz,1
reedloden,1
jharshman,1
rubenv,1
sethvargo,1
sethvargo,1
romulodl,1
timuralp,1
timuralp,0
sethvargo,0
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,1
legal90,1
mitchellh,1
mitchellh,1
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,1
mitchellh,1
sethvargo,1
mitchellh,1
sethvargo,1
handlers,1
Panya,1
iamseth,1
sethvargo,1
sethvargo,1
mitchellh,1
sethvargo,1
mitchellh,1
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,1
mitchellh,1
sethvargo,1
gildegoma,1
pearkes,1
ReadmeCritic,1
yoshiyaka,0
thachmai,1
signed8bit,0
oliviermeurice,1
fedorovdima,0
dmacvicar,1
gildegoma,1
amirbilu,1
Ingramz,1
mitchellh,1
invernizzi,1
dvorak,1
mitchellh,1
legal90,1
nikelmwann,1
aneeshusa,1
aneeshusa,0
rogerhu,0
rogerhu,0
karthequian,1
dexterc,0
dexterc,0
matthewcodes,1
matthewcodes,1
gawbul,0
glamouracademy,1
mitchellh,1
sethvargo,1
gpkfr,0
jsyeo,0
htesligte,0
joseph-onsip,1
markus-perl,1
timotei,1
grafjo,1
legal90,1
javimuu,0
PatOShea,1
jcockhren,1
sethvargo,1
mitchellh,1
mitchellh,1
mitchellh,1
caleblloyd,1
electrofelix,0
knixeur,1
ctammes,0
ctammes,1
iankronquist,0
gildegoma,1
janek-warchol,0
mitchellh,1
Fudoshiki,0
trivoallan,0
blueyed,1
handlers,1
bitprocessor,1
senglin,1
tbriggs-curse,1
justinlynn,1
tomfanning,1
rickard-von-essen,1
jperville,1
loren-osborn,0
samphippen,1
philipwigg,1
krig,1
dharmab,0
samphippen,1
myrjola,0
mirthy,1
phinze,1
jgoldschrafe,1
jrob,1
modernlegend,1
jrob,0
yanosz,0
konomae,1
dustymabe,1
ArloL,1
sethvargo,1
sethvargo,1
gajdaw,1
marc-ta,1
hubub,1
tknerr,0
glensc,0
glensc,1
cbednarski,1
issyl0,1
lonniev,1
JustinCampbell,1
JustinCampbell,1
JustinCampbell,1
pwnall,1
pwnall,1
philoserf,0
tjanez,1
StefanScherer,0
StefanScherer,1
sethvargo,1
cazzerson,0
mtwentyman,0
evverx,1
vbaskoff,0
driskell,1
Johntron,1
caseylang,1
benh57,1
bdwyertech,1
sethvargo,1
darkn3rd,1
pogliamarci,1
ievgenp,1
PatOShea,1
PatOShea,0
PatOShea,0
PatOShea,1
PatOShea,1
Mattias-,1
denisbr,1
jkburges,1
PatOShea,1
PatOShea,1
bheuvel,1
benh57,1
sethvargo,1
cristovaov,0
sethvargo,1
progamesigner,1
aidanhs,1
wkral,1
kaorimatz,1
densuke,0
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,1
gildegoma,1
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,1
adrianguenter,1
PatOShea,0
mitchellh,1
msabramo,1
dcbw,1
strzibny,1
strzibny,0
oxygen0211,0
cisco87,1
jjasghar,1
jjasghar,1
ivuk,1
sethvargo,1
sschuberth,1
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,0
gildegoma,1
miguel250,0
peckpeck,0
alh84001,1
jeremyplichta,1
iNecas,0
sneal,1
Ryanbarnes420,1
chrisbaldauf,1
strzibny,1
sethvargo,1
iNecas,0
berendt,1
linyows,1
dcbw,1
jim-minter,1
leocassarani,1
aneeshusa,1
bergman,1
deviantintegral,1
c33s,1
mrahtz,1
mahnkong,0
agdula,1
taliesins,1
taliesins,0
legal90,1
Stanzilla,1
agdula,1
dmangot,1
paul-krohn,1
brooksbrown,1
brooksbrown,1
otagi,1
jfbibeau,1
frapposelli,1
purpleidea,1
bluehaoran,1
michaeldhopkins,1
benh57,1
sneal,1
notpeter,1
quirkey,1
stoned,1
thenewwazoo,1
legal90,1
randonn,0
jackywu,1
bdwyertech,1
vvchik,1
ssugar,1
marsam,1
Mattias-,1
obnoxxx,1
MiLk,1
johnsonj,1
johnsonj,0
eidge,0
eidge,1
francisoud,0
jfbibeau,1
follower,1
duro,1
aogail,1
phinze,1
Turbo87,0
Jamezz,1
valchonedelchev,0
timoguin,1
ibizaman,0
marxarelli,1
ibizaman,0
laetificat,0
ivuk,1
trensen,0
sethvargo,1
edward010,1
trensen,1
davidsantoso,1
erwinvaneyk,1
gpkfr,1
hashar,1
choffee,1
agreenbhm,1
gildegoma,1
YpNo,1
kikitux,1
mafrosis,1
tioteath,1
kikitux,1
kev009,1
timsutton,1
frankbb,1
mixpix3ls,1
SchnWalter,1
channui,1
sethvargo,1
Scythril,1
terceiro,0
Keeguon,1
rgardler,0
sethvargo,1
sethvargo,1
aknrdureegaesr,1
blairham,1
radeksimko,0
aknrdureegaesr,1
alfonsodev,0
phinze,1
dragon788,1
phinze,1
berendt,1
sneal,1
simonjbeaumont,1
simonvetter,1
voxik,1
mbrodala,1
BlakeMesdag,0
clayallsopp,1
tomassrnka,1
mwrock,1
sneal,1
thierrymarianne,1
vvchik,1
clintoncwolfe,1
clinstid,1
clintoncwolfe,1
sethvargo,1
hdeheer,1
windowsrefund,1
tomassrnka,1
bvalerius,0
obnoxxx,1
peterood,1
sethvargo,1
dcarley,1
fgrehm,0
sethvargo,1
johnclaus,1
mitchellh,1
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,1
sethvargo,1
AntonioMeireles,0
AntonioMeireles,0
sethvargo,1
tomassrnka,1
wkolean,1
sethvargo,1
evverx,1
simon3z,0
simon3z,0
MobileWiseguyTX,1
sethvargo,1
evverx,1
evverx,1
mdirik,1
dcarley,1
ermaker,0
tai-ga,1
lpabon,1
legal90,1
HerrBertling,1
databus23,1
willdurand,0
zmingee,1
maxlinc,1
tjouan,1
sethvargo,1
tknerr,1
sneal,1
sethvargo,1
maxlinc,0
iNecas,1
sethvargo,1
sethvargo,1
sethvargo,1
c0dxtr3m1st,1
frodenas,1
heydonovan,1
imjacobclark,1
joelhandwell,1
sethvargo,1
maxlinc,1
imjacobclark,1
sethvargo,1
sethvargo,1
kalifg,1
petems,0
kev009,1
tboettch,0
gildegoma,1
gildegoma,1
riquito,1
jquast,1
athak,1
oeuftete,1
sethvargo,1
gildegoma,1
phinze,1
dharmab,1
svenXY,0
obfusk,0
obfusk,0
michaeljb,0
malonecm,1
obfusk,1
whitel,1
MiLk,1
jcollins1991,1
aidanmorgan,1
gajdaw,1
maoueh,0
derdanne,1
sethvargo,0
sethvargo,1
mwrock,1
julienvey,1
kikitux,1
sethvargo,1
voxik,1
voxik,0
stephenwithav,0
jch,0
sethvargo,1
llamallama,1
ccutrer,0
philwrenn,0
sethvargo,1
KFishner,1
sethvargo,0
robkinyon,1
databus23,1
aspiers,1
aspiers,1
aspiers,0
Tarrant,1
mitchellh,1
voxik,1
mitchellh,1
cllns,1
konstantint,1
legal90,1
uchagani,1
awithersdd,1
sethvargo,0
KFishner,1
sethvargo,1
sethvargo,1
mwrock,1
jramnani,1
gildegoma,1
sethvargo,1
sethvargo,1
orenmazor,1
purpleidea,0
dimbleby,1
julienvey,1
janek-warchol,1
tmatilai,1
jschwarze,1
dlundgren,1
sethvargo,0
crypt1d,1
styro,1
danielsiwiec,0
berendt,1
davidjb,1
dannykansas,0
miguel250,1
sethvargo,0
mkuzmin,1
jperville,1
dup2,1
rogeriopradoj,0
ilucker,0
ebelew,1
mrwhelan,1
plu,1
matgnt,1
Xylakant,1
kbohnenberger,1
lunetics,1
chriskuehl,1
aspiers,1
sprin,1
donckers,0
tboerger,1
mpoeter,1
jugglinmike,0
rtkrruvinskiy,1
abele,1
Gurpartap,1
c0dxtr3m1st,1
jure,0
andytson,1
andytson,1
npvisual,1
andytson,1
igas,1
keithchambers,1
juliandunn,0
cdenneen,0
omehegan,1
simoleone,1
purpleidea,1
dmcrystax,1
gpoulin2,1
rclanan,1
sax,1
sneal,0
lsimons,1
lsimons,1
mwrock,1
jdmulloy,0
BackSlasher,1
mwrock,1
s7726,1
sumkincpp,1
andrewmains12,1
StefanScherer,1
ewigkeit1204,0
databus23,1
nmische,1
mwrock,0
parisholley,1
parisholley,0
parisholley,0
mwrock,1
mwrock,1
justanshulsharma,1
acidum,1
trivoallan,0
gildub,1
fpletz,1
sax,1
databus23,1
Scythril,1
danielparks,1
glensc,1
synth3tk,1
justanshulsharma,0
maxlinc,1
b-dean,1
stvleung,1
kamazee,1
emyl,1
mwrock,1
mwrock,1
stevemcc,1
emyl,0
mwrock,0
vStone,0
EvanPurkhiser,0
ffrank,0
bbaugher,0
schauer,1
sneal,1
vassilevsky,1
aaadschutz,1
techtonik,1
amracks,1
keiths-osc,1
skeggse,0
sneal,1
sfx-public,0
Maks3w,0
jdmulloy,1
BlackIkeEagle,0
dhoppe,1
deviantintegral,1
sneal,1
cielavenir,0
sneal,1
sneal,1
akzhan,1
sneal,1
salimane,1
zr40,1
simono,1
aaadschutz,0
bewiwi,0
KLVTZ,1
brettporter,1
calvinhp,1
sneal,1
ifnull,0
dougm,1
cielavenir,0
StefanScherer,1
pdericson,0
benh57,1
PerilousApricot,1
az7arul,0
thierrymarianne,1
xstevecs,1
catsby,1
marnovdm,1
catsby,1
rockymadden,1
rockymadden,1
sneal,1
emyl,1
zigg,1
aspiers,1
stonith,0
kalmanh,1
Freyskeyd,0
cielavenir,1
cielavenir,0
gpurkins,1
snowch,0
hippich,1
tmatilai,1
shtouff,1
sneal,1
cstrahan,1
targetx007,1
RabidGuppy,1
fgrehm,1
mkuzmin,0
ramakrishnan,1
ramakrishnan,0
YungSang,1
agilebarbecue,1
goshakkk,1
berendt,1
szuliq,1
assens,0
takekazuomi,1
berendt,0
tupy,0
fgrehm,1
p0deje,1
cammoraton,1
felixrabe,1
jtopper,1
gildegoma,1
also,1
gildegoma,1
glensc,1
sciurus,1
aspiers,1
aspiers,1
aspiers,0
aspiers,1
chr4,0
lamont-granquist,1
eykd,1
mitchellh,1
sneal,1
sneal,1
sneal,1
sneal,0
berendt,1
aspiers,1
sneal,1
sneal,1
aspiers,1
aspiers,1
aspiers,1
mitchellh,1
shadowfax-chc,0
shadowfax-chc,1
JuanitoFatas,1
mitchellh,1
wtanaka,0
shadowfax-chc,1
sneal,1
bclarkindy,1
benesch,1
benesch,1
javornikolov,1
bmcorser,0
benesch,1
mitchellh,1
mitchellh,1
shadowfax-chc,1
sneal,1
ronnix,1
sneal,1
sneal,1
sneal,1
sneal,1
sneal,1
rasschaert,1
jingchan,1
jjshoe,1
berendt,0
benesch,1
berendt,0
mjfroehlich,1
berendt,1
berendt,1
brenttheisen,0
brenttheisen,1
Mulkave,1
berendt,1
berendt,1
berendt,1
gildegoma,1
zeroem,0
bmorg,1
b-long,0
cuberri,0
zzamboni,1
zzamboni,1
timcooper,1
timcooper,1
Arxisos,1
joanbarros,1
ndemonner,1
briandailey,0
follower,1
odigity,1
davidkuridza,1
oscarrenalias,1
berendt,1
valioDOTch,0
philippfranke,1
pmenglund,1
miurahr,1
Coffee-fan,1
toooooooby,0
jaikdean,1
ramakrishnan,1
skoblenick,0
mattoxbeckman,1
ecoleman,1
berendt,1
novalagung,0
barrkel,1
sneal,1
emyl,1
skinofstars,1
