@relation 'diaspora-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20'

@attribute created_at_week_day {quarta-feira,segunda-feira,domingo,sabado,sexta-feira,quinta-Feira,terca-feira}
@attribute created_at_day_turn {manha,noite,madrugada,tarde}
@attribute conflict {false}
@attribute forward_links {false,true}
@attribute intra_branch {false,true}
@attribute description_length numeric
@attribute num_commits numeric
@attribute files_added numeric
@attribute files_deleted numeric
@attribute files_modified numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute doc_files numeric
@attribute other_files numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute commits_on_files_touched numeric
@attribute commits_to_hottest_file numeric
@attribute hotness numeric
@attribute at_mentions_description numeric
@attribute at_mentions_comments numeric
@attribute prev_pull_reqs_project numeric
@attribute project_succ_rate numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute test_cases_per_kloc numeric
@attribute asserts_per_kloc numeric
@attribute stars numeric
@attribute team_size numeric
@attribute project_age numeric
@attribute workload numeric
@attribute ci {travis,unknown}
@attribute requester {SuperTux88,cmrd-senya,svbergerem,denschub,Flaburgan,k0kubun,Faldrian,celber,visualsayed,korun,dmorley,theworldbright,Fensterbank,manuelVo,fiedl,jhass,Thor77,balasankarc,kas70,ujdhesa,avikpal,atulonruby,stragu,apsc92,Zauberstuhl,AugierLe42e,sarithats,tamatsyk,lstoll,marienfressinaud,jaywink,SansPseudoFix,axilleas,jpope777,pravi,Darael,sjain1107,Raven24,zaziemo,johand,AntonTkachov,morashid92,mikicaivosevic,RichKavanagh,yithian,giniouxe,Realtin,joebew42,RyDroid,Haidy777,fap-,pablocubico,arlogn,efstrian,strivedi183,teslasmoustache,ita1024,margori,goobertron,mrbrdo,artoartnik,szlend,zachrab,desyncr,MothOnMars,lislis,sam09,S-Ercan,aka001,WebDevFromScratch,fscz,salbertson,dimaursu,gdpelican,maliktunga,SWW13,aykevl93,jonsger,collimarco,flamontagne,ThomasLeister,joshk,Gallaecio,DharmaCommunity,JesseWeinstein,RoseTheFlower,hferee,Reifenpilot24de,zikalify,StefOfficiel,MarcBurt,roymckenzie,goofy-bz,taro-k,18augst,deepy,polsVoice,theatre-x,max258,jaideng123,remcohh,khall,lyzellis,dan-mi-sun,damzcodes,blase,MrFrety,rundkorn,theutahkate,blackwarthog,mmn,kpcyrd,hpetru,maxwell,wiegelmann,Chocobozzz,taratatach,jbelanich,MrZYX,Ruxton,nviennot,santosgabriel,hank789,amyilake,JannikStreek,rootwyrm,ilake,mehmetaergun,olorin,abhineet08,hincupetru,MatrixCrawler,seanbrant,onpon4,dash-rai,geirkairam,bronislav,rsofaer,qmaruf,ivanzotov,fabianrbz,ZBarg,zapiens,PallaviTS,marciol,rezapaya,pkallberg,manwithtwowatches,nitinsurfs,RoonyH,AraanBranco,alisoncassidy,0TWAIN0,ssrihari,redrik,movilla,WebSpider,marekjm,fubik,emilceh,gilhyun,manuels,colindean,dorman,rogerbraun,andrewcsmith,oliverbarnes,juliaguar,netom,kvsatya,meitar,L3MNcakes,jguyon,carolinagc,bjozzi,rivendale2010,tsrivishnu,davexunit,dukex,fabianfiorotto,kevivmatrix,juanazam,lnakamura,eloydegen,brauliomartinezlm,diasp,brunomachado,embs,wenzowski,marceloeloelo,workwareusa,marpo60,pestrada,jishnu7,afrerich,mtparet,prellele,somethree,alininja,DeadSuperHero,divout,fhsdi2,malavbhavsar,tubbo,archSeer,marco-gallardo,YaNoo,yurkobb,liamn,davecocoa,PatBarret,bobbywilson0,rschaden,EJW1,grimreaper,grzuy,simonsmiley,mklew,hfase01,devendram,gutobenn,billyoc,jeremyjh,alimony,dotkrnl,flipkick,fermionic,sfawaz,Goutte,kikuchiyo,L2G,brynary,justindthomas,Rawk,stevenh512,wubwubwubcr3w,zscott,ChaosCoder,kostasnw,nsdevaraj,caarlos0,fechterjm,clavisound,OhaiBBQ,agconnor,panckreous,pubis,tsujigiri,ktkaushik,xray7224,m4tze,christophe-de,denniscollective,vcuculo,shavit,s-f-s,ChFernandez,jbivins,pixelistik,gandaro,beardedninja,Carabas,JMSilla,prathamesh-sonpatki,stefi,Pistos,rekado,stwf,nolith,Stultus2,Yajo,sailing,fred,robhogg,gouthamvel,torrancew,arions,CodeBlock,judytuna,ChaseReid,memarko,futurechimp,vanhalt,one-dash,DusanM97,laserlemon,aabril,tmlee,geckoxx,kaleemullah,aboire,michaelklishin,carzil,groovehunter,kapcom01,jperyl,21echoes,mrtee,Robsteranium,Gonzih,buddhamagnet,walternelson,doot0,svoop,bagilevi,halfd,firefly21,spieker,wcs,Flink,bdjnk,gladiac,uiri,johnedmonds,sofian,Flashinator,alda519,jtimberman,NaleagDeco,robin-drexler,cparker15,everplays,untitaker,brianwisti,andrejpodzimek,lksnyder0,leonardolaporte,ticho,isaacsanders,galaxor,anassahmed,ajft,jancborchardt,disconn3ct,mblog,gvx,protowouter,drummondj,shawnwebs,ndee,cyberkov,paddyez,vidkun,nannubest,yolk,rtznprmpftl,imw,anishsheela,jerinphilip,Dorian,arzumy,jamiew,NPerry,ritchiewilson,adonix,evant,williamtheaker,jrichardlai,kiranh,mnutt,siefca,brandonkernell,ramiromagalhaes,benoit934,dangold1138,soukron,raid5,lfortin,jairodiaz,berkes,frank-r-schmidt,lusum,Pasta,joedavis,TomK32,nickvdb,flah00,utkarshkukreti,rajesh672,oacis,pupeno,themasch,sentientwaffle,iurikothe,digination,jish,masterdot,adedommelin,Hexagon,Vanuan,blackxored,silviorelli,antimatter15,rtxanson,yarons,jandom,jdeisenberg,alepane21,mattbaker,danieleds,robotarmy,robustdj,rnevitt,michiwend,ecleel,onewland,ultrasaurus,jwinky,ggilder,rmaskey,maelsoucaze,theBernd,tristil,archi,UserAd,bigbash,binarycleric,tenaciousflea,leamas,patcito,Crimer,sgayda2,Stigjb,jeffrydegrande,koo5,jbhannah,kashif,minilibra,maco,duke-,guilleiguaran,yuvadm,drt24,bastos,sarahmei,sennewood,D4nte,cirnatdan,diogenes,michael-k,mousey,apardo,adelcasse,CAFxX,tkrehbiel,Setheck,Chiggins,mastooo,cmelbye,spack,moziz,brinchj,manveru,pedrosilva,CodeBleu,stefanotravelli,arielo,mishudark,danillos,sloser,7h0ma5,ubikuity,sirmacik,kyber,Otacon,Darkmagister,madmaze,MrBison,zturtleman,halfdan,voxdolo,tdpsk,nh2,ebruning,donpdonp,rwaldron,gosuri,steveklabnik,5v3n,sterops,zeph,ccoenen,soychicka,felgru,fbrubacher,cryptix,hemanth,jarinudom,hbons,jcdyer,ashcrow,dlo}
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute followers numeric
@attribute following numeric
@attribute requester_age numeric
@attribute main_team_member {true,false}
@attribute watcher_project {true,false}
@attribute req_follows_integrator {false,true}
@attribute integrator_follows_req {false,true}
@attribute prior_interaction_issue_events numeric
@attribute prior_interaction_issue_comments numeric
@attribute prior_interaction_pr_events numeric
@attribute prior_interaction_pr_comments numeric
@attribute prior_interaction_commits numeric
@attribute prior_interaction_commit_comments numeric
@attribute first_response numeric
@attribute status {0,1}

@data
quarta-feira,manha,false,false,false,11,1,0,0,1,1,1,0,0,0,2,4.598352,0.057419,2,2,0.004762,0,0,2716,0.7419,0.028571,16871,1146.87926,130.282734,181.376326,12150,11,2002,75,travis,SuperTux88,67,0.940299,30,18,1959,true,true,false,false,1,22,12,5,27,0,-1,1
segunda-feira,noite,false,false,false,38,1,1,0,5,6,6,0,0,17,5,26.256589,0.327999,55,38,0.012195,0,0,2715,0.741805,0.026829,16912,1129.020814,127.365184,177.447966,12147,11,2000,77,travis,cmrd-senya,21,0.428571,1,2,449,true,true,false,false,0,64,7,2,8,0,-1,1
segunda-feira,manha,false,false,false,286,15,2,2,20,24,16,6,1,681,1467,270.944365,3.384651,66,31,0,0,1,2714,0.74171,0.026829,16912,1129.020814,127.365184,177.447966,12146,11,2000,77,travis,SuperTux88,66,0.939394,30,18,1957,true,true,true,true,1,22,11,5,27,0,-1,1
segunda-feira,madrugada,false,false,false,52,2,0,0,5,5,5,0,0,24,80,46.856662,0.585336,14,13,0.004902,1,0,2713,0.741614,0.026961,16906,1128.120194,127.173784,177.27434,12146,11,1999,76,travis,SuperTux88,65,0.938462,30,18,1956,true,true,false,false,1,22,10,5,26,0,-1,1
domingo,madrugada,false,false,false,9,1,0,0,2,2,0,2,0,0,0,8.281491,0.103453,5,3,0.007407,0,0,2712,0.741519,0.02716,16906,1128.120194,127.173784,177.27434,12144,11,1998,77,travis,svbergerem,341,0.935484,16,5,1094,true,true,true,true,30,132,68,42,109,0,-1,1
domingo,madrugada,false,false,false,24,2,0,0,2,2,2,0,0,85,0,20.21604,0.25254,5,5,0.012346,0,0,2711,0.741424,0.02716,16906,1128.120194,127.173784,177.27434,12144,11,1998,77,travis,svbergerem,340,0.935294,16,5,1094,true,true,true,true,30,132,67,42,109,0,-1,1
domingo,madrugada,false,false,false,43,2,1,1,5,7,7,0,0,143,28,26.850273,0.335415,3,3,0,0,0,2710,0.741328,0.027228,16906,1128.120194,127.173784,177.27434,12143,11,1998,75,travis,svbergerem,339,0.935103,16,5,1094,true,true,true,true,30,129,66,42,109,0,-1,1
sabado,tarde,false,false,false,5,3,0,0,4,4,4,0,0,95,68,27.048715,0.337889,2,2,0,0,0,2709,0.741233,0.027295,16906,1125.340116,126.818881,176.801136,12142,11,1998,73,travis,svbergerem,338,0.934911,16,5,1094,true,true,true,true,30,128,65,42,109,0,-1,1
sexta-feira,noite,false,false,false,8,3,1,1,23,25,24,0,0,581,368,118.335836,1.482583,130,95,0.007557,0,0,2707,0.741411,0.027708,16842,1137.157107,127.775799,177.947987,12141,11,1997,76,travis,SuperTux88,64,0.9375,30,18,1954,true,true,true,true,1,20,9,1,22,0,0,1
sexta-feira,tarde,false,false,false,36,5,0,0,2,2,2,0,0,89,0,45.884642,0.574896,136,131,0.330808,0,0,2706,0.741316,0.027778,16842,1131.041444,127.24142,177.235483,12141,11,1997,76,travis,denschub,13,0.846154,85,20,2048,true,true,true,true,40,148,59,13,199,0,116,1
quinta-Feira,tarde,false,false,false,8,1,0,0,2,2,2,0,0,2,6,8.874808,0.111251,0,0,0,0,0,2705,0.74122,0.028424,16837,1137.732375,127.873137,178.060225,12136,11,1996,78,travis,svbergerem,337,0.934718,16,5,1092,true,true,true,true,30,127,64,42,109,0,-1,1
quinta-Feira,manha,false,false,false,57,10,2,1,25,28,28,0,0,586,378,198.881133,2.493095,32,25,0,0,0,2704,0.741124,0.028497,16837,1137.732375,127.873137,178.060225,12135,11,1996,78,travis,SuperTux88,63,0.936508,30,18,1953,true,true,false,false,1,17,8,1,22,0,0,1
terca-feira,madrugada,false,false,false,30,20,6,3,36,45,31,9,1,7700,12,662.730468,8.312684,151,129,0,0,5,2702,0.741303,0.030928,16828,1138.34086,127.941526,178.155455,12129,12,1993,81,travis,svbergerem,336,0.934524,16,5,1089,true,true,true,true,29,118,62,40,107,0,727,1
terca-feira,madrugada,false,false,false,177,4,1,1,27,29,26,2,1,493,645,268.019091,3.361786,57,25,0,0,0,2701,0.741207,0.030928,16828,1138.34086,127.941526,178.155455,12127,12,1993,80,travis,SuperTux88,62,0.935484,30,18,1950,true,true,true,true,1,17,7,1,21,0,1221,1
domingo,madrugada,false,true,false,158,8,1,1,21,23,23,0,0,1014,705,200.578541,2.515874,30,25,0,0,2,2699,0.741386,0.028424,16828,1138.34086,127.941526,178.155455,12112,12,1991,82,travis,SuperTux88,61,0.934426,30,18,1948,true,true,true,true,1,17,6,1,21,0,1269,1
sexta-feira,madrugada,false,false,false,7,1,0,1,1,2,4,0,1,9,0,4.176265,0.052355,0,0,0,0,0,2698,0.74129,0.031662,16827,1138.40851,127.949129,178.166043,12103,13,1989,78,travis,svbergerem,335,0.934328,16,5,1085,true,true,true,true,29,119,61,41,100,0,-1,1
quinta-Feira,tarde,false,false,false,42,1,0,0,1,1,1,0,0,1,0,3.702743,0.046418,0,0,0,0,3,2697,0.741194,0.03183,16827,1138.40851,127.949129,178.166043,12101,13,1989,77,travis,cmrd-senya,19,0.421053,1,2,438,true,true,false,false,1,54,5,3,12,0,2,1
quinta-Feira,madrugada,false,false,false,14,1,0,0,2,2,2,0,0,209,0,9.549989,0.119721,2,2,0.005333,0,0,2696,0.741098,32,16827,1138.40851,127.949129,178.166043,12100,13,1988,79,travis,svbergerem,334,0.934132,16,5,1084,true,true,true,true,29,118,60,41,98,0,-1,1
quinta-Feira,madrugada,false,false,false,17,1,0,0,1,1,0,1,0,0,0,4.370353,0.054788,2,2,0.005333,0,0,2695,0.741002,32,16827,1138.40851,127.949129,178.166043,12100,13,1988,78,travis,svbergerem,333,0.933934,16,5,1084,true,true,true,true,29,118,59,41,98,0,-1,1
quarta-feira,tarde,false,false,false,30,1,0,0,3,3,0,3,0,0,0,12.980195,0.162723,5,3,0.005348,0,0,2694,0.740906,0.032086,16827,1138.40851,127.949129,178.166043,12099,13,1988,78,travis,cmrd-senya,18,0.388889,1,2,437,true,true,false,false,1,53,4,5,12,0,-1,1
quarta-feira,madrugada,false,false,false,6,2,0,0,2,2,0,2,0,0,0,18.018697,0.225886,2,2,0.005305,0,0,2692,0.741085,0.034483,16827,1138.40851,127.949129,178.166043,12099,13,1987,77,travis,svbergerem,332,0.933735,16,5,1083,true,true,true,true,29,117,57,41,97,0,-1,1
terca-feira,madrugada,false,false,false,32,1,0,0,1,1,1,0,0,7,0,4.50697,0.0565,0,0,0,0,1,2691,0.740988,0.049223,16828,1138.400285,127.941526,178.155455,12096,13,1987,79,travis,denschub,12,0.833333,85,20,2038,true,true,true,true,32,98,44,22,180,0,-1,1
segunda-feira,manha,false,false,false,5,1,0,0,1,1,1,0,0,2,0,4.681259,0.058685,0,0,0,0,0,2690,0.740892,0.068182,16828,1138.400285,127.941526,178.155455,12096,14,1986,79,travis,svbergerem,331,0.933535,16,5,1082,true,true,true,true,30,115,55,44,98,0,-1,1
segunda-feira,madrugada,false,false,false,7,2,0,0,11,11,4,7,0,11,0,95.756575,1.200412,6,4,0,0,2,2689,0.740796,0.068354,16828,1138.400285,127.941526,178.155455,12095,14,1985,77,travis,svbergerem,330,0.933333,16,5,1081,true,true,true,true,30,114,54,44,97,0,633,1
domingo,tarde,false,false,false,19,1,0,0,1,1,1,0,0,0,3,4.190067,0.052527,0,0,0,0,0,2688,0.740699,0.076733,16828,1138.400285,127.941526,178.155455,12093,15,1985,78,travis,svbergerem,329,0.933131,16,5,1081,true,true,true,true,29,113,53,44,97,0,-1,1
domingo,madrugada,false,false,false,10,2,0,0,2,2,2,0,0,2,22,8.371886,0.104949,0,0,0,0,0,2687,0.740603,0.076923,16828,1137.330639,127.822676,178.036606,12088,15,1984,79,travis,svbergerem,328,0.932927,16,5,1080,true,true,true,true,29,113,52,44,97,0,-1,1
sabado,madrugada,false,false,false,8,2,0,0,2,2,2,0,0,9,0,9.552175,0.119745,0,0,0,0,0,2686,0.740506,0.079208,16828,1137.330639,127.822676,178.036606,12083,15,1983,79,travis,svbergerem,327,0.932722,16,5,1079,true,true,true,true,28,110,51,29,96,0,-1,1
terca-feira,tarde,false,false,false,20,1,0,0,3,3,3,0,0,7,0,13.674362,0.171421,141,136,0.276961,0,0,2684,0.740686,0.090686,16827,1137.398229,127.830273,178.047186,12072,15,1980,77,travis,svbergerem,326,0.932515,16,5,1076,true,true,true,true,27,105,50,28,94,0,38,1
