@relation 'meteor-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20'

@attribute created_at_week_day {terca-feira,segunda-feira,domingo,sabado,sexta-feira,quinta-Feira,quarta-feira}
@attribute created_at_day_turn {manha,madrugada,noite,tarde}
@attribute conflict {false}
@attribute forward_links {false,true}
@attribute intra_branch {false,true}
@attribute description_length numeric
@attribute num_commits numeric
@attribute files_added numeric
@attribute files_deleted numeric
@attribute files_modified numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute doc_files numeric
@attribute other_files numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute commits_on_files_touched numeric
@attribute commits_to_hottest_file numeric
@attribute hotness numeric
@attribute at_mentions_description numeric
@attribute at_mentions_comments numeric
@attribute prev_pull_reqs_project numeric
@attribute project_succ_rate numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute test_cases_per_kloc numeric
@attribute asserts_per_kloc numeric
@attribute stars numeric
@attribute team_size numeric
@attribute project_age numeric
@attribute workload numeric
@attribute ci {circleci,unknown}
@attribute requester {emgee3,tmeasday,aldeed,glasser,zol,Primigenus,woogenius,laosb,Sarah-Alsinan,mitar,aericson,mattmccutchen,martijnwalraven,trusktr,jithesh55,meonkeys,birkskyum,Kauress,cloudzombie,LewisW,sebakerckhof,avital,fabienb4,dotansimha,lassombra,mquandalle,queso,rafael-nunez,emars,benjamn,pra85,okland,ozsay,zimme,rdickert,jiku,jrmlstf,tonycastle,nagelflorian,sedouard,n1mmy,bwobst,mjmasn,bwhitty,IeuanG,nathan-muir,brunocassol,Veered,aofrozen,slava,sheeldotme,reel,lpinto93,horner,oricordeau,talha-asad,robfallows,devgrok,skishore,rgoomar,stubailo,bySabi,dburles,welelay,mbrookes,TomFreudenberg,zacharydenton,markoshust,yhoiseth,TechplexEngineer,AlexeyMK,greggman,benweissmann,timwachsener,KiwiHacks08,martijndeh,Gwendall,JonTheNiceGuy,ekatek,eXon,ClarenceL,theavish,anand-vishal,bradvogel,kencheung,dandv,johnthepink,brettle,yyx990803,DAB0mB,aramk,pbastowski,sclausen,DCKT,lalomartins,shadedprofit,maxnowack,cedla,wojtkowiak,wh0,Urigo,brianlukoff,OleksandrChekhovskyi,vjau,cherbst,dgreensp,luohuazju,tomwasd,timhaines,quetzalcoatl,anubhav94,servel333,Rebolon,TC827,JamesMGreene,acidsound,atcwells,peterchoo,wbyrnetx,kookoskar,lieuwex,kentonv,omeid,patmoore,RobertLowe,chmac,edwinlin1987,firdausramlan,clothiersphere,robertpitt,tahirabas12,ffxsam,ApplePicke,jboulhous,Kriegslustig,freiit,carterchung,HQingYi,zhenyasav,gsuess,dolgarev,zicai,speciose,Lavan,adhearn,alanning,BraveKenny,jperl,Andarist,avalanche1,rbabayoff,lezed1,copleykj,jagi,jozzas,dferber90,maersu,DenisGorbachev,krazyeom,SachaG,ryneeverett,skagedal,warrenseine,ecwyne,hammadasad,hjst,edull24,dabrorius,Siilwyn,ksepehri,aquator,raix,Dev1an,srounce,Danieboy,jamgold,Sanjo,zyzo,lucendio,rjakobsson,hwillson,dropfen,murillo128,tomarcafe,svda,koolaid1551,Tarang,multilinear,bobiblazeski,hypno2000,mininao,mariorodriguespt,jakozaur,awatson1978,yauh,romanzolotarev,tomByrer,0a-,DanielDent,prasadKodeInCloud,d4nyll,estark37,cuberoot,smallhelm,netanelgilad,prinzdezibel,fay-jai,nothingisdead,splendido,lourd,strikeout,adnissen,restebanez,rissem,knownasilya,ogourment,locksmithdon,taromero,graemian,comerc,musically-ut,waitingkuo,colllin,physiocoder,DanielDornhardt,anstarovoyt,Cangit,ChristianBundy,pcjpcj2,Maxim-Filimonov,PooMaster,sebsylvester,ograycode,chrisbridgett,LyuGGang,olizilla,kevinchiu,awwx,matteodem,plexorama,andylash,stefankutko,mizzao,gitter-badger,adelq,timbrandin,rosh93,vince-stark,Gaelan,richguan,rick-golden-healthagen,davidworkman9,rzymek,pscanf,ryanmurakami,timoabend,evliu,subhog,wulfmeister,prapicault,clauswitt,theosp,justinsb,CryptoQuick,WimAtIHomer,RichardLitt,giavjeko,apendua,JimHough,twhy,MaximDubrovin,plachintas,Sewdn,lorensr,thatneat,ImtiazMajeed,boneyao,cmather,ORiON-,duckspeaker,iamstephenkerr,jbruni,FredericoC,ducdigital,pahans,kevb,babenzele,arbesfeld,juan-lavaina,tbjers,mikowals,rcy,andyeskridge,AntonLS,felixrabe,vsivsi,arunoda,Pent,nodecoder,Neftedollar,lukemt,davegonzalez,rgould,paulswartz,gdi2290,jfhamlin,subjective,marcandre,ankurp,greggdourgarian,patrickleet,yeputons,andreas-karlsson,OyoKooN,michaelbishop,mart-jansink,siggioskarsson,jvanveen,jaredsohn,gandev-de,alexhancock,ScottPolhemus,Tarangp,danieljonce,FooBarWidget,blackcoat,lencinhaus,andriesmalan,MaerF0x0,zeldovich,et,akralj,mcbain,demyanrogozhin,mrmrs,bitsthatmatter,Maxhodges,codeinthehole,sdarnell,bruceharris,BenjaminRH,dnprock,opyh,ansman,meawoppl,andreioprisan,jpmx,ryw,btipling,mrhein,eymiha,deepwell,eldog,bchelli,reezer,drgorb,Xample,yubozhao,lennartcl,zvictor,johnston,adamjspooner,jacott,ashaffer,stephentcannon,gib,pius,sixolet,pmark,jagill,spang,AjayMT,joshuaconner,tutukin,ianserlin,kevee,erundook,jhoxray,reustle,pstuart2,justinledwards,nate-strauser,sylvaingi,rasmuserik,haircuttedfreak,jmhredsox,kevinxucs,qzg,biocross,krizka,michaelglenadams,jerico-dev,dbimmler,belisarius222,Multiply,mrcoles,bbbmmmlll,wihl,RoboTeddy,hijonathan,crunchie84,milesmatthias,xenolf,bramp,bminer,zealoushacker,imageoptimiser,michaelneale,geoffd123,danawoodman,AVGP,rep,scottburch,hipertracker,substack,Ed-von-Schleck,airlok,TimHeckel,acemtp,nwmartin,roymax,workmad3,lvbreda,stephanebisson,Charuru,Gigaroby,75lb,jwulf,ayal,evo42,html5cat,jbernab,tifroz,motro,yonggao,bradens,yanivoliver,possibilities,fivethirty,psoots,joshrtay,TomWij,alansikora,jaeh,heavyk,zhangcheng,alex-seville,corbanbrook,MStumpp,adrusi,mpj,node-migrator-bot,ibash,groodt,TrevorBurnham,1337807,sindrenm,wbzyl,thomasf1,jonathanKingston,jlamontagne,huetsch,clarete,cobbweb,barisbalic,antoviaque,tylerball,phillc,bfirsh,climboid,JasonGiedymin,jackp,gabriel-dehan,d2s,viddo,dsummersl,adrianmaurer,txm,alanvdam,jpmec,AndyMoreland,skalb,iwoj,mindscratch,bobbywarner,shama,jamesotron,dmayle,andredublin,kiba,heikki,thatguydan,joshmcarthur,quarterto,cldwalker,ghostrocket,bnookala,hswolff,davemo,edward,debergalis}
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute followers numeric
@attribute following numeric
@attribute requester_age numeric
@attribute main_team_member {false,true}
@attribute watcher_project {true,false}
@attribute req_follows_integrator {false,true}
@attribute integrator_follows_req {false,true}
@attribute prior_interaction_issue_events numeric
@attribute prior_interaction_issue_comments numeric
@attribute prior_interaction_pr_events numeric
@attribute prior_interaction_pr_comments numeric
@attribute prior_interaction_commits numeric
@attribute prior_interaction_commit_comments numeric
@attribute first_response numeric
@attribute status {0,1}

@data
terca-feira,manha,false,false,false,31,1,0,0,1,1,1,0,0,2,0,4.800584,0.05039,37,37,0.055807,0,0,1418,0.538787,0.618401,158454,225.62384,0.031555,28.98633,33225,12,1517,104,circleci,emgee3,5,0.6,13,8,1727,false,true,false,false,3,9,0,0,0,0,255,1
segunda-feira,madrugada,false,false,true,79,1,0,0,1,1,1,0,0,10,0,4.789163,0.050383,42,42,0.064815,1,0,1417,0.538462,0.608025,158459,225.616721,0.031554,28.985416,33185,12,1516,103,circleci,tmeasday,35,0.714286,434,6,2358,true,true,false,false,90,177,27,9,69,9,-1,1
domingo,manha,false,false,false,29,2,0,0,1,1,1,0,0,12,0,4.70835,0.049533,8,8,0.012442,1,2,1416,0.538136,0.606532,158459,225.616721,0.031554,28.985416,33168,12,1515,102,circleci,aldeed,5,0.2,446,4,1189,false,true,false,false,3,18,1,0,2,0,1112,1
sabado,madrugada,false,false,true,7,1,0,0,8,8,6,1,0,28,0,36.336766,0.381001,33,20,0.007849,0,0,1414,0.53819,0.601256,158516,225.535593,0.031543,28.974993,33148,12,1513,103,circleci,glasser,14,0.571429,321,1,2801,true,true,false,false,8,7,1,0,4,1,87,1
sexta-feira,manha,false,false,true,14,1,0,0,3,3,2,0,0,33,0,13.728466,0.143948,51,40,0.028571,0,2,1413,0.537863,0.592063,158509,225.545553,0.031544,28.976273,33115,12,1513,102,circleci,tmeasday,34,0.705882,434,6,2355,true,true,false,false,85,164,25,9,66,6,1,1
sexta-feira,madrugada,false,false,true,6,2,0,0,1,1,1,0,0,4,0,4.605467,0.048288,37,37,0.059295,0,0,1412,0.538244,0.591346,158483,225.582555,0.031549,28.981026,33114,12,1513,105,circleci,zol,6,1,107,0,2501,true,true,false,false,113,104,7,0,11,1,-1,0
quinta-Feira,manha,false,false,true,51,2,0,0,1,1,1,0,0,39,0,9.544043,0.100071,4,4,0.006504,1,0,1411,0.537916,0.58374,158454,225.655395,0.031555,28.980019,33094,13,1512,101,circleci,tmeasday,33,0.69697,434,6,2354,true,true,false,false,85,161,23,9,64,4,149,1
quarta-feira,noite,false,false,false,7,1,0,0,1,1,1,0,0,2,0,4.535495,0.047581,39,39,0.063934,0,0,1410,0.537589,0.577049,158425,225.696702,0.031561,28.985324,33080,13,1511,106,circleci,Primigenus,11,1,90,51,2349,false,true,false,false,0,2,1,0,0,0,2041,1
quarta-feira,manha,false,false,false,53,1,0,0,1,1,1,0,0,4,0,4.881624,0.042796,0,0,0,0,1,1409,0.53726,0.576355,151895,250.330821,0.026334,30.837091,33074,13,1511,104,circleci,woogenius,0,0,3,1,1088,false,true,false,false,0,0,0,0,0,0,2560,1
quarta-feira,manha,false,false,true,10,3,1,0,8,9,7,0,1,64,0,41.20279,0.432249,96,36,0.032949,0,0,1408,0.536932,0.574959,158425,225.696702,0.031561,28.985324,33074,13,1511,102,circleci,tmeasday,32,0.6875,434,6,2353,true,true,false,false,83,156,21,8,55,3,1062,1
quarta-feira,manha,false,false,false,74,2,0,0,4,4,4,0,0,88,0,18.236056,0.191334,17,9,0.011589,1,1,1407,0.536603,0.576159,158416,225.709524,0.031562,28.986971,33072,13,1511,104,circleci,aldeed,4,0,446,4,1185,false,true,false,false,3,13,1,0,2,0,32,1
sabado,tarde,false,false,false,24,1,0,0,1,1,1,0,0,13,0,4.528028,0.039696,11,11,0.018581,0,0,1406,0.536273,0.559122,151895,250.330821,0.026334,30.837091,32977,12,1507,102,circleci,laosb,2,0.5,32,25,1240,true,true,false,false,1,24,2,1,1,0,5090,1
sexta-feira,tarde,false,false,false,9,1,0,0,1,1,1,0,0,2,0,4.501539,0.03948,0,0,0,0,0,1405,0.535943,0.551195,151851,250.363844,0.026342,30.846027,32961,12,1506,102,circleci,Sarah-Alsinan,2,1,3,3,365,false,false,false,false,0,0,2,0,1,0,211,1
sexta-feira,tarde,false,false,false,12,1,0,0,1,1,1,0,0,2,0,4.538406,0.039804,2,2,0.003413,0,0,1404,0.535613,0.551195,151851,250.363844,0.026342,30.846027,32961,12,1506,101,circleci,Sarah-Alsinan,1,1,3,3,365,false,false,false,false,0,0,1,0,1,0,6734,1
sexta-feira,tarde,false,false,false,10,1,0,0,1,1,1,0,0,2,0,4.521108,0.039652,0,0,0,0,0,1403,0.535282,0.551195,151851,250.363844,0.026342,30.846027,32961,12,1506,101,circleci,Sarah-Alsinan,0,0,3,3,365,false,false,false,false,0,0,0,0,1,0,6735,1
quinta-Feira,tarde,false,false,true,42,1,0,300,0,300,38,85,176,2663,0,0,0,4,3,0,1,0,1402,0.53495,0.547782,160561,222.544703,0.031141,28.599722,32935,12,1505,100,circleci,tmeasday,31,0.677419,434,6,2347,true,true,false,false,72,136,19,8,47,2,309,1
quinta-Feira,manha,false,false,false,7,1,1,0,4,5,5,0,0,75,16,23.678231,0.207668,8,7,0.003431,0,2,1401,0.534618,0.54717,151851,250.363844,0.026342,30.846027,32932,12,1505,102,circleci,mitar,79,0.632911,178,86,1863,false,true,false,false,8,181,24,14,2,0,-1,1
quarta-feira,madrugada,false,false,false,40,1,0,0,1,1,0,1,0,0,0,5.051242,0.043377,2,2,0.003534,0,0,1399,0.534668,0.535336,160576,222.523914,0.031138,28.597051,32903,12,1503,105,circleci,zol,5,1,107,0,2491,true,true,false,false,91,67,3,0,8,0,300,1
terca-feira,manha,false,false,true,41,2,3,3,2,8,4,3,2,65,0,22.345886,0.191893,6,5,0,0,2,1398,0.534335,0.532028,160576,222.523914,0.031138,28.597051,32880,12,1503,104,circleci,tmeasday,30,0.666667,434,6,2345,true,true,false,false,69,121,17,6,39,1,1,1
domingo,tarde,false,false,false,9,1,0,0,1,1,1,0,0,2,0,4.26197,0.037379,0,0,0,0,0,1397,0.534717,0.514815,151851,250.363844,0.026342,30.846027,32830,12,1501,107,circleci,mitar,78,0.641026,178,86,1859,false,true,false,false,7,175,22,14,2,0,721,0
sabado,noite,false,false,false,69,1,0,0,3,3,2,0,1,6,0,14.177324,0.124341,0,0,0,0,1,1396,0.534384,0.512104,151851,250.363844,0.026342,30.846027,32817,12,1500,108,circleci,aericson,0,0,27,11,1799,false,false,false,false,0,0,0,0,0,0,4621,1
sabado,tarde,false,false,false,93,9,0,0,3,3,1,1,1,19,0,13.756729,0.120652,2,2,0.003724,0,1,1395,0.534767,0.512104,151851,250.363844,0.026342,30.846027,32811,12,1500,105,circleci,laosb,1,1,32,25,1233,true,true,false,false,1,17,1,1,1,0,3,0
sexta-feira,noite,false,false,false,184,1,0,0,1,1,1,0,0,9,0,4.67122,0.040968,0,0,0,0,0,1394,0.534433,0.508475,151851,250.278233,0.026342,30.846027,32796,11,1499,109,circleci,mattmccutchen,0,0,0,0,519,false,false,false,false,0,0,0,0,0,0,6049,1
sexta-feira,manha,false,false,true,7,7,0,0,4,4,3,0,0,100,0,18.766993,0.161358,30,25,0.009671,0,0,1393,0.534099,0.504836,160430,223.742442,0.031166,28.80384,32774,11,1499,107,circleci,tmeasday,29,0.655172,434,6,2341,true,true,false,false,68,112,13,2,26,1,1,1
quinta-Feira,manha,false,false,true,7,5,1,1,8,10,8,0,0,225,0,30.43619,0.261891,20,20,0.03937,0,1,1392,0.533764,0.496063,160420,223.756389,0.031168,28.805635,32751,11,1498,108,circleci,tmeasday,28,0.642857,434,6,2340,true,true,false,false,68,113,12,2,26,1,231,1
quarta-feira,noite,false,false,true,194,6,1,1,7,9,8,0,1,122,0,42.732227,0.367686,42,21,6,0,0,1390,0.533813,492,153554,233.761413,0.032562,30.093648,32732,11,1497,104,circleci,martijnwalraven,5,0.8,78,4,2566,true,true,false,false,120,235,11,0,167,0,-1,1
quarta-feira,madrugada,false,false,false,8,1,0,0,1,1,1,0,0,6,0,4.517182,0.039617,1,1,0.002028,0,0,1389,0.533477,0.492901,151839,250.298013,0.026344,30.848464,32713,10,1496,108,circleci,trusktr,13,0.538462,65,62,2089,false,true,false,false,20,146,0,11,0,2,5999,1
terca-feira,manha,false,false,true,15,2,0,0,2,2,1,0,0,13,0,9.158407,0.078573,25,19,0.039095,0,0,1387,0.532805,0.489712,153560,249.87627,0.032561,31.13441,32688,10,1496,105,circleci,tmeasday,26,0.615385,434,6,2338,true,true,false,false,54,98,9,4,22,0,1187,1
segunda-feira,manha,false,false,true,39,2,0,0,1,1,0,0,0,0,0,4.322399,0.037061,4,4,0.00813,0,0,1386,0.532468,0.47561,153543,249.903936,0.032564,31.137857,32630,12,1495,105,circleci,tmeasday,25,0.6,434,6,2337,true,true,false,false,45,87,7,4,20,0,474,1
