@relation 'netty-data-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20'

@attribute created_at_week_day {terca-feira,segunda-feira,sabado,sexta-feira,quinta-Feira,domingo,quarta-feira}
@attribute created_at_day_turn {noite,tarde,madrugada,manha}
@attribute conflict {false}
@attribute forward_links {false,true}
@attribute intra_branch {false,true}
@attribute description_length numeric
@attribute num_commits numeric
@attribute files_added numeric
@attribute files_deleted numeric
@attribute files_modified numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute doc_files numeric
@attribute other_files numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute commits_on_files_touched numeric
@attribute commits_to_hottest_file numeric
@attribute hotness numeric
@attribute at_mentions_description numeric
@attribute at_mentions_comments numeric
@attribute prev_pull_reqs_project numeric
@attribute project_succ_rate numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute test_cases_per_kloc numeric
@attribute asserts_per_kloc numeric
@attribute stars numeric
@attribute team_size numeric
@attribute project_age numeric
@attribute workload numeric
@attribute ci {travis,unknown}
@attribute requester {buchgr,normanmaurer,maxwindiff,Scottmitch,mm-binary,vietj,daschl,trustin,windie,kerumai,qiangjinjiu,johnou,CodingFabian,jamel,cnapagoda,guidomedina,Spikhalskiy,nmittler,rtimush,mosesn,blucas,Karry,jchambers,jiafu1115,travishaagen,alkemist,liuzhengyang,lovesea42,huguesb,ejona86,houdejun214,MediumOne,slandelle,ifesdjeen,yetisno,ferrybig,cdancy,NiteshKant,earthling,jza70,louxiu,technocoreai,xkr47,Apache9,zsxwing,skyao,hepin1989,eantaev,rayh176,PierreCoquentin,lukehutch,pieteradejong,jakubjanecek,Underbalanced,louiscryan,sbtourist,develar,ninja-,slachiewicz,loolooyyyy,merlimat,zhangshun2014,hgl888,rdicroce,jroper,jenskordowski,Adam-,silvaran,mubarak,serioussam,fratboy,sverkera,kvr000,mrb-twx,tomasol,vargarob,eincs,myArea51,sja,chrisprobst,grgvineet,rkapsi,yawkat,ioanbsu,djchen,wangzhiheng,sunng87,darabos,FeiWongReed,tomaszc,flozano,glennleidy,JungMinu,hamzaxx,syucream,0mok,woshilaiceshide,atellwu,mikkokar,jedesah,andyHa,clebertsuconic,ruslansennov,rovarga,robinst,idelpivnitskiy,fredericBregier,jestan,Alwayswithme,lime62,ThomasLau,benevans,jingene,d-t-w,garretwu,leogomes,ddossot,pdalpra,wouterhund,luciferous,robertpanzer,tbocek,opinali,jpinner,danbev,casidiablo,lhkzh,yhleeus,ngocdaothanh,mcraveiro,andreipet,sammychen105,elad-yosifon,adriancole,reflection,gariev,dittos,wf2030,beckje01,MichaelScofield,zcourts,ysammy,Pyrolistical,grahamedgecombe,fbarberamzn,heinousjay,timboudreau,jongyeol,jakobbuchgraber,naude-r,gitter-badger,afredlyj,amuniz,g-eorge,Matthias247,CruzBishop,jverce,bk1te,thobbs,pat2013,lw346,profer,bigrasjf,bfritz,youngero,dkocher,kichik,marekjelen,ylgrgyq,plucury,mikereedell,schulzp,zhuguowei01,WillemJiang,zw1127,onlychoice,Scottmitch1,notz,kangjunwei,nitsanw,gaol,xmxsuperstar,michaelklishin,perfectid,houyanjun,alepar,fboucher38,philbaxter,Lekanich,belliottsmith,dns,54k,j3h,jiangzezhou1989,dhanaraj0,WhiteTrashLord,jjYBdx4IL,ctron,jkeys089,mkrueger92,mousom,dragonsinth,tblongjia,died103times,anilsaldhana,tea-dragon,xhumanoid,CoNDoRip,itzg,jbertram,bucjac,aaronriekenberg,PhantomJin,m0wfo,nisihara562,JatinderSingh,andrewgaul,cmcmaugh,xfrag,vschafer,swankjesse,stIncMale,sskachkov,MiddleBen,mleventi,veebs,chenxiuheng,wgallagher,milenkovicm,igstan,arianitu,koen-serry,danielnorberg,BabyDuncan,smiera,nikolajovanovic,craigday,d4r7hk3rm17,mkjellman,lospejos,darionyaphet,okapies,planerist,ANorwell,velmurugan-0186,mhgrove,gsoltis,quickwango,aledale,goaway,radimch,sofent,jwils,matlach,tsingxu,mbakkar,ssilverman,kxbmap,golovnin,alainw,TonyRice,diginori,menacher,irelandKen,razvan-jurca,shreyharia,Andrei-Pozolotin,ryanobjc,siteware,michielbaird,andrewcox,georgecao,Melon1017,infynyxx,adamv,mauricio,hgschmie,haremyak,EugenDueck,lucky,kryptonics411,mcaserta,justinsb,cloudaloe,md-5,carrot-garden,gamlerhart,ming13,matterkkila,barkbay,broach,jeje,glynnm,anathan,stefanmk,bartex80,macer1,arya,matzew,tsuna,jaens,mheath,dantran,coltnz,ytfei,ankurcha,alex-berger,obergner,AtKaaZ,losipiuk,sprsquish,illicitonion,jfallows,jamestyrrell,izstas,gbehrmann,tianjiaguo66,94c3,spullara,mattiasrosberg,boldt,echarles,jabley,trask,cgbystrom,jrask,zhen9ao,transistorize,palmerabollo,rshelley,chavdar,mariusaeriksen,valodzka,motlin,jeffgriffith,evnm,coderunner,pfisterer,nibin,reines,fbarber,danbim,aperepel,waywardmonkeys,Rogiel,iainmcgin,wg,antlen}
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute followers numeric
@attribute following numeric
@attribute requester_age numeric
@attribute main_team_member {false,true}
@attribute watcher_project {false,true}
@attribute req_follows_integrator {true,false}
@attribute integrator_follows_req {false,true}
@attribute prior_interaction_issue_events numeric
@attribute prior_interaction_issue_comments numeric
@attribute prior_interaction_pr_events numeric
@attribute prior_interaction_pr_comments numeric
@attribute prior_interaction_commits numeric
@attribute prior_interaction_commit_comments numeric
@attribute first_response numeric
@attribute status {0,1}

@data
terca-feira,noite,false,false,false,51,1,0,0,1,1,1,0,0,0,12,4.41527,0.040666,1,1,0.001916,0,0,2145,0.481119,0.310345,145224,362.61224,15.362475,43.057621,6135,17,1953,67,travis,buchgr,21,0.142857,27,19,1508,false,false,true,false,4,17,2,3,6,0,15,1
segunda-feira,noite,false,false,false,251,2,0,0,5,5,5,0,0,162,224,45.704157,0.421304,1,1,0,0,10,2144,0.480877,0.301527,144893,361.508147,15.294045,42.948935,6130,17,1952,72,travis,buchgr,20,0.1,27,19,1507,false,false,true,false,4,13,1,0,4,0,2,1
segunda-feira,tarde,false,false,true,43,2,0,0,1,1,1,0,0,12,0,7.643565,0.070584,1,1,0.001905,0,1,2143,0.480635,0.299048,144734,361.207456,15.2763,42.87866,6126,17,1952,76,travis,normanmaurer,499,0.673347,477,12,1978,true,true,false,false,110,847,246,348,386,9,0,1
segunda-feira,tarde,false,false,true,29,1,0,0,1,1,1,0,0,6,0,4.897875,0.075128,0,0,0,0,1,2141,0.480617,0.299048,102967,340.652831,14.208436,35.768741,6126,17,1952,76,travis,normanmaurer,497,0.674044,477,12,1978,true,true,false,false,110,846,244,348,386,9,0,1
segunda-feira,tarde,false,false,true,55,1,0,0,1,1,1,0,0,33,0,3.494264,0.032267,0,0,0,0,3,2140,0.480374,0.299048,144734,361.207456,15.2763,42.87866,6126,17,1952,76,travis,normanmaurer,496,0.673387,477,12,1978,true,true,false,false,110,845,243,348,386,9,0,1
segunda-feira,tarde,false,false,true,55,2,0,0,11,11,11,0,0,994,48,51.500245,0.789961,3,2,0.001905,0,6,2139,0.480131,0.299048,102967,340.652831,14.208436,35.768741,6126,17,1952,73,travis,normanmaurer,495,0.672727,477,12,1978,true,true,false,false,110,844,242,348,386,9,0,1
segunda-feira,tarde,false,false,true,22,1,0,0,2,2,2,0,0,2,8,9.281223,0.142364,4,3,0.005714,0,1,2138,0.479888,0.299048,102967,340.652831,14.208436,35.768741,6126,17,1952,74,travis,normanmaurer,494,0.672065,477,12,1978,true,true,false,false,110,843,241,348,386,9,0,1
segunda-feira,madrugada,false,false,false,60,1,0,0,1,1,1,0,0,14,0,4.32445,0.039934,0,0,0,0,1,2137,0.479644,0.299048,144733,360.892126,15.269496,42.796045,6119,17,1951,72,travis,buchgr,19,0.052632,27,19,1506,false,false,true,false,4,14,0,0,2,0,577,1
sabado,madrugada,false,false,false,31,1,0,0,2,2,2,0,0,26,51,8.849666,0.081721,0,0,0,0,3,2135,0.479625,0.296992,144733,360.892126,15.269496,42.796045,6095,17,1950,72,travis,maxwindiff,0,0,1,1,2026,false,false,false,false,0,0,0,0,0,0,0,1
sabado,madrugada,false,false,false,57,2,2,0,4,6,6,0,0,264,388,55.086331,0.50869,2,2,0,0,9,2133,0.480075,0.296992,144750,360.849741,15.267703,42.791019,6095,17,1949,74,travis,Scottmitch,263,0.136882,40,9,1007,true,true,false,false,65,467,95,240,80,3,0,0
sabado,madrugada,false,false,false,123,1,0,0,3,3,3,0,0,126,0,12.650806,0.116823,4,2,0.003759,0,3,2132,0.4803,0.296992,144750,360.849741,15.267703,42.791019,6095,17,1949,73,travis,Scottmitch,262,0.137405,40,9,1007,true,true,false,false,65,466,94,240,80,3,0,0
sabado,madrugada,false,false,false,52,1,0,0,2,2,2,0,0,23,0,9.194212,0.084903,10,9,0.016917,0,4,2130,0.480751,0.296992,144750,360.849741,15.267703,42.791019,6095,17,1949,70,travis,Scottmitch,260,0.138462,40,9,1007,true,true,false,false,65,464,92,240,80,3,0,0
sexta-feira,madrugada,false,false,false,15,1,0,0,1,1,1,0,0,2,0,4.796105,0.04427,0,0,0,0,0,2128,0.480733,0.297048,144742,359.771179,15.254729,42.717387,6085,17,1948,68,travis,mm-binary,1,0,2,3,509,false,true,false,false,0,1,1,0,2,0,4,1
quinta-Feira,madrugada,false,false,false,94,2,0,0,2,2,2,0,0,10,124,18.224377,0.279544,1,1,0.001876,0,4,2127,0.480489,0.294559,102961,339.682016,14.180126,35.634852,6082,17,1947,68,travis,vietj,0,0,145,50,2183,false,false,true,false,1,1,0,0,2,0,5,1
terca-feira,tarde,false,true,false,200,2,1,0,1,2,2,0,0,308,0,17.979305,0.275991,1,1,0.001912,2,3,2125,0.480941,0.286807,102906,339.329096,14.158552,35.595592,6071,17,1946,71,travis,daschl,25,0.28,109,1,2701,false,false,false,false,0,11,1,2,1,0,3,0
segunda-feira,noite,false,false,true,42,2,1,0,6,7,7,0,0,203,166,67.799613,0.626642,1,1,0,0,4,2124,0.480697,0.282983,144635,359.262972,15.231445,42.693677,6070,17,1945,70,travis,normanmaurer,493,0.6714,477,12,1971,true,true,false,false,107,858,249,406,379,9,0,1
segunda-feira,tarde,false,false,true,46,1,0,0,1,1,1,0,0,24,0,4.260959,0.0394,6,6,0.011538,0,1,2123,0.480923,0.278846,144630,358.957339,15.218143,42.695153,6063,17,1945,73,travis,normanmaurer,492,0.672764,477,12,1971,true,true,false,false,106,849,246,406,379,9,0,0
segunda-feira,tarde,false,false,false,2,3,0,0,1,1,1,0,0,4,0,9.59221,0.088695,0,0,0,0,2,2122,0.48115,0.278311,144613,358.999537,15.219932,42.700172,6062,17,1945,73,travis,mm-binary,0,0,2,3,506,false,true,false,false,0,0,0,0,0,0,3,0
segunda-feira,manha,false,false,true,61,1,0,0,2,2,2,0,0,6,21,8.427549,0.077926,4,3,0.005758,0,2,2121,0.480905,0.278311,144613,358.999537,15.219932,42.700172,6058,17,1945,72,travis,trustin,78,0.705128,571,12,2260,true,true,false,true,25,224,18,200,35,1,505,1
segunda-feira,manha,false,false,false,47,3,4,0,2,6,4,0,0,446,284,38.993511,0.360556,0,0,0,0,4,2120,0.48066,0.277457,144613,358.999537,15.219932,42.700172,6058,17,1945,79,travis,windie,32,0.6875,3,1,1027,true,true,false,false,14,71,37,32,45,1,1,1
domingo,manha,false,false,false,33,1,0,0,2,2,2,0,0,6,0,9.61111,0.08887,3,3,0.005792,0,1,2119,0.480415,0.276062,144613,358.985707,15.219932,42.700172,6051,17,1944,70,travis,kerumai,0,0,9,0,1643,false,false,false,false,0,0,0,0,2,0,749,1
domingo,madrugada,false,false,true,44,1,0,0,1,1,1,0,0,0,2,4.766242,0.044071,1,1,0.001938,0,0,2118,0.48017,0.273256,144613,358.985707,15.219932,42.700172,6050,17,1943,69,travis,normanmaurer,491,0.672098,477,12,1969,true,true,false,false,105,839,242,388,375,9,1300,1
sabado,tarde,false,false,false,25,2,0,0,4,4,4,0,0,238,0,37.681804,0.348427,11,6,0.011628,0,3,2117,0.479924,0.273256,144613,358.985707,15.219932,42.700172,6047,17,1943,71,travis,windie,31,0.677419,3,1,1025,true,true,false,false,14,70,36,32,44,1,77,1
