@relation 'appium-data-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,1,2,2,1,3,0,2,0.583893,1436,385.793872,9,2,0,1
false,false,1,1,1,1,2,0,8,0.596026,1436,385.793872,9,188,0.861702,1
false,false,2,4,3,3,9,4,25,0.597315,1436,385.793872,9,187,0.860963,1
false,false,1,9,3,10,22,0,5,0.60274,1436,385.793872,9,17,0.705882,1
false,false,2,5,3,8,80,0,9,0.604167,1436,385.793872,9,16,0.6875,1
false,false,2,4,2,2,23,0,18,0.605634,1436,385.793872,9,26,0.884615,1
false,false,1,0,1,1,9,0,3,0.611511,1436,385.793872,9,1,0,1
false,false,1,1,1,2,2,0,2,0.613139,1436,385.793872,9,186,0.860215,1
false,false,1,2,2,1,6,0,2,0.613139,1436,385.793872,9,185,0.859459,1
false,false,2,3,3,1,107,0,0,0.619403,1436,385.793872,9,15,0.666667,1
false,false,1,3,2,1,7,0,6,0.619403,1436,385.793872,9,14,0.642857,1
false,false,1,3,4,1,0,0,0,0.621212,1436,385.793872,9,13,0.615385,1
false,false,1,3,4,1,0,0,2,0.623077,1436,385.793872,8,12,0.583333,1
false,false,3,10,5,1,18,0,3,0.627907,1436,385.793872,8,0,0,0
false,false,1,1,1,2,0,0,40,0.625954,1436,385.793872,8,419,0.98568,1
false,false,2,7,3,3,54,0,6,0.620155,1436,385.793872,8,184,0.858696,1
false,false,217,18,2,94,1497,292,13,0.626984,15772,700.862288,8,0,0,0
false,false,1,1,1,1,9,0,0,632,1436,385.793872,7,418,0.985646,1
false,false,1,2,2,2,6,0,11,0.626016,1436,385.793872,7,25,0.88,1
false,false,4,21,3,2,24,0,49,0.620968,1436,385.793872,7,11,0.636364,0
false,false,1,0,0,1,0,9,0,0.583333,15772,700.481867,8,183,0.863388,0
false,false,1,0,0,1,0,0,35,0.583333,1436,385.793872,8,182,0.862637,1
false,false,1,0,1,4,33,24,6,0.592308,15779,700.171114,8,181,0.867403,0
false,false,2,2,2,2,12,0,8,0.596899,1436,385.793872,8,24,875,1
false,false,1,0,0,3,3,0,45,0.574627,1436,385.793872,8,417,0.985612,1
false,false,2,4,2,2,58,0,3,0.567164,1436,385.793872,9,416,0.985577,1
false,false,2,9,3,2,62,0,0,0.551471,1436,385.793872,9,415,0.985542,1
false,false,2,12,4,2,6,106,0,0.555556,15776,697.768763,9,1,0,0
false,false,1,0,0,1,2,0,0,0.539568,15776,697.768763,9,1,0,0
false,false,1,0,0,1,4,0,7,0.528169,1434,386.331939,9,180,0.866667,1
false,false,208,22,3,89,1409,208,18,0.531915,15776,697.768763,9,0,0,0
false,false,1,0,0,2,0,0,34,0.512658,1434,386.331939,9,179,0.865922,1
false,false,1,2,2,1,9,0,10,0.47191,1427,388.22705,9,414,0.985507,1
false,false,2,0,0,1,2,0,9,0.452514,1427,388.22705,9,23,0.869565,1
false,false,206,30,6,88,1505,208,25,0.44382,15776,697.768763,9,0,0,0
false,false,1,0,0,3,1,0,40,0.44382,1427,388.22705,9,178,0.865169,1
false,false,1,0,0,2,0,0,31,0.443182,1427,388.22705,9,177,0.864407,1
false,false,1,5,3,1,0,0,29,0.446927,1427,388.22705,9,10,0.7,0
false,false,1,0,0,2,0,0,29,0.441989,1427,388.22705,9,176,0.863636,1
false,false,1,0,0,2,0,0,27,0.441341,1427,388.22705,9,175,0.862857,1
false,false,1,0,0,3,0,0,28,0.440678,1427,388.22705,9,174,0.862069,1
false,false,1,1,2,1,4,0,5,0.44,1427,388.22705,9,9,0.666667,1
false,false,1,0,0,1,0,0,2,0.436782,1427,388.22705,9,173,0.861272,1
false,false,1,2,2,2,2,0,10,0.436047,1427,388.22705,9,413,0.985472,1
false,false,1,2,2,2,12,12,19,0.417143,1425,383.157895,8,75,0.906667,1
false,false,1,3,3,2,17,0,4,0.417143,1425,383.157895,8,64,0.828125,1
false,false,1,5,3,1,2,0,2,0.41573,15776,697.768763,8,0,0,0
false,false,1,3,2,1,0,0,0,0.416667,15776,697.768763,8,0,0,0
false,false,1,2,2,1,20,0,2,0.413408,1425,383.157895,8,412,0.985437,1
false,false,1,2,2,1,3,0,7,0.405556,1425,383.157895,8,8,625,1
false,false,1,2,2,1,12,0,2,0.402235,1425,383.157895,8,7,0.571429,1
false,false,2,16,5,1,106,0,0,0.402235,1425,383.157895,8,411,0.985401,1
false,false,2,19,4,2,327,0,3,0.389535,1425,383.157895,8,410,0.985366,1
false,false,1,1,1,1,4,0,4,0.377246,1418,372.35543,7,22,0.863636,1
false,false,202,25,2,86,1378,208,26,0.379518,15772,697.945727,7,0,0,0
false,false,2,4,2,4,15,25,29,0.379518,1418,372.35543,7,74,0.905405,1
false,false,2,1,1,2,0,0,0,0.379518,1418,372.35543,7,73,0.917808,0
false,false,1,3,2,1,2,0,0,0.375758,15772,697.945727,7,6,0.5,1
false,false,1,2,1,2,2,0,2,0.371951,1418,372.35543,7,5,0.4,1
false,false,1,5,2,1,0,0,9,0.36875,15772,697.945727,7,4,0.25,1
false,false,2,1,3,3,14,11,18,0.36478,1408,367.1875,7,21,0.857143,1
false,false,6,0,0,34,21,0,2,0.36478,1408,367.1875,7,3,0.333333,0
false,false,1,4,2,1,0,0,9,0.36478,15772,697.945727,7,4,0.75,0
false,false,1,14,3,1,1,0,2,0.36478,1408,367.1875,7,172,0.860465,1
false,false,5,4,1,5,56,0,12,0.364198,1408,367.1875,7,20,0.85,1
false,false,1,0,1,1,2,0,5,0.35625,1405,367.97153,7,2,0,1
false,false,1,1,1,1,15,0,5,0.35625,1405,367.97153,7,72,0.916667,1
false,false,1,0,0,1,0,0,26,0.350318,1389,372.210223,7,171,0.859649,1
false,false,1,2,2,1,2,0,0,0.352564,15752,698.831894,7,1,0,0
false,false,2,4,2,3,85,0,18,0.357143,1389,372.210223,7,170,0.858824,1
false,false,191,22,3,83,1243,208,22,0.357616,15739,699.409111,7,0,0,0
false,false,1,0,0,3,15,0,12,0.357616,15739,699.409111,7,169,0.863905,0
false,false,2,0,0,3,42,9,13,0.359477,1372,370.262391,7,168,0.863095,1
false,false,1,0,3,2,6,0,29,0.344595,1376,369.186047,7,167,0.862275,1
false,false,4,16,3,4,170,0,4,0.329268,15739,699.409111,7,0,0,0
false,false,1,0,1,2,4,0,8,0.301205,1376,369.186047,7,19,0.842105,1
false,false,3,2,2,5,59,0,8,0.292683,1374,369.723435,7,18,0.833333,1
false,false,1,0,0,1,0,0,26,0.29878,1374,369.723435,7,166,0.861446,1
false,false,2,12,4,1,43,0,15,0.296296,15730,699.809282,7,0,0,0
false,false,1,0,0,1,0,0,26,0.290123,1335,380.524345,8,165,0.860606,1
false,false,4,13,3,7,554,0,5,0.288344,1335,380.524345,7,17,0.823529,1
false,false,1,1,1,2,74,0,0,0.288344,1295,392.277992,7,16,0.8125,1
false,false,1,0,0,1,2,0,2,0.283951,1295,392.277992,7,164,0.859756,1
false,false,1,0,1,8,186,0,4,0.290909,1295,392.277992,7,163,0.858896,1
false,false,2,0,0,2,5,9,4,0.288344,1294,391.808346,7,409,0.98533,1
false,false,1,3,3,0,0,0,0,0.290123,15730,699.809282,7,1,0,1
false,false,1,1,2,1,1,0,3,0.290123,15538,702.535719,7,5,0.8,1
false,false,1,0,1,1,20,0,0,0.286585,15538,702.535719,7,1,0,0
false,false,9,1,1,10,212,0,2,0.310559,1286,394.245723,8,3,0.666667,1
