@relation 'bundler-data-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,11,9,3,18,62,72,97,0.437238,13132,1554.675602,13,24,0.833333,1
false,false,2,3,3,3,3,4,19,0.435146,13146,1561.767838,13,23,0.826087,1
false,false,1,5,2,2,2,4,7,0.432773,13141,1562.362073,13,108,0.907407,1
false,false,1,4,2,1,0,2,4,0.433404,13141,1562.362073,13,45,0.911111,1
false,false,2,9,4,1,2,0,14,0.429787,13141,1562.362073,13,3,1,1
false,false,1,4,3,5,16,0,59,0.430704,13141,1562.362073,13,107,0.906542,1
false,false,3,3,2,3,69,0,7,0.430407,13141,1559.165969,13,44,0.909091,1
false,false,1,6,3,1,2,0,5,0.429487,13141,1559.165969,13,0,0,1
false,false,4,20,4,24,44,78,6,0.425486,13141,1559.165969,13,1,1,1
false,false,5,11,4,5,23,2,9,0.419355,13135,1559.878188,13,0,0,1
false,false,2,7,3,3,59,8,33,0.419355,13135,1559.878188,13,105,0.914286,1
false,false,2,6,3,1,14,0,2,0.422078,13135,1559.878188,13,1,1,1
false,false,2,11,4,3,0,0,0,0.420259,13135,1559.878188,14,0,0,1
false,false,3,9,4,2,8,0,25,0.420259,13135,1559.878188,14,0,0,1
false,false,4,10,3,3,21,76,32,0.415254,13134,1557.788945,15,104,0.913462,1
false,false,1,4,2,2,4,0,27,0.41791,13134,1557.788945,15,103,0.912621,1
false,false,2,6,4,3,9,22,30,0.419355,13133,1556.613112,15,43,0.906977,1
false,false,1,4,2,2,4,0,25,0.396266,13132,1554.675602,15,102,0.911765,1
false,false,2,6,3,5,0,0,9,0.392405,13082,1549.763033,15,100,0.92,1
false,false,3,4,2,2,45,168,7,0.392781,13004,1546.447247,15,42,0.928571,0
false,false,2,8,4,2,4,53,22,0.393478,13053,1547.920018,15,41,0.926829,1
false,false,1,4,2,3,17,18,24,0.390929,13053,1547.920018,14,40,925,1
false,false,1,4,2,9,12,0,2,0.38913,13046,1547.064234,14,99,0.919192,1
false,false,2,6,3,2,31,146,10,0.388646,13046,1547.064234,14,39,0.923077,1
false,false,2,5,3,3,6,12,38,0.388646,13046,1547.064234,14,98,0.918367,1
false,false,2,11,3,1,36,0,0,0.386161,13046,1547.064234,14,38,0.921053,1
false,false,2,7,3,3,15,32,18,0.389262,13042,1546.465266,14,37,0.918919,1
false,false,8,10,4,3,21,42,3,0.389262,13042,1546.465266,14,0,0,1
false,false,2,23,5,2,114,274,31,0.393478,13053,1547.920018,14,1,1,1
false,false,1,6,3,2,2,9,45,0.387892,13042,1545.928539,14,97,0.917526,1
false,false,2,5,3,2,22,44,8,0.387387,13031,1545.852199,14,36,0.916667,1
false,false,2,7,4,12,112,398,34,0.385488,13014,1546.949439,14,0,0,1
false,false,1,6,6,2,5,12,23,0.385488,13014,1546.949439,14,0,0,0
false,false,1,0,1,3,33,7,20,0.383073,13001,1548.49627,15,34,0.970588,0
false,false,2,5,2,3,11,244,36,0.38,12993,1547.756484,15,33,0.969697,1
false,false,2,14,4,3,29,29,13,0.38,12993,1547.756484,15,32,0.96875,1
false,false,2,3,2,4,45,0,56,0.378619,13004,1546.447247,15,96,0.916667,1
false,false,2,3,3,2,16,28,8,0.369615,12987,1545.237545,15,31,0.967742,1
false,false,1,11,3,1,0,0,12,0.368182,12987,1545.237545,15,95,0.915789,1
false,false,1,12,2,5,6,2,45,0.366972,12987,1545.237545,15,94,0.914894,1
false,false,2,6,3,3,68,72,19,0.367816,12987,1545.237545,15,30,0.966667,1
false,false,1,6,2,1,0,0,0,0.364896,12987,1545.237545,15,0,0,1
false,false,17,13,5,10,85,180,21,0.361305,12987,1543.389543,14,22,0.818182,1
false,false,8,14,3,2,123,92,9,0.363208,12987,1543.389543,14,93,0.913978,1
false,false,6,25,5,3,30,102,19,0.366029,13069,1520.238733,14,1,1,1
false,false,1,6,3,1,201,0,2,0.366029,13069,1520.238733,14,92,0.913043,1
false,false,2,9,4,4,45,0,30,0.368039,13066,1517.526404,14,91,0.912088,1
false,false,2,23,3,2,5,30,5,0.368293,13066,1514.23542,14,0,0,1
false,false,2,3,2,1,0,107,0,0.363184,13084,1512.763681,14,29,0.965517,1
false,false,3,27,3,3,23,49,21,0.353247,13080,1512.308869,14,28,0.964286,1
false,false,3,0,0,4,8,42,0,0.353247,12280,1295.765472,14,2,1,0
false,false,22,15,3,261,896,550,346,0.353247,13080,1512.308869,14,90,0.911111,1
false,true,14,21,5,9,107,272,15,0.350133,13046,1510.654607,14,89,0.910112,1
false,false,5,16,4,7,58,32,22,0.346049,13046,1510.654607,14,88,0.909091,1
false,false,2,4,2,2,14,0,0,0.345304,13024,1513.206388,14,87,0.908046,1
false,false,4,5,2,6,36,0,44,0.34626,13024,1513.206388,14,86,0.906977,1
false,false,1,4,2,8,96,0,0,0.35014,13024,1513.206388,14,85,0.905882,1
false,false,1,5,2,1,3,0,11,0.351124,13024,1513.206388,14,84,0.904762,1
false,false,2,16,4,6,17,70,34,0.352778,13024,1513.206388,14,27,0.962963,1
false,false,2,14,4,3,32,110,14,0.349162,13024,1512.285012,14,0,0,1
false,false,5,18,4,2,17,54,0,0.343324,13024,1512.285012,14,0,0,1
false,false,6,24,4,3,94,1,18,0.343324,13024,1512.285012,14,1,0,1
false,false,1,2,2,1,0,0,0,0.347368,12280,1295.765472,13,8,0.25,0
false,false,1,6,2,1,0,229,0,0.344737,13024,1498.541155,13,26,0.961538,1
false,false,1,4,2,1,0,2,2,0.338624,12699,1472.635641,13,83,0.903614,1
false,false,2,4,2,2,0,13,5,0.340426,12699,1472.635641,13,82,0.902439,1
false,false,2,8,3,1,0,264,0,0.341398,12699,1464.131034,13,25,0.96,1
false,false,2,6,3,1,6,0,3,0.341398,12699,1464.131034,13,81,0.901235,1
false,false,4,18,4,2,0,25,2,0.350267,12699,1464.131034,13,24,0.958333,1
false,false,2,3,2,1,0,156,0,0.338843,12689,1436.362203,13,23,0.956522,1
false,false,2,10,4,2,74,673,0,0.338843,12689,1436.362203,13,22,0.954545,1
false,false,3,6,3,4,8,42,19,0.338843,12689,1436.362203,13,1,1,1
false,false,1,6,3,4,6,18,19,0.338843,12689,1436.362203,13,0,0,1
false,false,2,6,3,5,14,90,17,0.336134,12689,1436.362203,12,80,0.9,1
false,false,2,9,3,1,0,214,6,0.330508,12689,1429.978722,12,21,0.952381,1
false,false,3,9,4,3,10,0,5,0.326705,12689,1429.978722,12,1,1,1
false,false,2,6,3,1,0,240,0,0.333333,12689,1423.516432,12,20,0.95,1
false,false,2,4,4,1,0,0,0,0.333333,12689,1416.423674,12,0,0,0
false,false,1,5,3,1,6,0,9,344,12689,1416.423674,12,5,0.8,0
false,false,2,10,4,1,0,236,0,0.345646,12689,1416.423674,12,19,0.947368,1
false,false,1,5,3,1,0,0,0,0.339474,12739,1393.672973,12,0,0,1
false,false,2,7,3,2,4,48,0,0.352617,12739,1392.102991,12,29,0.827586,1
false,false,1,2,2,2,18,13,3,0.350685,12739,1392.102991,12,0,0,0
false,false,2,8,3,1,0,43,0,0.347826,12739,1392.102991,12,21,0.809524,1
false,false,7,27,4,9,284,1538,11,0.347826,12739,1392.102991,13,18,0.944444,1
false,false,8,14,3,2,0,252,8,0.339833,12730,1374.626866,13,17,0.941176,1
false,false,2,9,3,3,52,264,17,0.338889,12730,1374.626866,13,16,0.9375,1
false,false,1,4,2,4,18,40,19,0.338889,12730,1374.626866,13,15,1,0
false,false,1,1,2,1,0,0,0,0.341808,12727,1369.686493,13,77,0.896104,1
false,false,1,0,0,1,4,0,6,0.339888,12717,1368.640403,13,13,1,1
false,false,2,7,3,2,4,6,4,0.331492,12717,1368.640403,16,28,0.821429,1
false,false,4,19,4,3,57,29,18,0.331492,12717,1368.640403,16,12,1,1
false,false,6,6,4,8,0,62,19,0.33241,12717,1368.640403,16,11,1,1
false,false,1,6,3,1,73,0,8,0.323034,12717,1368.640403,18,10,1,1
false,false,2,8,3,3,50,20,10,0.31454,12545,1359.26664,18,9,1,1
false,false,1,4,2,1,6,0,0,0.310559,12535,1360.271241,18,8,1,1
false,false,2,9,5,2,11,3,4,0.310559,12535,1360.271241,18,7,1,1
false,false,32,20,4,12,1028,1370,31,0.29,12536,1358.487556,19,0,0,1
false,false,1,4,3,2,4,26,6,0.29,12536,1358.487556,19,0,0,1
false,false,4,10,5,2,4,0,13,0.29097,12536,1358.487556,19,76,0.894737,1
false,false,2,4,3,3,26,63,12,0.29097,12526,1357.576241,19,6,1,1
false,false,1,8,3,2,12,34,17,0.29097,12505,1349.30028,20,5,1,1
false,false,2,2,3,1,12,0,17,0.29097,12505,1349.30028,20,0,0,0
false,false,2,6,2,2,350,8,9,0.278481,12494,1347.206659,21,75,0.893333,1
