@relation 'candlepin-data-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,3,0,0,7,96,286,4,0.532313,43039,994.261019,9,17,0.823529,0
false,false,1,0,0,7,45,144,2,0.552923,42706,982.789304,9,16,875,0
false,false,1,1,1,1,5,0,2,0.537338,36803,1002.55414,9,24,0.416667,0
false,false,1,3,2,1,0,0,5,0.533225,46606,991.481783,9,32,0.75,1
false,false,7,5,2,5,140,0,90,0.534846,46605,991.052462,9,31,0.741935,1
false,false,1,0,0,1,1,0,2,0.537964,46606,991.481783,9,98,0.857143,1
false,false,1,0,0,2,40,0,1,0.537459,46606,991.481783,9,149,0.892617,1
false,false,2,0,0,3,27,43,2,0.533981,43032,993.772077,9,23,0.434783,0
false,false,2,0,0,3,27,43,2,0.533981,43000,992.162791,9,22,0.454545,0
false,false,2,0,0,3,27,43,2,0.533981,42699,982.294667,9,21,0.47619,0
false,false,1,0,0,2,0,0,0,0.529506,43032,993.772077,10,157,0.796178,0
false,false,1,0,0,2,0,0,2,0.530351,46598,991.201339,10,156,0.801282,0
false,false,1,1,1,2,0,0,0,0.524038,46598,991.201339,10,155,0.806452,0
false,false,1,0,0,2,0,0,0,0.52488,42999,992.185865,10,154,0.811688,0
false,false,1,0,0,2,0,0,0,0.525723,42699,982.294667,10,153,0.816993,0
false,false,1,0,0,2,0,0,0,0.52657,46598,991.201339,10,152,0.815789,1
false,false,2,17,4,5,298,352,4,0.528363,46598,991.201339,10,14,0.928571,1
false,false,2,2,1,2,7,0,4,0.532362,43031,993.795171,10,147,0.904762,0
false,false,2,1,1,2,7,0,4,0.533225,42999,992.185865,10,146,0.910959,0
false,false,1,1,1,3,23,27,21,0.535144,46598,991.201339,10,145,0.910345,1
false,false,1,0,0,1,15,0,0,0.534846,42999,992.185865,10,29,0.793103,0
false,false,11,0,0,46,4746,34,36,0.534846,47228,978.508512,10,101,0.861386,0
false,false,1,2,2,1,0,0,4,0.539216,47228,978.508512,10,28,0.785714,1
false,false,22,0,0,70,3222,2120,51,0.540098,47228,978.508512,10,19,0.526316,0
false,false,3,6,3,28,2248,218,24,0.540098,47228,978.508512,10,27,0.777778,1
false,false,2,4,3,3,0,110,2,0.539604,47228,978.508512,10,26,0.769231,1
false,false,1,1,1,3,0,0,8,0.540496,47228,978.508512,10,13,0.923077,1
false,false,2,1,1,2,6,33,1,0.545302,36798,1001.847927,10,25,0.8,0
false,true,8,4,2,21,1124,577,0,0.539629,36550,1003.283174,10,18,0.555556,0
false,false,2,1,1,4,234,0,7,0.540268,47228,978.508512,10,144,0.909722,1
false,false,2,0,0,2,39,0,0,0.541946,42714,996.488271,10,17,0.588235,0
false,false,3,0,2,16,519,325,11,0.541946,42714,996.488271,10,16,625,0
false,false,2,7,5,5,114,0,0,0.548552,47228,978.508512,10,0,0,1
false,false,3,4,3,19,16,0,8,0.546053,47238,978.259029,10,12,0.916667,1
false,false,2,2,1,1,16,0,2,0.546952,47238,978.259029,10,11,0.909091,1
false,false,2,3,1,1,4,0,0,0.547855,47238,978.259029,10,64,875,1
false,false,1,2,2,2,12,0,13,0.549669,47238,978.259029,9,24,0.791667,1
false,false,2,2,2,2,50,4,6,0.551607,47238,978.259029,9,143,0.909091,1
false,false,1,2,2,1,0,0,2,0.55348,47238,978.259029,9,142,0.908451,1
false,false,1,2,1,1,0,0,14,0.55348,47238,978.259029,9,100,0.86,1
false,false,2,6,2,5,0,0,7,0.553265,47193,977.729748,9,99,0.858586,1
false,false,1,0,0,2,5,0,12,0.554783,47193,977.729748,9,98,0.857143,1
false,false,11,1,1,11,3717,0,1,0.557292,47193,977.729748,9,97,0.85567,1
false,false,1,3,1,1,0,0,10,0.556131,47193,977.729748,9,96,0.854167,1
false,false,1,1,1,2,21,0,18,0.558099,47193,977.729748,9,150,0.82,1
false,true,7,26,4,17,1307,669,45,0.557726,47193,977.729748,9,15,0.6,1
false,false,3,3,2,16,519,325,13,0.556553,42701,994.42636,9,14,0.642857,0
false,false,2,3,2,2,41,0,4,0.554348,42681,982.708934,9,13,0.692308,0
false,false,2,3,1,6,366,380,6,0.556985,47063,977.264518,9,140,0.914286,1
false,false,1,1,3,1,57,0,0,0.556169,42714,996.488271,9,96,875,0
false,false,1,1,1,2,1,8,5,0.554529,47036,977.208946,9,95,0.873684,1
false,false,2,2,1,2,33,0,10,0.553704,47036,977.208946,9,149,0.818792,1
false,false,1,2,2,2,19,0,14,0.543796,47036,977.208946,9,23,0.782609,1
false,false,2,4,1,14,117,103,44,0.540293,47036,977.208946,9,148,0.817568,1
false,false,1,2,1,2,21,7,8,0.543119,47036,977.208946,9,147,0.816327,1
false,false,3,4,3,13,509,0,21,0.544118,47036,977.208946,9,22,0.772727,1
false,false,1,0,0,2,0,0,0,0.543119,42401,984.481498,9,94,0.882979,0
false,true,1,2,2,1,4,0,0,0.544118,47036,977.208946,9,95,0.852632,1
false,false,1,0,0,1,19,0,25,0.540146,47028,977.375181,9,94,0.851064,1
false,false,1,0,0,1,19,0,6,0.541133,42706,996.67494,9,93,0.860215,0
false,false,1,2,1,1,19,0,4,0.541133,42701,994.42636,9,92,0.869565,0
false,false,1,1,1,1,19,0,0,0.541133,42393,984.66728,9,91,0.879121,0
false,false,2,5,2,4,184,183,29,0.542279,46787,982.409644,9,12,0.666667,1
false,true,25,19,4,70,3337,2225,9,0.537893,46787,982.409644,9,21,0.809524,0
false,false,1,11,4,1,2,0,0,0.537453,42706,996.67494,9,2,0,0
false,false,3,7,3,3,2,0,0,0.539474,42706,996.67494,8,1,0,0
false,false,1,7,3,1,2,0,0,0.539474,46787,982.409644,8,0,0,0
false,false,2,1,1,2,0,20,0,0.522073,42393,984.643691,8,11,0.727273,0
false,false,1,0,0,1,0,0,0,0.522073,42393,984.643691,8,10,0.8,0
false,false,1,1,1,4,37,133,7,0.512671,42705,994.216134,8,90,0.888889,0
false,false,1,4,2,2,1,7,4,0.51272,42700,994.332553,8,93,0.892473,0
false,false,1,2,2,2,0,0,13,0.512821,46010,989.610954,8,20,0.8,1
false,false,2,2,2,1,0,0,6,0.507782,46010,989.610954,8,89,0.88764,1
false,false,2,1,1,5,8,0,0,0.510763,42705,994.216134,8,88,0.897727,0
false,false,2,1,1,5,8,0,0,0.510763,42700,994.332553,8,87,0.908046,0
