@relation 'diaspora-data-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,1,0,1,1,0,2,2,0.028571,16871,1146.87926,11,67,0.940299,1
false,false,1,0,1,6,17,5,55,0.026829,16912,1129.020814,11,21,0.428571,1
false,false,15,0,2,24,681,1467,66,0.026829,16912,1129.020814,11,66,0.939394,1
false,false,2,0,2,5,24,80,14,0.026961,16906,1128.120194,11,65,0.938462,1
false,false,1,0,1,2,0,0,5,0.02716,16906,1128.120194,11,341,0.935484,1
false,false,2,0,1,2,85,0,5,0.02716,16906,1128.120194,11,340,0.935294,1
false,false,2,0,1,7,143,28,3,0.027228,16906,1128.120194,11,339,0.935103,1
false,false,3,0,1,4,95,68,2,0.027295,16906,1125.340116,11,338,0.934911,1
false,false,3,5,2,25,581,368,130,0.027708,16842,1137.157107,11,64,0.9375,1
false,false,5,2,1,2,89,0,136,0.027778,16842,1131.041444,11,13,0.846154,1
false,false,1,0,1,2,2,6,0,0.028424,16837,1137.732375,11,337,0.934718,1
false,false,10,10,4,28,586,378,32,0.028497,16837,1137.732375,11,63,0.936508,1
false,false,20,61,5,45,7700,12,151,0.030928,16828,1138.34086,12,336,0.934524,1
false,false,4,8,4,29,493,645,57,0.030928,16828,1138.34086,12,62,0.935484,1
false,true,8,6,5,23,1014,705,30,0.028424,16828,1138.34086,12,61,0.934426,1
false,false,1,0,1,2,9,0,0,0.031662,16827,1138.40851,13,335,0.934328,1
false,false,1,5,4,1,1,0,0,0.03183,16827,1138.40851,13,19,0.421053,1
false,false,1,0,1,2,209,0,2,32,16827,1138.40851,13,334,0.934132,1
false,false,1,0,1,1,0,0,2,32,16827,1138.40851,13,333,0.933934,1
false,false,1,0,1,3,0,0,5,0.032086,16827,1138.40851,13,18,0.388889,1
false,false,2,0,1,2,0,0,2,0.034483,16827,1138.40851,13,332,0.933735,1
false,false,1,0,2,1,7,0,0,0.049223,16828,1138.400285,13,12,0.833333,1
false,false,1,0,1,1,2,0,0,0.068182,16828,1138.400285,14,331,0.933535,1
false,false,2,7,4,11,11,0,6,0.068354,16828,1138.400285,14,330,0.933333,1
