@relation 'hazelcast-data-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched {27,3,58,2,57,11,75,48,40,44,45,77,71,24,8,5,15,23,20,49,56,26,37,9,1,14,21,135,68,25,0,13,18,36,17,7,38,33,4,10,89,22,16,12,29,39,79,6,50,19,414,30,248,59,98,32,46,91,130,60,128,208,206,70,217,119,157,229,47,31,64,51,35,42,83,171,101,41,73,109,82,53,61,94,162,54,78,100,43,34,133,66,55,102,120,28,96,117,138,257,90,177,95,212,115,87,63,112,140,144,169,123,81,106,160,164,185,131,132,331,136,111,124,118,183,187,103,67,80,125,74,361,69,97,62,86,122,107,116,121,193,134,634,92,854,170,155,126,348,127,949,72,105,173,mehmet@hazelcast.com,167,113,154,114,110,203,194,104,165,146,358,200,151,85,189,564,65,152,315,182,142,76,300,304,306,404,283,214,52,191,176,143,291,137,139,378,156,108,84,88,354}
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,1,1,1,2,62,0,27,0.850877,201097,768.330706,29,832,0.848558,1
false,false,5,6,3,17,667,638,3,0.850877,201097,768.330706,29,39,0.974359,1
false,false,3,1,1,2,5,0,58,0.849415,201097,768.330706,29,3,1,1
false,false,1,1,1,3,62,0,2,0.848752,201108,768.288681,29,38,0.973684,1
false,false,3,2,1,2,11,0,57,0.848752,201108,768.288681,29,2,1,1
false,false,2,3,3,2,166,0,11,0.843658,240501,784.096532,29,330,0.863636,1
false,false,3,6,3,25,871,44,75,0.842963,200940,767.069772,29,830,0.849398,1
false,false,1,1,1,15,78,47,48,0.841246,200940,767.039912,29,829,0.849216,1
false,false,2,1,1,34,317,152,40,0.84101,200940,767.044889,29,828,0.849034,1
false,false,6,2,1,2,82,0,44,0.84101,200940,767.044889,29,4,0.25,0
false,false,3,0,1,2,378,0,45,0.84101,200940,767.044889,29,3,0.333333,0
false,false,6,1,1,2,56,0,58,0.84101,200940,767.044889,29,2,0,1
false,false,2,4,2,35,156,0,77,0.84101,200940,767.044889,29,1,1,1
false,false,13,12,5,64,2739,1111,71,0.84101,200940,767.044889,29,37,0.972973,1
false,false,1,0,0,1,0,0,44,0.845577,200914,766.920175,29,1,0,0
false,false,1,0,0,1,0,0,44,0.845577,200914,766.920175,29,0,0,0
false,false,3,2,2,7,99,84,24,0.845345,200905,766.954531,29,36,0.972222,1
false,false,1,2,2,1,7,0,8,0.845113,200904,766.958348,29,35,0.971429,1
false,false,2,2,2,2,33,0,5,0.843609,200892,767.004161,29,34,0.970588,1
false,false,2,0,0,3,162,8,15,0.841317,240496,784.129466,29,329,0.863222,1
false,false,2,1,1,3,159,8,23,0.841317,200892,767.004161,29,328,0.862805,1
false,false,2,10,3,2,20,0,20,0.841317,200892,767.004161,29,826,0.849879,1
false,false,1,1,1,2,328,0,49,0.832335,200299,764.342308,29,95,0.894737,1
false,false,1,8,7,17,0,317,56,0.828358,200299,764.342308,29,314,0.920382,1
false,false,1,1,1,9,16,119,26,0.826866,240496,783.755239,29,407,0.87715,1
false,false,1,5,3,8,16,60,37,0.826866,200299,764.117644,29,406,0.876847,1
false,false,1,1,1,2,14,0,9,0.826607,200304,764.09857,29,824,0.850728,1
false,false,2,1,1,2,4,2,1,0.81575,240496,783.755239,29,55,0.909091,1
false,false,2,2,1,2,4,2,14,0.81575,200301,763.810465,29,54,0.907407,1
false,false,6,15,3,46,1882,1437,21,0.812874,200303,763.787861,29,33,0.969697,1
false,false,2,1,1,48,106,354,40,0.811659,200303,763.787861,29,94,0.893617,1
false,false,2,7,2,16,16,52,3,0.81203,200303,763.697998,29,93,0.892473,1
false,false,1,0,0,1,2,0,1,0.81203,200303,763.697998,29,823,0.850547,1
