@relation 'marathon-data-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,1,0,0,1,2,0,4,0.631232,40014,639.60114,19,176,0.829545,1
false,false,3,4,0,44,1102,807,109,0.62723,40012,639.63311,19,189,0.931217,0
false,false,2,1,1,2,70,0,12,0.627087,40012,639.63311,19,16,875,1
false,false,1,2,1,1,2,0,20,0.624767,40000,639.1,19,21,0.714286,1
false,false,2,16,2,39,1362,1328,102,0.623585,39986,639.248737,19,27,0.814815,1
false,false,3,2,1,10,110,131,44,0.623585,39986,639.248737,19,188,0.930851,1
false,false,2,3,2,4,18,38,41,0.621212,39681,622.69096,19,175,0.828571,1
false,false,2,27,2,14,226,191,65,0.621544,39675,622.533081,19,15,0.866667,1
false,false,4,1,1,10,887,0,51,0.619678,39675,622.533081,20,89,0.876404,1
false,false,1,2,3,4,36,12,59,0.622391,39675,622.533081,20,174,0.827586,1
false,false,2,0,2,2,15,54,41,0.624762,39666,622.220542,20,173,0.82659,1
false,false,4,20,2,38,981,1313,74,0.622732,39690,621.844293,20,187,0.930481,1
false,false,1,2,1,1,4,0,33,0.623092,39690,621.844293,20,88,875,1
false,false,1,2,1,1,4,0,33,0.623687,39690,621.844293,20,87,0.885057,0
false,false,3,4,2,3,52,22,0,0.6238,27068,506.502143,20,172,0.831395,0
false,false,2,3,1,4,36,0,37,0.6244,39690,621.844293,20,26,0.807692,1
false,false,1,2,1,1,1,0,19,0.624517,38264,639.922643,20,0,0,1
false,false,2,11,2,7,225,7,54,0.62316,38124,635.08551,20,14,0.857143,1
false,false,3,3,2,23,674,581,92,0.623772,38124,635.08551,20,186,0.930108,1
false,false,4,56,2,30,1674,1255,92,0.622419,38146,637.812615,20,25,0.8,1
false,false,1,2,1,3,41,146,29,0.622419,38146,637.812615,20,185,0.92973,1
false,false,4,18,2,24,1055,844,77,0.622902,37994,638.627152,20,184,0.929348,1
false,false,2,2,1,5,107,33,4,0.622772,37976,638.903518,20,183,0.928962,1
false,false,2,1,1,6,30,4,62,0.623131,37971,638.934977,20,182,0.928571,1
false,false,2,9,2,3,31,42,15,0.617436,37968,638.511378,20,13,0.846154,1
false,false,2,2,2,3,50,12,32,0.617284,37968,638.511378,20,12,0.833333,1
false,false,1,1,1,1,2,0,2,0.618313,37968,638.511378,20,181,0.928177,1
false,false,2,4,4,10,66,228,53,0.618557,37968,638.511378,20,11,0.818182,1
false,false,2,5,2,3,11,49,8,0.617284,37968,638.511378,20,171,0.830409,1
false,false,1,0,0,1,0,0,10,0.618952,37910,633.183857,20,170,0.835294,0
false,false,2,1,1,2,3,12,4,0.62,37910,633.183857,20,0,0,0
false,false,1,1,1,3,15,4,16,0.618762,37918,633.050266,20,180,0.927778,1
false,false,1,1,1,2,8,0,3,0.618762,37918,633.050266,20,179,0.927374,1
false,false,2,41,3,17,732,374,45,0.621891,37915,632.783859,20,169,0.83432,1
false,false,1,1,1,3,9,15,24,0.618042,37915,632.783859,21,86,0.883721,1
false,false,2,14,2,8,89,230,49,0.618636,37915,632.783859,21,168,0.833333,1
false,false,2,10,2,6,4,644,41,0.619231,37915,632.783859,21,24,0.791667,1
false,false,35,0,0,23,322,219,132,0.620058,37915,632.783859,21,0,0,0
false,false,2,1,1,1,75,0,0,0.612994,37864,628.671033,21,19,0.578947,1
false,false,2,0,1,1,87,0,13,0.613572,37864,628.671033,21,18,0.555556,1
false,false,1,1,2,1,22,0,2,0.613787,37864,628.671033,21,17,0.529412,1
false,false,1,1,1,1,6,0,7,0.612903,37864,628.671033,21,16,0.5,1
false,false,2,2,2,3,93,12,17,0.60945,37552,621.351726,21,10,0.8,1
false,false,3,1,1,1,0,0,10,0.610039,37552,621.351726,21,15,0.466667,1
false,false,1,0,0,1,0,0,10,0.610251,37552,621.351726,21,14,0.428571,1
false,false,1,0,0,1,0,0,10,0.610087,37545,621.467572,21,13,0.461538,0
false,false,1,2,1,1,1,0,24,0.608147,37545,621.467572,21,0,0,1
false,false,1,7,2,1,69,0,0,0.605703,36678,626.206445,22,12,0.416667,1
false,false,1,28,2,1,105,0,2,0.606299,36678,626.206445,22,11,0.454545,0
false,false,1,0,1,1,3,0,22,0.602794,36662,626.234248,22,0,0,1
false,false,1,2,1,1,2,0,19,0.603604,33545,662.42361,22,20,0.75,0
false,false,1,1,2,5,24,12,18,0.602616,36662,626.234248,22,167,0.832335,1
false,false,2,6,3,3,28,3,24,0.603046,36658,626.084347,23,0,0,1
false,false,5,57,2,42,3015,1218,108,0.603046,36658,626.084347,23,85,0.882353,1
false,false,12,55,2,78,2206,1577,73,0.6,36642,625.839201,23,22,0.818182,1
false,false,1,5,2,1,49,0,5,0.600203,36642,625.839201,23,10,0.5,0
false,false,1,6,3,1,64,0,13,0.600815,36642,625.839201,23,9,0.444444,1
false,false,1,5,2,1,120,0,5,0.601427,36642,625.839201,23,8,0.5,0
false,false,1,33,2,1,110,0,2,0.602041,36642,625.839201,23,7,0.571429,0
false,false,2,3,2,1,19,0,0,0.602656,36642,625.839201,23,6,0.666667,0
false,false,1,7,2,1,26,0,3,0.603889,36642,625.839201,23,5,0.8,0
false,false,1,22,2,1,39,0,3,0.604508,36642,625.839201,23,4,1,0
false,false,1,1,1,1,8,0,2,0.605128,36642,625.839201,23,2,0.5,1
false,false,2,2,1,6,16,8,14,0.603909,36642,625.839201,23,1,1,1
false,false,2,2,1,2,18,11,10,0.603502,36642,625.839201,23,165,0.836364,1
false,false,1,1,1,12,96,107,69,0.604124,36642,625.839201,23,164,0.835366,1
false,false,1,0,1,1,27,0,0,0.601881,36588,623.428446,23,3,1,1
false,false,1,1,1,3,9,19,26,0.601881,36594,623.298901,24,163,0.834356,1
false,false,2,5,2,9,113,103,22,0.60251,36594,623.298901,24,162,0.833333,1
false,false,2,1,1,3,34,0,32,0.602725,36611,623.009478,24,84,0.880952,1
false,true,2,2,2,10,1315,81,38,0.603793,36611,623.009478,24,83,0.891566,0
false,false,1,1,1,1,6,0,11,0.601911,36471,623.20748,25,5,1,1
false,false,2,5,2,2,0,0,12,0.602754,36471,623.20748,25,161,0.832298,1
false,false,2,11,2,7,204,92,34,0.603393,36471,623.20748,25,160,0.83125,1
false,false,2,1,1,2,52,0,0,0.601488,36471,623.20748,25,15,0.8,1
false,true,2,14,3,5,122,107,14,0.601064,36471,623.20748,25,9,0.777778,1
false,false,1,1,2,1,2,0,0,0.601911,36471,623.20748,25,0,0,1
false,false,1,0,1,1,30,0,5,0.600427,36471,623.20748,25,2,1,1
false,false,1,0,1,2,16,0,9,0.6,36471,623.20748,25,13,0.846154,1
false,false,2,1,1,1,18,0,26,0.600858,36471,623.20748,26,12,0.833333,1
false,false,2,0,0,2,24,0,17,0.601512,33541,662.264095,26,11,0.909091,0
false,false,1,1,1,1,4,0,3,0.601081,36471,623.20748,26,1,0,1
false,false,2,4,2,2,4,0,0,0.600217,36471,623.20748,26,0,0,1
false,false,2,52,2,38,1797,1124,80,0.599143,36471,623.20748,25,82,0.890244,1
false,false,2,5,3,6,41,2,16,0.599143,36471,623.20748,25,159,0.830189,1
false,false,1,4,1,1,0,105,0,0.599356,36468,623.258747,25,21,0.809524,1
false,false,1,1,1,1,0,38,8,0.599785,36468,623.258747,25,20,0.8,1
false,false,2,6,2,10,1925,102,37,0.601732,36020,632.815103,25,19,0.789474,1
false,false,2,2,2,2,10,4,5,0.603261,36019,632.832672,25,158,0.829114,1
false,false,2,7,2,2,39,4,16,0.606257,36019,632.832672,25,8,0.75,1
false,false,4,12,3,56,872,1357,103,0.606911,36019,632.832672,25,178,0.926966,1
