@relation 'metasploit-framework-data-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,1,0,0,2,2,0,11,0.17602,574253,78.35919,30,658,0.899696,1
false,false,1,1,1,2,138,0,13,0.180693,574136,78.375158,30,657,0.899543,1
false,false,1,0,1,1,2,0,6,0.164141,574043,78.387856,30,2,1,1
false,false,1,1,1,2,7,0,26,0.157761,574042,78.387993,30,103,0.854369,1
false,false,1,3,2,1,2,0,4,0.143959,573907,78.406432,30,656,0.89939,1
false,false,1,1,1,1,2,0,4,0.141388,573907,78.406432,30,655,0.899237,1
false,false,2,1,1,1,159,0,0,0.138817,573903,78.406978,30,654,0.899083,1
false,false,1,1,1,1,2,0,5,0.138817,573903,78.406978,30,203,0.945813,1
false,false,1,3,3,1,7,0,0,0.138817,573903,78.406978,30,2,1,1
false,false,1,2,3,1,0,0,0,0.138817,573903,78.406978,30,24,0.833333,0
false,false,1,1,1,1,2,0,3,0.138817,573903,78.406978,30,23,0.826087,1
false,false,1,0,1,2,6,0,59,0.137755,573903,78.406978,30,102,0.882353,1
false,false,1,2,1,1,2,0,12,0.121588,573837,78.415996,28,653,0.898928,1
false,false,16,2,1,11,198,2,59,0.119804,573837,78.415996,28,101,0.881188,1
false,true,1,2,2,300,615,0,65,0.11244,573837,78.415996,28,102,0.852941,1
false,false,9,3,2,3,223,0,20,0.111639,573837,78.415996,28,18,0.833333,1
false,false,1,0,0,9,24,0,2,0.107399,573837,78.415996,28,161,0.913043,1
false,false,1,0,0,1,7,0,13,0.102871,573837,78.415996,28,101,0.861386,0
false,true,4,3,2,477,954,0,91,0.098558,573837,78.415996,28,100,0.86,1
false,false,1,0,1,1,2,0,8,0.098795,573837,78.415996,28,83,0.855422,1
false,false,2,0,0,18,38,0,22,0.098795,573837,78.415996,28,82,0.853659,1
false,false,3,4,2,1,29,0,0,0.101485,573872,79.076867,28,1,0,1
false,false,2,1,2,1,29,0,0,0.101485,573872,79.076867,28,0,0,0
false,false,2,5,4,6,70,0,0,0.116705,573877,79.076178,28,80,0.8625,1
false,false,2,0,0,1,0,0,0,125,573876,79.076316,29,160,0.9125,1
false,false,1,0,0,1,2,0,0,0.135747,571878,79.352589,29,1,1,1
false,false,4,0,0,1,64,0,8,0.136771,573762,79.092028,29,159,0.91195,1
false,false,2,9,4,1,16,0,9,0.137387,573762,79.092028,29,652,0.898773,1
false,false,1,7,3,1,78,0,0,0.137387,573472,79.132024,29,22,0.818182,1
false,false,8,2,1,2,479,0,0,0.138952,573472,79.132024,30,651,0.898618,1
false,false,1,0,0,1,0,2,0,0.139588,571878,79.352589,30,10,0.7,1
false,false,1,0,0,1,0,2,0,0.139908,571878,79.352589,30,9,0.777778,0
false,false,1,0,0,1,2,0,0,0.137079,573466,79.132852,30,650,0.898462,1
false,false,1,1,1,2,3,21,14,0.136465,573348,79.149138,30,649,0.898305,1
false,false,8,0,1,6,452,0,0,0.133188,573348,79.149138,32,0,0,1
false,false,2,0,0,5,24,0,49,0.133772,571878,79.352589,31,8,0.75,1
false,false,2,9,4,3,179,0,0,0.134066,572928,79.20716,31,158,0.911392,1
false,false,2,0,0,5,24,0,48,0.134066,571878,79.352589,31,7,0.714286,1
false,true,7,7,2,6,742,0,0,0.125249,572266,79.298788,32,91,0.417582,0
false,false,4,12,4,1,57,0,35,0.120792,572266,79.298788,32,1,1,1
false,false,1,0,1,1,1,0,5,0.12253,571913,79.347733,33,1,1,1
false,false,3,7,4,3,57,0,0,0.12253,571913,79.347733,33,202,0.945545,1
false,false,1,4,3,1,2,0,2,0.12253,571913,79.347733,34,90,0.411111,1
false,false,5,2,3,4,160,0,7,0.121569,571913,79.347733,35,17,0.823529,1
false,false,1,7,3,1,5,0,0,0.121807,571913,79.347733,35,0,0,1
false,false,8,16,5,2,250,0,0,0.122772,571902,79.349259,35,2,0.5,1
false,false,1,0,0,0,0,0,0,0.122772,571902,79.349259,35,0,0,0
false,false,5,2,1,3,207,10,0,0.122772,571902,79.349259,35,23,0.913043,1
false,false,1,1,1,1,2,0,0,0.123506,571891,79.350785,34,22,0.909091,1
false,false,1,1,2,1,8,0,7,0.123752,571878,79.352589,34,201,0.945274,1
false,false,250,4,2,528,10314,339,0,0.12326,600540,71.550604,34,7,1,1
false,false,3,30,8,2,160,0,0,0.125737,571878,79.352589,35,113,0.902655,1
false,true,1,0,2,1,2,0,7,0.12549,571878,79.352589,35,648,0.898148,1
false,false,2,2,4,1,90,0,21,0.12549,571878,79.352589,36,200,945,1
false,false,1,1,1,1,0,0,0,0.122093,571878,79.352589,39,78,0.871795,1
false,false,6,14,3,2,231,0,0,0.122093,571878,79.352589,39,21,0.52381,0
false,false,5,2,2,3,44,0,8,0.122807,571897,79.349953,39,77,0.87013,1
false,false,2,9,3,1,93,0,0,0.123047,571724,79.373964,39,19,0.526316,1
false,false,1,4,3,1,15,0,9,0.122807,571724,79.373964,40,16,0.8125,1
false,false,1,1,1,1,9,0,1,0.122807,571724,79.373964,40,15,0.8,1
false,false,1,0,0,1,0,0,7,0.126654,571724,79.373964,40,199,0.944724,1
false,false,8,0,0,11,596,0,0,0.126415,571659,79.382989,40,647,0.899536,0
false,false,1,1,3,1,0,0,0,0.131579,571607,79.39021,40,21,0.809524,1
false,false,2,10,4,2,130,0,0,0.131579,571607,79.39021,40,13,0.846154,1
false,false,2,3,2,1,18,0,4,0.12963,571607,79.39021,40,0,0,1
false,false,1,3,2,1,358,0,0,0.12987,571463,79.408466,41,0,0,0
false,false,1,0,1,1,29,0,0,0.130354,571457,79.409299,41,2,0,0
false,false,1,0,0,1,2,0,2,0.130354,571457,79.409299,41,1,0,0
false,false,1,1,1,1,6,0,3,0.130354,571457,79.409299,41,0,0,0
false,false,3,3,3,1,11,0,13,0.130597,571457,79.409299,41,3,0.666667,1
false,false,1,1,1,2,2,0,0,0.127341,571457,79.409299,41,646,0.899381,1
false,false,1,1,2,3,0,0,4,0.128544,571175,79.448505,41,4,1,1
false,false,2,3,3,1,14,0,11,0.12806,571175,79.448505,41,645,0.899225,1
false,false,1,0,1,1,0,0,8,0.12782,571175,79.448505,41,644,0.899068,1
false,false,7,6,2,2,133,0,0,0.12758,571175,79.448505,41,0,0,1
false,false,1,0,0,1,22,0,0,0.12758,571175,79.448505,41,643,0.898911,1
false,false,2,0,0,2,2,2,4,0.12758,571175,79.448505,41,642,0.898754,1
false,false,1,1,1,1,2,0,1,0.127103,571175,79.448505,41,641,0.898596,1
false,false,1,1,1,1,4,0,2,0.126629,571175,79.448505,41,0,0,1
false,false,2,10,4,2,74,0,1,0.128913,571164,79.450035,41,157,0.917197,0
false,false,2,1,2,2,0,0,2,0.132353,571154,79.451426,40,1,1,1
false,false,3,1,1,2,201,0,0,0.132597,571154,79.451426,40,27,0.962963,1
false,false,3,33,6,2,195,0,0,0.132597,571154,79.451426,40,26,0.961538,1
false,false,5,2,2,2,261,0,0,0.132597,571154,79.451426,40,639,0.899844,1
false,false,2,4,4,7,371,1,13,0.133087,571154,79.451426,40,0,0,1
false,false,10,3,2,386,5090,0,128,0.132841,571154,79.451426,40,198,0.944444,1
false,false,2,4,2,3,15,0,1,0.132841,571154,79.451426,40,0,0,1
false,false,3,11,5,1,68,0,16,0.12844,571154,79.451426,40,156,0.916667,1
false,false,1,3,1,1,4,0,0,0.130037,571154,79.451426,40,18,0.5,1
false,false,1,0,2,1,2,0,19,0.130275,571154,79.451426,40,155,0.916129,1
false,false,3,2,2,1,0,0,2,0.128913,571154,79.451426,40,197,0.944162,1
false,false,5,13,4,1,770,0,5,0.129151,571154,79.451426,40,88,0.409091,1
false,false,3,2,2,3,44,0,5,0.12939,571154,79.451426,40,14,0.785714,1
false,false,1,1,1,2,3,0,1,0.124555,571164,79.401013,40,0,0,1
false,false,4,11,3,4,34,0,43,0.124555,571164,79.401013,40,637,0.901099,1
false,false,1,0,0,1,2,0,41,0.124555,571164,79.401013,40,6,0.666667,1
false,false,1,2,4,1,8,0,4,0.123894,571011,79.422288,41,111,0.90991,1
false,false,2,15,7,2,95,0,29,0.121528,571011,79.422288,41,110,0.909091,1
false,false,6,28,6,2,232,0,0,0.120898,571011,79.422288,41,12,0.833333,1
false,false,1,1,1,1,2,0,48,0.12069,571011,79.422288,41,76,0.868421,1
false,false,3,9,2,1,134,0,8,0.121739,570580,79.314031,42,75,0.866667,1
false,false,2,0,0,3,8,0,48,0.121739,570580,79.314031,42,636,0.900943,1
false,false,1,5,3,1,3,0,1,0.121528,570466,79.329881,42,1,1,1
false,false,3,1,1,30,161,0,1,0.121739,570466,79.329881,42,99,0.858586,1
false,false,1,3,1,1,2,0,6,0.121951,570461,79.330576,42,74,0.864865,1
false,false,1,0,0,1,2,0,48,0.117932,570461,79.330576,44,635,0.902362,0
false,true,1,3,6,3,0,0,0,0.113003,570353,79.345598,43,3,1,1
false,false,6,20,4,2,10,10,8,0.110248,570353,79.345598,43,98,0.857143,1
false,false,2,6,3,1,16,0,3,0.110248,570353,79.345598,43,13,0.923077,1
false,false,9,7,5,6,70,8,17,0.109907,570353,79.345598,43,109,0.908257,1
false,false,1,1,1,2,2,0,6,0.106129,570292,79.354085,43,73,0.863014,1
false,false,5,1,2,6,1442,0,0,0.109281,570122,79.377747,42,2,1,1
false,false,16,44,7,8,2328,0,0,0.109281,570122,79.377747,42,1,1,1
false,false,1,0,0,1,14,0,2,0.109281,570122,79.377747,42,196,0.943878,1
false,false,1,2,2,2,425,0,0,0.109281,570122,79.377747,42,0,0,1
false,false,3,4,2,1,10,0,1,0.109281,570122,79.377747,42,3,0.666667,1
false,false,2,3,1,2,39,0,1,0.106287,569989,79.396269,42,100,0.88,1
false,false,1,3,2,1,2,0,1,0.105498,569897,79.409086,41,3,0.333333,1
false,false,1,0,1,7,152,0,0,0.105498,569897,79.409086,41,2,1,1
false,false,6,3,3,4,111,0,0,0.103953,569897,79.409086,41,1,1,1
false,false,2,5,2,1,25,0,1,0.103953,569897,79.409086,41,634,0.902208,1
false,false,5,5,3,4,35,0,0,0.106569,569596,79.45105,41,0,0,1
false,false,3,3,3,6,399,0,1,0.106881,569596,79.45105,40,5,1,1
false,false,1,1,1,2,21,0,6,0.107038,569596,79.45105,40,633,0.902054,1
false,false,1,0,0,1,3,0,0,0.107195,569597,79.45091,40,7,0.857143,1
false,false,2,16,9,2,515,0,0,0.106105,569920,79.209363,41,61,0.852459,1
false,false,1,0,0,1,0,0,0,0.106105,569920,79.209363,41,20,0.8,1
false,false,2,25,22,2,100,0,0,0.107038,569711,79.238421,42,195,0.94359,1
false,false,1,0,0,1,2,0,1,0.106569,569711,79.238421,42,16,0.5,1
false,false,1,0,0,1,0,0,0,0.106569,569711,79.238421,42,19,0.789474,1
false,false,1,8,4,1,196,0,0,0.106569,569711,79.238421,42,43,0.930233,1
false,false,2,1,2,2,0,0,0,0.106569,569711,79.238421,42,18,0.777778,1
false,false,1,2,2,1,3,0,0,0.106569,569711,79.238421,42,15,0.533333,0
false,false,1,0,0,1,3,0,2,0.106881,569710,79.23856,43,1,0,1
false,false,2,0,0,1,14,0,25,0.106881,569710,79.23856,43,194,0.943299,1
false,false,1,0,0,1,4,0,2,0.106881,569710,79.23856,43,0,0,0
false,false,1,6,3,1,6,0,1,0.107038,569627,79.250106,44,0,0,1
false,false,1,0,2,1,2,0,44,0.107038,569627,79.250106,44,72,0.861111,1
false,false,1,3,3,1,0,0,1,0.107038,569627,79.250106,44,0,0,1
false,false,1,16,4,2,85,0,1,0.107038,569627,79.250106,44,21,0.904762,1
false,false,8,13,3,11,523,0,1,0.107038,569627,79.250106,44,20,0.9,1
false,false,3,18,3,1,66,0,0,0.102778,569627,79.250106,47,14,0.5,1
false,false,3,0,0,199,0,857,82,0.101928,569627,79.250106,47,99,0.878788,1
false,false,1,1,1,1,0,0,5,0.101788,569627,79.250106,47,388,0.904639,1
false,false,43,3,2,977,23158,12941,577,0.101928,569627,79.250106,47,0,0,0
false,false,2,16,4,2,166,0,0,0.101788,569627,79.250106,49,13,0.461538,1
false,false,4,3,2,242,4472,6,41,0.102778,569491,79.269031,47,3,0.666667,1
false,false,4,0,1,4,740,0,22,0.102069,569491,79.269031,49,2,0.5,1
false,false,1,3,1,1,2,0,4,0.10137,569491,79.269031,50,62,0.806452,0
false,true,18,16,6,15,680,1396,32,0.101093,569491,79.269031,50,97,0.85567,1
false,false,2,2,1,2,270,0,0,0.099329,569491,79.269031,50,41,0.95122,1
false,false,2,14,4,1,147,0,0,0.098667,569491,79.269031,50,1,1,1
false,false,3,10,3,2,93,0,0,0.096986,569491,79.269031,50,40,0.95,1
false,false,2,12,2,1,135,0,1,0.095855,569491,79.269031,50,33,0.848485,1
false,false,1,1,1,1,4,0,9,0.09648,569250,79.302591,51,58,0.913793,1
false,false,2,0,0,21,44,0,10,0.09648,569250,79.302591,51,57,0.912281,1
false,false,1,4,3,1,14,0,0,0.096986,569290,79.297019,51,2,1,1
false,false,26,2,2,32,1048,0,7,0.09648,569290,79.297019,51,0,0,1
false,false,2,5,2,26,104,0,85,0.096986,569208,79.292631,50,632,0.901899,1
false,false,1,0,0,1,1,0,6,0.09724,569209,79.292492,50,71,0.859155,1
false,false,1,5,2,2,174,0,11,0.097784,569209,79.292492,51,631,0.901743,1
false,true,8,4,2,14,152,239,6,0.096859,569248,79.287059,51,56,0.910714,1
false,false,1,1,1,2,50,0,36,0.092105,569251,79.286642,51,96,0.854167,1
false,false,1,1,2,1,6,0,0,0.09067,569234,79.092254,51,32,0.84375,1
false,false,15,13,6,7,1507,0,1,0.09067,569234,79.092254,51,13,0.769231,1
false,false,3,4,2,1,8,0,24,0.089474,569234,79.092254,52,17,0.764706,1
false,false,1,0,0,1,2,0,1,0.089592,569234,79.092254,52,0,0,1
false,false,3,3,2,1,10,0,9,0.089592,569234,79.092254,52,2,0.5,1
false,false,1,1,1,1,1,0,5,0.089828,569234,79.092254,52,630,0.901587,1
false,false,8,3,1,2,202,0,0,0.089947,569235,79.092115,52,10,0.8,1
false,false,23,42,4,1,2441,0,6,0.090546,569235,79.092115,52,1,1,1
false,false,6,21,4,9,338,129,9,0.090546,569235,79.092115,52,629,0.901431,1
false,false,2,1,3,1,29,0,7,0.090667,569314,79.08114,52,153,0.921569,1
false,false,1,0,1,1,1,0,22,0.090909,569279,79.086002,52,95,0.852632,1
false,false,1,0,1,1,102,0,5,0.090186,569279,79.086002,53,628,0.901274,1
false,false,3,5,2,3,180,0,0,0.090186,569279,79.086002,53,627,0.901116,1
false,false,1,1,1,1,6,0,1,0.091495,569107,79.109904,53,1,1,1
false,false,1,0,3,1,17,0,4,0.089032,569107,79.109904,53,11,0.454545,1
false,false,8,23,3,4,648,0,3,0.091377,569107,79.109904,53,9,0.777778,1
false,false,20,56,11,2,270,0,0,0.091613,569107,79.109904,53,94,0.851064,1
false,false,1,7,5,1,4,0,5,0.089147,569107,79.109904,53,626,0.900958,1
false,false,5,3,2,3,114,0,0,0.089147,569107,79.109904,53,625,0.9024,0
false,false,1,0,0,1,0,6,3,0.0869,568934,79.128686,53,70,0.857143,1
false,false,1,0,0,1,3,0,55,0.087013,568934,79.128686,53,69,0.855072,1
false,false,1,0,0,1,58,0,2,0.08724,568656,79.16737,53,624,0.902244,1
false,false,178,6,3,388,2302,8343,106,0.087353,567581,79.100604,53,2,1,1
false,false,1,0,1,1,210,0,0,0.087353,568656,79.253538,53,623,0.902087,1
false,false,1,0,1,1,9,0,50,0.087467,568656,79.253538,53,5,0.6,1
false,false,1,1,2,1,2,0,2,0.087126,568656,79.253538,53,0,0,1
false,false,1,0,1,1,2,0,2,0.087126,568656,79.253538,53,0,0,1
false,false,5,5,4,16,189,0,31,0.08399,568218,79.314629,53,621,0.901771,1
false,false,1,1,1,11,2,0,7,0.086275,567904,79.224658,53,68,0.852941,1
false,false,156,2,2,344,102,15948,97,0.086957,567581,79.100604,53,67,0.850746,1
false,false,1,0,0,2,6,0,44,0.085865,567581,79.100604,53,66,0.848485,1
false,false,2,2,2,2,169,0,0,0.085979,567569,79.102277,53,16,0.75,1
false,false,2,14,2,1,126,0,0,0.085979,567569,79.102277,53,10,0.4,1
false,false,5,1,2,1,166,0,1,0.08519,567569,79.102277,53,8,0.75,1
false,false,2,9,3,1,56,0,6,0.084011,567517,79.077807,54,55,0.909091,1
false,false,1,1,1,1,2,0,1,0.075067,567517,79.077807,55,93,0.849462,1
false,false,8,5,2,2,189,0,0,0.074866,567517,79.077807,55,15,0.733333,1
false,false,1,1,1,1,2,0,3,0.075269,567132,79.13149,55,4,1,1
false,false,1,0,0,1,73,0,4,0.075168,567132,79.13149,54,1,0,1
false,false,2,3,4,3,215,0,6,0.074172,567132,79.13149,54,193,0.943005,1
false,false,9,22,4,2,175,0,0,0.073394,567132,79.13149,54,14,0.714286,1
false,false,4,5,2,2,159,0,0,0.060914,566893,79.164851,54,92,0.847826,1
false,false,2,8,3,2,122,0,26,0.061069,566893,79.164851,54,2,1,1
false,false,1,4,2,1,77,0,6,0.059569,566893,79.164851,55,0,0,0
false,false,6,2,3,15,486,20,21,0.058599,566802,79.177561,55,60,0.85,1
false,false,4,8,3,10,211,0,9,0.05845,566802,79.177561,56,0,0,1
false,false,1,3,3,1,2,0,10,0.057428,566801,79.177701,56,8,1,1
false,false,3,7,3,4,417,10,0,0.057428,566801,79.177701,56,2,1,1
false,false,1,0,0,0,0,0,0,0.057428,566801,79.177701,56,620,0.901613,1
