@relation 'netty-data-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,1,1,1,1,0,12,1,0.310345,145224,362.61224,17,21,0.142857,1
false,false,2,25,4,5,162,224,1,0.301527,144893,361.508147,17,20,0.1,1
false,false,2,4,2,1,12,0,1,0.299048,144734,361.207456,17,499,0.673347,1
false,false,1,3,2,1,6,0,0,0.299048,102967,340.652831,17,497,0.674044,1
false,false,1,3,3,1,33,0,0,0.299048,144734,361.207456,17,496,0.673387,1
false,false,2,13,4,11,994,48,3,0.299048,102967,340.652831,17,495,0.672727,1
false,false,1,3,2,2,2,8,4,0.299048,102967,340.652831,17,494,0.672065,1
false,false,1,2,1,1,14,0,0,0.299048,144733,360.892126,17,19,0.052632,1
false,false,1,5,3,2,26,51,0,0.296992,144733,360.892126,17,0,0,1
false,false,2,3,2,6,264,388,2,0.296992,144750,360.849741,17,263,0.136882,0
false,false,1,4,3,3,126,0,4,0.296992,144750,360.849741,17,262,0.137405,0
false,false,1,3,3,2,23,0,10,0.296992,144750,360.849741,17,260,0.138462,0
false,false,1,2,1,1,2,0,0,0.297048,144742,359.771179,17,1,0,1
false,false,2,14,2,2,10,124,1,0.294559,102961,339.682016,17,0,0,1
false,true,2,13,5,2,308,0,1,0.286807,102906,339.329096,17,25,0.28,0
false,false,2,8,3,7,203,166,1,0.282983,144635,359.262972,17,493,0.6714,1
false,false,1,4,2,1,24,0,6,0.278846,144630,358.957339,17,492,0.672764,0
false,false,3,4,3,1,4,0,0,0.278311,144613,358.999537,17,0,0,0
false,false,1,2,1,2,6,21,4,0.278311,144613,358.999537,17,78,0.705128,1
false,false,3,25,4,6,446,284,0,0.277457,144613,358.999537,17,32,0.6875,1
false,false,1,1,1,2,6,0,3,0.276062,144613,358.985707,17,0,0,1
false,false,1,1,1,1,0,2,1,0.273256,144613,358.985707,17,491,0.672098,1
false,false,2,13,5,4,238,0,11,0.273256,144613,358.985707,17,31,0.677419,1
