@relation 'okhttp-data-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,1,0,0,1,4,0,3,0.209877,19657,1433.891235,4,604,0.943709,1
false,false,1,2,1,2,11,26,27,0.213483,19647,1426.477325,4,6,1,1
false,false,1,7,2,3,19,204,13,0.208443,19647,1426.477325,4,5,1,1
false,false,2,3,2,1,4,0,12,0.207895,19647,1426.477325,4,0,0,0
false,false,4,6,3,10,92,61,61,0.204724,19620,1424.719674,4,0,0,1
false,false,1,0,0,1,0,2,8,0.203085,19620,1424.719674,5,62,0.870968,1
false,false,5,16,4,2,85,54,18,0.203085,19620,1424.719674,5,0,0,1
false,false,2,0,0,4,58,452,2,0.199488,18590,1397.417967,5,603,0.945274,0
false,false,1,0,0,4,6,4,6,0.201031,19620,1424.719674,5,4,1,1
false,false,2,13,2,3,37,437,7,0.20603,19607,1419.085021,5,3,1,1
false,false,1,0,0,2,29,68,4,0.206549,19600,1416.530612,5,602,0.945183,1
false,false,2,3,2,8,58,92,59,0.202532,19595,1415.207961,6,601,0.945092,1
false,false,2,3,2,4,461,204,24,0.205584,19550,1418.414322,6,600,945,1
false,false,1,0,0,1,12,0,0,0.207161,19550,1418.414322,6,599,0.944908,1
false,false,2,3,4,4,58,629,2,0.208763,19545,1406.139678,5,598,0.944816,1
false,false,1,1,1,2,10,0,32,0.214286,19525,1405.480154,6,597,0.944724,1
false,false,1,0,1,1,3,0,12,0.214286,19525,1405.480154,6,4,0.75,1
false,false,1,0,0,1,2,0,5,0.214286,19525,1405.480154,6,0,0,1
false,false,2,12,2,2,58,33,12,0.217073,19525,1405.480154,6,3,0.666667,1
false,false,1,0,0,1,140,0,10,0.219753,19574,1401.961786,6,596,0.944631,1
false,false,1,1,1,1,8,0,8,0.218905,19574,1401.961786,6,595,0.944538,1
false,false,2,0,0,6,263,49,18,0.212121,18519,1402.721529,6,594,0.946128,0
false,false,1,1,2,1,13,0,8,0.212658,19565,1402.606696,6,593,0.946037,1
