@relation 'pouchdb-data-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,1,1,1,1,4,0,2,0.214429,11440,4698.426573,5,0,0,1
false,false,1,0,1,1,0,0,93,212,11440,4698.426573,5,124,0.766129,1
false,false,1,2,1,1,2,0,5,0.209581,11440,4698.426573,5,0,0,1
false,false,1,1,1,1,3,0,3,0.207171,11439,4698.837311,5,699,0.731044,1
false,false,1,0,1,1,0,0,95,206,11439,4698.837311,5,123,0.764228,1
false,false,1,1,1,1,0,0,95,0.204819,11439,4698.837311,5,122,0.762295,1
false,false,1,2,2,1,0,0,2,0.202811,11439,4698.837311,5,325,0.68,1
false,false,1,0,1,1,0,0,2,0.201613,11439,4698.837311,5,0,0,1
false,false,1,1,1,1,0,0,93,0.20202,11439,4698.837311,5,121,0.760331,1
false,false,1,2,1,1,0,0,93,0.201613,11439,4698.837311,5,120,0.758333,1
false,false,1,0,1,1,0,0,88,0.20202,11439,4698.837311,5,119,0.756303,1
false,false,1,0,1,1,0,0,88,0.20284,11439,4698.837311,5,118,0.754237,1
false,false,1,2,1,1,0,0,88,0.203666,11439,4698.837311,5,117,0.752137,1
false,false,1,2,1,1,0,0,88,0.204499,11439,4698.837311,5,116,0.75,1
false,false,1,2,1,1,0,0,87,0.205761,11439,4698.837311,5,115,0.747826,1
false,false,2,5,3,5,90,0,87,0.206612,11439,4698.837311,5,698,0.730659,1
false,false,1,2,2,1,0,0,21,0.204167,11439,4698.837311,5,324,0.679012,1
false,false,1,2,1,1,0,0,84,0.205021,11439,4698.837311,5,114,0.745614,1
false,false,1,1,1,1,0,0,84,0.205882,11439,4698.837311,5,113,0.743363,1
false,false,1,1,1,1,0,0,84,0.205882,11439,4698.837311,5,112,0.741071,1
false,false,1,0,0,1,0,0,84,0.207627,11439,4698.837311,5,111,0.747748,0
false,false,1,1,1,1,4,0,1,0.208068,11439,4698.837311,5,0,0,1
