@relation 'pulp-data-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,1,0,0,1,0,0,0,0.896194,34345,1214.266997,13,122,0.877049,1
false,false,1,0,0,1,0,1,18,0.894737,34345,1214.296113,13,154,0.941558,1
false,false,2,2,2,1,0,0,15,0.891608,34345,1214.296113,13,200,965,1
false,false,1,0,0,7,0,0,45,0.887372,34345,1214.296113,13,81,0.925926,1
false,false,1,0,0,5,0,0,43,0.887372,34345,1214.296113,13,80,925,1
false,false,1,0,0,1,0,0,42,0.887372,34345,1214.296113,13,79,0.924051,1
false,false,1,0,0,4,0,0,7,0.887372,34345,1214.296113,13,78,0.923077,1
false,false,1,2,2,1,5,0,38,0.886288,34345,1214.296113,13,166,0.831325,0
false,false,1,1,1,1,0,0,2,0.878419,34345,1214.296113,13,199,0.964824,1
false,false,1,1,1,1,6,0,43,0.878788,34345,1214.296113,13,450,0.946667,1
false,false,2,3,2,2,106,0,18,0.865854,34302,1215.81832,13,153,0.941176,1
false,false,1,0,0,1,2,0,49,0.865854,34302,1215.81832,13,167,0.952096,1
false,false,1,1,1,3,49,8,5,0.867069,34297,1215.995568,13,165,0.830303,1
false,false,2,8,3,3,96,16,5,0.867069,34297,1215.995568,13,164,0.829268,1
false,false,3,0,1,5,94,16,55,0.867069,34297,1215.995568,13,163,0.828221,1
false,false,1,1,1,2,28,38,37,0.867052,34297,1215.995568,13,152,0.940789,1
false,false,1,1,1,1,2,0,6,0.863636,34297,1215.995568,13,77,0.922078,1
false,false,1,0,0,1,0,0,7,0.863636,34297,1215.995568,13,166,0.951807,1
false,false,1,0,0,1,0,0,6,0.864407,34297,1215.995568,13,165,0.951515,1
false,false,1,0,0,1,0,0,46,0.861972,34297,1215.995568,13,311,0.951768,1
false,false,1,0,0,2,0,0,93,0.861972,34297,1215.995568,13,76,0.921053,1
false,false,1,0,2,2,0,0,7,0.856354,34297,1215.995568,13,28,0.821429,1
false,false,1,0,0,1,0,0,2,0.856354,34297,1215.995568,13,27,0.814815,1
false,false,2,7,2,2,9,0,62,0.855956,34297,1215.995568,13,449,0.946548,1
false,false,2,5,2,5,4,0,38,0.853186,34287,1215.82524,13,151,0.940397,1
false,false,1,0,0,2,5,30,24,0.853186,34287,1215.82524,13,162,0.82716,1
false,false,2,9,2,1,0,0,5,0.853591,34287,1215.82524,13,448,0.946429,1
false,false,1,0,0,1,0,0,24,0.854396,32613,1248.060589,13,164,0.95122,1
false,false,1,1,1,1,3,0,43,0.855153,34243,1217.153871,13,447,0.946309,1
false,false,1,0,0,1,11,0,43,0.855153,34243,1217.153871,13,446,0.946188,1
false,false,1,1,1,1,0,0,11,0.851541,34243,1217.329089,13,445,0.946067,1
false,false,1,0,0,1,0,0,17,0.851124,34243,1217.329089,13,150,0.94,1
false,false,2,0,0,2,21,27,17,0.852691,34243,1217.329089,13,26,0.807692,1
false,false,2,2,2,2,8,16,54,0.852691,34243,1217.329089,13,310,0.951613,1
false,false,1,0,0,2,2,16,18,0.852691,34243,1217.329089,13,149,0.939597,1
false,false,1,1,1,1,0,0,5,0.852691,34243,1217.329089,13,148,0.939189,1
false,false,2,13,2,4,249,0,0,0.852691,34243,1217.329089,13,25,0.8,1
false,false,2,2,2,1,0,0,1,0.852273,34243,1217.329089,13,17,0.823529,1
false,false,2,0,0,2,4,2,0,0.854286,34243,1217.329089,13,161,0.826087,1
false,false,1,0,0,3,5,4,57,0.857143,34242,1217.36464,13,163,0.95092,1
false,false,1,1,1,2,4,44,11,0.856322,34253,1216.185444,13,198,0.964646,1
false,false,3,2,2,5,28,20,23,0.857143,34251,1216.139675,13,162,0.950617,1
false,false,1,2,1,3,8,6,5,0.859599,34251,1216.139675,13,75,0.92,1
false,false,1,0,0,1,0,0,3,0.859195,34251,1216.139675,13,161,0.950311,1
false,false,1,0,0,1,0,0,47,0.859195,34251,1216.139675,13,74,0.918919,1
false,false,1,0,0,2,0,0,5,0.857558,34238,1215.900461,13,160,0.95,1
false,false,1,0,0,1,0,0,45,0.857143,34238,1215.900461,13,159,0.949686,1
false,false,2,2,2,6,106,0,0,0.854227,34238,1215.900461,13,197,0.964467,1
false,false,1,12,4,4,42,16,12,0.853448,34238,1215.900461,13,7,1,0
false,false,1,0,0,1,0,0,0,0.852601,34237,1215.848351,13,73,0.917808,1
false,false,3,3,2,10,14,0,6,0.854286,34237,1215.848351,13,158,0.949367,1
false,false,1,0,0,1,0,0,59,0.853448,34237,1215.848351,13,121,0.876033,1
false,false,2,17,3,8,177,77,74,0.853026,34249,1215.480744,13,72,0.916667,1
false,false,2,0,0,3,0,0,11,0.852174,32613,1248.060589,13,23,0.869565,1
false,false,1,0,0,1,0,0,14,0.852174,34249,1215.480744,13,160,825,1
false,false,1,1,1,1,2,0,22,0.847701,34249,1215.480744,13,444,0.945946,1
false,false,5,6,2,2,123,0,43,0.846821,34249,1215.480744,13,24,0.791667,1
false,false,1,1,1,1,2,0,5,0.854227,34249,1215.480744,13,22,0.909091,0
false,false,1,3,2,2,1,11,16,0.85119,34231,1214.250241,13,443,0.945824,1
false,false,1,2,1,1,0,0,9,0.85119,34231,1214.250241,13,442,0.945701,1
false,false,1,1,1,1,0,0,11,0.85119,34231,1214.250241,13,147,0.938776,1
false,false,1,4,3,1,2,0,9,0.85119,34231,1214.250241,13,4,0.5,1
false,false,1,0,0,1,3,0,4,0.85119,34231,1214.250241,13,6,1,1
false,false,2,16,2,11,185,121,106,0.85119,34231,1214.250241,13,16,0.8125,1
false,false,2,4,1,1,0,0,11,0.852507,34231,1214.221028,13,146,0.938356,1
false,false,1,1,1,2,0,0,23,0.852941,34231,1214.221028,13,145,0.937931,1
false,false,1,5,2,2,11,58,16,0.85044,34231,1214.221028,13,144,0.9375,1
false,false,2,10,3,2,38,76,0,0.85044,34231,1214.221028,13,143,0.937063,1
false,false,1,0,0,1,0,0,57,0.851312,34231,1214.221028,13,142,0.93662,1
false,false,2,9,2,5,26,23,53,0.851312,34231,1214.221028,13,159,0.823899,1
false,false,1,1,1,1,1,0,20,0.85,34229,1214.175115,13,441,0.945578,1
false,false,2,2,2,2,10,8,14,0.85,34229,1214.175115,13,141,0.93617,1
false,false,1,3,3,1,0,0,0,0.848665,32613,1248.060589,13,157,0.949045,1
