@relation 'scala-ide-data-weka.filters.unsupervised.attribute.AddExpression-Ea6/a6+0-Nstatus-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a6/a6+0 -N status-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,41,42,44,45,46,47,48,49,50,51,52,53,57,58,59,61,62,63,64,65,66,67,70,71,72,73,74,75,76,77,78,79,80,81,82,83-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first'

@attribute conflict {false}
@attribute forward_links {false,true}
@attribute num_commits numeric
@attribute num_comments numeric
@attribute num_participants numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute perc_external_contribs numeric
@attribute sloc numeric
@attribute test_lines_per_kloc numeric
@attribute team_size numeric
@attribute prev_pullreqs numeric
@attribute requester_succ_rate numeric
@attribute status {0,1}

@data
false,false,1,2,1,1,0,0,14,0.619048,76971,53.812475,3,237,0.85654,1
false,false,1,4,3,70,0,0,16,0.615385,76971,53.812475,3,236,0.855932,1
false,false,1,1,1,1,0,0,10,0.550725,76969,53.813873,3,235,0.855319,1
false,false,1,1,1,1,4,0,4,0.550725,76969,53.813873,3,234,0.854701,1
false,false,6,4,3,1,212,0,2,0.528571,76963,53.818068,3,227,0.894273,1
false,false,1,2,2,2,11,0,2,0.527778,76962,53.818768,2,233,0.854077,1
false,false,1,2,2,1,2,0,4,0.506667,76968,53.814572,2,232,0.853448,1
false,false,5,11,3,6,203,0,4,0.506667,76968,53.814572,2,231,0.852814,1
false,false,2,3,2,1,0,0,8,0.5,76968,53.814572,2,230,0.852174,1
false,true,5,16,4,8,974,0,13,0.5,76952,53.825762,2,225,0.902222,0
false,false,3,4,3,2,64,0,0,0.486486,76952,53.825762,2,229,0.851528,1
false,false,1,1,1,1,0,0,6,0.478873,76644,54.042065,2,228,0.850877,1
false,false,4,15,4,34,1309,0,2,0.472222,76644,54.042065,3,227,0.85022,1
false,false,1,4,2,1,0,0,5,0.478261,76644,54.042065,3,226,0.849558,1
false,false,1,5,3,1,4,0,2,0.450704,76644,54.042065,4,225,0.848889,1
false,false,1,6,3,1,11,0,7,0.3875,76640,54.044885,4,33,0.878788,1
false,false,1,4,4,1,4,0,1,0.315789,76640,54.044885,4,224,0.848214,1
false,false,2,10,3,2,37,0,16,0.301075,76644,54.042065,4,31,0.870968,1
false,false,6,2,2,229,697,22,94,0.274725,77351,53.83253,4,223,0.847534,1
false,false,1,2,2,1,2,0,0,0.25,77346,53.83601,4,222,0.846847,1
false,false,3,12,4,1,38,0,0,0.25,77346,53.83601,4,221,0.846154,1
false,false,1,2,2,1,3,0,1,0.25,77346,53.83601,4,220,0.845455,1
false,false,2,14,3,2,28,0,0,0.228261,77346,53.83601,4,0,0,1
false,false,1,2,2,1,0,0,3,0.21978,77346,53.83601,4,219,0.844749,1
false,false,2,13,3,4,242,46,6,0.152941,77124,53.757585,4,29,0.862069,1
false,false,2,5,2,1,252,0,11,0.141176,77117,53.762465,4,28,0.857143,1
false,false,1,4,3,2,14,0,9,0.141176,77117,53.762465,4,27,0.851852,1
false,false,3,12,3,9,476,0,20,0.141176,77117,53.762465,4,26,0.846154,1
false,false,1,3,3,9,0,0,8,0.130952,77282,53.621801,4,218,0.848624,0
false,false,1,2,2,1,1,0,0,0.111111,77281,53.622495,4,25,0.84,1
false,false,1,5,3,9,0,0,6,0.111111,77281,53.622495,4,216,0.851852,1
false,false,3,3,2,9,57,0,3,0.096386,77253,53.64193,4,215,0.851163,1
false,false,2,7,3,1,14,0,7,0.097561,77253,53.64193,4,214,0.850467,1
false,false,1,2,2,1,4,0,0,0.075949,77374,53.558043,4,213,0.849765,1
false,false,2,3,4,2,193,0,1,0.075949,77374,53.558043,4,212,0.849057,1
false,false,2,5,3,6,300,0,0,0.054054,77356,53.570505,4,211,0.848341,1
false,false,1,4,3,2,43,0,10,0.054054,77356,53.570505,4,210,0.847619,1
false,false,61,49,3,49,8026,22,9,0.051282,77356,53.570505,4,24,0.833333,1
false,false,1,9,4,2,209,0,1,0.028571,77332,53.587131,4,23,0.826087,1
false,false,2,6,4,2,24,0,13,0.028986,77347,53.576739,4,209,0.84689,1
false,false,1,2,2,2,24,0,8,0,77317,53.597527,4,224,0.901786,1
false,false,1,1,1,66,0,0,7,0.014493,77317,53.597527,4,208,0.846154,1
false,false,1,3,3,2,11,0,5,0.014706,77317,53.597527,4,22,0.818182,1
false,false,2,4,2,5,31,0,10,0.014706,77295,53.612782,4,6,0.666667,1
false,false,1,2,2,1,16,0,7,0.015152,76954,52.758791,4,21,0.809524,1
false,false,5,14,4,7,258,0,1,0.015152,76954,52.758791,4,20,0.8,1
false,true,1,5,3,2,19,0,7,0.028986,76954,52.758791,4,207,0.850242,0
false,false,1,6,2,1,0,0,0,0.027778,76954,52.758791,4,206,0.849515,1
false,false,2,6,5,2,50,0,15,0.028986,76849,52.830876,4,205,0.84878,1
